SMILES,Tanimoto,drug_id,cluster
Cn1cc(-c2ccccc2)nc1-c1ccc(N2CCC(N)CC2)cc1,0.4179,KDM1A_252,77
Cc1ccc2c(CCC(N)=O)cc(-c3ccccc3)cc2c1,0.4138,KDM1A_379,51
NC[C@@H]1CCN(c2ccc3ccccc3n2)C1,0.3969,KDM1A_588,15
COc1c(C(N)=O)cc2c(ccn2CC2CCN(CCO)CC2)c1C,0.4993,KDM1A_586,16
CNC(=O)c1ccc(-c2nc(NC3CCN(C)CC3)nc(-c3ccc(C)cc3)n2)s1,0.4752,KDM1A_325,62
N[C@H]1CC[C@H](Nc2ccc(C(=O)Nc3ccccc3)cc2-c2ccc(C(=O)O)c(F)c2)CC1,0.4958,KDM1A_510,30
N#Cc1ccc(-c2cc(OC[C@H]3CCCNCC3)c3ccccc3c2OCC(=O)N2CCC[C@@H](N)C2)cc1,0.4365,KDM1A_163,94
CNC(=O)c1ccc(-c2ccc(F)cc2)cc1NC1CC1NC1CCC1,0.4462,KDM1A_43,116
COc1ccc(Nc2nc(Sc3ccc(N)cc3)c3sccc3n2)cc1,0.4156,KDM1A_51,111
N#Cc1ccc(-c2cc(C3=CCC(O)CC3)c3ccc(F)cc3c2OCCC2CCNCC2)cc1,0.4737,KDM1A_386,50
Cn1cc(-c2cc(-c3ccc(F)c(F)c3)ccc2[C@H]2CC[C@@H]2N)cn1,0.4798,KDM1A_460,37
N[C@H]1CC2CC[C@@H]2[C@H]1c1ccc(OCc2ccccc2)cc1,0.4896,KDM1A_48,112
Cc1ccc(N[C@H]2CCC[C@H]2NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1N,0.4048,KDM1A_329,60
N#CC1(N2CCC(OCCNC3CC3)CC2)Cc2ccccc2C1,0.4228,KDM1A_172,91
N[C@H]1CCC[C@@H]1NCc1ccc(-c2ccccc2)cc1,0.4589,KDM1A_191,84
Cc1noc2c(Sc3cnc(N)nc3N)cccc12,0.4069,KDM1A_571,21
COc1ccc(-c2ccc(CN3CCC4(C3)NC(=O)C4C)cc2OC)cc1,0.4861,KDM1A_218,81
OC1(COc2ccccc2)CCC(NC2CC(c3ccccc3)C2)CC1,0.4582,KDM1A_226,80
CCCC1(NC[C@@H]2C[C@H]3CN4C[C@H]2CCCCC3C4=O)CCC1,0.396,KDM1A_449,42
CNC1CCN(CCn2cc(C(N)=O)c(-c3ccc(C#N)cc3)c2)CC1,0.4619,KDM1A_286,69
COc1cc2nc(C)ccc2cc1OCCCC(=O)Nc1ccccc1,0.4489,KDM1A_438,44
CO/C=C(\CCN1CCC(N2CCOCC2)CC1)C(=O)Nc1ccc(C#N)c(C2CC2)c1,0.4407,KDM1A_522,27
CC1(c2ccc(C#N)cc2)CN(C2=CCNCC2)CN(Cc2ccccc2)C1=O,0.4588,KDM1A_643,5
Cc1ccc(CN2CCC[C@@]23CNC[C@@H]3NS(=O)(=O)c2ccc3c(c2)OCO3)cc1,0.4834,KDM1A_593,13
Cc1ccc(-c2cc(C(=O)NC3CCCC(N)C3)cs2)cc1,0.427,KDM1A_44,115
CN1CCC(CNC2CN(Cc3ccccc3)C2CC(=O)NCc2ccccc2)CC1,0.477,KDM1A_177,89
CCN(C(=O)Nc1cc(C)ccc1O)c1cc2c(c(OC)c1)CCNCC2,0.4455,KDM1A_576,19
N#Cc1cccc(NC(=O)C2CCN(Cc3ccc(F)cc3Cl)CC2)c1,0.4212,KDM1A_213,83
Cc1cnc(-c2ccc(C#N)cc2)cc1-c1ccc(-c2ccc(=O)[nH]c2)cc1,0.4687,KDM1A_97,103
Cc1c(Cn2ccc3ccccc32)cccc1N1CCC(N)CC1,0.4559,KDM1A_256,76
N#Cc1ccc(-c2[nH]c(-c3ccc(C(=O)O)cc3)nc2-c2ccc(Cl)cc2)cc1,0.4816,KDM1A_566,22
Nc1ccc(-c2ccc3ncc(-c4ccccc4)n3c2)cc1,0.4597,KDM1A_397,49
FC(F)Oc1ccc(-c2cc3ccccc3c3c2CCn2cnnc2-c2ccccc2-3)cc1,0.4897,KDM1A_368,52
CN1CCC(CCOc2cc(-c3ccc(C#N)cc3)c(OCc3cccs3)c3ccccc23)CC1,0.4251,KDM1A_606,12
O=C(c1ccc(-c2ccccc2)cc1)C1C[C@@H]1NC1CCNCC1,0.4228,KDM1A_74,108
Cc1onc(-c2ccc(S(=O)(=O)NC3CC3)cc2)c1NC(=O)c1c(O)cc(O)cc1O,0.4795,KDM1A_358,55
Cc1ccc(-c2cc(CN[C@@H]3C[C@H]3NCc3cccs3)n3ccccc23)cc1,0.471,KDM1A_180,87
C[C@@H]1COCCN1c1nc(-c2cc(N)cc(F)c2)nc2ccccc12,0.4952,KDM1A_317,64
O=C(NCc1ccccc1)c1ccc(CNC2CN(C3CCCC3)C2)cc1,0.446,KDM1A_279,72
N#Cc1ccc(-c2ccc(CCNC(=O)c3cnn(C4CC4)c3N)s2)cc1,0.4783,KDM1A_132,98
Cc1cccc(/C=C/c2ccc(F)c(N[C@H]3C[C@@H]3O)c2)c1,0.3421,KDM1A_179,88
N#Cc1ccc(-c2cccc(C#CC3CCN(C4CCC(N)C4)CC3)c2)cc1F,0.488,KDM1A_39,117
N#Cc1c(F)ccc(N2CCC(NC3CC(C(=O)O)C3)CC2)c1OCC1CC1,0.4683,KDM1A_458,38
Cc1cc(N2CC(N)C2)c2cc(COc3ccc(F)cc3)ccc2c1C,0.4447,KDM1A_276,73
O=C(NCC1CC1)NC1CC1NCc1ccccc1,0.3522,KDM1A_171,92
COc1cccc(CN2CCN(C)CC2COc2cc(C#N)c(OCc3ccc(C#N)cc3)c(OC)c2)c1,0.4407,KDM1A_348,57
COc1ccc(-c2c(N3CC[C@@H](N)C3)noc2-c2ccccc2Cl)cc1,0.4997,KDM1A_543,25
N[C@H]1CC[C@H](n2ccc3sc(CC(=O)Nc4ccc(C(F)(F)F)cc4)cc32)CC1,0.4964,KDM1A_618,10
Cc1cc(C(=O)NCCN)cc(S(=O)(=O)c2ccccc2)c1CO,0.3727,KDM1A_628,8
N#CC1(c2ccc3[nH]c(C4CC4)cc3c2)CCN(Cc2cccs2)C1,0.4499,KDM1A_149,96
CNC1CCN(c2nc(-c3ccc(C)cc3)nc(-c3ccc(C)cc3)n2)CC1,0.4438,KDM1A_407,48
Cc1cn(C)c(=O)c(-c2ccc(N)cc2)c1CCc1ccccc1,0.4596,KDM1A_215,82
O=C(NC1CCNCC1)c1ccsc1COc1cccc(C(F)(F)F)c1,0.4467,KDM1A_83,105
CN=Cc1cccc(O)c1C=Cc1ccc(O)c(O)c1,0.4713,KDM1A_627,9
COC(=O)Cc1cc(-c2ccc(C#N)cc2)ccc1NC(=O)CC1CCCCC1,0.4424,KDM1A_451,41
COCN1CCC(N2CCc3ccc(-c4ccc(C[C@H]5C(C)C(=O)N5C)cc4)cc3C2)CC1,0.4912,KDM1A_455,39
Cn1cc(-c2coc3cc(OCC4CNC4)cc(-c4ccc(C#N)cc4)c23)cn1,0.4813,KDM1A_313,65
CN(C)c1cccc(C2CN(Cc3ccc(-c4ccc(C5CC5)cc4)cc3)C2=O)c1,0.4769,KDM1A_352,56
Cc1cc2c([C@H]3C[C@@H]3N)cccc2cc1S(=O)(=O)c1ccc(Br)cc1,0.3805,KDM1A_678,1
C#Cc1cc(CN2CC(N(C)C(=O)OC(C)(C)C)C2)ccc1-c1ccc(C#N)c(F)c1,0.4841,KDM1A_311,66
Cn1c(/C=C2\CCCC2NC2CCN(CCCC(=O)O)CC2)cc2ccccc21,0.4447,KDM1A_1,121
Fc1cc(-c2ccccc2)ccc1[C@H]1C[C@@H]1C1CCNCC1,0.4773,KDM1A_417,46
