SMILES,Tanimoto,drug_id,cluster
CCC1=c2oc3c4cccc(c2C(O)=C(C(=O)O)C(O)=C1)c4=3,0.4783,NR4A1_537,54
O=C(Nc1ccc(-c2ccccc2)cc1)Nc1cccc(Oc2ccc(C(=O)O)cc2)c1,0.2845,NR4A1_454,136
CC(=O)c1ccc(C=Cc2ccc(C(=O)O)cc2)o1,0.2642,NR4A1_154,423
COc1cc(NS(=O)(=O)c2ccc(C)cc2)cc(C2CCCCN2S(C)(=O)=O)c1,0.398,NR4A1_427,159
CC(C)c1nc(C(=O)c2cccc3ccccc23)c[nH]1,0.2788,NR4A1_149,428
O=C(O)/C=C/c1cccc(/C=C/c2ccc3oc4ccccc4c(=O)c3c2)c1,0.3127,NR4A1_187,391
Clc1ccn2cc(-c3ccc(CN4CCOCC4)cc3)nc2c1,0.3502,NR4A1_432,155
COc1ccc(NC(=O)c2ccc(-c3ccccc3)o2)cc1,0.3145,NR4A1_64,512
CCOc1ccc(-c2ncc(C)n2C)cc1-c1cc2ccc(C(=O)N3CCOCC3)cc2cc1CC1CCCC1,0.4401,NR4A1_98,479
CC(C)Cn1c(=O)[nH]c2cc(-c3ccccc3)ccc2c1=O,0.3261,NR4A1_133,444
CC(=O)Nc1ccc(-c2ccc3nc(-c4c(Cl)cccc4Cl)oc3c2)cc1,0.3723,NR4A1_294,286
COc1ccc2c(c1OCc1cccc(C(=O)O)c1)CCCC2,0.4304,NR4A1_177,401
Cc1c(CCC(=O)O)ccc2sc(CC(=O)Nc3ccc4c(c3)OCO4)nc12,0.4293,NR4A1_137,440
Cc1cc(N=Cc2c(-c3cccc(Cl)c3)ccc3ccccc23)c2c(C)cccc2n1,0.4024,NR4A1_522,69
CCc1ccc(-c2ccccc2C(=O)Nc2nc3c(s2)CCC(c2ccccc2OC)CC(C)(C)C3)o1,0.484,NR4A1_583,10
CC1=CCC(C)(C)c2c(O)cc3c(c2C1)CCC3(C)C,0.4801,NR4A1_22,554
O=C(Nc1ccc(C(=O)NC2CC2)cc1)c1ccc2c(c1)OCO2,0.4557,NR4A1_355,227
COc1cc2c(C(=O)Nc3ccc(C(C)(C)C)cc3)ccc(-c3nc(C)n[nH]3)c2cc1OC,0.4106,NR4A1_216,362
Cc1nn2cc(OCCOc3ccc(Cl)cc3)ccc2c1C(=O)O,0.3822,NR4A1_190,388
COc1cc(C(=O)O)ccc1-c1cc2ccccc2s1,0.3241,NR4A1_340,241
O=C(O)c1ccc(-c2sccc2-c2ccccc2)cc1,0.2706,NR4A1_75,501
CC(C)c1ccc2c(C(=O)c3ccc(-c4cccc(C(C)(C)C)c4)cc3)cnn2c1,0.3686,NR4A1_292,288
CCOc1sc(-c2ccc(Cl)cc2)nc1-c1ccc(C(=O)O)cc1,0.3404,NR4A1_105,472
c1ccc(-c2nnc(-n3c4cc5ccccc5cc5c-4c3OCC5)o2)cc1,0.4927,NR4A1_150,427
CCc1cc(-c2ccc(S(=O)(=CCCO)N3CCOCC3)cc2)c2cc(Cl)ccc2n1,0.4231,NR4A1_148,429
Cc1cc(Cl)cc2cc(C(=O)c3ccccc3O)n(C)c12,0.4374,NR4A1_176,402
COc1cccc(-c2nc(C)c(-c3cccc(OC)c3)s2)c1,0.3514,NR4A1_312,268
Cc1nc(-c2ccc(-c3ccccc3)cc2)no1,0.2077,NR4A1_507,83
O=C(O)Cc1ccc2c(c1)Cc1nc(-c3ccc(Br)cc3)oc1-2,0.4072,NR4A1_344,237
CCOc1cc(O)c(O)c2ccc(C(=O)N3CCCC3S(=O)(=O)c3cccc(-c4ccccc4)c3)cc12,0.4386,NR4A1_290,290
O=C(O)c1ccc(O)c(-c2cc(C3CCCC3)ccc2CO)c1,0.3156,NR4A1_233,345
CC(C)Oc1ccc(-c2ccc(C(=O)O)cc2)cc1NC(=O)Nc1ccccc1,0.3027,NR4A1_459,131
CC1CCC2C(c3cccs3)=CC(=O)C(c3ccc(C=C4CCC(=O)N4C)cc3)=C12,0.4471,NR4A1_563,29
Cc1ccc(COc2ccc(C(=O)O)cc2)cc1N1CCOCC1,0.437,NR4A1_487,103
O=C(Cc1ccc(OCCN2CCCCC2)cc1)c1ccc(Cl)cc1,0.2963,NR4A1_4,571
CN(C)C(=O)c1ccc(Oc2ccc(Cl)cc2)cc1,0.2577,NR4A1_175,403
CC(C)(C)c1nnc(-c2cccc(P(=O)(O[C@@H]3C[C@@]4(C)CC[C@H]3C4)c3ccccc3)c2)o1,0.3812,NR4A1_359,223
Cc1cc(-c2cccc(CN3CCOCC3)c2)cc(-n2nc3c(c2C)C2CCCCC2C3)c1,0.4304,NR4A1_460,130
O=C(Nc1ccc(Cl)cc1)N1CCN(CCOc2ccc3c(c2)OCCO3)CC1,0.3,NR4A1_592,1
COc1ccc2ccc(-c3ccccc3)cc2c1,0.17,NR4A1_529,62
Cc1cccc2c(-c3ccccc3)cc(NS(=O)(=O)N3CCN(C)CC3)cc12,0.3082,NR4A1_107,470
CC1(C)CCN(Cc2ccccc2)c2ccc(OCCC(=O)CN3CCOCC3)cc21,0.3712,NR4A1_104,473
CC(C)COc1ccc2c(c1)C1(CCC1)c1ccc(C(=O)O)cc1O2,0.3641,NR4A1_388,196
O=C(C1CCc2ccc(C(=O)N3CCCc4ccccc43)cc21)N1CCOCC1,0.4241,NR4A1_498,92
O=C(Nc1ccc(NC2CCC2)cc1)Nc1ccc2cc3c4c(ccc3cc2c1)OCO4,0.2964,NR4A1_379,205
OCc1ccc(C2=NCc3ccccc3S2)cc1O,0.2938,NR4A1_102,475
O=C(O)c1ccc(-c2cc(-c3ccccc3)nc3c2CCCCC3)s1,0.4451,NR4A1_479,111
CC(C)(C)c1csc(-c2cccc(Cl)c2)n1,0.2394,NR4A1_518,73
CCc1nc2cc(-c3ccc(C(=O)O)cc3F)ccc2o1,0.357,NR4A1_437,151
COc1cc(C(=O)Nc2ccnn2-c2cccc(Cl)c2)cc2c(O)cccc12,0.375,NR4A1_447,143
CCCOc1c(C)ccc2ccn(-c3ccc(C(=O)O)cc3)c(=O)c12,0.3594,NR4A1_348,233
CCOc1cc(COc2ccc(C(C3=CC=CC3=O)C(C)(C)C)cc2)ccc1-c1nnc(C)o1,0.4662,NR4A1_275,305
Cc1[nH]c2cc(C(C)(C)C)ccc2c1-c1ccc(S(C)(=O)=O)cc1,0.4108,NR4A1_61,515
C=CCc1c(Cl)ccc2[nH]c(-c3cccc(-c4nn[nH]n4)c3)c(C)c12,0.409,NR4A1_307,273
CCCOc1c(-c2ccc(CC(=O)O)cc2)ccc2oc(-c3noc(-c4ccccc4)n3)cc12,0.4643,NR4A1_411,174
c1ccc(-c2ccc3ccc(-c4csc(-c5nn[nH]n5)n4)cc3c2)cc1,0.2782,NR4A1_547,44
Cc1c(C(=O)N2CCCC2)sc2cc(Cl)ccc12,0.3618,NR4A1_185,393
O=C(O)c1ccc(-c2cn(CCCc3ccccc3)oc2=O)cc1,0.3017,NR4A1_315,265
COc1ccc(-c2cnc3ccc(-c4ccccc4)cn23)cc1-c1nn[nH]n1,0.3731,NR4A1_505,85
O=C(O)C1=CCC2CCC(C1)CC2(Cl)c1cccc(-c2ccccc2)c1Cl,0.4372,NR4A1_332,249
CC(C)(C)C(=O)Oc1ccc(NC(=O)c2ccccc2)cc1,0.4689,NR4A1_237,341
