SMILES,Tanimoto,drug_id,cluster
CC(C)(CO)c1ccc(Cn2c(=O)nc(OCCO)c(=O)n(Cc3ccc(Cl)cc3)c2=O)cc1,0.4859,P2RX3_606,4
Nc1c(Cc2c(Cl)cccc2Cl)c(NCCO)nc(=O)n1-c1ccc(Cl)cc1,0.4733,P2RX3_42,67
COc1ccc(Oc2ccc(Nc3c(C(F)(F)F)cnn3Cc3ccccc3)cc2)cn1,0.495,P2RX3_66,63
COc1ccc(Cc2nc(Nc3ccc4ccccc4c3)cn(CC(=O)N3CCOCC3)c2=O)cc1,0.4771,P2RX3_224,42
CC(=O)Nc1ccc(Nc2nc(OCC(=O)N(C)C)c(=O)n(Cc3ccc(Cl)cc3)n2)cc1,0.4674,P2RX3_316,34
Nc1nc(N)c2ccc(Cc3ccccc3)cc2n1,0.3612,P2RX3_348,29
CC(C)c1nc(N)ncc1Oc1cccc(C(C)(C)C)c1,0.4558,P2RX3_163,49
O=C(NC(=O)c1sc2ccccc2c1Cc1ccc(Cl)cc1)Nc1ccc(Cl)c(CO)c1,0.4942,P2RX3_108,56
CCC(C)NC(=O)C(C)Cc1nc(N)ncc1-c1ccn(Cc2cc(C)on2)c(=O)c1,0.4634,P2RX3_315,35
CN1CCN(C(=O)C2(C(=O)Nc3ccc(-c4cc(C(F)(F)F)n(C)n4)cc3)CC2)CC1,0.4598,P2RX3_150,51
CC(C)(C)c1cc(Oc2cc(N)ncn2)ccc1OCc1ccccc1,0.4685,P2RX3_546,8
COC(=O)c1ccc(Oc2nc(Nc3ccc(Cl)cc3)nc(=O)n2S(C)(=O)=O)cc1,0.4698,P2RX3_507,11
CN(C)C(=O)/C=C/c1ccc(Oc2ccc(NC(=O)Nc3ccc(S(N)(=O)=O)c(Cl)c3)cc2)cc1,0.374,P2RX3_596,6
Cc1ccc(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc(Nc3ncc(C)s3)n2)cc1,0.4085,P2RX3_12,72
CC(C)CCCOC(=O)c1ccc(C(=O)C(=O)Nc2c(OC(C)C)cccc2C(C)C)cc1,0.4321,P2RX3_218,43
CC(C)c1cccc(Oc2ccccc2)c1Nc1nc(N)ncc1Cl,0.4238,P2RX3_488,15
CC(=O)OCc1ccc(Nc2nc(N[C@@H](C)C(C)C)c(=O)n(CC(=O)N(C)CCc3ccccc3)n2)cc1,0.4954,P2RX3_260,40
Cc1nccc(Oc2cc(C(=O)N(C)C)ccc2C(=O)NCc2cnn(CCN3CCOCC3)c2)n1,0.4731,P2RX3_413,25
COc1ccc(CCOc2ncc(-c3ccccc3)cc2C(=O)Nc2ccccc2)cc1,0.4877,P2RX3_366,28
Cc1ccc(C(=O)NC2CN(C3CCCC3=O)C(=O)C2Cc2ccc(Cl)cc2Cl)cc1,0.4985,P2RX3_53,66
CC(C(=O)Nc1nonc1CC1CCCCC1)C(C)c1ccc(Oc2ccc(N)nc2)cc1,0.4377,P2RX3_302,36
CCCNC(=O)c1cc(Oc2cccc(C(N)=O)c2)ccc1OCCCc1ccccc1,0.3881,P2RX3_277,39
Cc1cnc(Nc2ccccc2Oc2ccc(C(=O)NCCCC(=O)O)cc2)nc1,0.3963,P2RX3_628,2
CCOc1cc(OC)ncc1Oc1ccc(Nc2nc3cc(OC)ccc3s2)cc1,0.4601,P2RX3_189,45
Cc1ccc(S(=O)(=O)Nc2c(N)nc(N)nc2Oc2ccc(C(C)(C)C)cc2)cc1,0.4676,P2RX3_665,1
Nc1nc(N)n(Cc2nc(CCc3ccc(Cl)cc3)cn(CCc3ccc(Cl)cc3)c2=O)n1,0.4577,P2RX3_433,21
CN(C)CCNC(=O)c1ccc(N2CC(=O)Nc3ccc(-c4ccc(Cl)cc4)cc32)cc1,0.4289,P2RX3_388,27
CC(C)Oc1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)n2Cc2ccc(Cl)cc2)cc1,0.4784,P2RX3_101,59
O=C(O)Cn1cc(Nc2ncc(Oc3ccccc3)cc2OCc2cccc(Cl)c2)ccc1=O,0.4915,P2RX3_499,14
CCCc1nc(N)ncc1Oc1ccc(C(=O)Nc2ccccc2)cc1,0.3912,P2RX3_329,31
COc1c(Nc2ncc(C(C)C)c(Nc3ccc(Oc4ccccc4)cc3)n2)cccc1C(=O)O,0.4748,P2RX3_136,54
COCCn1c(=O)c(N)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,0.4358,P2RX3_40,68
CC(C)C1C(C)C(=O)C(Nc2cccc(C(C)(C)C)c2)C(C=O)C1O,0.4045,P2RX3_666,0
CNC(=O)c1ccc(Oc2ccc(Nc3ccc(-c4nc(C)co4)cc3)cc2)nc1,0.4958,P2RX3_82,61
Cc1nc(Cc2[nH]c(Nc3ccc(Oc4ccsc4)cc3)nc(=O)c2F)no1,0.4578,P2RX3_477,17
COc1c(CNc2nc(N)nc(N)c2C#N)ccc2c(C)cc(=O)oc12,0.4868,P2RX3_147,52
O=c1c(Nc2ccc(Cl)cc2)nc2ccccc2n1Cc1ccc(Oc2ccccc2)cc1,0.49,P2RX3_442,20
CCOC(=O)C(NC(=O)C(Cc1cnn(-c2ccc(CC)cc2)c1C)C(C)C)C(C)C,0.4638,P2RX3_22,71
CSc1ccc(Nc2ncc(Oc3ccc(C#N)cc3)c(C)c2C)cc1,0.459,P2RX3_324,33
CS(=O)(=O)Nc1nc(Nc2ccc3ncccc3c2)nn(Cc2ccc(Cl)cc2)c1=O,0.4957,P2RX3_103,58
COc1ccc(NC2NC(CN3CCN(S(C)(=O)=O)CC3)OC2Cc2cccc(Cl)c2)c(F)c1,0.4684,P2RX3_57,65
C#Cc1ccc(O)c(Cc2nc(=O)c3c(ncn3CC)[nH]2)c1,0.4151,P2RX3_245,41
Nc1ncc(Cc2ccccc2Oc2ccccc2)c(N)n1,0.3737,P2RX3_573,7
CCCc1ccc(Cn2cc(C)c(=O)n(Cc3ccc(CC)cc3)c2=O)cc1,0.488,P2RX3_168,47
CCO[PH](=O)C(=O)c1cccc(OC)c1Cn1cc(C(C)(C)C)nc1N,0.4684,P2RX3_295,38
Nc1cc(Nc2cc(Cc3ccccc3)n(Cc3ccccc3)c2)ncn1,0.4465,P2RX3_419,24
O=C1CN(C2CCCCCC2)C(c2ccc(Cl)cc2)c2cc(Cl)ccc21,0.453,P2RX3_196,44
CC(C)Oc1ccc(Nc2c(C#N)ccnc2Oc2ccccc2)cc1,0.4549,P2RX3_29,70
CC(=O)Nc1ccc(Oc2cc(NC(=O)CS(C)(=O)=O)ccc2-c2ccccc2)cc1,0.374,P2RX3_616,3
Cc1nnc(-c2ccccc2Oc2ccc3nc(C(C)C)ccc3c2)o1,0.4378,P2RX3_69,62
COc1ccccc1[C@@H](C)NC(=O)c1cc(Oc2ccc(Cl)cc2)nn(C)c1=O,0.4977,P2RX3_428,23
CC(C)c1ccccc1C=Cc1ccc2[nH]cc(C=O)c2c1,0.3684,P2RX3_448,18
COC(=O)COP(=O)(O)OCPC(=O)Nc1cc(N(C(C)C)C(C)C)nc(-c2cccc(SC)c2)n1,0.409,P2RX3_145,53
Nc1ncc(CN2Cc3cc4c(cc3C2)S(=O)(=O)CO4)c(N)n1,0.4662,P2RX3_478,16
Cn1c(=O)cc(Cc2ccc(Cl)cc2)nc(Nc2ccc(Oc3ccccc3)cc2)c1=O,0.4797,P2RX3_502,13
