SMILES,Tanimoto,drug_id,cluster
O=C(Nc1sccc1-c1nc2cc(OCCN3CCOCC3)ccc2[nH]1)c1cccc2ccccc12,0.4635,RIOK1_351,219
Oc1ccc2[nH]cc(-c3ccc4c(c3)OCCCN4C/C=C/c3ccccc3F)c2c1F,0.4892,RIOK1_182,367
COc1cc(N2CCN(C)CC2)ccc1Nc1ncnc2ccccc12,0.4159,RIOK1_398,175
CN1C(=O)c2ccccc2-c2ccccc2CC1C(=O)Nc1ccc2c(c1)OCO2,0.4815,RIOK1_469,120
c1ccc(Nc2nccc(N3CCNCC3)n2)cc1,0.3657,RIOK1_200,353
C(CCOc1ccc2c(c1)C/C2=C\Cc1ccccc1)=NCc1ccccc1,0.2705,RIOK1_413,163
O=C1CCCCCCCOc2cc(N3C(=O)c4cc(C(F)(F)F)ccc43)ccc2N1,0.4374,RIOK1_331,236
COc1cccc(/C=C/C(=O)c2cn(C)c3ccc(OC)cc23)c1,0.4965,RIOK1_460,124
c1ccc(-c2c[nH]cn2)cc1,0.1544,RIOK1_300,260
COCc1ccc2c(Nc3ncc(OC)c(NC4CCCC4)n3)cccc2c1F,0.4379,RIOK1_184,366
CC(C)(C)c1cc(-c2cncc(N3CCOCC3)c2)n[nH]1,0.3557,RIOK1_328,238
CS(=O)(=O)Nc1ccc2[nH]cc(-c3ccccc3)c2c1,0.3797,RIOK1_225,328
CCN1CCN(c2cccc(COc3ccc(C(=O)Nc4cccc(OC)c4)c(C)c3)c2)CC1,0.3647,RIOK1_318,245
Nc1nc(N[C@@H]2CCN(S(=O)(=O)C3CC3)C2)nc2c(OCCc3ccccc3)cccc12,0.462,RIOK1_146,399
O=c1[nH]c2c(-c3ccccc3)nn(-c3ccccc3)c2[nH]1,0.4475,RIOK1_253,302
Cc1cc(-c2nc(C(C)C)[nH]c2-c2ccccc2)[nH]n1,0.3402,RIOK1_178,371
COc1ccc2cc(-c3nc(C)c(C=O)[nH]3)ccc2c1,0.266,RIOK1_545,63
CC(C)(C)C(=O)Nc1cc2nc(C(F)(F)F)ccc2cc1Oc1ccc(N2CCCC2=O)cc1,0.4195,RIOK1_337,231
CCC(=O)Nc1cc(-c2ccccc2)c2nc(N3C[C@@H](C)N[C@@H](C)C3)[nH]c2n1,0.4365,RIOK1_367,203
Cc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1,0.3341,RIOK1_220,333
COc1ccc2c(-c3ccc(OCCN4CCOCC4)cc3)c(-c3ncco3)[nH]c2c1,0.4532,RIOK1_602,18
Cc1c(N)nc2[nH]c(-c3ccccc3)cc2c1C,0.3831,RIOK1_174,375
Cc1nc(C(=O)c2cccc3ccccc23)[nH]c1-c1ccc(Cl)c(Cl)c1,0.3772,RIOK1_230,323
Nc1ncnc2c(C(=O)Nc3cc(F)cc(F)c3F)cc(CC(=O)NCCN3CCOCC3)cc12,0.4977,RIOK1_546,62
Nc1nc(-c2ccccc2Cl)nc2c1cnc1cc(Cn3ccc4ccccc43)ccc12,0.4638,RIOK1_429,150
Cc1nn(C)c2nc(NCc3ccc(N4CCOCC4)cc3)nc(Nc3ccccc3)c12,0.4624,RIOK1_449,133
O=Cc1cc2c(cc1CN1CCOCC1)OCCO2,0.2827,RIOK1_208,345
Cc1cc(NCCOC(C)c2ccccc2)nc(N2CCCC2)n1,0.3059,RIOK1_219,334
C[C@H]1CN(c2nccc(-c3cn(CC(C)(C)O)c4ccccc34)n2)[C@@H](C)CN1,0.4718,RIOK1_349,220
