SMILES,Tanimoto,drug_id,cluster
CCOc1c(C(=O)N2CCCCC2)ccc2c1CCC2N1CCN(C)CC1,0.4736,SPIN1_635,128
NCc1cc(Cl)ccc1C(=O)NC1CN(C2CCC2)C(=O)c2ccc(OCCN3CCN(CC4CC4)CC3)cc21,0.4842,SPIN1_700,74
CN1CCN(CCOC2CCCN(CCN3CCN(c4ccccc4)CC3)C2)CC1,0.2151,SPIN1_737,41
NC1CN(Cc2ccccc2)Cc2cc(OCC3CC3)ccc2C1=O,0.4557,SPIN1_209,486
C=CCCN=C1NC2(CCN(C(=O)c3cc(Cl)cc(OC(F)(F)F)c3)CC2)CN2CCCC12,0.4299,SPIN1_731,47
CN(C)CCCN(C)CCN1c2ccccc2Sc2ccccc21,0.2644,SPIN1_346,367
COc1ccc2c(c1)CN(C)CC2,0.4673,SPIN1_79,595
COc1ccccc1-c1csc(NC2CCNCC2)c1,0.2774,SPIN1_228,467
CC(C)(C)Oc1ccc2c(c1)C1(CNC1)Cc1ccc(OCCN3CCCC3)cc1-2,0.4181,SPIN1_483,257
N=C1NC(=O)c2cc(OCCCCN3CCCC3)ccc21,0.4347,SPIN1_333,376
CCCN(C)C,0.0461,SPIN1_665,104
CNC(=NC1c2cc(OC)ccc2C(=O)N1C)NC1CCCCC1,0.4321,SPIN1_642,123
CN1CCc2ccc(N(Cc3ccc(N)c(C(N)=O)c3)C3CC3)cc2C1,0.3917,SPIN1_143,543
COc1ccc(CN2CCN(CCOc3ccc(N)c(OC)c3)CC2)cc1,0.3467,SPIN1_15,646
N=c1[nH]c2ccccc2n1Cc1ccc(O)cc1,0.2591,SPIN1_464,274
COc1cccc2cc(C(=O)/C(=C/CCN)C(=O)NCCCN3CCOCC3)[nH]c12,0.427,SPIN1_581,176
CNCCOc1ccc2nc(N3C=NNCCC3)sc2c1,0.3424,SPIN1_19,642
COc1cc(N)cc(C=NC(=N)N)c1CN1CCC2(CCCC2)C2(CCCC2)C1,0.4329,SPIN1_203,492
N=C(N)Nc1ccc2c(c1)CC(COc1cccc(O)c1OCCCN1CCCC1)C2,0.4018,SPIN1_705,69
COc1cc2c(cc1OCC1CC1)-c1cc(OCCCN3CCCC3)ccc1CN(C)C2=O,0.4545,SPIN1_186,506
Nc1cc2c(cc1O)CN(CCOc1ccccc1Cc1ccccc1)CC2,0.4333,SPIN1_341,370
O=C(O)COc1ccccc1Cn1cncc1CCCCN1CCOCC1,0.3421,SPIN1_530,214
CN1CCN(c2nc3cc(Cl)ccc3c(=N)[nH]2)CC1,0.2669,SPIN1_699,75
CCOc1ccc(CN2CCN(CCc3ccccc3OC)C3(CC3)C2)cc1,0.3749,SPIN1_490,250
CCC1CN(Cc2ccccc2)C(NC2Cc3ccc(O)cc3C2)=N1,0.3819,SPIN1_147,539
COc1cc2c(cc1OCCN1CCn3ccnc3C1)C(N)CC=Cc1sccc1C2,0.4984,SPIN1_34,632
CN1CCN(CCCOc2ccccc2CN2CCc3ccc(OCCCN4CCCC4)cc32)CC1,0.4912,SPIN1_120,564
NCc1cc(OCCCN2CCCC2=O)cc(N2CCNCC2)c1,0.4237,SPIN1_298,405
CN1CCc2ccc(OCCCN)cc2-c2nc(CN3CCC(N4CCOCC4)C3)sc2C1,0.4661,SPIN1_564,188
O=C(c1ccc(CN2N=C(N3CC[C@H](O)C3)Nc3cccc(Cl)c32)cc1)N1CCNCC1,0.4526,SPIN1_762,19
CCCCCCCNCC,0.0717,SPIN1_391,333
NCCOc1ccc(COc2ccc3c(c2)Nc2cc(Cl)ccc2S3)cc1,0.3268,SPIN1_529,215
Oc1cc2nc(N3CCNCC3)cnc2cc1OC1CCCCC1,0.3294,SPIN1_303,402
Clc1nc(N2CCNCC2)c2ncsc2n1,0.326,SPIN1_0,660
NCc1cc(Cl)c(OCc2cc(CN)on2)c(OCCCN2CCCC2)c1,0.4568,SPIN1_714,62
COc1cc2c(cc1OC)C2N1CCNCC1,0.4234,SPIN1_361,356
COc1ccc(C=CC(=O)C(=N)NCCCc2ccccc2)cc1,0.2504,SPIN1_488,252
NCCCC(N)CNCC1CN=C(c2nc3cc(OC4CCNCC4)ccc3[nH]2)C=N1,0.3556,SPIN1_12,649
CNCCc1cnc2n1Cc1cc(O)ccc1-2,0.3902,SPIN1_371,348
N=c1[nH]n(CCN)c2cc(OCC3CC3)cc(CN3CCCC3)c12,0.4496,SPIN1_77,597
COc1ccccc1Cn1nc(C(=O)NCCCN2CCOCC2)c2ccccc21,0.4168,SPIN1_200,494
Cc1nc(N)cc(N2CCN(Cc3ccccc3)CC2)n1,0.2586,SPIN1_586,173
COC(=O)CN(c1nc2cc(CN3CCCC3)c(OC3CCNCC3)cc2s1)C1CCCNCC1,0.4723,SPIN1_721,55
CN1CCN(CCCNc2nc3cc(Cl)c(Cl)cc3[nH]2)CC1,0.2122,SPIN1_118,566
NCC1CCN(CCCNC2Cc3ccccc3C2)CC1,0.2245,SPIN1_776,7
Oc1ccc(CN2CCN(CCCCc3ccccc3)CC2)cc1,0.2968,SPIN1_160,530
NCCN1CCN(Cc2nc3ccccc3[nH]2)CC1,0.1707,SPIN1_37,630
COc1cc(C)cc2c1C1(CCN(C)CC1)C(=N)NC2,0.4947,SPIN1_295,408
O=C1CCCN1C1CCN(c2ccc(OCC3CCN(c4cccc(CN5CCNC5)n4)C3)cc2OC2CC2)CC1,0.4739,SPIN1_466,272
CN1CCC(COc2cccc3c2CN(C)CC2(CCN(C(=O)c4ccc(OCCCN5CCCC5)cc4)C2)C3)CC1,0.4769,SPIN1_655,111
CN1CCC2(CC1)CCN(CCCCCCN)Cc1cc(N(C)C)ccc12,0.3739,SPIN1_688,84
CN(C)CCCCCCCOc1ccc(CN)cc1C(=O)O,0.4484,SPIN1_779,4
CCCCC(NC(=O)C(C)CC(=O)NC(=O)NC(CCCCCCCCN)C(=O)N1C[C@H](O)[C@H](O)CC1C(=O)O)C(=O)NCCC(=O)OC(C)(C)C,0.3474,SPIN1_42,626
COc1ccc(COc2ccc(N3CC4(CCN(C)C4)C3=O)cc2)c(F)c1OC(C(=O)O)C(C)(C)C,0.4819,SPIN1_267,434
NCc1ccc(NC(=O)c2cccc(O)c2)cc1,0.2644,SPIN1_178,513
Clc1ccc2ccc(COc3cc(Cl)c(OCCN4CCCC4)c(Cl)c3)nc2c1,0.3224,SPIN1_195,498
