SMILES,Tanimoto
COc1ccc([C@H](Oc2ccc(Nc3ncnc4sccc34)cc2)C2CCN(CC(F)(F)F)CC2)cc1,0.4925
CCOC(=O)/C=C/c1ccc(N2CC(C)(C)c3[nH]c4ccccc4c3C2(C)C)cc1,0.6341
Oc1ccc2cc(C(c3ccccc3)c3ccc(C(F)(F)F)cc3)ccc2c1,0.3616
CS(=O)(=O)c1ccc(N2c3ccc(OCC(=O)NC[C@H](O)CO)cc3CCC2c2ccc(Cl)cc2)cc1,0.7940
CC(C)(C)c1ccc(C(=O)OCc2ccc(O)cc2)cc1,0.5550
N#Cc1c(-c2ccc(O)cc2)n(CCN2CCOCC2)c2cc(O)ccc2sc2ccccc12,0.6113
O=C(C1CCC1)n1c(-c2ccc(/C=C/c3ccccc3)cc2)cc2ccccc21,0.6392
O=C(O)Cc1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.6425
COc1cc2ccc(-c3ccc(O)cc3Cl)nc2cc1C#N,0.6483
NCCOc1ccc(-c2nc3cc(O)ccc3o2)cc1,0.8108
Cc1noc(-c2ccc(O)cc2Cl)c1-c1ccc(O)cc1,0.4519
CCCN1c2ccccc2S[C@H](c2sccc2Cl)[C@H]1c1ccc(C(=O)N2CCNCC2)cc1,0.6575
CNc1nc(Cl)c(Cl)c(-c2ccc(O)cc2)n1,0.3620
NCCOc1ccc(C2N=C3CCCCC3C2c2ccc(O)cc2)cc1,0.4420
O=C1Oc2c(O)cc(O)cc2-c2cccc3ccc(-c4cccc(O)c4)c(c23)O1,0.4361
FCCN1CCN(c2ccc(OCC3CCCc4ccc(-c5cc(CN6CCCCC6)cs5)cc43)cc2)C1,0.5322
CCc1ccccc1-c1ccc(OCn2c(CN3CCCCC3)c(C)c3ccccc32)cc1,0.6107
O=C(c1sccc1C1CC(=O)N2c3cc(O)ccc3CCC[C@H]2Oc2cc(O)ccc21)N1CCOCC1,0.7136
Nc1nc(NCCN2CCOCC2)nc(-c2ccc(O)cc2)n1,0.3472
Cc1sc(C(=O)c2cccc(O)c2)c2oc3c(O)cccc3c12,0.5360
C=C(c1ccc(O)c(Cl)c1)c1c(C(=O)C(C)N2CCC[C@H]2CCO)sc2ccc(O)cc12,0.5958
O=C(Nc1sc2sccc2c1-c1cc[nH]n1)C1CCCCN1CCOc1ccc(OCCN2CCCCC2)cc1,0.5976
C[C@H](c1ccccc1)N(C[C@H](O)CO)S(=O)(=O)c1ccc(OCCN2CCCC2)cc1,0.5662
CN1CCN(c2ccc(C(c3ccccc3)(c3ccc(O)cc3)c3ccsc3)cc2)CC1,0.4180
CCCC(CC(F)(F)F)=C(c1ccc(/C=C/C(=O)O)cc1)C(c1ccccc1)c1cnc(NC)s1,0.5025
Oc1ccc(/C(=C\C2CC2)c2ccc(Oc3c[nH]nc3-c3ccccc3)cc2)cc1,0.4783
Cc1nc(-c2ccc(O)c(F)c2)c(-c2ccccc2)s1,0.4087
Oc1ccc(-c2nn(-c3ccc(O)c(F)c3)c3ccccc23)cc1,0.8474
CC(=C(c1ccc(N[C@H]2CCN(CCCF)C2)cc1Cl)C(C)(C)C)c1ccc(OC(F)F)cc1,0.5484
Oc1ccc([C@H]2CC[C@H](c3nc4ccccc4[nH]3)N2C(Cc2ccccc2)c2ccccc2)cc1,0.4650
Cc1sc2ccccc2c1-c1ccc(C2=C3c4ccc(O)cc4CCC3C=C2c2ccc(OCCN3CCC(CCF)C3)cc2)cc1,0.6275
COc1ccc(CCC2=C(c3ccc(C(=O)N4CCN(C)CC4)cc3)C3CCCCC23)cc1,0.4944
COc1ccc2c([C@@H]3c4ccc(O)cc4CC[C@@H](C)N3C)noc2c1,0.5948
O=c1cc(Cl)c2ccccc2n1-c1ccc(O)cc1,0.5495
Oc1ccc(Oc2ccc(-c3cccs3)cc2)cc1,0.4672
CN(C)CCNC(c1ccc(O)cc1)c1ccc(O)c(Br)c1,0.3630
Oc1ccc(-c2ccc(-c3ccc(O)cc3)s2)cc1,0.6196
c1ccccc1,0.0870
