SMILES,Tanimoto
CCCc1csc2c1C(=Nc1ccc(-c3c[nH]c(=O)[nH]c3=O)cc1Cl)NCCC2,0.5218
Cc1ccc(Nc2nc(=O)c3[nH]cnc3[nH]2)c(C)c1,0.3280
COc1ccc(CNc2ccc(NS(=O)(=O)c3ccc(C)s3)cc2)cc1,0.3028
O=C(NCCN1CCOCC1)c1cc(Nc2cccc(C(F)(F)F)c2)ccc1O,0.3912
O=C(Nc1ccc(Cl)cc1)c1ccccc1-c1nc2ccsc2[nH]1,0.4301
CC(C=CC(=O)O)C(=O)N(CC(=O)O)C1CCCCC1,0.2140
COc1ccc(O)c(-c2c[nH]cn2)c1,0.2384
COc1cc(Cl)c(-c2[nH]c(C)nc2-c2c[nH]c3ccccc23)cc1OC,0.4824
O=C(c1ccc(F)cc1)N1CCN(CCc2cccc3c2OCO3)CC1,0.3634
CN(C)C(=O)c1ccc2[nH]c(-c3ccc(CN4CCC5(CC4)CN(CC(F)(F)F)C5)cc3)nc2c1,0.3905
c1ccc(CC2CCN(Cc3ccccc3-c3ccccc3)C2)cc1,0.2708
O=c1ccc(-c2ccc(O)c(O)c2)c[nH]1,0.1965
c1ccc(NC(c2ccccc2)c2ccccc2)cc1,0.1946
O=C(O)c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,0.3208
O=C(CCNC(=O)c1ccc(-c2ccccc2)cc1)Nc1ccc(-c2nn[nH]n2)cc1,0.3605
Cc1ccc(-c2ccc(NC(=O)CN(C)C)cc2)cc1,0.2421
COC(=O)CCOCc1ncsc1N1CCC(NCc2ccccc2)CCC12CC2,0.3934
O=c1c2ccccc2[nH]n1Cc1c[nH]nn1,0.3078
O=C(O)CCc1ccc(CNCC2(N3CCC3)CCC2)cc1,0.4549
COc1ccc(Cc2c[nH]c3nc(NCCCC(O)=NO)cnc23)cc1,0.3805
O=C(O)c1c[nH]c(NCc2ccc(Nc3ccc(Cl)cc3Cl)cc2)n1,0.3415
COc1ccc2[nH]c(-c3ccccc3)nc2c1OC,0.3248
FC(F)(F)c1cccc(-c2c[nH]c(-c3ccc(-c4nn[nH]n4)cc3)n2)c1,0.3126
CCC(C)Nc1ccnc2sc(C(=O)NCc3ccc(C)[nH]c3=O)c(O)c12,0.5324
Nc1ccccc1S(=O)(=O)N1CCc2ccccc2C1,0.3566
CN1CCC(C(=O)NCCC2(N3CCOCC3)CCCC2)CC1,0.2542
Cc1noc(C)c1CN1CCC2(C1)CN(Cc1ccc(-c3ccccc3)cc1)C2,0.3286
CN1CCN(CCC2(CNc3ccccc3)CCC2)CC1,0.2043
Cc1ccc2c(c1)ncc(=O)n2Cc1ccc(-c2nn[nH]n2)cc1,0.3788
CC1CCCN1C(=O)c1cccc(Cl)c1Nc1noc(-c2ccccc2)n1,0.4603
O=C(N1CCN(c2ccc(-c3nn[nH]n3)cc2)CC1)C1(Nc2ccc(C(F)(F)F)cc2)CCCC1,0.3835
COc1cc2c(cc1-c1n[nH]c(=O)o1)NC21COC1,0.4695
O=C(NCc1ccccc1Cl)Nc1cccc(-c2ccccc2)c1,0.2567
O=C(O)Cc1cccc(NCc2ccc(-c3ccccc3)cc2)c1,0.2406
COc1ccccc1NC(=O)C=Cc1nc[nH]c1C,0.2472
COc1ccc(-c2cc(CN3CCN(C(C)=O)CC3)ccc2O)cc1OC,0.3716
COc1ccc(NS(=O)(=O)c2cccc(OC)c2OCCNc2nc3cc(-c4ccco4)sc3c(=O)[nH]2)cc1,0.5907
CC(C)(C)Oc1c(C#N)cc(Cl)cc1-n1cnc2cc(-c3nn[nH]n3)ccc2c1=O,0.5360
COc1ccc(CNc2ccccc2OCc2ccccc2NC(C)=O)cc1,0.2805
CC1(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)CCCC1C(=O)NCc1ccc(Cl)cc1Cl,0.4192
c1ccc(Cc2ccc3[nH]c(-c4ccccc4)nc3c2)cc1,0.2540
Cc1nc2ccccc2nc1N1CCCC1,0.3860
CCN(C)Cc1cc(-c2cn[nH]c2)c2nc[nH]c2n1,0.3689
O=C(NCC1CCCN1c1ccc(N2CCOCC2)cc1)C1CCc2ccccc21,0.3866
COc1cccc(C2(O)CCN(Cc3cnc4cc(-c5ccc(C(F)(F)F)cc5C)ccn34)CC2)c1,0.4727
Cc1nonc1-c1cccc(CNc2ccc([N+](=O)[O-])cc2)c1,0.3292
Cc1cc(-c2ccc(C=CC(=O)O)cc2)c(-c2ccccc2C)[nH]1,0.3514
Cc1ccccc1Nc1n[nH]c(=O)c2ccccc12,0.2976
O=C(O)c1ccc(N2CCC(NCc3ccccc3)(c3ccc(-c4nn[nH]n4)cc3)CC2)cc1,0.4087
Cc1cccc(-c2c[nH]c(NCCCNC(N)=Nc3cccc([N+](=O)[O-])c3)n2)c1,0.3323
COc1ccc(Cl)cc1CN(CC(=O)N1CCCC1)C(CN(C)C)c1ccccc1,0.3480
COc1cc(-c2c[nH]c3ccccc23)ccc1[N+](=O)[O-],0.3298
O=C(O)c1ccc(Nc2ccccc2)cc1,0.2821
O=C1CCCN1Cc1ccc2c(c1)CCN(C(=O)CCc1ccccc1)C2,0.3523
c1cc2[nH]c(-c3ccc(CNCCCN4CCOCC4)cc3)nc2s1,0.3641
C[C@@H]1CCCN1C(=O)c1nc2ccc(-c3ccccc3)cc2[nH]c1=O,0.5864
N#Cc1c[nH]c(-c2cccc3nc[nH]c23)n1,0.2935
Cc1cc(C)c(Nc2[nH]c(-c3ccco3)c(Cl)c2CN(C)C)c(C)c1,0.4738
Cc1cccc(C(F)(F)F)c1N1CC12CCN(C(=O)CCc1cccc(C(=O)O)c1)C2,0.4439
c1ccc2[nH]c(CNCCCN3CCOCC3)nc2c1,0.3389
CC1=NC(c2ccc3nc(Cl)cc(N(C(=O)C4CCOCC4)c4ccccc4)c3c2)=N1,0.4620
COc1cc(NN2CCCC2)ccc1C(=O)N1CCCCC1N(C)C,0.3804
O=S(=O)(O)C=Cc1ccc(-c2nn[nH]n2)cc1,0.3161
CC1CCN(CCc2ccc(Nc3cc(-c4nn[nH]n4)ccc3O)c(Cl)c2)C1,0.4300
COc1cccc(NS(=O)(=O)c2c(O)cccc2Nc2cc(C)c3c(c2)NCC3(C)C)c1,0.4759
COc1ccc(-c2nn[nH]n2)cc1Nc1ccc(C2COC2)c(CN(C)C)c1,0.4625
Cc1nc(-c2ccc(CN3CCN(c4ccnc5ccccc45)CC3)cc2)no1,0.3618
