SMILES,Tanimoto
O=C(O)CCC(NC(=O)c1ccccc1)C(=O)O,0.3998
NC(CCCC(Cc1ccccc1)C(=O)O)C(=O)O,0.5736
NC(C(=O)O)C1CCCCCCC1C(=O)O,0.7636
NC(=O)C(CCCc1cc(Cl)cc(Cl)c1)C(=O)O,0.4264
C=C(C(=O)O)C(=O)C(C)N,0.5021
NC(C[C@@H]1CC[C@]23[CH]C[C@H]2[C@@H]13)C(=O)O,0.4574
CC(CC(C#N)CC(=O)O)C(=O)O,0.3346
CC(C)=C(CC(=O)O)CC(N)C(=O)O,0.5653
C=CC(C=CCCNC(=O)CCCN)C(=O)O,0.2756
CC(C)C(=O)C(N)CC(=O)O,0.3262
NC(=O)CNCC(CC(N)=O)C(=O)O,0.2660
NCCCCC(C(=O)O)C(CC(N)=O)CC(=O)O,0.5180
CNC(/C=C/C(C)C)(C(=O)O)C(=O)O,0.2286
NC(CCC(=O)O)CCC(=O)Nc1ccc(Cl)c(Cl)c1,0.3220
CC1(C)C[C@H](CC(=O)O)[C@@H]2CCNC(C(=O)O)C[C@H]2C1,0.6178
Cn1c2[nH]c(=O)cc(CC(=O)O)c2c2cc(-c3ccccc3)c(-c3cc4c(s3)C(=O)NC4=O)c(O)c21,0.5830
COC(=O)c1cccc(NC(=O)C(C(=O)O)C(C)C)c1,0.3598
NC(=O)C(Cc1ccc(-c2ccccc2)cc1)N[C@H]1[C@@H](CCC(=O)O)C[C@H]2C[C@H]21,0.3861
O=C(O)C[C@H]1C[C@@H]2C(C(=O)O)[C@H]1CN2Cc1ccc(-n2cccc2)cc1,0.3757
NCC(C(=O)O)C(=O)O,0.2000
C=Cc1ccccc1CC[C@@H]1C[C@H](CCC(=O)O)C1C(N)=O,0.4303
NC(=O)CC(C[C@@H]1CNC1C(=O)O)C(=O)O,0.4564
NC(C(=O)O)C(CC1CCCC1)C(=O)O,0.5186
NC1(C(CC(=O)O)C(=O)O)CC1,0.3667
NC(CCCC(O)=NO)C(=O)O,0.4254
NC(=O)C(CCCCC(=O)O)CCC(N)C(=O)O,0.5249
CC(C)CC(NCC(=O)O)C(=O)O,0.4252
C=C(OCC(N)C(=O)O)C(=C)C(=O)O,0.1788
NC(C[C@@H]1CNC(=O)C(C(=O)O)C1)C(=O)O,0.4064
NC(CCCCCCC(=O)O)C(=O)O,0.5802
O=C(O)Cc1cscc1C(=O)NCC(=O)Nc1cccc(C(=O)O)c1,0.3281
NC(CCCC(=O)O)C(=O)O,0.5878
N#CC(CC(N)C(=O)O)C(=O)O,0.7260
