SMILES,Tanimoto
Cc1nc(N[C@H]2CCN(c3nc4ccc(F)cc4n3C)[C@H](C)C2)ncc1Br,0.4776
CCN(Cc1ccccc1)C(=O)c1c(NC(=O)NCCc2cccc(Cl)c2)ccc(F)c1C,0.4647
O=C(N[C@H]1CCC[C@H]1Nc1cnc2ccccc2n1)c1ccccc1-n1nccn1,0.9561
O=C(c1ccccc1Br)N1CC2CN(c3nccc(-c4ccccc4)n3)CC2C1,1.0000
COC(=O)c1ccccc1C(=O)N1C2CCCC1C2c1nc(C(F)(F)F)c(C)s1,0.6825
C[C@@H]1CCC[C@@H](c2ccc3cc(Cl)ccc3n2)N1C(=O)c1ccccc1-n1nccn1,0.7214
COc1ccccc1C1CCCN1C(=O)c1cc(C)ccc1-n1nccn1,0.6682
COc1ccc(OC)c(NC(=O)c2ccccc2C(=O)N2CCC[C@@H](C)[C@H]2Nc2nccc(OC)n2)c1,0.5457
C[C@@H]1CC[C@@H](OCc2ccc(F)cc2F)CN1C(=O)c1cc(F)ccc1-c1ncccn1,0.7327
Cn1ncc2sc(N3CCC(CCc4cc(F)ccc4-c4ccccc4)C3=O)nc21,0.5422
O=C(c1ccccc1-n1nccn1)N1CC2CCC(C2)C1Nc1ncc(C(F)(F)F)cn1,0.7200
CCc1nc2cc(C)c(C)nn2c1-c1cc(C)cc(CN(C)C(=O)Cc2nc3ccccc3[nH]2)c1,0.6028
Cc1nc(C(=O)NCCN2C[C@@H]3CCN(Cc4ccccc4)[C@H]3C2)cc(-c2cccc(F)c2)c1Cl,0.5510
Cc1sc(-c2ccccc2Cl)nc1C[C@H]1CCCCN1C(=O)c1ccccc1-c1nc2ccccc2[nH]1,0.6301
COc1cccnc1N1CC2CC(Nc3ncc(Br)cn3)CC2C1,0.4521
CC1=CN2C(C)=NC3C(=C(c4ccccc4)C=C1)N3CCc1cccc3nc4n(c13)CCC[C@H]42,0.7308
Cc1ccc(-c2ncccn2)c(C(=O)N2CCC[C@@H](Nc3ncc(C(F)(F)F)cn3)[C@H]2C)c1,0.9129
Cc1ccc(-n2nccn2)c(NC2CCCC2CNc2ccc(C(F)(F)F)cn2)n1,0.5452
COc1nc(N[C@H]2CCCN2C(=O)c2cccc(F)c2)nc2ccccc12,0.5592
C[C@@H]1C[C@H](c2nc3cc(Cl)ccc3o2)CCN1C(=O)c1cc(F)ccc1-c1ncccn1,0.6857
CCn1cc(C)c2nc(OC[C@@H]3CCCN3C(=O)c3ccc(C)cc3-c3ncccn3)ccc2c1=O,0.6879
COc1ccc(-c2ncccn2)c(C(=O)N2CC[C@H]3C[C@@H](COc4cc(C#N)ccn4)[C@@H]32)c1,0.7913
O=C(c1csc(-c2ccc(F)cc2)n1)N1CCCC(Nc2nc3ccccn3n2)C1=O,0.6080
COc1ccc(F)c(C(=O)N2CC3CCC(C2)C3CNc2ncc(C(F)(F)F)cn2)c1F,0.6541
Cc1cccc(-c2cccc3c2C(NCc2nccn2C)CCN3C(=O)c2cccc3ccccc23)c1,0.5915
Cc1ccc(N2CC3CN(Cc4nc5ccccc5o4)CC3C2=O)c(-n2nccn2)c1,0.5536
Cc1ccnc(OCCc2cccc3c2CCCC3NC(=O)Cn2cc(-c3ccccc3-c3ccccc3)cn2)c1,0.5526
Cc1cn(C)c2nc(OCCN(C)C(=O)c3ccc(-c4ccccc4)cc3)nc(C)c12,0.5169
O=C(c1cc(F)ccc1-n1nccn1)N1C2CCC1C(Nc1ncc(C(F)(F)F)cn1)C2,0.9538
Cc1cc(C(F)(F)F)nc(C2CC3CN(C(=O)c4cccc5ccccc45)CC32)n1,0.5022
CCc1sc(C)nc1C(=O)N[C@H]1CCC[C@@H]1NC(=O)c1cc(C)ccc1-n1nccn1,0.6401
Cc1ccccc1NC(=O)c1cccc(NC2CCC3CCC2N3C(=O)c2ccccc2)n1,0.6546
O=C(N[C@H]1CCC[C@H]1Cc1ncc2ccccc2c1-c1cccc(Cl)c1)c1ccccc1-c1ncccn1,0.5751
O=C(c1cc(F)cc(-n2nccn2)c1)N1C[C@H](COc2ccc(F)cc2)[C@@H](NCCc2ccccc2)C1,0.6029
O=C(c1cc(F)ccc1-n1nccn1)N1C2CCC1CC(Nc1ncc(C(F)(F)F)cn1)C2,0.8210
N#Cc1ccnc(OCC2CC3CN(c4ccc5ccccc5n4)C(=O)C3C2)c1,0.5648
C[C@H]1[C@@H]2CN(c3nccc(C(F)(F)F)n3)C[C@H]2CN1C(=O)c1ccccc1-c1ccccc1,0.8128
Cc1cc(C)nc(N2CCC3(CCN(C(=O)c4cccc(F)c4F)C3)C2)n1,0.7342
CC1CC(c2ccc3ccc(-c4ccc(C(F)(F)F)cc4)nc3c2)N1C(=O)c1cccc(F)c1-c1ccc(F)cc1,0.6415
COc1cccc(C2CCCN2C(=O)c2cccc(-n3nccn3)c2)c1OC1CC1,0.7122
C[C@@H]1C[C@@H](n2cnc3ccccc32)CCN1C(=O)c1ccccc1-n1nccn1,0.6496
Cc1cc(C)c(F)c(-n2ncc(C)c(OCC34CCC(C3)C4OCc3ccco3)c2=O)c1,0.5702
CC(=O)N(c1nc2ccccc2s1)[C@@H]1CCCN(C(=O)c2ccccc2-c2ccc(C)cc2)C1,0.7386
O=C1CC2(CCC(OCc3ncccc3C(F)(F)F)C2)CCN1C(=O)c1ccc(F)cc1,0.4838
O=C(c1ccccc1-n1nccn1)N1CC2CC(COc3cc(C(F)(F)F)ccn3)CC2C1,0.7551
Cc1csc(-c2cccc(C(=O)N3CC4CC3N4c3nccc4ccccc34)c2)n1,0.6179
O=C(c1ccccc1-n1nccn1)N1CC2CC(NCCOc3cccc(Cl)c3)C2C1,0.7028
O=C(c1cc(F)ccc1-n1nccn1)N1CC2CCC(CC2)C1c1nccc(C(F)(F)F)n1,0.7559
Cc1csc(C(=O)N2CCC[C@@H](C)[C@H]2c2cccc(C(=O)NC3CC3)c2)n1,0.5565
Cc1ccc(-c2cccc3[nH]ccc23)c(C(=O)N2CCCC2Cc2ccc(C(F)(F)F)cc2)c1,0.6090
CC1CCN(c2ncc(C(F)(F)F)cn2)C(=O)N1CCc1ccccc1-c1ccc(F)cc1,0.4914
COc1ccc(C)cc1C(=O)N1[C@@H](C)C[C@H]1c1ncccc1-c1ccc(F)c(F)c1,0.6062
Cc1cc(C)c2c(c1)C(c1ccccc1)C(C1CCCCN1C(=O)c1cnn(C)c1C)CC2,0.5482
Cc1ccc(S(=O)(=O)N2CCCN(C(=O)CSc3nc4cc(Cl)ccc4o3)CC2)c(C)c1,0.5305
COc1ccccc1NC(=O)N1C[C@H](Nc2ncc(C(F)(F)F)cn2)C[C@H]1c1ccc(F)cc1,0.5151
O=C(c1cc(F)ccc1-n1nccn1)N1CCC[C@H]1c1ccc(Cl)cc1,0.6548
COc1nc(NCC2CC3CCCC2N3C(=O)c2ccccc2-c2ccccc2OC)c2ccccc2n1,0.6384
O=C(c1nc(-c2ccccc2)cs1)N1C2CCC1C2Nc1cc2c(cn1)OCCO2,0.6101
Fc1ccc2c(CN3CC[C@H](Nc4nc(-c5ccccc5)cs4)C3)ccnc2c1,0.5078
O=C(c1cscc1-c1ccc(F)cc1)N1CC2CCCC1CC(Nc1ncc(C(F)(F)F)cn1)C2,0.6038
Cc1cc(C)nc(C(=O)N2CC3CCC2N3c2ncc(C#N)cn2)c1,0.6030
COc1cc(OC)c(OC)cc1NC(=O)C1CCCCN1C(=O)c1cccc(-c2nc(C)co2)c1,0.6058
Cc1ccc(C(=O)c2nc(NCCc3cccc(C(F)(F)F)c3)c(-n3nccn3)cc2C)cc1C,0.5465
COc1ccc(C)c(CN2C[C@@H](C)CN(C(=O)c3ccc(F)cc3C)CC2=O)c1,0.5277
COc1cccc2ccc(OCC3[C@@H](C)CC(=O)N3CCNC(=O)c3ccccc3)nc12,0.5660
COc1cccc(C(=O)N2CC(C)C3CCC2N3C(=O)c2csc(-c3ccc(F)cc3)n2)c1F,0.6289
COc1nc(C2CC3CCC2N3C(=O)c2cc(F)ccc2-n2nccn2)ncc1Cl,0.6510
COc1ccccc1C(=O)N[C@H]1CCC[C@@H]1COc1cc(C)ccc1-c1ccc(F)cc1,0.5943
Cc1cc(C(=O)N2CCC3CN(c4ncc(C)c(C)n4)CC3C2)cc(-c2ccccc2)c1,0.7295
C[C@@H]1C[C@@H](N(C)c2ccc(-c3ccccc3)c(F)n2)N(C(=O)c2ccc3ccccc3c2)C1,0.5446
CCC(c1ccc(-c2ncccn2)cc1)N1CC2CN(C(=O)c3ccsc3C3CC3)C1CC2=O,0.5499
Cc1cc(C)nc(NC2CC3CN(C(=O)c4c(F)cccc4-n4nccn4)C3C2)n1,0.8213
O=C1CC[C@@H](c2noc(-c3ccccc3)n2)N1Cc1nc(-c2ccccc2)co1,0.6193
C[C@@H]1CCC[C@H](NC(=O)c2ccccc2)[C@@H]1c1csc(-c2ccccc2)n1,0.4949
O=C(c1ccc(-c2ccccc2)cc1)N1CCCC[C@@H]1Cc1cccc(-c2ccccc2)c1,0.5882
COc1cc(C)nc(NC[C@@H]2CCCN(C(=O)c3ccc(F)cc3-c3ncccn3)C2)n1,0.8155
Cc1ccc(-n2nccn2)c(C(=O)N2C3=NC(=O)CCCC3C2COc2cc(C(F)(F)F)ccn2)c1,0.6925
C[C@H]1C[C@@H](n2nc(C3CC3)nc2-c2ccccc2)CN1C(=O)c1cccc(C(F)(F)F)c1,0.6025
O=C(c1sccc1-c1cccc(OC(F)(F)F)c1)N1CCc2c(cnn2-c2ccc(F)cc2)C1,0.6000
Cc1cc(-c2ccccc2)nc(N2CCC3(CC2)C(COc2ccc(C(F)(F)F)cc2)C(=O)N3C)n1,0.5475
Cc1ccc(-c2ccccc2)cc1N1CC2CN(c3nc(-c4ccccc4)cs3)CC2CC1=O,0.5184
O=C(NC1CCCCC1COc1ccc(C(F)(F)F)cn1)c1cccn2ccnc12,0.5699
C[C@@H]1CCO[C@@H](CN2N=C2c2ccc(F)cc2)N1C(=O)c1cscc1-n1nccn1,0.6008
Cc1nn2ccc(-c3ccc(OCC(=O)N(C)C(=O)c4ccccc4-n4nccn4)cc3)c2s1,0.5796
COc1ccc(OC)c(NC(=O)N2CCCC[C@H]2c2nc(-c3cccc(C(F)(F)F)c3)no2)c1,0.6397
Cc1cc(C)nc(N2CC3CN(C2)C(=O)CCCc2nc(-c4ccc(F)cc4)cn2C3)n1,0.5415
O=C(c1cc(F)ccc1-c1ncccn1)N1CCC2CCC1C(Nc1ncc(C(F)(F)F)cn1)C2,0.9192
COc1c(F)cc(C(F)(F)F)cc1CN1CCC2CN(C(=O)c3ccc4cc(C#N)ccc4n3)CCC2C1,0.5463
COc1ccc(OC(F)(F)F)cc1C1CC2CCC1N2C(=O)c1ccccc1-n1nccn1,0.6607
Cc1cc(NC(=O)N2CCC3C(C2)CN(C(=O)c2cccc4ccccc24)C3C)ccc1F,0.5426
COc1cccc(-c2nc(C)no2)c1C[C@@H]1CCCCN1C(=O)c1cccc2ccccc12,0.6248
COc1cc(C)cc(-n2nccn2)c1CCC(=O)N1CCC[C@@H](Nc2ncc(F)cn2)C1,0.5777
COc1ccc(-c2cc(CN3CCc4c(-c5ccccc5)cc(C)nc4C3)nc(C(C)(C)O)n2)cc1OC,0.5689
Cc1cc(C)c(COc2ccccc2C)c(NC2CCCN(C)C2=O)n1,0.5484
CC1CC2c3cc(C(F)(F)F)cnc3CC2N1Cc1cc(-c2ccccc2)ccc1F,0.5770
OC1CN(Cc2ccc(F)cc2-c2ccccc2)C2CC1N(c1ncc(C(F)(F)F)cn1)C2,0.6085
CC(C)=Cc1ccc(OCCC2[C@H](C)CCCN2C(=O)c2ccccc2-n2nccn2)nc1,0.8390
CCOc1ccc(C)nc1-c1noc([C@@H]2CCC[C@@H]2NC(=O)c2ccc(C)c(OC)c2)n1,0.6157
COc1ccc([C@@H]2CCCN2C(=O)c2nc(C)sc2-c2ccc(F)cc2)cc1OC,0.7406
O=C(c1cc(F)ccc1-n1nccn1)N1CCC2CC(Nc3ncc(C(F)(F)F)cn3)C1C2,0.9389
Cc1ccc(C(=O)N2CC[C@@H](F)C2)c(-c2cc(-c3nc4ccc(C)cn4n3)ccc2F)c1,0.5975
C[C@@H]1[C@H](CNc2ccc(OC(F)(F)F)cn2)CCCN1C(=O)c1ccccc1-c1ncc(F)cn1,0.7284
Cc1nc(C(=O)N2C3CCC2c2cc(OCCF)ccc2C3)c(-c2ccc(F)cc2)s1,0.7210
