SMILES,Tanimoto
CCOC(C)(C)C(=O)N1C(=O)N(c2ccc(C(=O)OC)cc2)Cc2c(Cl)cccc21,0.5835
OCCOCCCNc1nc(NCc2ccccc2Cl)nc(-n2ccc(C(F)(F)F)n2)n1,0.7368
COC(C)(C)c1ccnc(N[C@@H](C)c2ccc(-c3ccccc3)cn2)n1,0.4757
N#CC1(c2cc(Nc3nc(NC4(O)CC(F)(F)C4)nc(-c4ccc(C(F)F)cc4)n3)ccn2)CC1,0.7530
CC1=CCC(Nc2nc(-c3ccc(C(F)(F)F)cn3)nc(N3CCC(F)(F)C3)n2)CC1(F)F,0.6123
Cc1ccc2c(O)cc(=O)[nH]c2c1,0.4305
COC(=O)N1CCC(C#N)C(Nc2ncc(-c3ccccc3)nc2/C=C(/C2CC2)C(F)(F)F)C1,0.5208
N#CC1(c2cc(Nc3nc(-c4cccc(Cl)n4)nc(N4CCC(F)(F)C4)n3)ccn2)CC1,0.8910
C[C@H](Nc1nccc(C(F)(F)F)n1)c1cc(F)cc(OCC2CCOCC2)c1,0.4592
COc1ccccc1CNc1ncc(F)c(N2CCC(CC(F)(F)F)CC2)n1,0.5135
C=Cc1conc1C(c1ccccc1Cl)N1Cc2cc(F)cc(F)c2CCN(CCOC2CCOCC2)C1=O,0.6017
FC1CCC(Nc2nc(Nc3ccc(C4CC4)cc3)nc(-c3cccc(Cl)n3)n2)CC1,0.7262
COCCC(=O)n1c(C)c(C(C)C(=O)N2CCc3ccccc3C2)c2ccccc21,0.5902
Cc1cc(N2CC(=O)N(C)[C@@H]2C)nc(Nc2cccc(-c3ccccc3)c2)n1,0.4835
C[C@H]1CC[C@@](C)(Cc2noc(=O)n2C)N(c2nc(NC3CCOCC3)nc3ccccc23)C1,0.5632
Cn1nc(Nc2nc(NCC(F)(F)F)nc(-c3cnc(C(F)(F)F)nc3)n2)cc1N1CCC(O)C1,0.4755
FC1(F)CN(c2nc(NCC3CC3)nc(-c3ccc(C(F)(F)F)nc3)n2)C1,0.6174
CC(C)OC(=O)c1ccc2c(c1)CC[C@@H]1Cc3ccccc3[C@H]1N2C1CC=C(C(=O)O)CC1,0.6052
CC(=O)N1N(c2ccc(Nc3nccc(-c4ccccc4)n3)c(F)c2)C(=O)C1(C)C,0.5264
COC(=O)N1CCN(c2nccc(N(c3ccccc3)[C@@H]3COC(C)(C)[C@@H]3C3CC3)n2)CC1,0.5391
C[C@@H](Nc1nc(-c2nc(C3(C#N)CC3)cs2)nc2ccc(F)cc12)c1cn(C)cn1,0.5507
CCn1c(=O)[nH]c2c(C(=O)O)nc(Nc3ccc(C(C)(C)C)cc3)nc21,0.5508
CC1(Nc2nc(NC3CC(F)(F)C3)nc(-c3ccc(Cl)nc3Cl)n2)CCC(C#N)C1,0.5829
CC(C)c1ccc([C@@H]([C@H](C)Nc2ncccc2N2CCN(CC(C)(C)O)CC2)C(F)(F)F)cc1,0.4589
C[C@@H]1CC[C@@H](C)CC(n2c(Nc3nccc(-n4ccnc4)c3Cl)nc(-c3ccccc3)c2C(F)(F)F)C1,0.6199
CC(=O)NCc1cc[nH]c(=O)c1N1CCCc2ccc(-c3ccc(C(F)(F)F)cc3)cc21,0.5244
COc1cc2c(N(C)c3ccc(OC4CC4)c(F)c3)nccc2[nH]c1=O,0.4848
FC(F)C1(Nc2nc(NC3CCOCC3)nc(-c3cccc(C(F)(F)F)n3)n2)COC1,0.8337
O=C(Nc1ccc(Cl)cc1)N1CCc2ccccc2C1,0.3274
CC1(c2nc(NC3CCC(F)(F)C3)nn2-c2ncc(C(F)(F)F)cc2F)CC1,0.5597
N#CC1(Nc2nc(Nc3cccc(OC(F)(F)F)c3)nc(-n3ccc(C(F)(F)F)n3)n2)CCOCC1,0.7450
C[C@@H]1CN(c2nc(-c3nc(N4CC(F)(F)C4)cs3)nc(C3CC3(F)F)n2)CCC(C)(C)C1,0.4796
FC1(F)CCN(c2nc(NCC3CC3)nc(-c3cccc(OC(F)(F)F)n3)n2)C1,0.8111
CC(C)N1CCCC(Nc2nc(NC3CCOCC3)nc(-c3nc(C(F)(F)F)cs3)n2)CC1,0.7993
Cn1c(=O)[nH]c2cc(F)ccc2n(C2CCOCC2)c2cc(OC(F)(F)F)ccc2c1=O,0.5284
CN(CCCNc1nc(Cl)nc(-c2ccc(C(F)(F)F)nc2)n1)C(=O)OC(C)(C)C,0.5393
c1ccc(-c2ccc(C3CCc4c(ccnc4N4CCN(C5COC5)CC4)N3)cc2)cc1,0.5521
CC(=O)N1CCOc2ccc(Nc3nc(C)cc(-c4cccc(C(F)(F)F)n4)n3)cc21,0.5217
C[C@H]1CC(=O)OC[C@@H]1Nc1nc(Nc2ccc(OC(F)F)cc2)nc(-c2ccnc(OC(F)F)c2)n1,0.5079
O=C(Nc1ccccc1F)c1cc(NC2CCC(F)(F)CC2)nc(Cn2c(=O)oc3ccccc32)n1,0.5756
COC[C@H]1Cc2ccccc2CN1C(=O)C1CCc2nc(Nc3ccc4c(c3)N(C)CC4)sc2C1,0.6132
CC(C)[C@@H]1CN(c2ccc3c(c2)OCC(=O)Nc2cccc(-n4ccnc4)c2N3)CCO1,0.5753
