SMILES,Tanimoto
Cn1cnc(-c2cccc(Nc3nn(C4CCCCC4(F)F)c4cc[nH]c(=O)c34)c2)n1,0.7910
CNC(=O)c1c(-c2ccc(OC)cc2)cn2ccc(-c3ccc(O)cc3C(F)F)cc12,0.5386
CCn1cc(Nc2cc3c(=O)[nH]ccc3c(C(=CS(=O)(=O)N3[C@@H]4CCC[C@H]3CC4)C(F)(F)F)n2)cn1,0.5874
Cc1cnc(Nc2cc(C(F)(F)F)cc3c2CNC(=O)C3)nc1NC1CCN(Cc2ccccc2)CC1,0.5682
COc1ccc(Nc2n[nH]c(C)c2C2(N3CCCC(C(=O)NCc4ccccc4)C3)CC2)cc1,0.5329
CCN(c1ccnc(Nc2cnn(C)c2)n1)[C@@H]1CCCN(C#N)C1,0.7626
Cc1ccc(O)c(C)c1-c1cc2nc[nH]c2c(NC2CCNC2=O)n1,0.5933
COC[C@H](C)N(c1cc(F)cc(Nc2nccc(-c3cnn(C)c3)n2)c1)c1ccc(F)c(F)c1,0.6108
Cc1c(-c2ccc3ncccc3c2)c(-c2nc[nH]n2)nn1C1(C)CCS(=O)(=O)CC1,0.5907
COC(=O)N1CCN(c2ccc(Nc3ncc4c(=O)c(C)cn(C)c4n3)cc2)CC1,0.6985
O=C1Nc2c(nc3[nH]ccc3c2N2CCC(CO)CC2)C2(CCC2)N1,0.6239
Cc1ccc(=O)n2nc(Nc3cnn(C)c3)nc2c1C1CCN(C(=O)C(C)C)CC1,0.7202
COC(=O)N1CCC(Nc2ncnc3[nH]ccc23)CC1,0.7108
Cc1cc(N[C@@H](C)C2CC2)nc(N2CC3CCC2C(=O)NC3)n1,0.5160
COC(=O)N1CCC(c2cnc(Nc3ccc(CNS(C)(=O)=O)cc3)[nH]c2=O)CC1,0.4351
CC1(C)Nc2cnc3[nH]ccc3c2N1C1CCC(C(=O)NCC#N)CC1,0.6123
CCOC(=O)c1ccc(-c2cc(NC(=O)C3CC3)nc3[nH]ccc23)cc1,0.8616
O=C(O)c1ccc(CCCNC(=O)c2cncnc2NCC2CCCCC2)cc1,0.5418
N#CC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,1.0000
CCC1(c2cc(NC(=O)OC)cc(Nc3cc(C)[nH]n3)n2)CCC(CN2CCC(F)(F)C2)CC1,0.5159
N#C[C@@H]1[C@@H]2CC[C@@H]1[C@@H](Nc1ccnc(N3CCN(c4ccccn4)CC3)n1)C2,0.5196
CS(=O)(=O)Nc1cc(-c2ccc(O)cc2)cc2cnc(N)nc12,0.5633
O=C(N1CCCC1)N1CCN(c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)CC1,0.6052
