SMILES,Tanimoto
N#Cc1cc(F)c(-n2c(COC3C4CCC3CNC4)cnc2-c2ccc(CN3CCC(O)CC3)cc2)cc1F,0.6648
Cn1c(/C=C2\CCCC2NC2CCN(CCCC(=O)O)CC2)cc2ccccc21,0.4447
Cc1cc(C)c2c(c1)CCC(CNC1CC1c1ccccc1)(CC(=O)N1CCN(CCO)CC1)C2,0.6388
Cc1ccc(-n2nc([C@H]3CCNC3)cc2-c2ccc(C#N)cc2F)cc1,0.6421
NCC1CCN(c2ccc(-c3cc(-c4ccc5c(c4)C(O)C(O)C5)ccc3C(N)=O)c(F)c2)CC1,0.5417
CNC(=O)c1cccc(C2CC2NCC2CCN(c3ccc4c(c3)OCO4)CC2)c1,0.6125
COC(=O)N(Cc1cccc(-c2ccc(OC)c(F)c2)c1)C1CCN(CC(N)=O)CC1,0.5088
Nc1ccc(S(=O)(=O)c2ccccc2)cc1,0.2738
NC1CCC(CN2CCC(CNC(=O)c3ccccc3)CC2)C1c1ccc(F)cc1,0.5406
N#Cc1ccc(-c2nc(-c3ccn(-c4ccccc4)c3)c(-c3ccc(N4CCNCC4)cc3)s2)cc1,0.5468
O=C(NC1(CNCC2CC2c2ccccc2)CC1)c1ccccc1,0.6197
COc1ccc(C(=O)N2c3cccn3CC2CNC2CCOCC2)cc1,0.5006
CCOC(=O)c1ccc(/C=C/C(=O)CCNC[C@@H]2CC2c2ccc(F)cc2)cc1,0.4672
O=C(Cc1ccc(C2CC2NC2CC2)cc1)N(CCc1ccccc1)C(=O)N1CC(O)C1,0.5612
N#Cc1ccc(-c2cnc(N3CCOCC3)nc2-c2ccc3c(c2)CC(N)CC3)cc1,0.7046
Cc1ccc(-c2cc(COC3CCNCC3)nn2-c2ccc(C#N)c(F)c2)cc1,0.6559
CCCNC1CCC(CN[C@H]2CC2c2ccc(C(F)(F)F)cc2)CC1,0.8431
N#Cc1cc(N2CCC(NCC3CC3)C2c2cccc(Cl)c2)ccc1F,0.5011
COc1ccc(-n2nnc(C)c2C(=O)NC2CCN(Cc3ccccc3)CC2)cc1,0.5149
COc1ccc(-c2c(-c3ccc4occc4c3)cc(OCC3CCN(C)CC3)c3nccn23)cc1,0.6789
Cc1ccc(-c2nc(N3CCC(N(C)C)CC3)c3ncnn3c2-c2ccc(C#N)c(F)c2)cc1,0.7110
CC(C)c1ccc(-c2c(CN3CCC(N)CC3)csc2-c2ccc(C#N)cc2)cc1,0.5631
CS(=O)(=O)c1ccc(F)c(CNC2CC2c2ccc(C#N)cc2)c1,0.6191
c1ccc(OCCN2CCC(N[C@H]3C[C@H]3c3ccccc3)CC2)cc1,1.0000
COCC1(CN[C@H]2CC2c2ccccc2)CC1,0.8081
N[C@@H]1CC[C@H]1NCCc1ccc(C2CC2)c(F)c1,0.5528
