SMILES,Tanimoto
O=C(c1cc(-c2ccccc2)ccc1Cl)N1CCCCC1,0.2867
CC(C)=CCC=Cc1ccc(O)c(-c2nc(-c3ccc(C(C)(C)C)cc3)no2)c1,0.3668
CC1(C)C=C2C(=CCc3cc(O)ccc32)c2ccccc21,0.4354
O=C(O)c1cc(Cl)cc(-c2cc3sccc3o2)c1,0.3317
O=C(Cc1ccc(OCCN2CCCCC2)cc1)c1ccc(Cl)cc1,0.2963
COc1cc(/C=C/C(=O)O)ccc1-c1cc(C2CCC3CCC(C2)N3)ccc1C(C)(C)C,0.3846
C=CCc1cc(Cl)cc(Cl)c1,0.2111
Cc1ccnc(N2CCN(c3ccc(Oc4ccc(C(C)(C)C)c(F)c4)cn3)CC2)n1,0.3360
O=C(O)CCc1ccc2c(c1O)-c1c([nH]c3ccccc13)-c1ccccc1CCO2,0.4648
COC(=O)c1cccc(OCc2ccccc2)c1C,0.5673
Cc1ccc2c(CNC(=O)c3ccc4c(c3)OCCO4)cccc2c1,0.3271
CCOc1cc(OCC(=O)OC)cc(-n2ncc3c2CCCC3(C)C)c1,0.3883
CN1CCN(c2ccc(C=C3C=Cc4cc(OC(C)(C)C(=O)O)ccc4C3=O)cc2)CC1,0.3913
CN1CCN(c2cccc3c(-c4nnc(C(C)(C)C)o4)cccc23)CC1,0.3853
c1ccc(-c2nc3cc(-c4ccc(N5CC6CCCCC6C5)cc4)ccc3[nH]2)cc1,0.3713
COc1ccccc1-c1ccc2[nH]c(CCC(=O)O)cc2c1,0.3815
COC(=O)c1cccc2c1nc(C1CCCCC1)n2-c1ccc(C(=O)NC2CC2)cc1,0.4491
O=C(O)c1ccc(C(=O)c2cc(C3CC3)cs2)cc1,0.2641
CCc1csc(NS(=O)(=O)c2ccccc2)n1,0.2575
CC(C)N1CCN([C@@H]2Cc3ccccc3-c3c(-c4ccc(F)c(C(=O)O)c4)noc3C2)CC1,0.4524
CCCCCCC(=O)NC(=O)c1nc(C)sc1N1Cc2ccc(C(=O)NCCO)cc2C1,0.4408
CC(C)(C)CC#Cc1ccc(-c2cc(C(=O)O)cs2)c2c1CCC2c1ccc2c(c1)OCO2,0.4499
CC1=CCC(C)(C)c2c(O)cc3c(c2C1)CCC3(C)C,0.4801
OCc1ccc(-c2ncc(-c3ccccc3)o2)cc1,0.2644
CCCc1ccc(NC(=O)Nc2ccc(Cl)cn2)cc1,0.2518
O=C(c1c[nH]c2ccc(Cl)c(Cl)c12)n1ccc2cc(Cl)ccc21,0.3911
COc1cc(OCCC(=O)N2CCCCC2)ccc1-c1sc2ccccc2c1C1=CCC(=O)CC1,0.4664
O=C(O)c1ccc(-c2cc3cccc(C(F)(F)F)c3o2)cc1,0.3407
CC(C)(C)c1ccc(-c2ccc(C(=O)O)s2)cc1,0.2526
O=C(O)c1ccc(-c2ccc3ccccc3c2)s1,0.2221
CCOc1cc(-c2ccc3[nH]ccc3c2)ccc1CC(C)(C)C(=O)O,0.3490
C=CC1=C2C(c3ccc(CN(C)C)cc3)=CCC(C)=C2CC1,0.3582
O=C(Nc1ccc(Cl)cc1)c1nc(-c2ccccc2)oc1-c1ccccc1,0.3794
COc1cc(S(=O)(=O)c2ccc(N)cc2)cc2ccccc12,0.2357
Cc1cc2ccnn2cc1-c1ccc2c(=O)ccoc2c1C(C)C,0.4416
CCCCC=C(c1ccc(C(=O)O)cc1)c1ccc(-c2csc(-c3ccccc3)n2)cc1,0.3210
CCOc1cc(C(=O)O)cc2c(C)cc(C#Cc3cccc(C(=O)N4CCOCC4)c3)c(C)c12,0.3469
CCC(=O)Nc1ccc2oc(CC)c(-c3ccc(C(=O)O)cc3)c2c1,0.3761
O=C(O)COc1ccc(Oc2cccc(C(=O)O)c2)cc1,0.4226
Cc1cc(-c2nnc(CO)o2)cc2onc(C)c12,0.4321
CCC(Cc1ccccc1Cl)c1c(OC)ccc2ccc(C(=O)O)cc12,0.3355
Cc1ccccc1-c1oc2cc(C(=O)O)ccc2c1C(F)(F)F,0.4082
CC(C)n1ccc2cc(C(O)c3ccc(C(C)(C)C)cc3)ccc21,0.4615
CCn1c(-c2ccc(C(C)(C)C)s2)nc2cc(CN3CCOCC3)ccc2c1=O,0.4425
C=CCn1c(-c2cccc(F)c2C(=O)O)cc2ccc(C(=O)NCCC)cc21,0.4742
COc1cc(CC(C)(C)C)ccc1/C=C/c1c(O)cccc1-c1ccc(O)c(O)c1,0.3427
Cc1nc(NCc2ccc(-n3c(O)cc(O)cc3=O)cc2)c2cccc(Cl)c2n1,0.4359
COc1ccccc1C(=O)C(=O)c1ccc(-c2ccccc2)cc1,0.3178
CC(C)(C)C(=O)c1ccc(O)cc1,0.3034
COc1ccc(-c2ccco2)c(O)c1,0.2447
Cc1csc(NCCOc2ccc(-c3cccc(-c4ccc(C(=O)O)cc4)c3)cc2)n1,0.3011
