SMILES,Tanimoto
Cc1ccc(NC(=O)C(C)(C)C(=O)O)cc1-n1nc(CCCN2CCOCC2)c2sccc21,0.5752
CC(C)(C(=O)Nc1ccc(NC(=O)CN2CCOCC2)cc1)n1c(=O)[nH]c(=O)n(Cc2cccc3ccccc23)c1=O,0.5660
COC(=O)C(C)(C)Cn1c(=O)nc(Nc2csc(Oc3ccccc3)n2)n(Cc2ccc(OC)cc2)c1=O,0.7904
COC(=O)c1nc(C)c(=O)n(Cc2ccc(C(=O)O)s2)c1NC(=O)Nc1ccc(Cl)cc1,0.5869
CN(C)C(=O)c1ccc(Oc2ccc(Nc3ncn(CC(=O)N4CCCC4)c(=O)n3)cc2)cc1Cl,0.5589
Cc1c[nH]c2c(CC(C)C)cn(-c3ccc(N4Cc5ccc(Cl)cc5C(CC(=O)O)C4=O)cc3)c12,0.6312
Cc1c(OC(C)C)ccn2c(=O)c3c(-c4cccs4)ncnc3c(CCc3ccc(Cl)cc3)c12,0.6075
CNc1nc(Cc2ccc(Oc3ccc(Cl)cc3)cc2)c(=O)n(CCOCCNC(=O)CCP(=O)(O)O)c(=O)n1,0.5149
CCc1nc2ccc(-c3nccn3C)cc2n(Cc2ccc(-c3csc(C)n3)cc2)c1=O,0.5119
Cc1nc2ccc(Nc3nc(Nc4ccc(Oc5cccs5)cc4)c(=O)n(CC(=O)O)c(=O)n3)cc2s1,0.6123
CCOC(=O)CNC(=O)c1c(Nc2ccnn2CC)ncn(Cc2ccc(Cl)cc2)c1=O,0.6040
CCn1c(Nc2cc(Oc3cccc(CC(=O)OC)n3)cc(O[C@H]3CC[C@H](C)CC3)c2C)nc(C)cc1=O,0.5811
Cc1ccc(Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc(Nc3ncc(C)s3)n2)cc1,0.4085
Nc1nccc(-c2cc(C(=O)NCc3ccc(P(=O)(O)OP(=O)(O)O)cc3)n(Cc3ccc(Cl)cc3)c2)n1,0.5516
CCn1c(=O)c2ncn(-c3ccc(C(=O)OC)s3)c2n(CCOCc2ccc(Cl)cc2)c1=O,0.6254
COc1ccc(Nc2ncc(OCC(C)(C)C(=O)O)c(=O)n2Cc2ccc(Cl)cc2)cc1,0.7056
