SMILES,Tanimoto
FC(F)(F)c1cccc(Nc2nc3cc(C4=CCNCC4)ccc3[nH]2)c1,0.3685
Cc1c[nH]c2nc(-c3cccc(OC(C)C)c3)nc(N)c12,0.3602
COc1cc2nc(CCN3CCN(C)CC3)n(-c3nc(-c4ccccc4)cc4[nH]ccc34)c2cc1OC,0.5497
Cc1cccc(-c2c[nH]c3ccc(CN4CCOCC4)cc23)c1,0.3842
CN(C)C/C=C/c1cccc2[nH]c(=O)n(CC3CCC3)c12,0.4242
COc1ccc(Oc2cccc(NS(=O)(=O)c3ccccc3C)c2)cc1NC(=O)CN1CCOCC1,0.3924
C[C@@H]1Cc2c(-c3cc4cc(Cl)ccc4[nH]3)c[nH]c2C(=O)N1,0.5146
COc1ccc(-c2cc3ccc(C(C)(C)C)cc3[nH]2)c(C)c1,0.4066
Cc1cn(-c2cc(=O)[nH]c3ccc(N4CCN(C)CC4)cc23)nc1-c1ccccc1,0.4853
COCCNC(=O)N(C)c1ccc2[nH]c(-c3cc(N4CCOCC4)nc(Nc4ccc(C)cc4)n3)nc2c1,0.4900
Cc1cnc(Nc2cccc(NC(=O)OCc3ccccc3)c2)nc1N1CCN(C)CC1,0.4309
CN1CCC(Oc2cccc(Nc3nccc(C(=O)c4cc5ccccc5[nH]4)n3)c2)CC1,0.4314
c1ccc(COc2ccc(-c3nc4cnc(N5CCCC5)cc4[nH]3)cc2)cc1,0.4230
COc1ccc(C(=O)N2CCN(C)Cc3cc4ccccc4cc3C2)cc1,0.3831
CCOC(=O)N1CC(Oc2ccc(NC(=O)OCc3ccccc3)cc2)C(c2ccccc2CN=Cc2cc(O)ccc2OC)C1,0.4775
COc1ccc(-c2cnc(N)c(OC3CCCCC3)c2)cc1OC,0.4293
Cc1c(-c2ccc3c(c2)C(=O)C2C4CCCCN4CCN2C3=O)ccc2ccccc12,0.5520
Cc1cccc2c1[nH]c1ccc(-c3nccs3)cc12,0.3369
CN1CCN(c2ccc3[nH]c(-c4cncc(Cl)c4)nc3c2)CC1,0.5528
CN(C)Cc1c[nH]c(C(=O)NC(=O)c2cc3ccccc3[nH]2)c1,0.3492
O=c1ccn(Cc2nc(-c3ccccc3)c[nH]2)c(=O)n1-c1ccc2[nH]ncc2c1,0.4303
CSc1[nH]nc2[nH]c(-c3ccc4ccccc4c3)nc12,0.3497
CC(C)(C)NCc1[nH]nc2ccc(-c3ccccc3)cc12,0.5006
COc1cc(-c2nc3cc(N4CCNCC4)ccc3[nH]2)ccc1OC(C)C,0.4971
CN1CCN(CCCNc2ncnc3c(-c4ccccc4C(=O)c4ccccc4)c[nH]c23)CC1,0.4473
Cc1ccc(C(=O)Nc2ccc3[nH]cc(C(=O)O)c3c2)cc1,0.4364
COc1cc(N2CCOCC2)ccc1-c1c[nH]c2c(Br)cnc(N)c12,0.4675
COc1cccc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)c1,0.3163
CN(C)c1cccc2c(Nc3ncn(S(C)(=O)=O)c3C(F)(F)F)ncnc12,0.4970
Brc1ccc(Nc2ncnc3[nH]c(-c4ccco4)cc23)cc1,0.3963
CCc1c(NC(=O)c2nc(C(=O)NCCN3CCN(CC)CC3)c[nH]2)c2c(N)c(C#N)ccc2[nH]c1=O,0.5162
COc1cc2c(cc1OCc1cccc(C(=O)NC3C=CC(Cl)CC3)c1OC)C(=O)NC2=O,0.4482
Cc1cc(-c2nnc(-c3ccccc3)o2)cnc1Oc1ccccc1,0.3484
Cc1n[nH]c2ccc(-c3ccnc(N4CCOCC4)c3)cc12,0.5036
Brc1ccc(N2CCOCC2)nc1-c1cc2ccccc2[nH]1,0.4023
