SMILES,Tanimoto
Clc1nc(N2CCNCC2)c2ncsc2n1,0.3260
O=C1c2cc(OCCCN3CCC(CO)CC3)ccc2CN1C1CCCCC1,0.4977
COc1cc(Cl)cc(C2=NCC3(CCNCC3)N3Cc4ccccc4C3=N2)c1,0.4827
CCC(C)CCCOc1ccc2c(c1)C1(CCC1)C(=O)Nc1ccc(N=C(N)N3CCN(c4ccc5c(Cl)cccc5n4)CC3)cc1C2,0.5463
COc1ccc2c(c1)C1(CN2CCCN(C)C)c2cc(O)c(CCN)cc21,0.4751
O=C(O)C1N(Cc2ccccc2)CCc2c(cc(CN3CCCCC3)c(O)c2Cl)C12CC2,0.4813
NCc1ccc2c(c1OCC(=O)N1CCC(CN)CC1)OC1(CCC1)C2,0.4484
Cc1cccc(OC(C(=O)NCCCCN2CCCC2CN)c2ccccc2)c1,0.3478
COc1cc2c(cc1OCC1CC3(CC3)CN1CCCN1CCCC(N3CCN(C)CC3)CC1)n(CC1CCCCC1)c(=O)n2C,0.4605
CNCc1cc2c(cc1OC)-c1ccc(OCCCN3CCN(C4CCCC4)CC3)cc1C2,0.4144
CN1CCN(CCCCN)C2C(C1)c1cc(OCCCOc3ccc(Cl)cc3)ccc1C2(C)C,0.4565
COc1cccc(CN2Cc3cc(OCCCN(C)C)ccc3-c3ccsc3C2)c1,0.3811
NCCCC(N)CNCC1CN=C(c2nc3cc(OC4CCNCC4)ccc3[nH]2)C=N1,0.3556
N=C(N)N=C(NCCCCOc1ccc2c(c1)CN(CC1CC1)C2=O)NCCCN1CCNCC1,0.4646
CNCc1nc2c(s1)CCc1cc(OC3CC3)ccc1N2c1ccc(OCCN(C)C)cc1,0.4447
COc1ccc(CN2CCN(CCOc3ccc(N)c(OC)c3)CC2)cc1,0.3467
CCOc1cc(OCC2=NC(C)(c3ccc(OCCN4CCCC4)cc3)NC(=NC)N2)ccc1N1CCNCC1,0.4632
NC1CN(Cc2cccc(O)c2)Cc2ccccc21,0.4076
CN1CCN(Cc2ccc(N3CCN(CCCOc4ccc(CN5Cc6ccccc6C5)cc4)CC3)cc2)CC1,0.4543
CNCCOc1ccc2nc(N3C=NNCCC3)sc2c1,0.3424
C(CCN1CCNCC1)CCN1CCC2(CCCCC2)C1,0.1348
CCN1CCN(C2CCc3cc(N)cc(OC)c3C2)CC1,0.3880
O=C(NCc1ccc(Cl)cc1Cl)C(CN1CCOCC1)NC1CCCCC1,0.2828
N=C1NC2(CCN(c3cc(Cl)ccc3OC3CNC3)CC2)c2scc(Cl)c21,0.5107
COc1cc2c(cc1OC)C(=NC(=NC#N)N1CCN(c3ccccc3)CC1)N1CC(N)C(C2)C1,0.5313
O=C(CCCCCCN1c2ccccc2Sc2ccc(Cl)cc21)N1CCNCC1,0.3431
CN(C)CCOc1ccc2nc(N)n(C)c(=O)c2c1,0.3023
CN1CCC(N(Cc2ccccc2)c2ccc(CN)cc2OCCCN2CCOCC2)C1=O,0.4742
CN=C1NC(=O)c2cc(OC(F)(F)F)c(OCC3CC3)cc2C2(CCN(CCCN)C2)N1,0.5351
