SMILES,NLL,Tanimoto,drug_id,cluster
Cc1cccc(S(=O)(=O)Nc2cc(C)c(C)c(S(=O)(=O)Nc3ccccc3)c2)c1,11.91,0.4078,CCR9_429,154
Cc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)cc(C)c2C)c(C)c1,12.7,0.4773,CCR9_522,74
Cc1cc(S(=O)(=O)Nc2ccccc2)cc(NS(=O)(=O)c2ccccc2)c1F,16.59,0.4329,CCR9_460,151
Cc1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)c3c(C)cccc3C)cc(C)c2C)c1,18.73,0.4774,CCR9_54,352
CN(c1ccccc1)S(=O)(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,14.3,0.3915,CCR9_41,356
Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)cc2C)c1,8.59,0.4271,CCR9_419,75
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)cc(C)c3)c(C)c2)c1,12.37,0.4303,CCR9_454,8
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)s2)c1,15.97,0.3467,CCR9_175,324
Cc1cccc(C)c1S(=O)(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,14.93,0.3974,CCR9_58,348
Cc1ccc(NS(=O)(=O)c2cc(NS(=O)(=O)c3ccc(C)c(C)c3)ccc2C)cc1,9.35,0.415,CCR9_374,113
Cc1cc(C)cc(N(C)S(=O)(=O)c2ccc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)c2C)c1,10.37,0.469,CCR9_86,341
Cc1ccc(NS(=O)(=O)c2ccccc2C)cc1NS(=O)(=O)c1c(C)cccc1C,16.28,0.4159,CCR9_482,244
Cc1ccc(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3cccc(C)c3C)c2)cc1C,12.26,0.4108,CCR9_296,295
Cc1cc(C)cc(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3c(C)cc(C)cc3C)c2C)c1,10.1,0.4324,CCR9_597,94
Cc1ccc(NS(=O)(=O)c2ccc(C)c(NS(=O)(=O)c3ccc(Cl)cc3)c2)c(F)c1,11.77,0.4559,CCR9_33,359
