SMILES,NLL,Tanimoto,drug_id,cluster
O=C(c1ccc(F)cc1)N(Cc1ccc2ccccc2c1)c1ccccn1,11.93,0.4352,ESR1_574,303
FC(F)(F)c1ccccc1NC(=S)N=c1[nH]c2ccccc2s1,12.29,0.379,ESR1_5,11
O=C(Nc1ccccc1)Nc1ccccc1C(F)(F)F,13.15,0.3079,ESR1_554,319
COc1ccccc1N1CCN(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,14.9,0.4436,ESR1_846,94
O=C(Cc1cccc2ccccc12)c1nc(=O)c2ccccc2[nH]1,21.82,0.4425,ESR1_898,51
O=S(=O)(Nc1cc(Cc2ccc(C(F)(F)F)cc2)ccn1)c1ccc(-c2ccccc2)o1,24.95,0.4522,ESR1_0,728
c1ccc(NCc2ccc3ccccc3c2)cc1,12.17,0.4517,ESR1_455,385
O=C(Nc1ccccc1Nc1ccccc1)Oc1ccccc1,18.44,0.2891,ESR1_46,698
O=C(N=c1[nH]c2ccccc2s1)c1ccc(NCc2ccc3ccccc3n2)nc1,12.01,0.4765,ESR1_52,693
O=C(c1ccccc1)c1ccsc1NCc1ccc2ccccc2c1,13.8,0.3676,ESR1_721,190
Cc1ccccc1NC(=O)N(Cc1ccccc1)Cc1cc2ccccc2o1,19.54,0.3902,ESR1_832,104
Cc1ccc(C(=O)N2Cc3ccccc3C2)cc1,16.96,0.3932,ESR1_530,331
O=C(Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2nc1C(F)(F)F,18.27,0.4496,ESR1_368,453
NC(=O)NCc1cccc(NC(=O)c2ccc3ccccc3c2)n1,15.62,0.3805,ESR1_124,637
CC(F)(F)c1cccc(S(=O)(=O)Nc2cc(CC(=O)NCc3ccccc3)c3ccccc3n2)c1,20.38,0.4924,ESR1_493,357
S=C(Nc1cc2ccccc2s1)N(Cc1ccccc1)Cc1ccccc1,20.53,0.3304,ESR1_41,702
Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)OCCCc3ccccc3)n2)cc1,18.34,0.4076,ESR1_122,638
O=C(c1ccccc1Cl)N(Cc1ccccc1)C(=O)c1ccccc1Br,21.16,0.3699,ESR1_794,133
N#Cc1ccc(NCc2cc3ccccc3s2)nc1,15.86,0.34,ESR1_371,450
c1ccc(CCNc2ccc3ccccc3c2)cc1,12.49,0.2612,ESR1_657,241
Cc1cccc(N2CCN(C(=O)c3nc(-c4ccccc4)c4ccccc4n3)CC2)c1,16.67,0.486,ESR1_474,371
S=C(SCCc1ccccc1)n1c(COc2ccccc2)nc2ccccc21,31.0,0.4297,ESR1_929,28
CC(=N)Nc1ccc(NC(=O)c2c(C)sc3ccccc23)nc1,23.59,0.4523,ESR1_498,353
O=C1NC(=NC(=O)c2ccccc2)SC1=Cc1ccc(-c2ccccc2)cc1,23.7,0.3724,ESR1_914,38
O=C(Nc1cc2ccccc2s1)c1ccccc1,13.45,0.3597,ESR1_779,147
O=C(c1cnc(NCC2Cc3ccccc3C2)cn1)N1Cc2ccccc2C1,19.18,0.4473,ESR1_724,188
c1ccc(NCc2cc3ccccc3o2)nc1,8.93,0.327,ESR1_582,296
CCCc1cccnc1NC(=O)NCc1cc2ccccc2s1,18.57,0.3882,ESR1_612,274
O=S(=O)(Nc1ccccc1Nc1ccc(C(F)(F)F)cn1)c1ccc2ccccc2c1,24.53,0.4219,ESR1_69,681
Cc1cccc(N2CCN(C(=O)NCc3ccccc3)CC2)c1C,9.36,0.3638,ESR1_518,339
NCc1ccccc1NC(=O)N=c1cc[nH]c2cc(Cl)ccc12,19.6,0.3454,ESR1_255,545
NCc1ccccc1NC(=O)c1cccc2cc3ccc(Cl)cc3nc12,29.19,0.4543,ESR1_209,581
c1ccc(N2CCN(Cc3coc4ccccc34)CC2)cc1,13.8,0.3579,ESR1_653,245
O=S(=O)(Nc1ccc(C23CNCC2CO3)cc1)c1ccc2ccccc2c1,23.98,0.4446,ESR1_271,533
CC(F)(F)c1ccc(NC(=O)c2cccc3cc(NC(=O)Nc4cccc(C(F)(F)F)c4)ccc23)cc1,15.17,0.4666,ESR1_82,674
CS(=O)(=O)Nc1ccc2[nH]c(Cc3ccc(C(F)(F)F)cc3)nc2c1,14.83,0.3626,ESR1_805,123
O=C(NCc1ccco1)NCc1cccc2ccccc12,12.02,0.3013,ESR1_532,329
O=C(NCc1ccco1)Nc1cc(N2CCN(c3ccccc3)CC2)nc2ccccc12,15.2,0.4174,ESR1_930,27
