SMILES,NLL,Tanimoto,drug_id,cluster
COc1cc(O)ccc1C(=O)Nc1ccc(CN2CCOCC2)cc1,11.94,0.351,FTO_725,256
COc1ccc(NC(=O)Nc2cccc(OC)c2)cc1,9.36,0.1703,FTO_686,294
COc1ccc(C2NN(Cc3ccc(Cl)cc3)S(=O)(=O)N2)cc1,20.49,0.3029,FTO_72,895
COc1cc(C=CC(=O)Nc2ccc(C)cc2)c(-c2cccc(C(=O)O)c2)c(OC)c1,16.76,0.3713,FTO_11,955
CC1NC(=S)N(NC(=O)Nc2ccccc2)C1c1ccc(N)cc1,25.01,0.4069,FTO_353,620
COc1ccc(CC(=O)O)cc1Cc1cc(CC(=O)O)c(OC)c(OC)c1,16.49,0.313,FTO_972,20
COc1cccc(-c2ccccc2C(=O)NCc2ccco2)c1,14.36,0.3012,FTO_895,90
COc1cc(Cc2cccc(CCS(=O)(=O)c3ccccc3)c2)cc(OC)c1,25.65,0.2667,FTO_122,846
COCc1cccc(CNC(=O)c2ccc(OC)c(S(=O)(=O)Nc3ccccc3)c2)c1,19.8,0.3714,FTO_37,929
COc1ccc(C(=O)O)cc1Cc1cc2cc(O)ccc2cc1C=CC(=O)O,25.14,0.2979,FTO_821,162
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(OC)cc2)c1,16.23,0.2691,FTO_324,649
COc1ccc(CN=c2[nH]c(-c3cc[nH]c(=NC4CCCC4)c3)c[nH]c2=N)cc1,11.95,0.3993,FTO_583,393
COc1ccccc1NC(=O)C=Cc1cccc(OC)c1OC,10.07,0.2794,FTO_891,94
COc1ccc(CC(=O)N(C)C2CCNC2)cc1,16.67,0.3426,FTO_274,698
N#Cc1cc(F)cc(C=CC(=O)NC2CCSC2=O)c1,16.36,0.2465,FTO_820,163
COc1cccc(C=NNC(=O)c2ccccc2Cl)c1,15.24,0.2751,FTO_675,305
COc1ccccc1CNC(=O)c1cc(CC(=O)O)c2ccccc2c1OC,20.42,0.3336,FTO_441,533
COC(=O)c1cccc(NC(=O)Cc2ccc(OC)c(O)c2)c1,11.09,0.293,FTO_880,105
COC(=O)c1cccc(C=Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1O,14.45,0.3644,FTO_549,425
COc1cc(OC)c(OC)c([N+](=O)[O-])c1C=CC(=O)N1CCOCC1,17.36,0.4303,FTO_925,62
O=C(NCc1cccc(O)c1)NCc1cccc(C(F)(F)F)c1,16.9,0.26,FTO_591,386
CC(=O)COc1cccc2occ(C=CC(=O)NCCc3ccccc3)c(=O)c12,20.96,0.4068,FTO_153,816
NC(=O)c1cccc(CNC(=O)c2ccc(OCCN3CCOCC3)cc2)c1,14.66,0.3289,FTO_231,741
