SMILES,NLL,Tanimoto,drug_id,cluster
O=C(c1ccc(-c2cnc(=Nc3ccc4c(c3)CCC4)[nH]c2)o1)N1CCOCC1,12.97,0.4457,HCRTR1_530,40
Cn1ccc2cc(CNC(=O)c3ccc(-c4ccc(C(=O)N5CCOC5)o4)cc3)ccc21,10.63,0.4686,HCRTR1_313,60
O=C(c1ccc(-c2cnc(-c3ccc(C(=O)N4CCOCC4)o3)nc2)o1)N1CCOCC1,7.78,0.4152,HCRTR1_24,83
Cc1cc(-c2cnc(C)nc2)nc(-c2ccc(C(=O)N3CCOCC3)o2)c1,15.76,0.4691,HCRTR1_754,15
CC(NC(=O)c1cncc(-c2ccc(C(=O)N3CCOCC3)s2)c1)c1ccc(Cl)cc1,10.71,0.4986,HCRTR1_214,69
CCOC(=O)c1csc(-c2ccc(C(=O)NC(C)c3ccc(C)c(C)c3)cn2)c1,20.24,0.4974,HCRTR1_667,23
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)cc1)c1ccc(-c2ccccn2)cc1,10.45,0.4749,HCRTR1_587,32
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)cc1)c1ccc2c(c1)CCC2,5.71,0.4425,HCRTR1_61,9
CCNC(=O)c1cc2cc(C)cc(-c3ccc(C(=O)N4CCOCC4)o3)c2o1,9.29,0.4926,HCRTR1_717,19
O=C(c1ccc(-c2ccc3oc(C(=O)N4CCOCC4)cc3c2)o1)N1CCOCC1,8.53,0.4432,HCRTR1_239,67
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)cn1)c1ccc(Cl)cc1,5.95,0.4938,HCRTR1_208,11
Cc1ncsc1C(C)NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)s2)cc1,12.07,0.4974,HCRTR1_333,58
O=C(c1ccc(-c2cncc(-c3ccc(C(=O)N4CCOCC4)o3)n2)o1)N1CCOCC1,8.14,0.4107,HCRTR1_729,17
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)cc1)c1ccc2cc[nH]c2c1,8.23,0.4657,HCRTR1_453,45
O=C(NCCc1ccc(F)cc1)c1cnn(-c2ccc(C(=O)N3CCOCC3)o2)c1,12.65,0.4766,HCRTR1_188,71
O=C(NCc1ccc2cccnc2c1)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)cc1,8.85,0.4549,HCRTR1_622,27
COC(=O)C(C)NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)cn2)cc1,13.87,0.4979,HCRTR1_357,56
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)cc1)c1ccc2ccn(C)c2c1,8.72,0.4847,HCRTR1_254,64
CC(NC(=O)c1ccc(-c2cccs2)cc1)c1ccccc1C(=O)N1CCOCC1,13.25,0.4873,HCRTR1_375,51
COC(=O)c1ccc(C2COc3cc(-c4ccc(C(=O)N5CCOCC5)o4)ccc3O2)cc1,7.27,0.4997,HCRTR1_67,81
Cc1cc(C(=O)NC(=O)c2ccc(C(=O)c3ccccc3)cc2)ccc1-c1ccc(C(=O)N2CCOCC2)o1,16.21,0.4735,HCRTR1_146,75
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)cc1)c1cc2ccccc2s1,7.17,0.4745,HCRTR1_626,26
CC(NC(=O)c1cc(-c2cc(C(=O)N3CCOCC3)on2)no1)c1ccccc1Cl,13.24,0.482,HCRTR1_245,65
O=C(NCc1ccc2scnc2c1)c1cc(-c2ccc(C(=O)N3CCOCC3)o2)co1,14.73,0.4919,HCRTR1_107,77
CC(NC(=O)c1ccnc(-c2ccc(C(=O)N3CCOCC3)o2)c1)c1ccncc1,10.55,0.4732,HCRTR1_677,21
Cc1cc(=NC(=O)c2ccc(-c3ccc(C(=O)N4CCOCC4)o3)cc2)[nH]c(C)n1,10.19,0.4598,HCRTR1_512,43
Cc1nc(C(C)N2CCOCC2)cc2ccc(-c3ccc(C(=O)N4CCOCC4)o3)cc12,10.09,0.4904,HCRTR1_374,52
Cc1cccc(-c2ccc3c(-c4ccc(C(=O)N5CCOCC5)o4)noc3c2)c1,10.73,0.4964,HCRTR1_528,41
Cc1nc(-c2ccc(C(=O)NC(C)c3ccc(F)cc3)cn2)ccc1C(=O)N1CCOCOC1,13.88,0.4958,HCRTR1_315,59
Cc1ccc(-c2cc3c(-c4ccc(C(=O)N5CCOCC5)o4)cncc3cn2)cc1C,12.22,0.4959,HCRTR1_509,44
CC(NC(=O)c1cccc(-c2ccc(C(=O)N3CCOCC3)o2)c1)c1ccccc1,8.49,0.4578,HCRTR1_291,3
O=C(c1cnc2ccc(-c3ccc(C(=O)N4CCOCC4)o3)cc2c1)N1CCOCC1,8.7,0.4921,HCRTR1_300,61
Cc1csc(C(C)NC(=O)c2cccc(-c3ccc(C(=O)N4CCOCC4)o3)c2)n1,11.39,0.4882,HCRTR1_414,47
CCc1cccc(C(C)NC(=O)c2ccc(-c3ccc(C(=O)N4CCOCC4)o3)cc2)c1,14.37,0.4309,HCRTR1_5,86
Cc1cc(-c2ccc(C(=O)N3CCOCC3)o2)c(C)c2cc(C(=O)N(C)C)ccc12,15.78,0.4867,HCRTR1_638,25
Cc1cnc(-c2ccc(C(=O)NC(C)c3ccccc3F)cc2)nc1-c1ccc(C)c(C)c1C,13.06,0.4951,HCRTR1_544,36
CC(=O)c1ccc(-c2ccc(-c3nccc(C(=O)N4CCOCC4)n3)cc2)c(C)c1,17.41,0.4731,HCRTR1_376,50
CC(=O)c1ccc(-c2ccc(C(=O)NC(C)COC(=O)c3ccc4c(c3)OCO4)cc2)s1,17.55,0.4704,HCRTR1_278,63
Cc1cc(-c2ccc(C(=O)N3CCOCC3)o2)c2ccc(C(=O)N3CCOCC3)cc2n1,10.8,0.4981,HCRTR1_610,29
CC(NC(=O)c1cccc(-c2ccc(C(=O)N3CCOCC3)o2)c1)c1cc2ccccc2o1,7.91,0.4928,HCRTR1_31,12
O=C(NCc1c(F)cccc1F)c1cncc(-c2ccc(C(=O)N3CCOCC3)o2)c1,15.67,0.4912,HCRTR1_365,55
Cc1cc(=NC(=O)c2ccc(-c3ccc(C(=O)N4CCOCC4)o3)cc2)[nH]o1,10.95,0.4437,HCRTR1_168,73
Cc1cc(-c2ccc(C(=O)N3CCOCC3)o2)ccc1C(=O)NC(C)c1ccccc1C(=O)O,16.82,0.4683,HCRTR1_238,6
Cc1ccc(C(C)NC(=O)c2cncc(-c3ccc(C(=O)N4CCOCC4)o3)c2)cc1C,8.05,0.4993,HCRTR1_100,0
CNC(=O)c1cccc2c1C(=O)c1ccc(-c3ccc(C(=O)N4CCOCC4)o3)cc1C2,14.81,0.4847,HCRTR1_589,31
CC(NC(=O)c1ccc(-c2ccoc2-c2ccc(C(=O)N3CCOCC3)o2)cc1)c1ccncc1,10.77,0.4786,HCRTR1_567,35
