SMILES,NLL,Tanimoto,drug_id,cluster
O=C(NC(=O)c1ccccc1OC(=O)N1CCOCC1)Nc1ccc(OC(=O)c2ccccc2F)cc1,21.86,0.4384,IDH1_466,354
Cc1oc(NC(=O)Nc2ccccc2Cl)cc1N1C(=O)c2ccccc2C1=O,20.31,0.4746,IDH1_635,247
O=C(COc1cccc(N2CCOCC2)c1)Nc1ccc(S(=O)(=O)N2CCCOc3ccccc32)cc1,12.93,0.4749,IDH1_23,637
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Oc1cccc(-c2ccco2)c1,9.55,0.3967,IDH1_18,641
O=C(COc1ccccc1)Nc1ccc(C(=O)N2CCC(Oc3ccccc3F)CC2)cc1,13.18,0.3906,IDH1_122,583
CC(Oc1cccc(NC(=O)OCc2ccc(NC(=O)N3CCCC3)cc2)c1)C(=O)N1CCOCC1,22.01,0.421,IDH1_35,628
COc1cccc(NC(=O)COc2ccc(N3CCC(c4cccc(Cl)c4)=N3)cc2)c1,26.75,0.402,IDH1_801,119
O=C(Nc1ccc(S(=O)(=O)N2CCCC2=O)cc1)c1cc(Oc2cccc(Cl)c2)on1,14.04,0.4624,IDH1_283,486
COc1cc(OCc2nc3cc(NC(=O)N4CCCC4)ccc3o2)ccc1NC(=O)N1CCCC1,18.93,0.4424,IDH1_222,522
Cc1ccc2nc(CSc3nc(Br)cn3Cc3ccccc3)sc2c1,27.62,0.4103,IDH1_765,151
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccc(-c2ccc(OC(F)(F)F)cc2)o1,11.21,0.4489,IDH1_312,462
COc1cc(S(=O)(=O)N2CCCC2=O)ccc1NC(=O)CCc1cccc(-c2ccccc2)c1,23.1,0.464,IDH1_84,601
O=C(Nc1ccc(S(=O)(=O)N2CCC(O)CC2)cc1)c1ncoc1OCc1ccccc1Cl,24.57,0.4787,IDH1_446,369
O=C1COC(C(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)Oc2ccccc21,19.19,0.4691,IDH1_796,124
CCN(CC(=O)Nc1cccc(OC)c1)C(=O)C1CCCN(C(=O)OCc2ccc3ccccc3c2)C1,28.45,0.4064,IDH1_0,652
O=C(Nc1ccc(OC(F)(F)F)cc1)c1ccccc1C(=O)Nc1ccc(C(=O)N2CCOCC2)cc1,8.58,0.4112,IDH1_621,257
CC(C)Oc1cc(NC(=O)N2Cc3ccccc3C2)cc(OC(C)c2cccc(NC(=O)C3CCOC3)c2)c1,18.41,0.4603,IDH1_514,327
O=C(Nc1ccc2cc(OC(=O)N3CCCC3)ccc2c1)N1Cc2ccncc2C1,11.47,0.4116,IDH1_549,302
COc1ccc(NC(=O)Oc2ccc3cc(NC(=O)c4ccccc4OC(C)=O)ccc3c2)cc1,13.92,0.3863,IDH1_599,269
O=C(c1ccc(CNc2ccc(S(=O)(=O)Nc3ccc(F)cc3F)cc2)s1)N1CCOCC1,22.27,0.4242,IDH1_367,426
COc1cccc(S(=O)(=O)N2CC(C(=O)Nc3ccc(OC(F)(F)F)cc3)C2)c1,18.49,0.3792,IDH1_288,483
O=C(Nc1ccccc1N1CCOCC1)c1ccc(OC(=O)N2CCOCC2)cc1,9.39,0.4075,IDH1_15,37
CCN(CC)C(=O)c1ccccc1NC(=O)Nc1cccc(OC(=O)N2CCOCC2)c1,14.39,0.4068,IDH1_307,466
CC(C)c1ccc(OC2CCC(Nc3ccc(C(=O)N4Cc5ccccc5C4)cc3)CC2)nn1,22.9,0.4251,IDH1_350,437
CSc1cc(NC(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)ccc1F,18.6,0.3327,IDH1_401,402
C=C(C(=O)NC)c1ccc(C(=O)Oc2ccc(NC(=O)N3CCOCC3)cc2)o1,33.24,0.416,IDH1_196,541
CC(C)Oc1ccc2c(c1)CCCN2C(=O)Nc1cccc(OCc2ccccn2)c1,14.78,0.4522,IDH1_78,603
O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)N1CCOc2ccccc2C1,10.97,0.3962,IDH1_128,580
Cn1c(SCC(=O)Nc2ccc(Oc3cccc(NC(=O)N4CCCCC4)c3)cc2)nc2ccccc21,20.81,0.4293,IDH1_567,291
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1cc2ccccc2s1,13.58,0.4147,IDH1_629,251
O=C(Nc1ccc(S(=O)(=O)N2CCCOc3ccccc3C2)cc1)c1ccccc1,16.83,0.441,IDH1_617,260
COc1ccc(F)c(OC2CCN(S(=O)(=O)c3ccc(NC(=O)Oc4ccccc4Cl)cc3)CC2)c1,9.64,0.4204,IDH1_366,23
O=C(Nc1ccc(OC(F)(F)F)cc1OC(=O)N1CCOCC1)Nc1ccccc1N1CCOCC1,10.24,0.4104,IDH1_248,508
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccccc1N1CCOCC1,9.77,0.4265,IDH1_601,267
O=C(Nc1cccc(NC(=O)N2Cc3ccccc3C2)c1)c1ccncc1,16.43,0.3714,IDH1_860,76
CC(C(=O)Nc1ccc(S(=O)(=O)N2CCC(Oc3ccccc3F)CC2)cc1)c1ccccc1,9.54,0.4309,IDH1_778,141
O=C(COc1cccc(C2COCOC2)c1)Nc1ccc(S(=O)(=O)N2CCC(O)CC2)cc1,16.35,0.4155,IDH1_166,561
O=C(Nc1cccc(OCc2nc3cc(NC(=O)N4CCCC4)ccc3s2)c1)N1CCCC1,9.5,0.4002,IDH1_520,322
COc1ccc(NC(=O)Nc2ccc(C(=O)N3CCOCC3)cc2)c(C(C)CO)c1,18.96,0.3961,IDH1_531,313
COc1ccc(C(=O)N2CCOCC2)cc1NC(=O)CC(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,21.05,0.4679,IDH1_591,276
COc1cccc(C(Nc2ccc(C(=O)N3CCOCC3)cc2)C(=O)NCc2ccccc2)c1,13.21,0.4559,IDH1_740,169
Cc1nc(-c2ccccc2)sc1C(=O)Nc1ccc(OC(=O)N2CCOCC2)cc1,13.98,0.4899,IDH1_259,500
O=C(Cc1cccc(OC(=O)N2CCOCC2)c1)NN=Cc1ccc(OC(F)(F)F)cc1OC(=O)N1CCOCC1,16.68,0.3696,IDH1_797,123
CC(C)C1COC(=O)N1c1ccc(NC(=O)COc2ccccc2OC(=O)N2CCOCC2)cc1,13.19,0.498,IDH1_667,224
O=C(Nc1ccc2cc(OC(=O)N3CCOCC3)ccc2c1)c1ccc(OC(F)(F)F)cc1,12.3,0.3577,IDH1_6,649
CC(C)Oc1ccc(Cc2cccc3c(=O)c(OC(=O)N4CCOCC4)coc23)cc1,18.83,0.4274,IDH1_578,283
O=C(Nc1cccc(Cc2ccc(OC(=O)N3CCOCC3)cc2)c1)N1CCCC1,13.87,0.3446,IDH1_181,550
CN(C)c1cccc(CC(=O)NC(=O)Nc2ccc(S(=O)(=O)N3CCCC(O)C3)cc2)c1,18.35,0.4148,IDH1_349,438
COc1ccc(C(=O)Nc2cccc(C(Nc3ccc(S(=O)(=O)N4CCCC4)cc3)C3CCCOC3)c2)cc1,18.6,0.4864,IDH1_339,444
O=C(Cc1cccc(C(=O)Nc2ccc(OC(F)(F)F)cc2)c1)Nc1ccc(C(=O)N2CCOCC2)cc1,12.32,0.423,IDH1_201,51
O=C(c1ccc(Nc2ccc(OC(F)(F)F)cc2C(=O)N2CCOCC2)cc1)N1CCSCC1,18.06,0.4321,IDH1_41,623
O=C(Nc1cc(N2CCOCC2)ccc1N1CCOCC1)c1ccc(Cl)cc1OC(=O)N1CCOCC1,14.35,0.4971,IDH1_297,475
O=C(COc1cccc(NC(=O)N2CCCC2)c1)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,9.13,0.3933,IDH1_124,27
CC(C)N=c1cc(C(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)cc[nH]1,14.84,0.3917,IDH1_575,285
O=C(c1ccccc1OS(=O)(=O)N1CCC(Oc2ccccn2)CC1)N1CCOCC1,11.97,0.435,IDH1_125,581
O=C(Cc1ccccc1C(=O)N1CCOCC1)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,11.82,0.4449,IDH1_711,187
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1cc(-c2ccccc2)no1,11.38,0.4414,IDH1_786,134
O=S(=O)(Nc1ccc(S(=O)(=O)N2CCCC2c2ccccc2)cc1)c1cccc(Cl)c1,10.24,0.4568,IDH1_638,245
O=C(Nc1ccc(S(=O)(=O)Nc2ccc(OC(F)F)cc2)cc1)N1CCCC1,9.87,0.3843,IDH1_547,304
O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)Nc1cccc(F)c1,15.29,0.3017,IDH1_448,367
CN1CCCN(S(=O)(=O)c2ccc(NC(=O)Oc3ccc(CC(=O)N4CCOCC4)cc3)cc2)CC1,15.31,0.4306,IDH1_696,199
O=C(Nc1cccc2ccc(OC(=O)N3CCCC3)cc12)c1ccccc1OC(=O)N1CCOCC1,13.26,0.402,IDH1_692,203
COc1ccc(OC(=O)N2CCOCC2)c(C(=O)Nc2ccc(OC(=O)N3CCOCC3)cc2)c1,15.12,0.3784,IDH1_178,552
Cc1cc(NC(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)ccc1N1CCOC1=O,11.15,0.4277,IDH1_301,471
COc1ccc(F)c(OC2CCN(S(=O)(=O)c3ccc(NC(=O)Oc4cccc(C)c4)cc3)CC2)c1,11.82,0.4146,IDH1_278,17
Cc1cccc(CN(C(=O)NC(C)C)c2ccc(OC(=O)N3CCOCC3)cc2)n1,23.08,0.4367,IDH1_200,540
O=C(Nc1ccc(OC(F)(F)F)cc1)Oc1cccc(C(=O)N2CCOCC2)c1,11.63,0.4036,IDH1_26,634
O=C(Nc1ccc(Oc2ccc(F)c(C(=O)N3CCCC3)c2)cc1)N1Cc2ccncc2C1,18.18,0.4417,IDH1_206,536
O=S(=O)(Nc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1)c1cccc(F)c1,11.2,0.4408,IDH1_534,38
O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)c1cccc(-c2ccnc(N3CCOCC3)c2)c1,12.33,0.4667,IDH1_252,505
O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)Nc1ccccc1OC(=O)c1ccccn1,18.14,0.4313,IDH1_177,553
CC(C)Oc1cccc(OCC(=O)Nc2ccc(S(=O)(=O)N3CCCC3C(=O)N3CCOCC3)cc2)c1,16.81,0.4908,IDH1_779,140
O=C(NC(=O)c1ccccc1)Nc1ccc(S(=O)(=O)N2CCC(Oc3ccc(F)cc3)CC2)cc1,12.92,0.4039,IDH1_430,379
CC(C(=O)Nc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1)c1ccccc1,12.56,0.4705,IDH1_450,33
O=C(Cc1cccc(OC(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)c1)Nc1ccc(OC(F)(F)F)cc1,13.23,0.4109,IDH1_460,358
Cc1cccc(C(=O)Nc2ccc(S(=O)(=O)N3CCCC3c3ccc(C(C)C)cc3)cc2)c1,16.2,0.4627,IDH1_668,223
O=C(Nc1ccc(C(=O)N2CCOCC2)s1)Nc1ccccc1N=Cc1ccccc1Cl,25.34,0.421,IDH1_731,175
O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)c1ccc(OC(F)(F)F)c(OC(=O)N2CCOCC2)c1,11.71,0.4179,IDH1_290,482
