SMILES,NLL,Tanimoto,drug_id,cluster
Cc1ccccc1Oc1ncccc1NC(=O)Nc1cccc(OCC2=CCCC2)c1,25.55,0.401,JAK1_732,164
O=C(NCc1ccc(F)cc1)c1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1,19.13,0.4558,JAK1_827,111
O=C(NCc1ccco1)Nc1ccc(S(=O)(=O)N2CCN(C(=O)NCc3cccnc3)CC2)cc1,19.14,0.456,JAK1_868,16
COc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)N4CCN(c5ccccn5)CC4)CC3)cc2)cc1,16.32,0.4861,JAK1_232,17
CCc1cccc(S(=O)(=O)Nc2ccc(S(=O)(=O)N3COCC3c3ccccc3)cc2)c1,16.87,0.4948,JAK1_860,84
COC(=O)Cc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)NCc3cccnc3)cc2)cc1,16.86,0.4214,JAK1_391,397
COc1cc(CNC(=O)Nc2ccc(S(=O)(=O)N3CC3C(=O)NC(C)(C)C)cc2)cc(OC)c1OC,23.68,0.4653,JAK1_80,606
O=C(O)c1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(O)cc3)cc2)nc1,18.66,0.4114,JAK1_258,492
O=C(NCc1ccccc1)Nc1cccc(C(=O)N2CCN(C(=O)NCc3ccccc3)C2)c1,19.61,0.3887,JAK1_559,292
CCOC(=O)c1ccncc1NC(=O)c1nc(C2CC2)cnc1C(=O)Nc1ccc(F)cc1,28.2,0.4816,JAK1_378,405
CC(Nc1ccc(C(=O)N2CCCC2C(=O)NCc2ccccc2)cc1)c1ccccn1,15.0,0.49,JAK1_778,140
CC(C)(C)N(Cc1ccccn1)S(=O)(=O)c1ccc(C(=O)NCc2ccc3c(c2)CCO3)cc1,20.6,0.4978,JAK1_738,159
O=C(Nc1ccccc1F)N1CCCN(C(=O)c2ccc(S(=O)(=O)Nc3ccccc3)cc2)CC1,21.1,0.4461,JAK1_145,560
CNC(=O)c1ccc(NC(=NNS(=O)(=O)c2ccc(C)cc2)c2ccc([N+](=O)[O-])cc2)c(C)c1,27.75,0.4222,JAK1_15,650
CCc1ccc(C(=O)N(C)c2ccc(S(=O)(=O)N3CCN(C(=O)Nc4ccc(C(C)=O)cc4)CC3)cc2)cc1,18.81,0.4549,JAK1_530,308
COc1ccc(NC(=O)c2cc(C)nc(CC(=O)N3CC(=O)Nc4ccccc43)n2)cc1,27.86,0.482,JAK1_674,212
Cc1ccc(NC(=O)Nc2ccccc2C(=O)N2CCN(c3ccccn3)CC2)cc1,12.57,0.4584,JAK1_20,648
COc1ccc(CC(=O)Nc2ccc(C(=O)Nc3ccc(S(=O)(=O)N4CCN(C(N)=O)CC4)cc3)cc2)cc1,18.3,0.4687,JAK1_225,513
COc1cccc(CNC(=O)NCc2ccnn2Cc2cc(C)ccc2C)c1,20.24,0.3728,JAK1_832,106
O=C(c1ccc(S(=O)(=O)NCc2ccccc2)cc1)N1CCN(c2ccccc2F)CC1,9.54,0.4687,JAK1_205,36
CCc1ccc(COc2ccc(S(=O)(=O)CC(=O)N3CCN(C(=O)c4cccnc4Oc4cccnc4)CC3)cc2)cc1,21.04,0.4937,JAK1_388,400
CS(=O)(=NNc1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1)c1ccccc1,16.42,0.477,JAK1_619,249
O=C(Nc1ccc(S(=O)(=O)N2CCNCC2)cc1)Nc1cccc(Oc2ccccn2)c1,13.7,0.4233,JAK1_826,112
CCc1ccc(CNS(=O)(=O)c2ccc(C(=O)NCc3ccccc3C)cc2)cc1,10.85,0.3521,JAK1_571,285
CC(=O)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)N4CCN(C(=O)c5ccccc5)CC4)CC3)cc2)c1,16.55,0.4614,JAK1_149,556
CCOc1cccc(NC(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)NCc4ccccc4)CC3)cc2)c1,11.56,0.4484,JAK1_33,13
CCc1ccc(NC(=O)N=c2[nH]c(C(=O)Nc3cccnc3C(=O)O)ccc2C)cc1,20.92,0.4982,JAK1_120,579
Cc1cnc(C)c(NC(=O)c2cc(C(C)(C)C)[nH]c(=Nc3ccc(S(N)(=O)=O)cc3)n2)c1,30.08,0.4689,JAK1_344,433
CCc1ccc(C(=O)Nc2ccc(C(=O)Nc3cccnc3N(C)c3ccccc3C)cc2)cc1,17.06,0.4873,JAK1_658,224
COC(=O)N1CCN(S(=O)(=O)c2ccc(NC(=O)Nc3ccc(OCC(=O)O)cc3)cc2)CC1,13.19,0.4174,JAK1_902,57
Cc1ccccc1Oc1cccnc1C(=O)Nc1cccc(CCNC(=O)c2ccccn2)c1,20.82,0.4477,JAK1_437,364
CN(C)C1CCN(C(=O)c2cccc(N(Cc3cccnc3)c3ccccc3)c2)C1,21.56,0.4804,JAK1_617,250
O=C1CN(Cc2ccc(C(=O)Nc3ccc(C(=O)Nc4cccnc4)cc3)cc2)c2ccccc2N1,17.94,0.4514,JAK1_347,430
Cc1cccc(Cc2ccncc2CN(C(=O)NCc2ccncc2)C(C)(C)C)n1,22.09,0.3677,JAK1_0,660
O=C(NCc1ccccc1)NS(=O)(=O)c1ccc(C(=O)NCc2cccnc2)cc1,14.3,0.3783,JAK1_842,99
Cc1cccc(NC(=O)Nc2ccc(C(=O)N3CCN(c4ccccn4)CC3)cn2)c1,14.86,0.4707,JAK1_408,387
Cc1ccccc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccccc3)cc2)CC1,19.02,0.4579,JAK1_567,287
Cc1ccccc1NC(=O)N1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3ccccc3)cc2)CC1,8.1,0.4418,JAK1_11,9
COC(=O)C1CCN(c2ncccc2NC(=O)c2ccc(S(=O)(=O)NCc3ccccc3)cc2)CC1,16.83,0.4836,JAK1_419,379
CCc1ccc(OC2CNC(COC)CN(S(=O)(=O)c3ccc4ccccc4c3)C2)cc1,30.09,0.4733,JAK1_78,608
O=C(Nc1ccc(S(=O)(=O)N(Cc2ccccc2)Cc2cccnc2)cc1)c1ccncc1,16.55,0.4293,JAK1_223,515
CN(C(=O)OC(F)F)c1ccc(S(=O)(=O)N2CCN(C(=O)Nc3ccc(Cl)cc3)CC2)cc1,28.82,0.4192,JAK1_678,209
COc1ccc(C(=O)NCc2ccccn2)cc1S(=O)(=O)c1ccccc1C,17.78,0.4036,JAK1_851,92
COC(=O)c1ccc(NC(=O)N2CCN(S(=O)(=O)c3ccc(NC(=O)c4cccc5ccccc45)cc3)CC2)cc1,22.02,0.4605,JAK1_118,581
CCc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)NC(C)(C)C)CC3)cc2)nc1,19.13,0.4694,JAK1_918,46
COc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)cc2)cc1,13.46,0.4338,JAK1_165,547
CCc1ccc(CNC(=O)c2nc(C(=O)Nc3ccc(CO)cc3)oc2C)cc1,21.88,0.415,JAK1_36,639
