SMILES,NLL,Tanimoto,drug_id,cluster
Cc1cccc(NC(=S)N2CCN(c3ccccc3)CC2)c1,9.27,0.3833,KDM1A_638,211
CC(=O)c1ccc(C(=O)Cc2ncc(-c3cccc4ccccc34)o2)cc1,22.88,0.3888,KDM1A_554,268
Cc1ccc(NC(=O)C2(NC(=O)c3ccco3)CCC2)cc1,19.09,0.4051,KDM1A_526,284
Cc1ccccc1CN1CCN(Cc2cccc(NC(=O)c3ccc4ccccc4c3)c2)C1,11.06,0.4589,KDM1A_217,481
COc1cccc(S(=O)(=O)N2CCN(c3ccccc3OC(C)C)C2=O)c1,17.05,0.4711,KDM1A_797,112
COc1ccccc1CNc1ccc(Nc2ccc(C)cc2)cc1,21.0,0.3642,KDM1A_277,444
Cc1ccc2ccn(S(=O)(=O)c3ccccc3)c2c1,19.6,0.4659,KDM1A_593,241
CN(Cc1cccc2ccccc12)C(=O)Nc1ccccc1,15.16,0.3234,KDM1A_363,397
COc1cccc(CN2CCN(c3ccccc3C(=O)NC3CC3)CC2)c1,7.58,0.4682,KDM1A_237,471
O=C(NC1CC1)c1ccc(N2CCCN(C(=O)Nc3cccc(C(=O)N4CCOCC4)c3)C2)nc1,10.61,0.4902,KDM1A_779,122
O=C(Nc1cccc(C(=O)N2CCOCC2)c1)N1CCN(c2ccccc2)CC1,7.73,0.4528,KDM1A_11,6
CCc1ccc(NC(=O)Nc2ccc(N3CCOCC3)cc2)cc1,11.68,0.4139,KDM1A_392,374
COc1ccccc1C(=O)N1CCC1C(=O)Nc1ccccc1C(=O)NC1CC1,21.62,0.4862,KDM1A_573,254
O=C(NC1CCc2cccnc21)c1ccc2c(c1)OCO2,18.08,0.4955,KDM1A_275,445
O=C(c1cccc(N2CCN(Cc3cccc(O)c3)CC2)c1)N1CCCC1,13.69,0.4811,KDM1A_77,572
COc1ccc(-c2nnc(SCC(=O)N3CCCC3)o2)c(OC)c1,15.19,0.3961,KDM1A_618,224
Cc1ccccc1N1CCN(CC2=CC=C3C=CC(=CC=CC=C2)OCC(=O)NC3)CC1,19.98,0.3938,KDM1A_704,168
O=C(c1ccc2ccccc2c1)N1CCN(Cc2ccccc2C(=O)N2CCOCC2)CC1,11.39,0.4715,KDM1A_116,550
O=C(c1ccccc1)N1CC2CCCC2N1Cc1ccccc1,16.77,0.3891,KDM1A_444,341
COc1cccc(CNC2CCN(Cc3cccc4ccccc34)C2)c1,13.4,0.4351,KDM1A_389,376
