SMILES,NLL,Tanimoto,drug_id,cluster
O=C(Nc1ccc(Cl)cc1)c1cccc(NCc2ccccc2)c1,10.85,0.3745,NR4A1_556,372
N=C(Nc1ccc(Cl)cc1)c1cccc(NC(N)=O)c1,21.14,0.2886,NR4A1_595,334
O=C(Cc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,8.81,0.2661,NR4A1_681,250
CN(C)c1ccccc1CC(=O)Nc1ccc(OCc2ccc(Cl)nc2)cc1,19.1,0.3058,NR4A1_179,734
CC(NCc1ccccc1CNC1CC1)c1ccccn1,20.06,0.2674,NR4A1_584,344
O=C(Nc1ccc(Cl)cc1)C(Cc1ccccc1)NCc1ccccc1,11.23,0.2873,NR4A1_925,18
CCCOc1cccc(NC(=O)c2ccccc2CN2CCOCC2)c1,20.0,0.4479,NR4A1_583,345
CCC(=O)Nc1ccc(CNCc2cccc(OC)c2)cc1,13.79,0.319,NR4A1_253,661
O=C(CS(=O)(=O)c1ccccc1)Nc1c(Cl)cccc1Cl,13.89,0.2453,NR4A1_281,633
O=C(Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1)c1ccccc1Cl,10.82,0.3529,NR4A1_98,810
CC(=O)Nc1ccc(CC2Cc3ccccc3C2=O)cc1,16.82,0.3325,NR4A1_854,87
O=C(Nc1ccc(Cl)cc1Cl)c1c(Cl)cccc1Cl,9.79,0.3739,NR4A1_66,839
O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1,13.31,0.2493,NR4A1_845,96
CCOC1CC(c2ccccc2Cl)c2cc(Cl)ccc2N1,17.71,0.3275,NR4A1_672,259
CC1(C(=O)Nc2ccc3c(c2)C(=O)c2ccccc2-3)CC1,14.27,0.3103,NR4A1_726,207
O=C(Nc1ccc(N2CCC(COc3ccccc3F)CC2)cc1)c1ccccc1Cl,20.76,0.4953,NR4A1_875,66
O=C(Cc1ccccc1Cl)Nc1cccc(S(=O)(=O)Nc2ccccc2)c1,10.94,0.2843,NR4A1_639,292
Clc1ccccc1CNc1ccccc1NCc1ccccc1,14.39,0.2715,NR4A1_708,224
