SMILES,NLL,Tanimoto,drug_id,cluster
COc1cc(NC(=O)c2ccc(NC(=O)c3cc(OC)c(OC)c(OC)c3)cc2)cc(OC)c1,12.82,0.4038,P2RX3_265,55
COc1ccc(S(=O)(=O)Nc2ccc(NC(=S)Nc3cc(OC)cc(OC)c3)cc2OC)cc1,13.03,0.3382,P2RX3_610,109
COc1ccccc1NC(=S)Nc1cc(NC(=O)c2ccc(OC)c(OC)c2)ccc1OC,12.17,0.3732,P2RX3_201,298
COc1ccc(S(=O)(=O)Nc2cc(OC)ccc2OC(=O)c2cc(OC)ccc2OC)cc1,5.32,0.4147,P2RX3_59,12
COc1cc(OC)cc(S(=O)(=O)Nc2ccc(OC(=O)c3ccc(OC)c(OC)c3)cc2)c1,11.11,0.3874,P2RX3_491,164
COc1ccc(S(=O)(=O)Nc2cccc(OC)c2NC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,7.17,0.4566,P2RX3_462,40
COc1ccnc(C(=O)Nc2ccc(-c3cc(C(=O)Nc4ccc(OC)c(OC)c4)on3)cc2)c1,16.2,0.497,P2RX3_481,172
COc1ccc(S(=O)(=O)Nc2ccc(OC)c(OC(=O)c3cccn3C)c2)cc1,13.59,0.4077,P2RX3_271,266
COc1cc(S(=O)(=O)Nc2cc(OC)c(OC)c(OC)c2)ccc1NC(=O)c1cccnc1,10.49,0.4431,P2RX3_50,353
COc1ccc(N(C)C(=O)c2ccc(OC)c(OC)c2)c(N(C)C(=O)c2cc(OC)c(OC)c(OC)c2)c1,12.61,0.4104,P2RX3_663,85
COc1ccc(S(=O)(=O)Nc2c(OC)cccc2C(=O)Nc2ccccc2NS(C)(=O)=O)cc1,9.43,0.482,P2RX3_144,319
COc1ccc(S(=O)(=O)NC(=O)c2ccc(OCC(=O)Nc3cc(OC)ccc3OC)c(OC)c2)cc1,8.58,0.4406,P2RX3_472,179
COc1ccc(OC)c(NC(=O)c2cccc(OC)c2NS(=O)(=O)c2ccc(OC)c(OC)c2)c1,10.07,0.4943,P2RX3_520,63
COc1ccc(S(=O)(=O)Nc2ccccc2OC)cc1NC(=O)Cc1ccccn1,9.49,0.4098,P2RX3_355,236
COc1cc(S(=O)(=O)Nc2ccccc2)ccc1NC(=O)c1cc(OC)c(OC)c(OC)c1,7.45,0.4145,P2RX3_124,53
COc1ccc(C2CN(c3ccc(-c4cc(S(C)(=O)=O)ccc4OC)cc3)CC2N)cc1OC,22.03,0.4947,P2RX3_342,239
COc1ccc(S(=O)(=O)Nc2ccc(OC)c(NC(=O)c3cc(OC)ccc3OC)c2)cc1,7.34,0.4396,P2RX3_4,3
COc1ccc(-n2ccnc2)cc1NC(=O)c1ccc(OC)c(OC)c1,14.7,0.3999,P2RX3_476,177
COc1ccc(OC)c(NS(=O)(=O)c2cc(-c3ccc(OC)c(OC)c3)ccc2OC)c1,5.88,0.4162,P2RX3_58,348
COc1ccc(-c2ccc(OC)c(S(=O)(=O)CCNC(=O)c3cc(OC)n(C)c3)c2)cc1OC,18.68,0.4837,P2RX3_184,303
COc1cc(OC)cc(C(=O)Nc2c(OC)ccc(C(=O)Nc3ccccc3NC(C)=O)c2OC)c1,15.61,0.4477,P2RX3_418,204
COc1cc(OC)c(OC)cc1NC(=S)Nc1cc(OC)c(OC)c(OC)c1,14.86,0.2839,P2RX3_516,149
COc1cc(S(=O)(=O)Nc2ccccc2N2CCOCC2)cc(OC)c1OC,12.3,0.3691,P2RX3_126,325
COc1ccc(NC(=O)C(=O)c2ccc(S(=O)(=O)NC(=O)c3ccccc3)c(OC)c2)cc1OC,14.82,0.4791,P2RX3_269,268
COc1cc(OC)cc(N2CCN(c3cnc(-c4ccc(OC)c(OC)c4)cc3OC)CC2)c1,13.55,0.442,P2RX3_479,174
COc1cccc(NS(=O)(=O)c2ccc(OC)c(NC(=O)c3cccc(OC)c3)c2)c1,9.26,0.4014,P2RX3_577,123
COc1ccc(NC(=O)c2ccc(OC)c(NC(=O)c3ccc(OC)c(NC(=O)Cc4ccc(OC)c(OC)c4)c3OC)c2OC)c(OC)c1,18.58,0.4776,P2RX3_604,113
COc1ccc(S(=O)(=O)Nc2ccc(NC(=O)c3cc(OC)c(OC)c(OC)c3)c(OC)c2)cc1,5.27,0.4165,P2RX3_348,4
COc1ccc(OC)c(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3OC)cc2)c1,7.03,0.4228,P2RX3_182,305
COc1ccc(NS(=O)(=O)Cc2ccccc2OC)c(C(=O)NC(=O)c2ccccc2)c1,17.7,0.4251,P2RX3_448,189
COc1ccc(S(=O)(=O)Nc2cccc(OC)c2NC(=O)Cc2cc(OC)c(OC)cn2)cc1,8.25,0.475,P2RX3_270,267
COc1ccc(-c2cc(OC)c(NC(=O)c3cc(OC)c(OC)c(OC)c3)s2)cc1OC,7.96,0.4874,P2RX3_517,148
CCC(=O)Nc1ccc(S(=O)(=O)Nc2c(OC)cc(OC)cc2-n2cccc2)cc1,17.67,0.4373,P2RX3_309,250
COc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)c3ccc(OC)cc3)c(OC)c2)cc1,8.85,0.3677,P2RX3_488,166
COc1ccc(NS(=O)(=O)c2ccc(OC)c(NC(=O)CN3CCOCC3)c2)c(OC)c1,15.84,0.4029,P2RX3_593,118
