SMILES,NLL,Tanimoto,drug_id,cluster
COc1ccc(CNC(=O)c2ccccc2NC(=O)c2ccncc2)c(OC)c1,8.51,0.3473,RIOK1_136,642
COc1ccccc1S(=O)(=O)Nc1cccc(C(C)CN(C)S(C)(=O)=O)c1,22.54,0.3533,RIOK1_772,157
COc1ccc(S(=O)(=O)NCc2cccc(C(=O)N=c3cc(OC)cc[nH]3)c2)cc1,16.08,0.3485,RIOK1_799,137
COc1ccc(C(=O)NCc2cccc(OCc3ccccn3)c2)cc1OC,11.87,0.2823,RIOK1_775,154
COc1cc(C(=O)NCc2ccc(OC)c(OCC(=O)Nc3cccc(C)c3)c2)ccn1,13.26,0.3537,RIOK1_531,344
COc1cccc(NC(=O)c2cccc(N[SH](C)(=O)c3ccc(OC)cc3C)c2)c1,13.06,0.406,RIOK1_145,637
Cc1cccc(CNC(=O)COC(=O)c2ccccc2NC(=O)Cc2ccccn2)c1,18.75,0.3639,RIOK1_599,293
COc1ccc(CNC(=O)c2ccc(CNC(=O)Cc3ccncc3)cc2)c(OC)c1,12.66,0.3117,RIOK1_658,250
COc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(C#N)cc2)cc1OC,8.16,0.2803,RIOK1_280,47
Cc1ccc(S(=O)(=O)NCc2ccc(NC(=O)c3ccc(C)c(C)c3)cc2)cc1,15.25,0.3153,RIOK1_4,748
CC(NC(=O)c1ccncc1)c1cccc(NS(=O)(=O)c2ccsc2)c1,13.29,0.3494,RIOK1_57,708
Cc1cc(C)cc(CNC(=O)COc2cccc(CNC(=O)c3ccnc(C)c3)c2)c1,9.46,0.2911,RIOK1_0,52
COc1cccc(C(=O)Nc2cccc(CNC(=O)c3ccncc3)c2)c1,12.47,0.2918,RIOK1_233,571
COc1ccc(S(=O)(=O)NCCCOc2cc(OC)ccc2CNC(=O)c2ccncc2)cc1,14.23,0.3797,RIOK1_444,410
COc1ccc(CNC(=O)c2ccncc2)c(OCC(=O)OCc2cc(C)ccc2C)c1,11.3,0.3358,RIOK1_723,196
COc1ccc(S(=O)(=O)Nc2ccc(C(C)NC(=O)c3ccc(C)s3)cc2)cc1,10.96,0.3512,RIOK1_604,289
