SMILES,NLL,Tanimoto,drug_id,cluster
CCNC(=O)C1CCC(CC(C)(C)C(=O)NCc2ccc(OC)cc2)NC2(CCC2)CC1,11.35,0.3087,SPIN1_531,246
O=C(CC1CCCC1CNCc1ccncc1)N1CCCC1,19.86,0.2213,SPIN1_663,140
Cc1ccc(Cl)c(NC(=O)CC2CCC3(CCCCC3)O2)c1,10.75,0.2888,SPIN1_589,200
CCC1(C(=O)Nc2cc(OC)ccc2OC)CCC1,14.72,0.3155,SPIN1_415,336
COc1ccc(CCNC(C)C2CCC3(CCCCO3)C2)cc1,17.55,0.2866,SPIN1_277,458
CCCNC(=O)C1CCC2(C1)OCC(OCC)C(CCc1cccc(OC)c1)C2O,18.07,0.3933,SPIN1_754,70
O=C(NCCc1ccc(Cl)cc1)C1CCC2(C1)OCCS2,14.15,0.3149,SPIN1_318,420
COc1cccc(CCNC(=O)C2CCC(OC)CC2)c1,14.13,0.295,SPIN1_203,522
CCN1CCC(COc2ccc([N+](=O)[O-])cc2)CC1,14.81,0.2928,SPIN1_716,101
CCc1ccc(C2CCN(C(=O)N3CCC(NC4CCCC4)C3)CC2)cc1,24.23,0.2671,SPIN1_104,598
COc1cc(OC)cc(C(=O)NCC2CCC2)c1,9.54,0.3692,SPIN1_102,600
Cc1ccc(CCNC(=O)CC2CCC2)cc1,5.37,0.1776,SPIN1_51,65
Cc1ccc(NC(=O)C2(C)CCC2(C)O)cc1C,18.35,0.3067,SPIN1_570,214
COc1ccc(CNC(=O)NCC2CCCO2)c(OC)c1,13.32,0.3844,SPIN1_510,264
Cc1cccc(CNC(=O)CNCC2CCC2)c1,11.46,0.2302,SPIN1_4,667
O=C(Nc1ccc(Cl)cc1)C1CCC2(CCC(C3CCCCC3)CC2)O1,18.31,0.2598,SPIN1_396,354
COc1ccc(CNC(=O)C2CCCC2C(=O)NC2CCCC2)cc1,8.08,0.3066,SPIN1_256,24
Cc1cccc(NC(=O)C2CCCC2C(=O)NC2CCCC2)c1C,11.51,0.3312,SPIN1_279,456
COc1ccc(CCNC(=O)C2CCCC2CCc2ccc(OC)cc2)cc1,7.68,0.2943,SPIN1_14,23
COc1cccc(CCNC(=O)C2CCC3(CCCCC3)O2)c1,6.14,0.3219,SPIN1_212,513
CCOC(=O)CNC1CCCC(C(O)COc2ccccc2)C1,17.86,0.2452,SPIN1_19,657
COc1ccc(CCNC(=O)C2CCCC2CC(C)C)cc1,7.49,0.2645,SPIN1_259,56
Cc1ccc(NC(=O)C2(C)CCC2(F)F)cc1,14.38,0.2626,SPIN1_337,404
COc1ccc(CCNC(=O)c2sc3c(c2Cl)CCN(C(=O)NCC2CCC2)CC3)cc1,16.65,0.4322,SPIN1_289,448
COc1ccc(CC2CCC(CC(=O)NCc3ccccc3OC)C2)c(C)c1,24.91,0.4134,SPIN1_455,305
COc1ccc(CCNC(=O)C2CCC3(CCCC3)O2)cc1,7.67,0.2952,SPIN1_201,59
O=C(NCCc1ccccc1)C1CCC2(C1)OCCO2,5.02,0.2553,SPIN1_29,19
Cc1cccc(CNC2CCN(C(=O)NCC3CCC3)C2)c1,7.72,0.2693,SPIN1_33,22
COc1ccccc1CNC(=O)C=CC1CCCC1,14.31,0.3463,SPIN1_100,602
CCCCCCCCCCCNC1CCCC1,18.18,0.0835,SPIN1_284,452
COc1ccc(CCC(=O)NC2CCN(C(=O)C(C)Oc3ccc(C(F)(F)F)cc3)CC2)cc1,24.02,0.3219,SPIN1_230,497
O=C(NC1CCC1)N1CCC(NCc2cccs2)C1,11.19,0.2137,SPIN1_614,181
CCNC(=O)C1CCC2(NCc3ccc(OC)cc3)CCC1C2,9.72,0.2912,SPIN1_752,72
COc1ccc(C2(CCNC3CCC(N)CC3)CCCC2)cc1,15.54,0.3309,SPIN1_206,519
COc1cccc(CCNC(=O)C2CCC3C4CCC5(C)C(=O)CCC5C4CCC23C)c1,15.09,0.3168,SPIN1_569,215
CCCC1COC2(CCC(C(=O)NCCc3ccc(F)cc3)C2)C1,16.89,0.275,SPIN1_146,565
Cc1cccc(NC(=O)NC2CCCC(C)C2)c1,8.78,0.2234,SPIN1_369,377
