SMILES,NLL,Tanimoto
Cc1cc(C)c(S(=O)(=O)N(C)c2ccccc2)cc1S(=O)(=O)Nc1ccccc1,13.0200,0.4116
Cc1ccc(C)c(NS(=O)(=O)c2cccc(S(=O)(=O)c3ccccc3)c2C)c1,11.3600,0.4544
Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3ccc(Cl)c(C)c3)c(C)cc2Cl)c1,15.1500,0.4674
Cc1cccc(C)c1S(=O)(=O)Nc1cccc(NS(=O)(=O)c2cccc(F)c2F)c1,15.7300,0.4041
Cc1ccc(C)c(S(=O)(=O)Nc2cc(NS(=O)(=O)c3ccc(C)c(C)c3)ccc2C)c1,7.9100,0.4351
Cc1cc(C)cc(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3cc(C)cc(C)c3C)c2C)c1,7.8100,0.4214
Cc1ccc(NS(=O)(=O)c2ccccc2)cc1NS(=O)(=O)c1ccccc1,9.6900,0.4206
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)ccc3C)c(C)c2C)c1,7.6100,0.4608
Cc1cc(C)cc(S(=O)(=O)c2cc(C)cc(C)c2NS(=O)(=O)c2ccc(C)cc2C)c1,12.9400,0.4590
Cc1cccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)ccc3C)c(C)cc2C)c1,8.8400,0.4194
Cc1csc(S(=O)(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)c1,19.6900,0.3872
Cc1ccc(C)c(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)cc(C)c3F)c(C)cc2C)c1,10.7700,0.4623
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)c(C)c2C)c1C,9.0800,0.4677
Cc1cc(C)cc(NS(=O)(=O)c2cccc(S(=O)(=O)Nc3cccc(C)c3C)c2C)c1,10.0200,0.4632
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(C)c(NS(=O)(=O)c3ccc(Cl)cc3)c2)c1,6.7900,0.4250
Cc1ccc(S(=O)(=O)Nc2c(C(=O)Nc3ccc(C)cc3C)cc(C)c(C)c2C)cc1,23.0100,0.6528
Cc1ccc(NS(=O)(=O)c2ccccc2C)cc1NS(=O)(=O)c1ccccc1,8.0800,0.4138
Cc1ccc(S(=O)(=O)Nc2cc(S(=O)(=O)Nc3ccc(C)c(C)c3)c(C)cc2C)cc1,9.9400,0.4679
Cc1cc(NS(=O)(=O)c2ccc(F)cc2)cc(NS(=O)(=O)c2cccc(C)c2C)c1,13.1000,0.4164
Cc1ccc(NS(=O)(=O)c2cccc(S(=O)(=O)Nc3cccc(C)c3)c2C)cc1,9.1700,0.3892
Cc1cccc(S(=O)(=O)c2cc(S(=O)(=O)Nc3cccc(C)c3C)ccc2C)c1,12.9200,0.4827
Cc1cc(C)cc(S(=O)(=O)c2ccc(C)c(NS(=O)(=O)c3cccc(C)c3C)c2)c1,11.1500,0.4520
Cc1ccc(C)c(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)c(C)c2C)c1,10.1400,0.4584
Cc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)c2)c(F)c1,11.0100,0.4670
Cc1ccc(NS(=O)(=O)c2ccc(C)c(S(=O)(=O)N(C)c3ccccc3)c2F)c(C)c1,20.6500,0.4707
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)c(C)c2C)c1,8.6900,0.4569
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)cc(F)c3)c(C)c2C)c1,10.4100,0.4724
Cc1cc(C)cc(S(=O)(=O)Nc2cc(S(=O)(=O)Nc3c(C)cc(C)cc3C)ccc2C)c1,11.4300,0.4378
Cc1ccc(NS(=O)(=O)c2ccccc2NS(=O)(=O)c2cc(C)ccc2C)c(C)c1,14.6700,0.4387
Cc1ccc(S(=O)(=O)Nc2c(C)cc(C)c(C)c2NS(=O)(=O)c2ccc(C)cc2)cc1,13.4700,0.4805
Cc1ccc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3cccc(C)c3C)c(C)c2C)cc1,11.7500,0.4602
Cc1ccc(C)c(S(=O)(=O)Nc2ccc(S(=O)(=O)Nc3cccc(C)c3C)cc2)c1,8.7000,0.4594
Cc1cc(C)cc(S(=O)(=O)c2cc(C)c(C)c(S(=O)(=O)c3ccccc3)c2)c1,15.0500,0.2645
Cc1ccc(NS(=O)(=O)c2ccc(C)c(NS(=O)(=O)c3ccc(Cl)cc3)c2)c(F)c1,11.7700,0.4559
Cc1cccc(NS(=O)(=O)c2cccc(S(=O)(=O)Nc3ccc(C)c(C)c3)c2C)c1,9.9800,0.4031
Cc1cccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cccc(C)c3)c(Cl)cc2C)c1,13.3300,0.4463
Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3ccc(F)cc3)c(C)cc2C)c1,7.1100,0.4225
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(C)c(NS(=O)(=O)c3ccc(C)c(C)c3)c2)c1,7.3300,0.4351
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)c(C)c2)c1,10.6300,0.4247
Cc1ccc(C)c(S(=O)(=O)Nc2cccc(S(=O)(=O)Nc3ccc(C)c(C)c3)c2C)c1,12.4000,0.4481
Cc1ccc(C)c(S(=O)(=O)Nc2ccc(C)c(NS(=O)(=O)c3cc(C)ccc3C)c2)c1,7.4100,0.4103
CN(c1ccccc1)S(=O)(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,14.3000,0.3915
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)ccc3C)cc2)c1,9.3400,0.3989
Cc1ccc(C)c(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3ccc(C)c(Cl)c3)c2C)c1,11.6500,0.4494
Cc1cc(C)cc(S(=O)(=O)Nc2c(F)cc(NS(=O)(=O)c3cccc(C)c3C)c(C)c2C)c1,12.8400,0.4895
Cc1cccc(NS(=O)(=O)c2cc(S(=O)(=O)Nc3ccccc3)ccc2C)c1,10.4100,0.4145
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(C)c(C)c3)c(C)c2C)c1,10.2800,0.4711
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(C)c(NS(=O)(=O)c3ccccc3)c2)c1,5.0000,0.4118
Cc1ccc(S(=O)(=O)Nc2ccc(C)c(NS(=O)(=O)c3cc(C)ccc3F)c2)cc1,15.0400,0.4264
Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3ccc(C)c(C)c3)cc(C)c2C)c1,9.7500,0.4779
Cc1ccc(S(=O)(=O)c2cccc(NS(=O)(=O)c3ccccc3)c2C)cc1,11.2700,0.4260
Cc1cc(C)cc(S(=O)(=O)Nc2cccc(S(=O)(=O)Nc3cccc(C)c3C)c2C)c1,8.2000,0.4673
Cc1cc(C)cc(S(=O)(=O)Nc2cc(C)c(NS(=O)(=O)c3cccc(C)c3C)cc2C)c1,13.4400,0.4507
Cc1cc(NS(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)c1ccccc1,10.0400,0.4200
Cc1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)c3c(C)cccc3C)cc(C)c2C)c1,18.7300,0.4774
Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccccc2CS(=O)(=O)Nc2ccccc2)c1,24.1400,0.4373
Cc1ccc(S(=O)(=O)Nc2c(C)ccc(S(=O)(=O)Nc3cccc(C)c3C)c2Cl)cc1,13.6000,0.4793
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(F)cc3F)cc2C)c1,13.2600,0.4441
Cc1cccc(C)c1S(=O)(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,14.9300,0.3974
Cc1cccc(NS(=O)(=O)c2cccc(S(=O)(=O)Nc3cccc(C)c3C)c2C)c1C,8.3300,0.4624
Cc1cccc(S(=O)(=O)N=c2ccc(N(C)S(=O)(=O)c3cccc(C)c3)c(C)cc2C)c1,22.9000,0.4784
Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3ccc(C)c(C)c3)ccc2C)c1,9.8600,0.4351
Cc1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)Nc3ccc(C)cc3C)cc(C)c2C)c1,9.1500,0.4766
Cc1ccc(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3cccc(C)c3C)c2C)cc1C,8.3100,0.4353
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(C)c(NS(=O)(=O)c3ccc(Cl)c(C)c3)c2)c1,8.4300,0.4418
Cc1ccc(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3ccc(Cl)cc3)c2)c(C)c1,10.3800,0.4438
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(C)cc3C)c(C)c2C)c1,7.7800,0.4766
Cc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)c(C)c2C)c(C)c1,9.0800,0.4748
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)c(C)c2C)c1C,10.0800,0.4599
Cc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(C)cc3C)c(C)c2C)cc1,8.1000,0.4748
Cc1ccc(C)c(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3ccc(C)c(C)c3)c2C)c1,10.2300,0.4363
Cc1ccc(S(=O)(=O)Nc2ccc(C)c(NS(=O)(=O)c3ccccc3)c2)cc1C,5.8700,0.4329
Cc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(C)ccc3C)c(Cl)cc2C)cc1,16.1900,0.4597
Cc1c(NS(=O)(=O)c2ccccc2)cccc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1,11.5200,0.4346
Cc1cccc(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3cccc(C)c3)c2C)c1,13.0600,0.4201
Cc1ccc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3ccc(C)cc3)c(C)c2C)cc1,8.9700,0.4766
Cc1ccc(NS(=O)(=O)c2cccc(S(=O)(=O)Nc3cc(C)cc(C)c3)c2C)cc1,11.7700,0.3980
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3F)cc2C)c1,12.9400,0.4351
Cc1ccc(NS(=O)(=O)c2cccc(S(=O)(=O)c3ccc(C)c(C)c3)c2C)cc1,11.4500,0.4095
Cc1cc(C)cc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3ccc(F)c(F)c3F)ccc2C)c1,9.8400,0.4491
Cc1ccc(S(=O)(=O)Nc2cc(S(=O)(=O)Nc3cc(C)cc(C)c3)c(C)c(C)c2C)cc1,10.6800,0.4909
Cc1cc(NS(=O)(=O)c2ccc(C)cc2C)cc(S(=O)(=O)Nc2ccc(C)cc2C)c1,12.0300,0.4609
Cc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(C)ccc3C)c(C)c2C)c1,7.1400,0.4584
Cc1cc(C)cc(S(=O)(=O)Nc2c(C)ccc(C)c2NS(=O)(=O)c2cc(C)cc(C)c2C)c1,13.1200,0.4486
Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(C)c(F)c3)c(C)c2C)c1,11.2500,0.4834
Cc1ccc(C)c(S(=O)(=O)Nc2cccc(NS(=O)(=O)c3cc(C)cc(C)c3C)c2)c1,10.1600,0.3877
Cc1cc(C)cc(N(C)S(=O)(=O)c2ccc(NS(=O)(=O)c3cc(C)cc(C)c3C)c(C)c2C)c1,10.3700,0.4690
Cc1cc(C)cc(S(=O)(=O)Nc2ccc(C)c(NS(=O)(=O)c3cc(C)cc(C)c3)c2)c1,7.6300,0.4118
