SMILES,NLL,Tanimoto
O=S(=O)(Nc1cc(Cc2ccc(C(F)(F)F)cc2)ccn1)c1ccc(-c2ccccc2)o1,24.9500,0.4522
O=C(Nc1ccc(NC(=O)c2ccccc2)nc1)c1ccc(C(F)(F)F)cc1,10.1100,0.4854
Cc1nc(NS(=O)(=O)c2c(C)noc2C)cc2c1CCN(C(=O)c1ccco1)C2,18.3600,0.6454
CN(C)c1ccc(NC(=O)Nc2ccc3ccccc3c2)cc1,16.2800,0.2508
O=C(c1ccccc1)c1ccccc1OCc1ccccc1,15.6600,0.4122
FC(F)(F)c1ccccc1NC(=S)N=c1[nH]c2ccccc2s1,12.2900,0.3790
FC(F)(F)c1cccc(NCc2csc(-c3ccccc3)n2)c1,8.7000,0.3780
NCCCNc1cccc(-c2cccc3ccccc23)n1,20.0100,0.5446
O=C(Nc1ccc(CNc2ccccc2)cn1)c1ccc2ccccc2c1,18.0400,0.4418
O=C(NC(=O)c1cc(-c2cc3ccccc3o2)nc2ccccc12)c1ccccc1Br,17.3600,0.6061
Cc1cccc2cc(C(=O)Nc3cc(CNC(=O)NC4CCCCC4)c4ccccc4n3)oc12,30.3900,0.5284
O=C(NCc1cccc2ccccc12)Nc1cccc(C(F)(F)F)c1Cl,15.8800,0.3518
O=C(Nc1c(NCc2ccccc2)ccc2c1C(=O)CC2)c1ccccc1,9.0600,0.4398
CCNC(=O)c1ccccc1NC(=O)c1cc(NS(=O)(=O)c2cc3ccccc3s2)nc2ccccc12,26.0800,0.6077
FC(F)(F)c1ccc(C=Cc2nccc3ccccc23)cc1,19.0900,0.4050
c1ccc(CCc2nc3ccccc3s2)cc1,11.2200,0.4400
CN(C)CCC(=O)NC(=Nc1cccc(C(F)(F)F)c1)NCc1ccccc1,27.2900,0.3371
Cc1ccccc1NC(=O)c1ccc(NC(=O)c2ccco2)cc1,10.8700,0.4083
Cc1cccc(N2CCN(C(=O)c3ccc(NCc4cc5ccccc5o4)nc3)CC2)c1,13.3200,0.4827
CN(C)CCN(C(=O)c1nc2ccccc2nc1N(C)c1ccccc1)c1ccccc1,24.1000,0.5634
O=S(=O)(Nc1cc(CNc2ccccc2)c2ccccc2n1)c1ccccc1,12.9800,0.4608
O=C(Nc1cccc2ncccc12)N1CCN(c2ccc(F)cc2)CC1,13.4500,0.4135
O=C(CN(CCc1ccccc1)C(=O)COc1ccc2ccccc2c1)Nc1ccccc1,22.4200,0.4325
O=C(NCc1ccccc1F)c1c(NCc2ccccc2)sc2c1CCC2,22.9200,0.6052
Cc1ccccc1NC(=O)c1nc2cc(NC(=O)c3ccccc3)ccc2o1,16.9600,0.4420
O=C(NCc1ccccc1)N1CCC(Oc2ccc3ccccc3c2)C1,23.7800,0.3639
S=C(NCc1ccc2ccccc2c1)Nc1ccccc1,12.2300,0.3098
O=C(Nc1ccc(NC(=O)c2cccs2)nc1)c1cccc(F)c1,15.0300,0.4067
Cc1oc2ccc(NC(=O)Cc3ccc(C(F)(F)F)cc3)cc2c1C#N,15.3800,0.4008
O=C(NCCc1cccc2ccccc12)c1ccco1,17.3200,0.3034
O=C(NCc1ccccc1)NCc1ccc2c(c1C(F)(F)F)CCC2,15.6500,0.3525
CN(c1ccccc1)c1nc2ccccc2c(-c2ccccc2)c1C#N,9.8400,0.5056
CS(=O)(=O)Nc1ccc2ccc(CNc3ccccc3)nc2c1,11.6200,0.4541
Clc1cccnc1NC1CCc2ccccc21,16.1100,0.4078
NC(=O)c1c(Nc2ccccc2)sc2c1CCN2C1CCCCC1,18.0900,0.5422
O=C1c2ccccc2OC1(c1ccccc1)C1c2ccccc2NC2N(Cc3ccccc3)CCN21,34.7100,0.7744
O=C(Nc1cccc2c1C(=O)CC2=O)c1ccccc1,8.1500,0.4388
O=C(Nc1ccc2nc(-c3ccccc3)oc2c1)c1ccccc1,11.4200,0.6165
O=C(NCc1ccccc1)Nc1cc(NC(=O)c2ccc3ccccc3c2)nc2ccccc12,14.2600,0.4727
Cc1nc2cc(-c3ccccc3)ccc2c(=O)n1CCCN1CCN(C)CC1,15.3000,0.5558
Cc1ccccc1CN1C(=O)N(c2ccccc2)CC12CCN(Cc1ccccc1)CC2,20.0000,0.5169
S=C(Nc1cc2ccccc2s1)N(Cc1ccccc1)Cc1ccccc1,20.5300,0.3304
Cc1ccccc1C(=O)Nc1ccc(NC(=O)c2ccccc2)nc1,8.8300,0.4306
Cc1ccc(CNc2ccccc2N2CCN(c3cccc(C)c3C)CC2)cc1,21.0500,0.3658
Fc1ccc(-c2nc3ccccc3s2)cc1,14.5600,0.3283
Cc1ccc(CN2CCc3c2sc(NC(=O)c2cccs2)c3-c2ccccc2)cc1,19.3500,0.5812
O=C(Nc1ccccc1Nc1ccccc1)Oc1ccccc1,18.4400,0.2891
c1ccc(CNC2=NC(Cc3ccccc3)c3ccccc3N2)cc1,15.6200,0.3877
O=C(c1ccccc1)N1CCN(Cc2ccccc2)CC1Cc1ccccc1,12.3500,0.4455
O=C(NCc1cc2ccccc2s1)Nc1ccccc1C(F)(F)F,12.6900,0.3728
Cc1cc(N(C)Cc2coc(-c3ccc(C(F)(F)F)cc3)n2)cc(C(F)(F)F)c1,22.2400,0.3912
Cc1nc2c(c(-c3ccccc3)c1-c1ccccc1)C(=O)CC2,16.9300,0.5127
O=C(N=c1[nH]c2ccccc2s1)c1ccc(NCc2ccc3ccccc3n2)nc1,12.0100,0.4765
O=C(Nc1cccc(C(F)(F)F)c1)Nc1ccccc1N1CCN(c2ccccc2)CC1,15.0200,0.3715
O=C(Nc1ccccc1)Nc1ccc2c(Nc3ccccc3Cl)nccc2c1,16.9900,0.3013
O=C1N(c2ccccc2)CCN1c1cc2oc(-c3ccc(C(F)(F)F)cc3)cc(=O)c2cn1,18.5100,0.5683
O=C(c1nc2ccccc2nc1NS(=O)(=O)c1cc2ccccc2s1)N1CCN(c2ccccc2)CC1,10.3100,0.5909
CS(=O)(=O)Nc1ccc2[nH]c(CNC(=O)Nc3ccccc3)cc2c1,10.9300,0.4218
O=C(c1ccccc1)N1CCN(Cc2coc3ccccc23)CC1,11.2000,0.3837
FC(F)(F)c1ccc(-c2cccnc2NCc2ccc3ccccc3n2)cc1,12.6600,0.4464
Fc1ccc(N2CCN(c3ccccn3)CC2)cc1,9.6400,0.3092
O=C(N=c1[nH]c2ccccc2s1)Nc1ccccc1N1CCSc2ccccc21,20.2200,0.5010
FC(F)(F)c1cc(-c2ccccc2)nc(N2CCN(c3cccc4ccccc34)CC2)c1,11.9300,0.5047
O=C(NCc1ccccc1)NCc1cc2ccccc2o1,8.9000,0.3162
Cc1c(CNc2ccccc2Cl)sc2ccccc12,12.3900,0.3983
c1ccc(C2c3ccccc3CN3CCCCC23)cc1,12.9500,0.6002
O=C(NCc1ccc2ccccc2c1)NCc1ccco1,7.5000,0.2914
Cc1cccc(C(=O)NCc2cc3cccc(C(F)(F)F)c3o2)n1,17.6600,0.4053
c1ccc(CNC(=NOCc2cccc3ccccc23)c2ccccc2)cc1,20.6200,0.3132
