SMILES,NLL,Tanimoto
COc1ccc(NC(=O)Nc2ccc3c(c2)OCS(=O)(=O)N3)cc1,17.4100,0.2891
O=C(NCc1ccccc1)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,11.9000,0.2601
COc1cccc(NC(=O)N=c2[nH]c(C)c(C)s2)c1,10.6700,0.2822
COc1ccc(OC)c(OC)c1CC(=O)NC(C)C,15.5600,0.2998
COc1ccc(S(=O)(=O)N2CCCC2)c(CCN2CCN(C)CC2)c1,25.0200,0.3585
COc1ccc(C(=O)NCC(=O)NCc2cccc(C)c2)cc1,19.3100,0.3140
COc1ccc(NCc2cc(OC)ccc2OC)c(C)c1,14.6000,0.3076
COc1cc(C=CC(=O)Nc2ccc(CN3CCOCC3)cc2)cc(OC)c1OC,9.8700,0.3935
COc1cc(S(=O)(=O)NCc2ccc(SC)cc2)ccc1N,20.3200,0.2754
COc1cc(O)c(C=CC(=O)Oc2c(OC)cc(C)cc2OC)c(OC)c1,21.7000,0.3405
COc1ccc(C=Nc2ccc(S(=O)(=O)NCc3ccccc3)cc2)ccc1=O,18.1700,0.2930
COc1cc(C=CC(=O)Nc2ccc(C)cc2)c(-c2cccc(C(=O)O)c2)c(OC)c1,16.7600,0.3713
COc1ccc(N2CCC(Oc3ccc(CC(=O)O)cc3)C2)cc1,13.6800,0.2729
COc1cc(CC(=O)Nc2ccc(SC(F)F)cc2)ccc1O,11.7100,0.2960
COc1ccc(NC(=O)Nc2ccc(OC)c(OC)c2)cc1,9.1600,0.2246
COc1ccc(C=CC(=O)NC(C)C)c(-c2cc(C)ccc2C=O)c1,22.7500,0.2936
O=C(C=Cc1ccccc1)Nc1ccc(S(=O)(=O)N=c2cccc[nH]2)cc1,19.4700,0.2854
COc1ccc(CN(C)c2ccc(OC)cc2C(=O)O)cc1,18.3600,0.3304
COc1cccc(=NC(=O)Nc2ccccc2C)[nH]1,15.7700,0.2726
COc1ccccc1CNC(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,13.2700,0.2961
COc1cc(C)c(N(O)N=Nc2ccccc2C)cc1OC,25.1800,0.3143
Cc1cccc(NC(=O)C=Cc2c(O)cc(O)cc2Cl)c1C,21.1900,0.2951
COc1ccc(C(Cc2c(OC)ccc(OC)c2Cl)C(=O)O)c(OC)c1,15.6900,0.4074
COc1ccccc1NS(=O)(=O)c1ccc(CCC(=O)O)cc1C,18.0800,0.3427
COc1cc(Cl)c(CN(C)Cc2ccccc2OC)c(OC)c1,20.1400,0.3024
Cc1ccc(-c2cc(CC(O)(CO)c3ccccc3)c[nH]2)cc1,31.6700,0.3466
COc1cccc(CCN(Cc2cccc(OC)c2)C(=O)NC2(C)CC2)c1,26.5400,0.3807
COc1cc(OC)c(OC)cc1C=CC(=O)Nc1cccc(C(=O)O)c1,12.3800,0.3134
O=C(O)C1(Cc2ccc(F)cc2)CCCN(Cc2cccc(O)c2)C1,22.8500,0.3476
Oc1csc(CSc2ccc(Br)cc2)n1,25.2800,0.1734
COCc1cccc(CNC(=O)c2cccc(CO)c2)c1OC,21.6400,0.2738
COc1ccc(NC(=O)OCc2cccnc2Cl)cc1,16.6700,0.2614
COc1cc(NC(=O)Cc2ccoc2)cc(OC)c1,9.2100,0.2188
COCCNC(C)c1ccc(-c2ccc(S(=O)(=O)NCCOC)cc2)cc1,32.1600,0.2661
COc1ccc(C2NC(=O)N(CC(=O)O)C(=O)N2)cc1,13.8000,0.3127
CC(=O)N1CCc2cccc(C(=O)N3CCCC3)c2C1,23.2100,0.3500
COc1ccc(C=CC(=O)NCCc2ccccc2)c(O)c1,13.1800,0.2655
COCc1cccc(CNC(=O)c2ccc(OC)c(S(=O)(=O)Nc3ccccc3)c2)c1,19.8000,0.3714
Cc1cccc(CN2CCN(CCn3cnc4ccccc4c3=O)CC2)c1,17.4800,0.3679
COc1cc(CC(=O)N=c2cc(C)o[nH]2)cc(OC)c1OC,13.8000,0.3031
COc1ccccc1C(=O)NC1CCN(Cc2ccccc2)CC1,11.7100,0.3232
COc1cccc(COc2ccc(CN(C)C)cc2)c1,14.8800,0.3153
CCc1ccc(NC(=O)Nc2cc(OC)ccc2OC)cc1,12.4000,0.2264
O=C(C=Cc1cnc2[nH]cnc2c1)NC1CCCN(Cc2cccc(O)c2)C1,12.3800,0.3748
COc1cccc(CNC(=O)N=c2cccc(C)[nH]2)c1,11.5800,0.3071
O=C(CSCc1ccccc1)Nc1ccc(C(=O)NCc2ccco2)cc1,20.4000,0.2926
O=C(Nc1cccc(S(=O)(=O)NCc2ccccc2)c1)c1cccs1,18.5000,0.3083
O=C(C=Cc1cnc2[nH]cnc2c1)NCc1ccc(O)cc1,11.1800,0.2968
CN1CCN(Cc2ccc(S(=O)(=O)NC3CC4CCC3C4)cc2)C1=O,24.3400,0.3166
COc1cc(CC(=O)Nc2cccc(S(N)(=O)=O)c2)ccc1O,10.8400,0.3136
Cc1cc(CCC(=O)CCc2ccc(O)cc2O)c(C)cc1O,26.0100,0.2297
COc1ccc(S(=O)(=O)Nc2ccccc2)cc1NC(=O)Nc1ccccc1,11.8000,0.3022
