SMILES,NLL,Tanimoto
CNc1cc(NC(=O)OC)ccc1NC(=O)OC(C)C,4.6700,0.1850
COC(=O)Nc1cccc(CCc2ccnc(C(=O)O)c2)c1,15.3200,0.2737
CNS(=O)(=O)c1cc(NC(=O)OC)ccc1C(=O)OC,25.4200,0.3388
CNC(=O)NC(=O)Nc1ccc(OC)c(NC(=O)OC)c1,13.3800,0.2424
CNC(=O)c1ccc(NC(=O)OC)cc1OC,6.1400,0.3128
CCNc1cccc(C(=O)Nc2ccccc2C(=O)O)n1,13.6400,0.3724
CNC(=O)CCN=[S+]([O-])c1ccc(NC(=O)OC)cc1,19.7300,0.2136
OCCNc1cccc(=Nc2cnn[nH]2)[nH]1,14.1100,0.2654
O=C(O)c1cc(NC(=O)c2cc[nH]n2)ccn1,9.9100,0.2850
CCOC(=O)Nc1cc(=NCCOC)[nH][nH]1,9.7600,0.1988
COCC(=O)NS(=O)(=O)Nc1ccc(OC)cc1,10.3700,0.1908
COC(=O)NNS(=O)(=O)c1ccccc1,8.0700,0.1480
N#Cc1ccc(NC(=O)Nc2c[nH]c(C(=O)O)c2)cc1,12.4900,0.2671
CNC(=O)c1ccc(NC(=O)OC)cc1,6.5400,0.2401
COC(=O)c1ccc(NC(=O)c2cccc(NS(=O)(=O)OC)c2)cc1,16.8100,0.2722
CNC(=NONC(=O)OCc1ccccc1)NC,15.1300,0.1576
N#Cc1ccc(NCc2ccccc2C(=O)O)cc1N,14.7500,0.2945
CNC(=O)Nc1cccc(C(N)=O)c1C#N,10.7800,0.2894
O=C(Nc1ccccc1C(=O)O)c1cc[nH]c1,11.8100,0.3820
CNc1cc(C(=O)NCCOC)ccc1C#N,9.2500,0.2886
COc1ccccc1NC(=O)Nc1ccccc1C(=O)O,12.2600,0.3721
CNc1c[nH]c(=N)cc1CCc1c[nH]c(=O)[nH]1,28.7300,0.2592
CCOC(=O)Nc1ccc(C(=O)NC)cc1C#N,8.2700,0.3029
CNC(=O)c1ccc(NC(=O)OC)nc1,10.7300,0.3055
COC(=O)c1c[nH]cc1NC(=O)Nc1ccc(OC)nc1,17.4000,0.3060
CCc1ccc(NS(=O)(=O)Nc2ccc(OC)cc2)cc1,10.4800,0.2046
COCC(=O)Nc1cccc(NS(=O)(=O)OC)c1,12.9100,0.2056
CNC(=O)c1cccc(N=c2nc(Nc3ccc(OC)cc3)cc[nH]2)c1,18.3000,0.3030
CCOC(=O)Nc1ccc(N2CCN(C)CC2)nc1,15.3900,0.2872
NC(Cc1c[nH]c2ccccc12)C(=O)O,6.0900,0.2715
NC(Cc1ccc[nH]1)C(=O)O,5.6900,0.2126
COCCNC(=O)c1ccc(NC(=O)OC)cc1OC,6.9400,0.3215
O=C(O)c1ccccc1NS(=O)(=O)Nc1ccccc1,8.4600,0.3000
CCOC(=O)Nc1cc(C(=O)NC)n[nH]1,5.8100,0.2500
CNC(=O)c1cc(NCc2ccccc2NC(=O)OC)[nH]c(=N)c1,24.5400,0.3426
CNS(=O)(=O)Nc1cccc(NS(=O)(=O)OC)c1,12.8300,0.1608
CNc1nc(C(=O)N(C)C)nc2c(N)cccc12,23.5600,0.3507
CC(C)OC(=O)Nc1cc[nH]c(=Nc2ccccc2C(=O)O)c1,14.9000,0.3296
CNc1cccc(OC)c1NOc1ccccc1C(=O)O,16.5900,0.3178
COc1ccccc1S(=O)(=O)NCC(=O)O,10.3700,0.2211
CNC(=O)c1cccc(C(=O)NCc2ccc(OC)cc2)c1,12.0300,0.3182
COC(=O)c1ccc(NS(=O)(=O)Nc2ccccc2OC)cc1,12.0800,0.2562
COC(=O)Nc1ccc(C(N)=O)cc1,13.8800,0.2095
O=C(O)c1cccc(COc2ccccc2C(=O)O)c1,15.1400,0.3729
COCCNC(=O)c1ccc(C#N)cc1,6.4400,0.3058
O=C(O)CNC(=O)COc1ccc(C(=O)O)cc1,16.6600,0.3062
CCOC(=O)Nc1ccc(C(=O)O)cc1,9.6900,0.2632
CNCc1cc(C(N)=O)[nH]n1,8.1600,0.1893
COc1ccccc1NC(=O)Nc1cccc(C(=O)O)c1,9.5300,0.2765
