SMILES,NLL,Tanimoto
Cc1cc(C(=O)NC(C)c2ccc(C(C)(C)C)cc2)c(-c2ccc(C(=O)N3CCOCC3)o2)c(C)n1,13.1700,0.5796
COc1cccc(C(C)NC(=O)c2ccc(-c3ccc(C(=O)N4CCOCC4)s3)nc2)c1,8.2200,0.5233
COc1cc(C(=O)NC(C)c2ccc3c(c2)cc(C)n3C)ccc1-c1ccc(C(=O)N2CCOCC2)o1,6.0100,0.5679
COc1cc(C(=O)NC(C)c2ccc3ccoc3c2)ccc1-c1ccc(C(=O)N2CCOCC2)o1,9.5700,0.5526
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)nc1)c1ccc2c(n1)OCO2,15.8700,0.5874
CCc1cccc(C(C)NC(=O)c2ccc(-c3ccc(C(=O)N4CCOCC4)o3)cc2)c1,14.3700,0.4309
CC(NC(=O)c1ccc(-c2cnn(C)c2-c2ccc(C(=O)N3CCOCC3)o2)nc1)c1ccccc1F,10.0500,0.6337
CC(NC(=O)c1ccc(-c2cc(C(=O)N3CCOCC3)on2)nc1)c1ccc(F)cc1,7.5000,0.5319
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)nc1)c1cccc(Cl)c1,7.4700,0.4965
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)nc1)c1ccc(Cl)cc1,5.6300,0.4893
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)cc1)c1ccc2c(c1)OCCO2,5.0800,0.4870
COc1ccc(C)cc1C(C)NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)s1,10.3700,0.5744
COc1cc(C(=O)NC(C)c2ccc3c(ccn3C)c2)ccc1-c1ccc(C(=O)N2CCOCC2)o1,7.5300,0.5556
COc1c(C(C)NC(=O)c2cnc(C)c(-c3ccc(C(=O)N4CCOCC4)o3)c2)ccc2ccccc12,8.9200,0.6030
CC(NC(=O)c1cncc(-c2ccc(C(=O)N3CCOCC3)o2)c1)c1ccccc1F,5.1700,0.5044
Cn1cc(-c2ccc3c(c2)NC(=O)CO3)c(-c2ccc(C(=O)N3CCOCC3)o2)n1,8.4500,0.6032
Cc1ccc(C(C)NC(=O)c2ccc(-c3ccc(C(=O)N4CCOCC4)o3)nc2)cc1,4.3900,0.4874
CC(NC(=O)c1ccc2c(-c3ccc(C(=O)N4CCOCC4)o3)n(C)nc2c1)c1ccccc1,4.9100,0.5746
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)nc1)c1cccc2c1OCCO2,8.8200,0.5878
Cc1cc(-c2ccc(C(=O)N3CCOCC3)o2)cc2c1CN(C)C(=O)CO2,11.1100,0.5190
Cc1ccc(-c2cc3c(-c4ccc(C(=O)N5CCOCC5)o4)nc(C)n3cn2)cc1C,10.2700,0.6049
COC(=O)c1cc(-c2ccc(C(=O)NC(=O)c3ccnc(-c4sccc4C)c3)cc2)oc1C,22.2900,0.5205
Cc1cc(C(C)NC(=O)c2cc(-c3ccc(C(=O)N4CCOCC4)o3)ccc2C)cs1,13.4400,0.4934
COC(=O)c1cc(C)c2cc(-c3ccc(-c4ccc(C(=O)N5CCOCC5)o4)nc3)oc2c1,11.9800,0.5673
O=C(c1ccc(-c2cnc(-c3ccc(C(=O)N4CCOCC4)o3)nc2)o1)N1CCOCC1,7.7800,0.4152
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)nc1)c1ccccc1Cl,4.7200,0.5005
Cc1cc(-c2ccc(C(=O)N3CCOC3)o2)c2ccc(C(=O)NC(C)C)cc2n1,13.0400,0.5092
CC(NC(=O)c1ccc(-c2ccc(C(=O)N3CCOCC3)o2)nn1)c1ccc(C(F)(F)F)cc1,15.1600,0.5061
CC(=O)c1ccc(-c2ccn3cc(-c4ccc(C(=O)N5CCOCC5)o4)nc3c2)cc1,19.4800,0.5072
