SMILES,NLL,Tanimoto
CCN(CC(=O)Nc1cccc(OC)c1)C(=O)C1CCCN(C(=O)OCc2ccc3ccccc3c2)C1,28.4500,0.4064
O=S(=O)(Nc1ccc(S(=O)(=O)N2CCCOC2)cc1)c1ccccc1N1CCOCC1,15.1600,0.4273
O=C(Nc1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1)N1Cc2ccncc2C1,9.1200,0.5231
Cc1ccc(NC(=O)On2c(C)c(C)c3ccc(OCC(=O)N4CCOCC4)cc32)cc1,26.3100,0.5269
O=C(Oc1ccc(NS(=O)(=O)c2ccc(C3CCCCO3)cc2)cc1)N1CCOCC1,12.9300,0.4014
COc1ccc(F)c(OC2CCN(S(=O)(=O)c3ccc(NC(=O)C4CCOC4)cc3)CC2)c1,7.2700,0.4256
O=C(Nc1ccc2cc(OC(=O)N3CCOCC3)ccc2c1)c1ccc(OC(F)(F)F)cc1,12.3000,0.3577
O=S(=O)(c1ccc(OC(F)(F)F)cc1)N1CCC(Oc2ccc(O)cc2F)CC1,17.8100,0.3453
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Nc1ccccc1C(=O)N1CCOCC1,6.9800,0.4095
COc1cccc(C(=O)Oc2ccc(OC(F)(F)F)cc2C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,16.3600,0.4667
COc1ccc2c(c1)CCCN2S(=O)(=O)c1ccc(NC(=O)c2ccc(OC(F)(F)F)cc2)cc1,8.4600,0.5124
O=C(c1ccc(NC(Oc2ccccc2F)C2(c3ccncc3)CCOCC2)cc1)N1CCOCC1,27.6600,0.4983
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1cc(Cl)[nH]c1N1CCOc2ccccc2C1,18.8300,0.5659
O=C(COc1cccc(NC(=O)N2Cc3ccncc3C2)c1)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,11.1700,0.4680
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Nc1ccccc1N1CCOCC1,6.9700,0.3658
O=C(Nc1ccccc1N1CCOCC1)c1ccc(OC(=O)N2CCOCC2)cc1,9.3900,0.4075
CCN(C(=O)Nc1ccc(N2CCOCC2)cc1N1CCOCC1)c1cccc(OC(F)(F)F)c1,15.6800,0.4337
O=C(COc1cccc(Cl)c1)Nc1ccc(S(=O)(=O)N2CCC(Oc3ccc(F)cc3F)CC2)cc1,12.0000,0.4077
O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)Oc1cccc(-c2ccco2)c1,9.5500,0.3967
O=C(Nc1ccc(OC(F)(F)F)cc1)Oc1ccc(N2CC(=O)C(Cc3ccccc3)C2=O)cc1,18.7500,0.4664
O=C(Nc1ccc(S(=O)(=O)N2CCCC2c2ccccc2F)cc1)N1Cc2ccncc2C1,11.8500,0.5456
CN(Cc1ccc(Cl)cc1)S(=O)(=O)c1ccc(NC(=O)N2CCc3ccccc3C2)cc1,15.3800,0.4242
