SMILES,NLL,Tanimoto
Cc1cccc(Cc2ccncc2CN(C(=O)NCc2ccncc2)C(C)(C)C)n1,22.0900,0.3677
CC(C)(C)N(C(=O)c1ccncc1)c1ccc(C(=O)Nc2cccnc2N2CCCCCC2)cc1,23.9000,0.4709
O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)N2CCN(C(=O)NCc3ccccc3)CC2)cc1,10.5700,0.4275
COc1ccccc1NC(=O)c1ccc(S(=O)(=O)NCc2ccccc2)cc1,11.4200,0.4394
CCc1ccc(CNS(=O)(=O)c2cccc(C(=O)Nc3ccc4ccnnc4c3)c2)cc1,22.0400,0.4578
CNS(=O)(=O)c1ccc(NC(=O)N2CCN(S(=O)(=O)c3ccc(NS(=O)(=O)c4ccccc4)cc3)CC2)cc1,18.0600,0.4225
COc1ccc(NC(=O)NC2CCCN(C(=O)NCc3cccc(C)c3)CC2)cc1,27.1800,0.3973
O=C1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)cc2)c2ccccc2N1,7.1400,0.4750
CCc1cccc(NC(=O)Nc2ccc(S(=O)(=O)N3CCN(C(=O)c4ccccn4)CC3)cc2)c1,11.7400,0.4599
Cc1ccc(N2CCN(C(=O)c3cccc(NC(=O)COc4ccccn4)c3)CC2)cc1,22.4800,0.4349
O=C(NCc1ccc2ccccc2c1)c1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1,18.2300,0.4289
Cc1ccccc1NC(=O)N1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3ccccc3)cc2)CC1,8.1000,0.4418
O=C(NCc1ccccc1)c1ccnc(C2COCCN2C(=O)NCCc2ccccc2)c1,20.1200,0.4779
COCCNC(=O)C1(C)CCCN1S(=O)(=O)c1ccc(NC(=O)NCc2ccccc2)cc1,17.1900,0.5150
COc1ccc(CNC(=O)NCc2cccs2)cc1NC(=O)c1ccc2ccccc2n1,31.4600,0.4578
CNC(=O)c1ccc(NC(=NNS(=O)(=O)c2ccc(C)cc2)c2ccc([N+](=O)[O-])cc2)c(C)c1,27.7500,0.4222
O=C(NCc1ccccc1)C1CCCN1C(=O)c1ccc(S(=O)(=O)NCc2ccccc2)cc1,11.0700,0.4471
CCOC(=O)c1cccn1CC(=O)c1cc(NC(=O)c2ccccn2)ccc1OC,23.9500,0.4767
