SMILES,NLL,Tanimoto
FC(F)(F)c1cc[nH]c(=NC2CCN(Cc3ccc4ccccc4c3)C2)n1,21.6300,0.3639
COc1ccccc1NC(=O)N1CCN(c2cccc(C(=O)NC3CC3)c2)C1,10.4300,0.4893
O=C(Nc1ccccc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,13.7800,0.4436
Cc1cccc(NC(=O)NC2CCN(CCc3ccccc3)C2)c1,11.8900,0.4709
Cc1cc[nH]c(=Nc2ccc(C(=O)NC3CCN(Cc4ccccc4)CC3)cc2)c1,12.9000,0.4634
COC(=O)c1ccc(CN2CCN(N=Cc3ccccc3OC)C2=O)cc1,15.5700,0.3806
CN(Cc1ccco1)Cc1oc2ccccc2c1CN1CCOCC1,24.2800,0.4917
COc1cccc(C(=O)Nc2cccc(C(=O)N3CCOCC3)c2)c1,10.2900,0.4412
O=C(c1cccc(CN2CC(COc3ccccc3)C2)n1)c1ccco1,24.9600,0.3944
CCOC(=O)c1oc2ccccc2c1NC(O)c1ccccc1C(=O)OC,24.3400,0.4827
CCOc1ccc(-c2nc(CN(C)Cc3ccccc3)oc2CN2CCOCC2)cc1,12.9900,0.4527
O=C(Nc1cccc(C(=O)N2CCOCC2)c1)N1CCN(c2ccccc2)CC1,7.7300,0.4528
CCc1ccc(NC(=O)Oc2cccc(CN3CCOCC3)c2)cc1,14.1800,0.4046
COc1ccc(NC(=O)N2CCC2c2ccc(C(=O)NCCOc3ccccc3)o2)cc1,17.9400,0.4277
COc1ccccc1NC(=O)N1CCN(Cc2ccccc2C)C1,10.3200,0.5170
Cc1ccccc1CN1CCc2cccc(S(=O)(=O)N3CCCC3)c21,15.6800,0.4921
COC(=O)c1ccccc1CN1CCN(C(=O)c2ccc3ccccc3c2)CC1,7.2100,0.4619
CC(=O)c1ccc(NC(=O)N2CCN(c3ccc4ccc(C(=O)NC5CC5)cc4n3)C2)cc1,13.6300,0.4916
CC(=O)c1cccc(NC(=O)OC2CN(C(=O)NC34CC5CC(CC(C5)C3)C4)C2)c1,20.5400,0.3840
COc1ccccc1CN1CCN(c2ccc(C(=O)O)cc2)C1=O,13.3200,0.5000
O=C(NC1CC1)c1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1,10.0400,0.4581
COc1ccc(Cn2ncc3cc(C(=O)NC4CCC4)ccc32)cc1,16.2600,0.4723
O=C(c1ccco1)N1CCC(Nc2ccccc2)C1,14.3900,0.3867
Cc1ccccc1NC(=O)c1ccc(CN2CCN(C(=O)c3ccco3)CC2)cc1,15.1400,0.4382
O=C(c1ccco1)N1c2ccccc2CCc2ccccc21,12.7800,0.4457
O=C(NCc1cccc2ccccc12)c1ccco1,15.7600,0.3123
O=C(Nc1ccccc1C(=O)N1CCC(c2ccccc2)C1)c1ccco1,17.4800,0.5147
COc1ccccc1OCCNC(=O)c1cccc2ccccc12,11.5900,0.3853
CC(C)Oc1ccccc1N1CCN(CC(=O)Nc2ccc(C(=O)N3CCOCC3)cc2)CC1,6.0100,0.4659
Cc1cccc(CN2CCN(C(=O)c3ccc(CN4CCOCC4)cc3)CC2)c1,8.6100,0.4820
CC(C)Oc1ccccc1N1CCN(C(C(=O)Nc2ccc(Cl)cc2)c2ccccc2)CC1,18.7600,0.4535
CNC(=O)c1cccc(C2CCN(C(=O)CNC(=O)c3ccccc3)C2)c1,17.3200,0.6324
O=C(CNC(=O)c1ccc2ccccc2c1)NC1CC1,13.6800,0.4121
Cc1ccccc1NC(=O)N1CCN(c2nc3ccccc3o2)CC1,8.5900,0.3983
COC(=O)c1ccc(CN2c3ccccc3CCc3ccccc32)cc1,13.6200,0.3792
O=C(CNC(=O)c1ccc2ccccc2c1)NC1CCCC1,10.5700,0.4436
COc1cccc(N2CCN(C(=O)c3cc(C)ccc3C)CC2)c1,12.2800,0.5535
CC(=NC(=O)c1coc2ccccc2c1=O)NC(=O)c1ccccc1,24.1600,0.3814
N#Cc1cccc(N2CCN(c3cccc(CN4CCOCC4)n3)CC2)c1,14.2300,0.4063
COc1cc(C(=S)NC2NC(=O)c3ccccc32)ccc1OC(C)=O,23.8900,0.4171
O=C(c1ccncc1)N1CCN(Cc2ccc(F)cc2)CC1,14.7500,0.4517
CC(C)Oc1ccccc1N1CCN(Cc2cccc3cc[nH]c23)CC1,17.3700,0.4710
