SMILES,NLL,Tanimoto
CCOC(=O)COc1ccc(Cl)cc1NC(C)CC,20.8600,0.2854
CCNc1ccccc1NC(=O)Cc1ccccc1,14.4000,0.2631
O=C(NCCN1CCc2ccccc2C1)c1ccccc1,15.9500,0.2476
O=C(Nc1ccc(-n2cc(Cl)cn2)s1)c1ccccc1Cl,19.8900,0.3447
CCNc1ccccc1NC(=O)c1cccc2ccccc12,15.0100,0.3961
CC(C)OC(=O)Nc1ccc(NC(=O)c2ccccc2Cl)cc1,13.4300,0.4128
Cc1ccc(NC(=O)Cc2ccccc2Cl)cc1,12.0800,0.2653
O=C(NCc1ccccc1Cl)c1ccc(Cl)c(Cl)c1,15.2900,0.2617
O=C(Nc1ccccc1Cl)c1ccccc1O,7.2100,0.4021
O=C(Nc1c(F)cccc1OCc1ccccn1)c1ccccc1Cl,18.9300,0.3859
Cc1c(Cl)cccc1NC(=O)c1ccccc1S(=O)(=O)Cl,10.5700,0.3333
O=C(Nc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1)c1ccccc1Cl,8.5100,0.3629
CC(C)Nc1ccc(Cl)c(C(=O)Nc2ccc(Oc3ccccc3)cc2)c1,16.6000,0.4005
CC1CCCN(c2ccc(=O)n(CC(=O)Nc3ccccc3Cl)n2)C1,21.8700,0.3340
CCc1ccccc1C(=O)Nc1cccc(Cl)c1Cl,11.6800,0.3706
CCCCc1sc(CCCc2ccc(OC)cc2)nc1OC,25.6000,0.2866
CCOc1ccc(C(=O)NNC(=O)c2ccccc2Cl)cc1,14.7000,0.3432
COc1cccc(NC(=O)c2ccccc2O)c1,12.0500,0.4414
CC(c1ccccc1O)N(C)Cc1ccccc1Cl,18.0100,0.2492
O=S(=O)(N=c1[nH]ccs1)c1ccc(NCc2ccccc2)cc1,18.0800,0.2753
CC(Nc1ccccc1C(=O)Nc1cccnc1Cl)c1ccccc1,14.6900,0.3637
CC1CCCC2Cc3ccc(C(=O)NCc4ccc(Cl)cc4)cc3CN12,22.1900,0.3220
Cc1ccccc1C(=O)Nc1cccc(OCc2ccccc2)c1,10.6900,0.4302
Cc1ccccc1NC(=O)c1ccccc1NC(C)C,11.5500,0.3827
Cc1c(Cl)cccc1NC(=O)c1ccccc1Cl,6.5200,0.3753
O=C(C=Cc1ccc(Cl)cc1)Nc1ccccc1,12.9300,0.2651
Cc1ccc(-c2ccc(NC(=O)Cc3ccc(Cl)cc3)cc2)cc1,11.9700,0.2477
CCCNC(=O)Nc1ccc(NC(=O)c2ccc(Cl)c(Cl)c2)cc1,23.6800,0.3948
Cn1c(CCC(=O)Nc2ccc(Cl)cc2)nnc1-c1ccccc1,13.7200,0.2966
CC(=O)Nc1ccc(NC(=S)Nc2cccc(Cl)c2)cc1,17.0600,0.2632
O=C(Cc1cccs1)Nc1ccccc1F,11.6500,0.2400
O=C(CN1Cc2ccccc2CC1C1CC1)Nc1ccccc1,17.6900,0.3396
COC(=O)c1cc(F)ccc1NC(=O)c1ccccc1Cl,16.0900,0.3589
S=C(NCc1ccc(Cl)cc1)Nc1ccccc1,7.4000,0.2261
COc1ccccc1C(=O)Nc1cccnc1,11.9800,0.3942
CC(C)Nc1ccccc1SCC(=O)Nc1ccc(Cl)cc1,12.8300,0.2312
O=C(Nc1cccc(Cl)c1)c1ccccc1Cl,7.6800,0.3944
O=C(c1ccccc1)c1n[nH]c(Cc2ccc(Cl)cc2)n1,14.1900,0.2274
CCOc1cc(NC(=O)c2ccccc2Cl)ccc1Cl,13.5100,0.4431
O=C(Cc1ccccc1)Nc1ccc(Cl)cc1C(=O)O,11.4000,0.3045
Cc1cccc(-c2nc(CNCCCn3cccc3)cs2)c1,18.9500,0.3000
O=C(CCc1ccccc1)Nc1cccc(Cl)c1,9.7700,0.2875
N#CN=C([O-])c1ccc(Cl)cc1,16.1500,0.2485
O=S(=O)(Nc1cc(Cl)ccc1Cl)c1ccc(Cl)cc1,15.8000,0.2086
O=C(Nc1ccccc1)c1c(Cl)cccc1Cl,9.7100,0.3866
O=C(Nc1cccc(Oc2ccccc2)c1)c1cccc(Cl)c1,13.0000,0.4024
Cc1ccc(C(=O)Nc2ccccc2Cl)cc1,11.4000,0.3919
O=C(Nc1ccc(Cl)cc1)c1ccc(OC(F)F)cc1,15.1600,0.5068
OC1CNC(Cc2cccc(COc3ccccc3)n2)C1,14.9900,0.2835
CCC(=O)Nc1ccc(CN2CCN(c3ccccc3C)CC2)cc1,15.2300,0.4837
Cc1ccc(NC(=S)NCc2ccc(Cl)cc2)c(C)c1,11.0500,0.2886
O=C(Nc1ccccc1)Nc1ccc(Cl)cc1,7.0700,0.1966
Clc1ccc(CNCCc2cnc(Cl)c(Cl)c2)cn1,18.7600,0.2076
O=C(Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1)c1ccccc1Cl,9.2800,0.3529
CC1(COc2cccc(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)c2)CC1,17.8700,0.4453
CC(Cc1ccccc1)NCCc1ccc(Cl)cc1,14.0600,0.1816
CCOc1ccc(NC(=O)c2ccccc2Cl)cc1,10.7000,0.4733
CC(C)Nc1cccc(C(=O)Nc2cccc(Cl)c2)c1,18.0500,0.4079
O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)c1c(Cl)cccc1Cl,17.8500,0.3588
O=C(COc1ccccc1)Nc1cccc(C(=O)c2ccccc2)c1,16.6600,0.3230
O=C(Nc1ccccc1)Nc1cccc(Cl)c1,8.6500,0.1891
O=C(Nc1ccccc1Cl)Nc1cccc(Cl)c1Cl,11.3200,0.2081
O=C(CCCOc1ccc(NC2CC2)cc1)Nc1ccccc1,21.8900,0.2885
CC(C)Nc1ccccc1C(=O)Nc1cccc(Cl)c1Cl,9.6700,0.3750
O=C(Cc1ccc(Cl)cc1)Nc1ccccc1Cl,8.0900,0.2600
CCNc1ccccc1C(=O)Nc1ccccc1OC,10.9000,0.4321
O=C(Nc1ccc(Cl)cc1Cl)c1c(Cl)cccc1Cl,9.7900,0.3739
COC(=O)c1ccccc1NC(=O)c1c(Cl)cccc1Cl,11.4600,0.3629
Cc1ccccc1N1CC(c2ccccc2Cl)CC1=O,11.4600,0.3489
CC(=O)Nc1ccc(NC(=O)Cc2ccccc2Cl)cc1,9.8400,0.2785
CC(Nc1cccc(NCc2cccnc2Cl)c1)c1ccccc1,18.8100,0.2891
S=C(NCc1ccc(Cl)cc1)Nc1ccccc1Cl,8.0800,0.2288
Cc1cccn1CC(=O)Nc1cccc(Oc2ccccc2)c1,16.3900,0.3104
CC(CNCc1c(Cl)cnn1CC(F)(F)F)c1ccccc1Cl,26.2400,0.3014
CC(C)NNC(=O)c1cccc(Cc2ccccc2)n1,23.9000,0.2925
O=C(Nc1ccc(NC(=O)c2ccccc2Cl)cc1)c1ccccc1,11.8500,0.4186
Cc1c(Cl)cccc1NC(=O)Nc1ccc(Br)cc1,18.2900,0.2910
Cc1ccccc1NC(=O)N1CCC(c2nc(Cc3ccccc3)no2)CC1,19.2500,0.3555
Cc1ccc(NC(=O)Cn2cccc2-c2ccccc2)cc1,18.8700,0.3064
O=C(CCc1ccc(Cl)s1)Nc1ccccc1Cl,12.6800,0.2394
S=C(NCc1ccc(Cl)nc1)Nc1ccc(Cl)cc1,9.4100,0.2214
COC(=O)c1ccccc1NC(=O)c1ccccc1O,11.4200,0.3841
CC(C)CC1(C(=O)Nc2ccc(Cl)cc2)CC(=O)C1,13.6600,0.2593
O=C(Nc1ccccc1F)c1cccnc1Cl,13.3000,0.3145
S=C(NCc1ccccc1Cl)Nc1cccc2cccnc12,13.4400,0.3209
N#CCc1ccc(NC(=O)c2ccc3c(c2)CCN3S(=O)(=O)c2ccccc2)cc1,25.8100,0.3745
O=C(Nc1cccc(Cl)c1Cl)c1ccccc1Cl,6.6700,0.3834
CC(=O)c1cccc(NC(=O)c2ccccc2Cl)c1,12.8500,0.3666
O=C(Nc1ccc(Cl)cc1)Nc1cccc2ccccc12,14.6400,0.1987
O=C(Nc1ccccc1Cl)Nc1ccc(Cl)cc1Cl,8.5400,0.1984
CC(Nc1ccc(S(=O)(=O)Cl)cc1)C(=O)N1Cc2ccccc2C1c1cccnc1,23.4500,0.3768
COc1cccc(NC(=O)Cc2ccc(Cl)cc2)c1,11.2700,0.2806
Cc1c(Cl)cccc1NC(=O)CSc1ccccc1,7.3200,0.3229
Cc1ccccc1C(=O)NCc1ccc(NCc2ccccc2)cc1,18.5400,0.3216
NC(=O)c1cccc(CC(Oc2cccc(F)c2)c2ccc(Cl)cc2Cl)c1,29.5000,0.4183
N#Cc1cccc(C(=O)c2cc(S(=O)(=O)Cl)c(Cl)cn2)c1,21.7400,0.3253
CS(=O)(=O)Nc1ccccc1C1(NC(=O)c2ccccc2Cl)CC1,18.5800,0.3565
Cc1ncccc1C(=O)Nc1cccc(F)c1,18.3900,0.3258
O=C(Nc1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1)c1ccccc1Cl,10.8200,0.3529
CCNc1ccc(NCc2ccccc2OC)cc1,18.8400,0.3902
Cc1c(Cl)cccc1NC(=O)COc1ccccc1Cl,9.8300,0.3097
O=C(Oc1ccc(Cl)c(Cl)c1)c1ccccc1OCc1ccccc1,20.7700,0.4176
O=C(O)c1ccc(NC(=O)c2ccccc2Cl)cn1,13.9900,0.3296
CC1(C)C(=O)Nc2ccccc2N1Cc1ccccc1,14.5900,0.3649
S=C(NCc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,8.0700,0.2240
O=C(CCc1ccccc1)Nc1cc(Cl)cc(Cl)c1,11.4100,0.2840
Cc1ccccc1C(=O)Nc1cccc(Cl)c1,8.0300,0.3952
CC(C)C(Nc1ccc2c(c1)Cc1ccccc1-2)C(N)=O,21.6000,0.2789
Cc1cccc(CNC(=O)c2ccc(OC(C)(F)F)cc2)c1,24.4100,0.3375
Cc1c(Cl)cccc1NC(=O)c1cccc(NC2=NCC(C)(C)C2)c1,12.3400,0.3551
O=C(Nc1ccc(Cl)cc1)Nc1ccccc1Cl,7.4300,0.2030
CC(C)Nc1ccccc1C(=O)Nc1cccc(C(C)(C)C)c1,13.8300,0.3678
S=C(Nc1ccccc1)Nc1ccc(Cl)cc1,9.1000,0.1932
CCCn1nc(C)c(Cl)c1C(=O)Nc1cccc(Cl)c1C,14.8100,0.3895
COc1cccc(N=c2cc(C)[nH]c3ccccc23)c1,15.3000,0.3316
COc1ccc(NC(=O)c2ccccc2NC(=O)Cc2ccccc2)cc1,14.8800,0.3975
S=C(NCc1ccccc1Cl)Nc1ccccc1,7.1700,0.2229
Cc1ccccc1NC(=O)c1ccccc1O,8.9200,0.3984
O=C(Nc1ccccc1C(F)(F)F)c1ccccc1Cl,8.7400,0.3785
O=C(Nc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1)c1ccccc1C(F)(F)F,12.0400,0.3923
O=C(Nc1ccccc1C(F)(F)F)c1c(Cl)cccc1Cl,13.8500,0.3725
O=C(Nc1cccc(Cl)c1)Nc1ccccc1Cl,7.3200,0.1972
O=C(COc1ccc(Cl)cc1)Nc1ccccc1-c1ccccc1,18.4200,0.2895
CCC(C)Nc1nc2ccccc2nc1-c1ccccc1,21.9400,0.3924
COc1cccc(NC(=O)C(=O)CCc2ccccc2)c1,18.3800,0.2794
CCNc1cc(Cl)ccc1NC(=O)c1cccnc1Cl,18.3100,0.3203
CC(C)C(=O)Nc1ccc(NC(=O)c2ccc(C(N)=O)cc2)cc1,17.9900,0.4378
