SMILES,NLL,Tanimoto
Cc1cc(C)cc(CNC(=O)COc2cccc(CNC(=O)c3ccnc(C)c3)c2)c1,9.4600,0.2911
COc1ccc(C(=O)NC(=O)Nc2ccc(C(=O)NCc3cc(C)cc(C)c3)cc2)cc1OC,12.2200,0.2971
COc1cccc(C(=O)Nc2ccc(C(=O)NCc3cc(C)ccc3OC)cc2)c1,6.7600,0.2854
COc1ccc(S(=O)(=O)NCc2cccc(CNC(=O)c3ccncc3)c2)c(C)c1,11.5300,0.3428
Cc1ccc(S(=O)(=O)NCc2ccc(NC(=O)c3ccc(C)c(C)c3)cc2)cc1,15.2500,0.3153
COc1ccc(S(=O)(=O)Nc2cc(C)ccc2C(C)OC(=O)c2ccc(C)cc2)cc1,13.9100,0.3620
COc1ccc(NC(=O)c2ccc(C(C)NC(=O)c3ccnc(C)c3)cc2)cc1,9.6900,0.3249
COc1cc(C(=O)NC(C)c2cccc(C(=O)NCc3ccc(OC)c(C)c3)c2)ccn1,11.2100,0.3285
CCN(C(=O)c1ccncc1)c1cccc(C(=O)NCc2cccc(C)c2)c1,8.2200,0.3398
COc1ccc(OC)c(CNC(=O)c2cc[nH]c(=Nc3ccc(OC)cc3OC)c2)c1,20.2200,0.3820
COc1ccc(S(=O)(=O)NCc2cccc(NC(=O)c3ccccc3)c2)cc1,11.9200,0.3482
COc1ccc(C(=O)NCc2ccc(C(=O)NCc3cccc(C)c3)cc2)cc1OC,5.9400,0.2705
Cc1ccc(NC(=O)c2ccc(CNC(=O)c3ccncc3)cc2)cc1,9.7300,0.2791
COc1cccc(CNC(=O)c2ccc(NC(=O)c3cccc(OC)c3)cc2)c1,9.7700,0.2475
COc1cccc(C(CCS(=O)(=O)c2cc(C)ccc2C)NC(=O)c2ccc(C)cc2)c1OC,16.3800,0.4515
COc1ccc(C#N)cc1CNC(=O)c1cccc(C(C)NC(=O)c2ccccc2OC)c1,17.6800,0.2972
COc1cccc(C(=O)Nc2ccc(CNC(=O)c3ccccc3OC)cc2)c1,12.2300,0.2769
COc1cccc(C(=O)NCc2cc(C)ccc2OCCCOc2ccc(C)cc2)c1,15.3300,0.2679
Cc1ccc(NC(=O)COc2cccc(CNC(=O)c3ccncc3)c2)cc1,8.2900,0.2870
COc1cccc(CC(=O)Nc2cccc(NC(=O)c3ccc(C#N)cc3)c2)c1,9.3600,0.2964
Cc1ccc(CNC(=O)c2cccc(C(=O)NC(C)c3cccnc3)c2)cc1C,18.0900,0.3075
Cc1cc(C)cc(CNC(=O)c2ccccc2C(=O)NC(C#N)c2ccncc2)c1,23.3700,0.3124
Cc1cccc(CNC(=O)c2ccc(C(C)NC(=O)c3ccncc3)cc2)c1,9.4800,0.3124
COc1ccc(C)cc1CNC(=O)c1ccccc1NC(=O)CNC(C)c1ccccc1,13.9400,0.3614
COc1ccc(C(=O)NCc2ccccc2OCC(=O)OCc2ccc3ccc(C)cc3n2)cc1OC,15.1400,0.4190
Cc1cccc(NC(=O)COc2ccccc2C(C)NC(=O)c2ccncc2)c1,11.9500,0.3516
COc1ccc(C(=O)NC(C)c2cccc(NS(C)(=O)=O)c2)cc1OC,13.8300,0.3216
COc1cccc(C(=O)NCc2ccc(NC(=O)c3ccc(C#N)cc3)cc2OC)c1,10.5800,0.3043
COc1cccc(C(CC(=O)Nc2ccc(C)cc2)NC(=O)c2ccc(OC)c(OC)c2)c1,15.4300,0.3516
COc1ccc(CNC(=O)COc2cccc(CNC(=O)c3ccncc3)c2)cc1OC,10.1600,0.2786
COc1ccc(C(=O)Nc2cccc(NC(=O)c3ccncc3)c2)cc1,6.1900,0.2644
COc1ccc(CNC(=O)c2ccccc2NC(=O)c2ccc(OC)c(OC)c2)c(OC)c1,9.0500,0.3515
COc1cc(C(=O)NCc2ccc(C(=O)NCc3cccc(C)c3)cc2)ccn1,7.9700,0.2773
Cc1ccc(S(=O)(=O)NCc2ccccc2NS(=O)(=O)c2cccc(C)c2)cc1,10.3200,0.3273
COc1cccc(C(=O)Nc2ccccc2C(=O)NCc2cc(C)ccc2OC)c1,15.1200,0.3399
COc1ccc(C(=O)NC(C)c2ccc(Cl)cc2NS(=O)(=O)c2ccc(C)cc2)cc1,9.5700,0.3923
COc1cccc(NC(=O)c2ccc(C)cc2NS(=O)(=O)c2ccc(Cl)c(C)c2)c1,11.7900,0.4021
COc1ccccc1CNC(=O)c1ccc(C(C)NC(=O)c2ccncc2)cc1,6.7500,0.3169
CC(NC(=O)c1cccn1C)c1ccc(C(=O)NCc2ccccn2)cc1,15.5700,0.3134
CCOc1c(CNC(=O)c2ccnc(OC)c2)cccc1C(=O)NCc1cccc(C)c1,10.9500,0.3396
COc1ccc(NC(=O)c2ccccc2C(=O)Nc2ccc(C)cc2)cc1,11.1400,0.2447
COc1cc(CC(=O)NCc2ccc(C(=O)NCc3cc(C)cc(C)c3)cc2)ccn1,11.2500,0.3039
Cc1ccnc(C(=O)Nc2ccc(=NC(C)c3ccncc3)[nH]c2)c1,17.8200,0.3418
COc1ccc(NC(=O)c2ccc(C#N)cc2)cc1C(C)NC(=O)c1ccncc1,8.2800,0.3700
Cc1cc(C)cc(CNC(=O)c2ccccc2NC(=O)Cc2cccnc2)c1,12.6500,0.3204
COc1cc(CC(=O)Nc2ccc(C(=O)NCc3ccc(C)cc3)cc2)ccn1,13.0200,0.2975
COc1ccc(S(=O)(=O)Nc2cccc(C(C)NC(=O)c3ccccn3)c2)c(C)c1,8.2400,0.4077
