SMILES,NLL,Tanimoto
COc1ccc(CCNC(=O)C2CCCC2)cc1,6.8400,0.2708
NC(=O)Nc1cc(Cl)ccc1OCC1CCC1,15.8500,0.2604
CC1CCCC(NC(=O)Nc2ccccc2)C1,7.9400,0.1815
O=C(CC1CCC1)NCCOc1ccccc1,7.8600,0.2522
Cc1cccc(CNC(=O)CNCC2CCC2)c1,11.4600,0.2302
COc1ccc(CCNC(=O)N2CCC(C)C2)c(OC)c1,15.8200,0.3371
CCN=c1[nH]nc(CC2CCCN2CC(=O)N2CCCC2)s1,18.6100,0.3064
COc1cccc(CCNC(=O)C2CCCC2)c1,6.7100,0.3017
Cc1ccc(CCNC(=O)C2CCCC2C(=O)NCCc2ccccc2)cc1,8.2800,0.2148
COc1ccc(CNC(=O)C2(NC3CCC3)CCC2)cc1,13.5900,0.3032
COc1ccc(CCNC(=O)CC2CCC2)c(OC)c1,6.5300,0.3309
Cc1ccc(NC(=O)NC(=O)C2CCCC2C(=O)NCC(C)(C)C)cc1,18.0700,0.2572
COc1ccc(CCNC(=O)C2CCC3C4CCC5CC(NCCc6ccccc6)CCC5(C)C4CCC23C)cc1,14.5100,0.2895
COc1ccc(CCNC(=O)C2CCN(C(C)(C)C)CC2)cc1,8.0700,0.2933
COc1ccc(CCNC(=O)C2CCCC2CCc2ccc(OC)cc2)cc1,7.6800,0.2943
COC(=O)CNC(=O)C1CCCC1C(=O)NCc1ccc(OC)cc1,10.1400,0.2982
CCOC(=O)C1(C)CCC(NCc2ccccc2)CC1,14.5200,0.2275
CCCNC(=O)C1CCC2(CCC2)C1C(=O)NCc1cccc(OC)c1,15.6300,0.3313
COc1ccc(CCNC(=O)C2CCCC2CCc2cccc(OC)c2)cc1,8.3900,0.3354
CCOC(=O)CNC1CCCC(C(O)COc2ccccc2)C1,17.8600,0.2452
CCOC(=O)CCCCCCC(C(=O)NCc1cccc(OC)c1)C1CCC2(CCCC2)C1,29.3000,0.3367
COc1ccc(CCNC(=O)C2CCCC2C(=O)NCc2ccc(OC)cc2)cc1,3.9200,0.3111
COc1ccc(CCNC(=O)C2CCC3C(NC(C)(C)C)CCC23)cc1,12.3000,0.2929
Cc1ccc(NC(=O)CCNC(=O)c2ccc(F)cc2)cc1,19.7100,0.2560
COc1ccc(CNC2CCN(C(=O)NC3CCC3)CC2)cc1,6.8000,0.3005
CCc1ccc(NCC(O)CN2CCC3(CCC(c4cc(OC)ccc4OC)O3)C2)cc1,26.4000,0.4370
COc1ccc(CNC(=O)CCCCC2CCCC2(C)C)cc1,20.1400,0.3186
Cc1ccc(CCNC(=O)NC2CCC2)cc1,10.8500,0.1628
COc1ccc(CCNC(=O)CC2CCC2)cc1,4.3300,0.2747
O=C(NCCc1ccccc1)C1CCC2(C1)OCCO2,5.0200,0.2553
Cc1ccc(NC(=O)CNC2CCCC(C)C2)cc1C,8.2000,0.2442
Cc1ccc(CCCNC(=O)NCC2CCC2)cc1,10.0400,0.1639
COc1cc(NC(=O)NC2CCCC(C)(C)C2)cc(OC)c1,7.8700,0.2865
Cc1cccc(CNC2CCN(C(=O)NCC3CCC3)C2)c1,7.7200,0.2693
COc1ccc(OCC(O)CNCC2CCC2)cc1,8.6500,0.2829
COc1ccc(CNC(=O)C2CCCC2C(=O)NCCc2ccccc2)cc1,4.3900,0.3096
COc1ccc(CNC(=O)C2CCCC2C(=O)NCc2ccccc2OC)cc1,7.9100,0.3842
O=C(CC1CCC1)NCCc1ccccc1,5.2700,0.1753
COc1ccc(CNC(=O)C2CCCC2C(=O)NCCc2cccc(OC)c2)cc1,5.7400,0.3422
COc1ccc(C(=O)NCC2CCC3(C2)OCCO3)cc1OC,15.8500,0.4026
CNC1CCC2(C)C(CCC3C2CCC2(C)C(C(=O)NCc4ccc(OC)cc4)CCC32)C1,11.4000,0.2944
