SMILES,Tanimoto,drug_id,cluster
O=C(O)CN=C(O)NC1CCCCC1,0.1664,ESR1_4,22
CCOC(=O)c1c(C)nn(C)c1C,0.2475,ESR1_132,25
CC(C)Cc1ccc([C@H](C)CN)cc1,0.4007,ESR1_628,168
O=C(O)c1ccccc1C(=O)O,0.3113,ESR1_429,94
N=C(O)c1ccc(NC2CCCC2)nc1,0.2866,ESR1_61,91
O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,0.2777,ESR1_36,9
N=C(O)CCC(=O)c1ccccc1,0.302,ESR1_50,36
O=C(O)CCC(O)=NN=C(O)c1cccnc1,0.2149,ESR1_2,37
COc1cc(CCC(=O)O)ccc1O,0.4129,ESR1_145,26
N=C1N=C(O)C2N=C(CO)C=C2N1,0.3599,ESR1_992,124
CC1=C(CCCOc2ccccc2)C(=O)CC=C1,0.2623,ESR1_290,197
N=C1N=C(O)C2=NC=C(C(=O)O)C2=N1,0.3952,ESR1_739,154
CC1=C(CCCOc2ccccc2F)C(=O)C=CC1,0.2636,ESR1_285,198
CSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1,0.4004,ESR1_848,138
N=c1ccn([C@@H]2CO[C@H](CO)O2)c(O)n1,0.3285,ESR1_419,83
N=C(O)c1ccc(=NC[C@@H]2CCC[C@H](CN)C2)[nH]c1,0.2356,ESR1_384,117
CC(C)Cc1ccc([C@H]2CCCNC2)cc1,0.3728,ESR1_213,209
CC1=C(CCc2ccccc2)C(=O)CC=C1,0.2925,ESR1_445,188
CC(C)C[C@H](N)C(O)=NS(O)(O)O,0.1249,ESR1_192,211
CSCC[C@H](N)C(O)=NS(O)(O)O,0.1206,ESR1_254,204
COc1cc(CC(=O)O)cc(OC)c1OC,0.4354,ESR1_264,79
N=C(O)CCC(=O)c1cccs1,0.4603,ESR1_79,220
N=c1ccn([C@@H]2CS[C@H](CS)O2)c(O)n1,0.3441,ESR1_286,66
NCCCC(O)=NO,0.0947,ESR1_236,100
NCCCC(O)=N[C@@H]1Cc2ccccc2[C@@H]1C(=O)O,0.4354,ESR1_103,90
N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)cc1,0.2485,ESR1_828,141
CCOC(=O)c1ccc(N)c(Cl)c1,0.3926,ESR1_212,210
O=C(O)CC(O)=NN=C(O)c1ccccc1Cl,0.26,ESR1_849,137
O=C(O)C(=O)Cc1ccccc1,0.3482,ESR1_6,11
Cc1cccc(C)c1OC[C@@H](C)N,0.3646,ESR1_48,8
CCC(CC)Oc1ccc(CN)cc1,0.4006,ESR1_853,136
CC(C)C[C@H](CN)Cc1ccc2c(c1C(=O)O)OCO2,0.4388,ESR1_22,229
N=C1N=C(O)C2C[C@@H](C(=O)O)CN=C2N1,0.3431,ESR1_32,227
O=C(O)CC(O)=NN=C(O)c1cccnc1,0.2138,ESR1_842,140
O=C(O)CN=C(O)c1nc(Cl)ccc1NN,0.3172,ESR1_316,73
N=c1ccn([C@@H]2CSCC2)c(O)n1,0.2975,ESR1_922,130
O=C(O)CN=C(O)c1nc(Cl)c(Cl)cc1Cl,0.3061,ESR1_603,113
CC(C)Cc1ccc2ccccc2c1,0.3503,ESR1_484,110
CC(C)C[C@H](N)C(O)=NCCC(=O)O,0.1442,ESR1_350,120
O=C(O)CN=C(O)c1ccccc1,0.2107,ESR1_253,59
O=C(O)CCC(=O)c1cccc(Cl)c1Cl,0.2957,ESR1_932,128
O=C(O)CCC(=O)c1cccc(Cl)c1,0.2779,ESR1_925,129
N=c1ccn([C@@H]2CO[C@H](CO)C2)c(O)n1,0.3497,ESR1_817,142
N=C(O)CCC(=O)c1cccc(Cl)c1,0.2802,ESR1_17,12
Cc1ncc(CO)c(C)c1O,0.2734,ESR1_233,207
CN(C)Cc1ccc2c(c1C(=O)O)OCO2,0.4377,ESR1_717,97
N=C(O)c1ccc(=NCc2ccccc2O)[nH]c1,0.2683,ESR1_664,165
O=C(O)CCC(O)=NN=C(O)c1ccncc1,0.1861,ESR1_3,42
Clc1ccc2c(c1Cl)CNCC2,0.3838,ESR1_494,95
CN(C)c1cccc(C(=O)O)c1,0.2874,ESR1_780,148
O=C(O)CCC(=O)c1ccccc1,0.3072,ESR1_905,70
CC1=C(CCCOc2ccccc2F)C(C)N=C1,0.2607,ESR1_38,28
CSCC[C@H](N)C(O)=NO,0.1288,ESR1_334,92
CC(C)C[C@H](N)C(O)=NS(O)(O)OCCO,0.1524,ESR1_611,169
CSCC[C@H](N)C(=O)O,0.1169,ESR1_47,16
N=C(O)c1ccc(=NCc2ccccc2)[nH]c1,0.2325,ESR1_146,15
Cc1ncc(COP(=O)(O)O)c(C)c1O,0.2861,ESR1_109,40
N=C1N=C(O)C2=C(CN)C=CC2=N1,0.3179,ESR1_214,50
CC(C)Oc1cc2c(cc1Cl)C(N)NC(=N)N2,0.3881,ESR1_561,175
N=C(O)c1ccc(=NCc2cccc(N)c2)[nH]c1,0.2574,ESR1_563,115
CN(C)c1ccccc1C(=O)O,0.2874,ESR1_13,3
CC1=C(CCCOc2ccccc2F)C(=O)CC=C1,0.2684,ESR1_125,38
CN(C)c1ccc(C(=O)O)cn1,0.252,ESR1_610,170
CC(C)C[C@H](N)C(O)=NCc1ccccc1,0.2258,ESR1_360,99
CC(C)Cc1ccc(N)cc1,0.3559,ESR1_807,144
CC1=C(CCCOc2ccccc2F)C(C)N=C1C,0.2891,ESR1_294,109
Cc1cccc(C)c1Oc1cccc(N)c1C,0.2924,ESR1_733,156
O=C(O)CN=C(O)c1ncccc1S,0.2394,ESR1_113,43
N=C(O)CCC(=O)O,0.0749,ESR1_15,10
Cc1ncc(COP(=O)(O)O)c(CN)c1C,0.2683,ESR1_118,216
