SMILES,Tanimoto,drug_id,cluster
O=C(O)CCCCCN=C(O)NC1CCCCC1,0.2236,FTO_964,143
O=S(=O)(CC1CCCC1)N1CCC[C@@H]1C(O)=NO,0.2834,FTO_810,64
O=P(O)(O)C1(P(=O)(O)O)CCCC1,0.2196,FTO_168,24
O=C(O)c1ccc(O)c(Cl)c1,0.2254,FTO_913,152
O=S(=O)(CC1(C(O)=NO)CCCC1)c1ccccc1,0.2622,FTO_10,96
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)O)c1,0.2647,FTO_416,111
O=C(O)CCCCC(=O)c1ccc(O)cc1,0.2194,FTO_749,181
O=C(O)CCC(=O)O,0.1622,FTO_139,13
O=P(O)(O)C1(P(=O)(O)O)Cc2ccncc2C1,0.2977,FTO_86,76
CCCS(=O)(=O)Nc1cccc(C(=O)O)c1,0.2479,FTO_268,256
CC(C)(C)NC(=O)c1ccccc1,0.251,FTO_277,252
O=C(O)CCc1ccc(OC2CCNCC2)cc1,0.2828,FTO_731,113
O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CO)C2,0.3259,FTO_92,59
OC(=NCc1ccco1)n1cccc1,0.194,FTO_756,178
CC(O)=Nc1cccc(CN)c1,0.1739,FTO_777,174
O=C(CCc1ccoc1)n1cccc1,0.1528,FTO_30,92
Cc1ncc(CO)c(C=O)c1O,0.2822,FTO_454,225
CC1=C(CCOc2ccccc2F)C(C)N=N1,0.2255,FTO_896,153
O=C(CCc1ccccc1)N[C@@H](CS)C(=O)O,0.2747,FTO_173,265
O=S(=O)(CCc1ccccc1)N1CCC[C@@H]1C(O)=NO,0.3097,FTO_4,4
O=C(/C=C/c1ccoc1)N1CCCC1,0.1769,FTO_155,79
O=S(=O)(CC1(C(O)=NO)CCOCC1)c1ccco1,0.3108,FTO_254,257
O=S(=O)(CCc1ccccc1)O,0.1304,FTO_317,246
O=S(=O)(c1ccccc1)N1CCC[C@@H]1C(O)=NO,0.3057,FTO_1,12
O=S(=O)(CCc1ccccc1)N1CCC[C@@H]1CN1CCOCC1,0.3169,FTO_806,171
O=C(O)C[C@@H](O)CCc1ccccc1,0.2109,FTO_689,187
O=C(O)[C@]1(O)C=C(CCO)[C@@H](O)[C@H](O)C1,0.2448,FTO_527,212
N[C@@H](Cc1ccccc1)C(=O)O,0.1884,FTO_125,71
CC(C)Oc1ccccc1N1CCN(C)CC1,0.2188,FTO_450,226
C[C@@H](C1CC1)N(C)Cc1nc(O)c2ccccc2n1,0.3175,FTO_245,258
O=S(=O)(c1ccccc1)c1ccc2c(c1)CN[C@@H](CF)C2,0.3096,FTO_571,83
O=C(O)/C=C/c1ccc(O)c(O)c1,0.239,FTO_304,124
COc1ccc(C(=O)CC(=O)O)cc1,0.2133,FTO_33,134
