SMILES,Tanimoto,drug_id,cluster
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3F)[C@@H]1)C2,0.4809,GRIK1_675,48
O=S(=O)(c1ccc(Oc2ccc(Cl)cc2)cc1)C1(CC(O)=NO)CCOCC1,0.3279,GRIK1_846,109
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NN=C3N=C2)cc1,0.322,GRIK1_3,3
COc1ccc(S(=O)(=O)N(CC(O)=NO)C[C@H](O)CO)cc1,0.2575,GRIK1_478,130
COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1,0.3983,GRIK1_23,12
CCOC(=O)c1c(C)nn(-c2ccc(N)cc2)c1C,0.3949,GRIK1_357,142
O=S1(=O)N=C(O)C[C@H]1c1ccc(C[C@H](N=C(O)C(c2ccccc2)c2ccccc2)C(=O)O)cc1,0.3781,GRIK1_268,149
O=S(=O)(c1ccc(F)cc1)N(CCO)CC(O)=NO,0.2167,GRIK1_978,103
CCOc1cc(O[C@@H]2CCOC2)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)O)c1F,0.3822,GRIK1_59,165
O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1CC1,0.2964,GRIK1_316,145
Cc1ncc(Cn2c(C)c(CCO)sc2=O)c(=N)[nH]1,0.3522,GRIK1_216,155
O=S(=O)(c1ccc2c(c1)CN[C@@H](CF)C2)N1CCSCC1,0.3388,GRIK1_7,6
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc(O)c4)nc(N4CCOCC4)c3s2)CC1,0.473,GRIK1_48,99
O=S(=O)(c1ccccc1)N(CCO)CC(O)=NO,0.201,GRIK1_778,114
COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2ccccc2)cc1,0.3611,GRIK1_149,159
O=S1(=O)N=C(O)C[C@H]1c1ccc(C[C@H](Nc2nc3ccccc3s2)C(=O)O)cc1,0.4158,GRIK1_514,128
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3F)CC1)C2,0.4804,GRIK1_814,111
CC(O)=Nc1nc(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,0.4075,GRIK1_266,150
O=S1(=O)N(Cc2ccccc2)[C@H](COc2ccccc2)[C@H](O)[C@@H](O)[C@H]1CO,0.4249,GRIK1_998,102
CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)CCc1cccc(C(=O)O)c1,0.4259,GRIK1_129,57
N[C@@H](CCN=C(O)N1CCn2c(ccc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0.4244,GRIK1_484,129
N=c1nc(O)c2c([nH]1)C(CN1C[C@H](O)[C@@H](CO)C1)C=N2,0.3842,GRIK1_426,136
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(CF)c3)CN1CC2,0.4217,GRIK1_5,2
COC(=O)Cc1ccc2c(c1)N=C(O)c1ccc(-c3cncn3C)cc1N2,0.4289,GRIK1_11,88
COc1ccc2c(c1)cc(C(O)=NS(=O)(=O)c1ccc3ccccc3c1)n2CC(=O)O,0.4576,GRIK1_2,13
COC1=NCNC(=NCCc2ccc(S(N)(=O)=O)cc2)C1[N+](=O)[O-],0.3464,GRIK1_660,120
COc1cc2c(cc1-c1cc(/C=C/C(=O)O)ccc1O)C(C)(C)CCC2(C)C,0.3795,GRIK1_29,36
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.4663,GRIK1_247,98
