SMILES,Tanimoto,drug_id,cluster
CN(O)C(=O)C[C@@H](CCCc1ccc(C(F)(F)F)cc1)CP(=O)(O)O,0.2824,HCRTR1_868,95
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1c(C)nc(C)[nH]c1=N,0.4365,HCRTR1_148,145
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cnc(C)[nH]c1=N,0.3844,HCRTR1_41,14
COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC(F)=C1,0.3838,HCRTR1_35,165
O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)OC1CCOCC1,0.4693,HCRTR1_313,133
O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC=C1,0.4127,HCRTR1_4,6
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCC[C@H]1F,0.4042,HCRTR1_779,102
Cc1ncc(COP(=O)(O)O)c(/C=N/N2CCN(C)CC2)c1O,0.3826,HCRTR1_76,160
O=C(O)C1=CC=CC1C(=O)O,0.1628,HCRTR1_159,69
Cc1cn([C@H]2C[C@H](N)[C@@H](COP(=O)(O)O)O2)c(=O)nc1O,0.4584,HCRTR1_386,42
O=C(O)C1=NO[C@H]2CN[C@H](C(=O)O)[C@@H]12,0.3997,HCRTR1_66,10
O=C(O)[C@@H](O)CC(=O)C1(Cc2ccc(Cl)cc2)CCNCC1,0.3186,HCRTR1_26,5
CCN=C1N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2O)S1,0.4256,HCRTR1_266,77
O=C1N=C(O)CCN1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,0.4231,HCRTR1_7,171
O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H]1CCCN1,0.4687,HCRTR1_975,85
CC(C)CN1CCc2cc(O)ccc2[C@H]1c1ccc(CCC(=O)O)c(O)c1,0.4744,HCRTR1_274,51
CCC1C(C(=O)Nc2cccc(OCC(=N)O)c2)=NC(C)=C1C(C)=O,0.4572,HCRTR1_362,34
Cc1cc2c(cc1O)CCN(CC(C)C)[C@@H]2c1ccc(/C=C/C(=O)O)cc1,0.4688,HCRTR1_824,97
O=C1N=C(c2ccc(F)cc2)C(c2ccc(F)cc2)C=C1O,0.391,HCRTR1_270,59
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.3869,HCRTR1_410,44
COC(=O)C[C@H]1CC[C@@H](C(c2ccc(O)cc2)c2ccc(O)cc2)CC1=O,0.2906,HCRTR1_517,121
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cnc(C)o1,0.3793,HCRTR1_719,70
COC(=O)[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@H](CC(C)C)N=C(C)O,0.3715,HCRTR1_149,23
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1O,0.3463,HCRTR1_90,45
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)NO)cc1,0.47,HCRTR1_55,71
CC1=C(CCOP(=O)(O)OP(=O)(O)O)S[C@H]([C@H](C)O)N1Cc1cnc(C)[nH]c1=N,0.4818,HCRTR1_143,148
CN(O)C(=O)C[C@@H](CCCc1cccc(F)c1)CP(=O)(O)O,0.2772,HCRTR1_873,93
Cc1ncc(COP(=O)(O)O)c(/C=N/[C@@H]2CCN(C)C2)c1O,0.4064,HCRTR1_895,92
O=c1[nH]cnc2c1=NCC=2CN1C[C@H](O)[C@@H](COP(=O)(O)O)C1,0.4254,HCRTR1_5,172
O=C(O)[C@H](CO)N=C(O)c1cccc(O)c1O,0.2709,HCRTR1_12,18
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCCC1,0.3987,HCRTR1_3,0
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1ccnc(C)c1,0.3437,HCRTR1_195,32
O=C1N=C(O)/C(=C/c2ccc3c(c2)OCO3)S1,0.3445,HCRTR1_136,151
C[C@@H](O)[C@H](N)C(O)=NO,0.0824,HCRTR1_599,114
O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,0.2117,HCRTR1_29,9
O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,0.4477,HCRTR1_6,1
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1C,0.2208,HCRTR1_259,52
Cc1ncc(COP(=O)(O)O)c(/C=N/[C@@H]2CCNC2)c1O,0.3921,HCRTR1_176,83
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O,0.3931,HCRTR1_15,24
CC(C)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(CCC(=O)O)c(O)c1,0.4857,HCRTR1_349,68
Cc1ncc(COP(=O)(O)O)c(/C=N/[C@H]2CNC[C@@H](O)[C@@H]2O)c1O,0.4345,HCRTR1_957,87
Cc1cc2c(cc1O)CCN(CC(C)C)[C@@H]2c1ccc(/C=C/C(=O)O)cc1O,0.4707,HCRTR1_839,96
C[C@@H](O)CC(C)(C)O,0.0479,HCRTR1_139,16
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)C(=O)O,0.4165,HCRTR1_318,80
CN(O)C(=O)C[C@@H](CCCc1ccc(C(F)(F)F)cc1)C(=O)O,0.2747,HCRTR1_870,94
O=S(=O)(O)OC1=C2C=CC=CC2N=C1,0.3037,HCRTR1_30,167
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCOCC1,0.3987,HCRTR1_116,31
COC(=O)[C@@H]1C[C@H](C(=O)O)O[C@H]1[C@H](CC(C)C)N=C(C)O,0.3564,HCRTR1_335,67
O=C(O)C(=O)N[C@@H]1SC2COCCC2=C1C(=O)O,0.4062,HCRTR1_21,11
Cc1ncc(COP(=O)(O)O)c(/C=N/C2(CO)CC2)c1O,0.387,HCRTR1_435,124
COC(=O)[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@H](CC(=O)O)C(=O)O,0.3466,HCRTR1_329,53
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cncnc1,0.319,HCRTR1_577,115
Cc1ccc([C@H](c2ccc(O)cc2)[C@@H]2C=CCC(C)(C)C2)cc1,0.2544,HCRTR1_224,142
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC(=O)[C@@H]2O,0.4098,HCRTR1_418,125
CC1=C(CCOP(=O)(O)OP(=O)(O)O)C(C)N=N1,0.2222,HCRTR1_757,107
CCC1C(C(=O)Nc2cccc(O)c2)=NC(C)=C1C(C)=O,0.4206,HCRTR1_625,111
