SMILES,Tanimoto,drug_id,cluster
CC(C)Oc1cccc(C(=N)O)c1,0.2039,IDH1_286,213
O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,0.1996,IDH1_43,84
CCOC(=O)C1=C(C)N=NC1,0.1693,IDH1_299,207
Cc1ccc(N=C(O)C(=O)O)cc1,0.1532,IDH1_57,106
CC(C)Oc1ccccc1C(=O)O,0.278,IDH1_4,2
CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,0.2316,IDH1_680,83
CSCC[C@@H](N)C(=O)O,0.0709,IDH1_133,74
O=C(O)CN(O)CO,0.0582,IDH1_730,139
O=C(O)CC(=O)Cc1ccccc1,0.1574,IDH1_248,35
N=C(N)Nc1ccccc1,0.1213,IDH1_771,57
O=C(O)CN=C(O)CS,0.0644,IDH1_538,180
CCCCCCCC(=O)Oc1cccc(O)c1,0.1736,IDH1_212,91
O=C(O)CC(O)=NN=C(O)c1cccnc1,0.21,IDH1_825,126
CN(C)c1cccc(C(=O)O)c1,0.2132,IDH1_325,205
N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,0.1884,IDH1_599,166
CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,0.3256,IDH1_819,128
CC(=O)c1ccc(C)cc1,0.1188,IDH1_537,44
CCOC(=O)c1cccs1,0.1567,IDH1_276,98
COc1cc(CCC(=O)O)ccc1N,0.2811,IDH1_78,236
COc1ccc(CCC(=O)O)cc1O,0.2235,IDH1_655,158
CCCCCCCOc1ccc(CC(=O)O)cc1,0.2011,IDH1_2,107
CC(C)Cc1ccc(O)cc1,0.1381,IDH1_247,48
O=C(O)CC(=O)C(=O)O,0.0637,IDH1_734,137
N=C(O)CCC(=O)c1cccs1,0.1621,IDH1_474,183
N=C(N)c1ccc(N=O)cc1,0.174,IDH1_135,232
CCCCCCCC(=O)O,0.0468,IDH1_219,31
O=C(O)CN=C(O)N1CCCCC1,0.1481,IDH1_916,114
CCOCCOCCOCCO,0.032,IDH1_139,231
CCCCCCCOc1ccc(C(=O)O)cc1,0.2063,IDH1_3,23
O=C(O)CC(O)=NCCc1ccccc1,0.1545,IDH1_837,79
Cc1ncc(CO)c(C)c1O,0.2636,IDH1_235,97
CCOC(=O)c1ccc(N)cc1C,0.2577,IDH1_239,34
O=C(O)CN=C(O)c1ncccc1S,0.2413,IDH1_936,112
CC(C)COc1ccccc1C(=O)O,0.2681,IDH1_392,196
O=C(CC[C@H]1CCOC1)N1CCOCC1,0.1932,IDH1_313,206
COc1cc(CC(=O)O)ccc1OCC(C)C,0.2498,IDH1_54,239
Cc1ncc(CO)c(C=O)c1O,0.2965,IDH1_568,174
O=C(O)CC(O)=N[C@@H](Cc1ccccc1)C(=O)O,0.2312,IDH1_47,244
C=C(C)c1cccc(C(=O)O)c1,0.1795,IDH1_352,198
CC(C)Cc1ccc(N)cc1,0.1423,IDH1_326,204
CC(C)(C)Oc1ccccc1C(=N)O,0.2446,IDH1_690,148
CC(C)Cc1cccc(C(C)C)c1,0.1397,IDH1_209,222
CCCCCCCOc1cccc(C(=O)O)c1,0.2094,IDH1_7,49
O=C(O)CCc1ccc(O)cc1,0.1577,IDH1_30,19
CCOC(=O)C1=CC=CC1,0.1182,IDH1_38,246
O=C(O)CCC(=O)c1cccc(Cl)c1,0.2051,IDH1_836,123
N=C(O)CCC(=O)c1ccccc1,0.1642,IDH1_470,184
O=C(CCc1ccoc1)n1cccc1,0.1794,IDH1_421,52
O=C(CC[C@H]1CCOC1)N1CCC[C@H]1C(=O)O,0.2381,IDH1_768,131
CC(C)Cc1ccc2c(c1)OCCO2,0.2573,IDH1_831,81
CC1=C(CCOP(=O)(O)O)SC=C1,0.165,IDH1_215,221
CCC(CC)Oc1cccc(C(=O)O)c1O,0.2748,IDH1_444,191
O=C(O)CCc1cccc(F)c1,0.1746,IDH1_634,162
CC(=O)c1cccc(C)c1,0.1239,IDH1_611,165
O=C(O)C(=O)O,0.0236,IDH1_733,138
O=C(O)C1=CC=C2N=CC=C2C1,0.2592,IDH1_151,228
CC(C)(C)c1ccc(N)cc1,0.1731,IDH1_329,203
CC(O)=Nc1ccc(C(=O)O)cc1N,0.2284,IDH1_928,113
N=C(O)CCC(=O)c1ccc(O)cc1,0.1856,IDH1_225,220
O=C(O)CC(=O)c1cccs1,0.1633,IDH1_99,26
CN(C)c1ccc(C(=O)O)cc1,0.1938,IDH1_321,100
CC(C)Cc1ccccc1,0.1142,IDH1_19,5
CCOC(=O)C(=O)O,0.0494,IDH1_136,42
COc1ccccc1C(=O)CC(=O)O,0.2834,IDH1_174,99
COc1ccc(CC(C)C(=O)O)cc1,0.1939,IDH1_157,226
COc1ccc(CC(=O)O)cc1O,0.2119,IDH1_598,167
CC(C)(C)Oc1ccc2c(c1)OCCO2,0.1792,IDH1_693,145
O=C(O)CN=C(O)OC(CO)CO,0.0986,IDH1_876,122
O=C(O)CN=C(O)NC1CCCCC1,0.1235,IDH1_168,16
O=C(O)CC(=O)c1cccc(O)c1,0.2038,IDH1_53,39
COc1ccccc1C(=O)CC(C)C,0.2484,IDH1_656,157
O=C(O)CCC(=O)O,0.0419,IDH1_15,6
CCOC(=O)C1=C(C)N=NC1C,0.2263,IDH1_294,211
O=C(O)CCC(=O)c1ccc(O)cc1,0.1791,IDH1_667,155
C=C(C)c1cccc(C)c1,0.1279,IDH1_449,188
CN(C)c1ccc(C(=O)O)cc1N,0.2322,IDH1_336,201
CC(C)COc1cccc(CN)c1,0.2131,IDH1_396,195
N[C@@H](Cc1ccccc1)C(=O)O,0.1741,IDH1_504,59
COc1ccc(CC(=O)O)cc1C,0.2353,IDH1_595,168
NCCCCC(O)=NO,0.0677,IDH1_138,17
O=C(O)C1=CC(=O)C=CC1,0.1162,IDH1_17,248
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3331,IDH1_401,94
O=C(O)CN=C(O)CCC(=O)O,0.0949,IDH1_397,33
O=C(CCc1ccccc1)N1CCCC1,0.2061,IDH1_694,144
CCCCCCCOc1ccccc1C(=O)O,0.2754,IDH1_169,89
CC(=O)CCc1ccccc1,0.1295,IDH1_570,172
O=C(O)CC(O)=NO,0.0591,IDH1_658,156
CC(O)=Nc1ccc2c(c1)CCCC2=O,0.2903,IDH1_681,152
CC1=CC(=O)CC=C1,0.0677,IDH1_994,108
CC(O)=Nc1ccccc1,0.0864,IDH1_137,104
N=C(O)CC(=O)O,0.0484,IDH1_117,43
O=C(O)CC(=O)c1ccccc1,0.1601,IDH1_13,7
O=C(O)CN=C(O)CCc1ccc(O)cc1,0.1807,IDH1_833,124
O=S(=O)(CC1CC1)N1CCCC1,0.1987,IDH1_153,65
COc1cc(CC(C)C)ccc1N,0.2828,IDH1_16,25
CC(C)COc1cccc(F)c1,0.1552,IDH1_298,208
CC(=O)CCc1ccc(O)cc1,0.1525,IDH1_569,173
O=C(O)CN=C(O)OCCc1ccccc1,0.1527,IDH1_888,120
CN1C=CN(Cc2ccccc2)CC1,0.1954,IDH1_905,117
COc1ccc(C(=O)CC(=O)C(=O)O)cc1,0.2299,IDH1_49,242
