SMILES,Tanimoto,drug_id,cluster
CC1=C(CCO)SCN1Cc1cnc(C)[nH]c1=N,0.3247,JAK1_557,56
O=C(O)C(=O)CCOC(=O)c1cccs1,0.2172,JAK1_89,75
Cc1ncc(COP(=O)(O)O)c(CNO)c1O,0.3351,JAK1_374,69
O=C(O)c1ccccc1C(=O)O,0.1605,JAK1_688,131
O=C(O)CNC(=O)C(=O)O,0.0882,JAK1_4,1
N=C1N=C(O)C2=C(C[C@@H](O)[C@@H](O)C2)N1,0.3668,JAK1_710,124
COc1cc(N)c(C(=O)O)cc1OC,0.3016,JAK1_664,135
N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Cl,0.4206,JAK1_868,86
N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,0.3757,JAK1_3,14
COc1cc(CC(=O)O)cc(OC)c1OC,0.2992,JAK1_391,172
N=C(O)N[C@@H](Cc1ccccc1)C(=O)O,0.2475,JAK1_341,37
CC1=C(CCCOc2ccccc2F)C(C)N=N1,0.281,JAK1_24,28
O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,0.225,JAK1_261,181
CC1=C(CCCOc2ccccc2F)C(=O)CCC1,0.2676,JAK1_177,187
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SC=N1,0.2058,JAK1_968,108
CN(C)c1cccc2c1C(=O)N(C)C2=O,0.3854,JAK1_185,186
N=c1nc(O)n([C@@H]2CS[C@H](CO)O2)cc1F,0.3867,JAK1_66,26
CCOC(=O)c1c(C)nn(C)c1SC,0.3514,JAK1_934,110
N=C1N=C(O)C2=NC=C([C@@H](O)CO)C2=N1,0.3888,JAK1_49,27
CCOC(=O)C(=O)CCl,0.0917,JAK1_435,163
CSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1O,0.4473,JAK1_456,76
C[C@@H](O)CC(C)(C)O,0.0912,JAK1_994,107
O=C(O)CN=C(O)c1cccc(Cl)c1,0.2076,JAK1_750,120
CSCC[C@H](N)C(=O)O,0.0928,JAK1_57,12
O=C(O)CN=C(O)c1ccccc1,0.1877,JAK1_690,129
N=C1N=C(O)C2=C(C[C@@H](CO)C2)N1,0.3314,JAK1_234,182
N=c1ccn([C@@H]2CS[C@H](CS)O2)c(O)n1,0.3456,JAK1_164,30
COc1ccc([C@@H]2C=NC(=O)C2)cc1OCCF,0.3173,JAK1_449,159
CCOC(=O)c1c(C)nn(-c2ccccc2)c1C,0.424,JAK1_522,82
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)n1,0.333,JAK1_6,8
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.34,JAK1_2,0
COc1cc(/C=C/C(=O)O)ccc1N,0.2572,JAK1_16,91
CCOC(=O)C(=O)CSc1ccc(N)cc1,0.1849,JAK1_332,178
N=C1N=C(O)C2=C(C[C@@H](C(=O)O)CC2)N1,0.4208,JAK1_828,118
CC(C)C[C@H](N)C(O)=NO,0.1216,JAK1_654,77
N=C1N=C(O)C2=C(CCO)C=NC2=N1,0.3198,JAK1_184,97
N=C(O)C(=O)O,0.0393,JAK1_611,142
N=C1N[C@@H]2[C@H](CCCCC(=O)O)SC[C@@H]2N1,0.3873,JAK1_841,117
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)c1,0.2741,JAK1_191,95
CSC[C@H]1N[C@@H](Cc2ccc(O)cc2)C(=O)N1,0.2986,JAK1_509,150
N=C1N=C(O)C2N=CC(C(=O)O)=C2N1,0.3987,JAK1_35,36
CN(C)c1cccc(C(O)=NN)c1,0.2701,JAK1_10,49
N=c1ccn([C@@H]2CO[C@H](CO)C2)c(O)n1,0.3767,JAK1_345,96
NS(=O)(=O)c1ccccc1C(=O)O,0.2831,JAK1_334,177
CC1=C(CCO)SCN1Cc1cnc(C)s1,0.3323,JAK1_893,115
N=c1cc(C(=O)O)c(O)c[nH]1,0.2228,JAK1_606,143
CC1=C(CCCOc2ccccc2C(=O)O)C(C)N=N1,0.3196,JAK1_542,147
O=C(O)CN=C(O)c1nc(Cl)ccc1S,0.2784,JAK1_455,68
O=C(O)CNC(=O)c1ccc(Cl)cc1,0.2739,JAK1_910,113
COc1ccc([C@@H]2CN=C(O)C2)cc1OCCF,0.3265,JAK1_453,158
CN(C)c1cccc2c1C(=O)N(C1CC1)C2=O,0.4388,JAK1_928,112
O=C(O)CN=C(O)c1nc(Cl)c(Cl)cc1Cl,0.3038,JAK1_293,88
N=C1N=C(O)C2=CC=CC2=N1,0.2388,JAK1_629,140
N=C1N=C(O)C2N=C(CO)CN=C2N1,0.3276,JAK1_30,57
CSC[C@H]1N[C@@H](Cc2ccc(O)cc2)C(=O)O1,0.3001,JAK1_511,148
NS(=O)(=O)c1ccccc1,0.1777,JAK1_77,33
COc1cc(/C=C/C(=O)O)cc(OC)c1,0.2204,JAK1_5,7
O=C(O)C(=O)Cc1cccc(Cl)c1,0.2314,JAK1_129,46
O=C(O)C1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)CC=C1,0.3648,JAK1_423,166
O=C(O)C(=O)CSc1ccc2c(c1)OCO2,0.2618,JAK1_370,173
N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CS,0.4324,JAK1_884,87
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)c1,0.3253,JAK1_15,59
N=C(N)c1ccccc1,0.1544,JAK1_196,184
N=c1nc(O)n([C@@H]2CS[C@H](CO)O2)cc1Cl,0.3912,JAK1_76,58
CSC[C@H]1N[C@@H](Cc2ccc(O)cc2)C(O)=N1,0.2941,JAK1_510,149
COc1cc(/C=C/C(=O)O)ccc1OC(F)F,0.2425,JAK1_933,111
CN(C)c1cccc(C(O)=NO)c1,0.3039,JAK1_575,144
O=C(O)CN=C(O)NC1CCCCC1,0.1672,JAK1_32,44
COc1cc(/C=C/C(=O)O)ccc1O,0.2308,JAK1_0,2
N=C1N=C(O)C2=C(CO)C=NC2=N1,0.2918,JAK1_20,15
CSC[C@H]1O[C@@H](n2ccc(O)nc2=N)C[C@@H]1O,0.3963,JAK1_709,125
O=C(O)CN(Cc1ccccc1)C(=O)CO,0.2879,JAK1_271,92
NC1=CCN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C1,0.3485,JAK1_832,61
N=C1N=C(O)C2N=C(CO)C=C2N1,0.3483,JAK1_155,93
CC1=C(CCOP(=O)(O)O)SCN1Cc1cncnc1,0.299,JAK1_430,164
CC1=C(CCOP(=O)(O)O)C(C)N=N1,0.1859,JAK1_650,136
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,0.497,JAK1_9,23
O=C(O)CNC(=O)c1ccc(O)cc1,0.2737,JAK1_907,114
Nc1nonc1C(O)=NCCC(=O)O,0.2064,JAK1_680,134
CCOC(=O)c1c(C)nn(O)c1C,0.2605,JAK1_392,67
COc1cc(/C=C/C(=O)O)ccc1OCC(=O)O,0.2705,JAK1_473,154
O=C(O)CN(CCO)CCO,0.0867,JAK1_633,139
N=C1N=C(O)C2=C(CN)C=NC2=N1,0.2991,JAK1_26,21
CCOC(=O)C(=O)CSc1ccc(Cl)cc1,0.1899,JAK1_336,176
CSC[C@H]1O[C@@H](n2ccc(O)nc2=N)C(O)[C@@H]1O,0.4461,JAK1_711,123
CN(C)c1ccccc1C(=O)O,0.2679,JAK1_37,17
O=C(O)CN=C(O)c1ncccc1S,0.2484,JAK1_275,40
N=c1ccn([C@@H]2CO[C@H](CO)O2)c(O)n1,0.3401,JAK1_67,32
N=c1nc(O)c2c([nH]1)=NCN=2,0.2656,JAK1_192,185
CSC[C@H]1O[C@@H](n2ccc(O)nc2=O)C[C@@H]1O,0.3964,JAK1_104,51
O=C(O)CN=C(O)C(=O)O,0.0803,JAK1_14,11
COc1cc(CC(=O)O)ccc1O,0.292,JAK1_248,42
CN(C)c1ccc(C(=O)O)cn1,0.3289,JAK1_469,155
CC(=O)C(=O)O,0.0471,JAK1_59,16
O=C(O)CNC(=O)c1ccc(Cl)s1,0.282,JAK1_686,84
COc1cc(/C=C/C(=O)O)cc(OC)c1O,0.2408,JAK1_11,5
N=c1cc(C(=O)O)c(Cl)c[nH]1,0.2121,JAK1_18,48
N=c1nc(O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,0.4105,JAK1_523,52
O=C(O)CNC(=O)c1cccc(O)c1,0.2767,JAK1_683,83
N=c1nc(O)c2ncn(COCCO)c2[nH]1,0.3801,JAK1_207,38
