SMILES,Tanimoto,drug_id,cluster
N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(=N)O,0.3935,KDM1A_96,36
COc1cc2c(cc1OC)=C1N=NC(c3ccc(-c4nn[nH]n4)cc3)=C1C=2,0.4918,KDM1A_73,30
COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccccc1)N=C(C)O,0.3777,KDM1A_373,153
N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4c3=CCC(=N)N=4)ccc2Cl)c1,0.4575,KDM1A_26,69
O=S1(=O)N=C(O)C=C1c1cccc(O)c1,0.3009,KDM1A_756,121
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)C1=O,0.4707,KDM1A_6,19
Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl,0.4356,KDM1A_913,102
COc1ccc(S(=O)(=O)N(CC(O)=NO)Cc2ccncc2)cc1,0.4366,KDM1A_253,82
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.4564,KDM1A_209,45
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(-n2ccnc2)cc1,0.4264,KDM1A_702,127
CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)O)cccc12,0.3909,KDM1A_451,75
CC(=O)c1cccc(C(C)=O)c1,0.3102,KDM1A_855,111
COc1cc(N(C)C[C@@H]2CCc3[nH]c(=N)[nH]c(=N)c3C2)cc(OC)c1OC,0.4532,KDM1A_181,59
COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1,0.4645,KDM1A_9,27
COc1ccc(S(=O)(=O)N(CC(O)=NO)C[C@H](O)CO)cc1,0.4907,KDM1A_294,89
CN(C)c1ccc(C(=O)NN)cc1,0.4564,KDM1A_38,44
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC=CC3=N2)cc1,0.3704,KDM1A_148,35
COc1ccc(OC)c(/C=C\C(O)=Nc2ccccc2C(=O)O)c1,0.3252,KDM1A_873,106
NS(=O)(=O)c1ccc(C(=O)N2CCc3cc(O)c(O)cc3C2)cc1,0.4385,KDM1A_250,64
CC(C)n1nc(C#Cc2cccc(O)c2)c2c(N)ncnc21,0.4469,KDM1A_367,154
COc1ccc2ccc(C(=N)N)cc2c1C1CNN(S(C)(=O)=O)C1,0.4098,KDM1A_49,55
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(-c2ccncc2)c1OC,0.4911,KDM1A_196,46
CC(C)ON(CC(O)=NO)S(=O)(=O)c1ccc2ccccc2c1,0.3431,KDM1A_652,133
CC(C)n1nc(C#Cc2cccnc2)c2c(N)ncnc21,0.4353,KDM1A_375,152
N#Cc1cnc(NC(O)=Nc2cc(Cl)ccc2O[C@@H]2CCNC2)cn1,0.3877,KDM1A_186,162
COc1cc(-c2ccc3c(c2)N=C(O)C3Cc2ccc[nH]2)ccc1O,0.4475,KDM1A_189,84
O=C(Nc1ccc([N+](=O)[O-])cc1)N1CCS[C@@H](c2ccccc2)C1,0.4059,KDM1A_347,88
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2nc(-c3ccc(Cl)s3)n[nH]2)C1=O,0.4967,KDM1A_7,72
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(N)(=O)=O)cc1,0.4374,KDM1A_15,18
CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cccc12,0.3828,KDM1A_3,1
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccncc2)c1,0.4223,KDM1A_62,23
O=C(O)c1ccc(/C=N/NC(S)=N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,0.3525,KDM1A_871,107
COc1ccc(OC)c(CN2Cc3cc(OC)c(OS(N)(O)O)cc3N=C2O)c1,0.4203,KDM1A_730,125
N=C(O)Nc1sc(-c2ccccc2)cc1C(O)=N[C@H]1CCCNC1,0.4475,KDM1A_33,39
C[C@H](N=C(O)[C@@H](CO)NS(=O)(=O)Cc1ccccc1)C(O)=NCc1ccc(C(=N)N)cc1,0.3502,KDM1A_8,87
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,0.3949,KDM1A_315,73
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3s2)C1,0.4285,KDM1A_554,74
O=S(=O)(c1ccc(F)cc1)N(CCO)CC(O)=NO,0.4601,KDM1A_18,34
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)ccc1OC,0.3662,KDM1A_847,117
CCOC(=O)c1c(C)nn(-c2ccc(N)cc2)c1C,0.449,KDM1A_988,95
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,0.4273,KDM1A_404,41
N=C(O)Nc1sc(-c2ccccc2)cc1C(=N)O,0.3787,KDM1A_195,160
CC(C)ON(CC(O)=NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.3679,KDM1A_80,25
CC(C)=CCOc1cc(N=C(S)c2ccoc2C)ccc1Cl,0.3221,KDM1A_911,103
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccncc1,0.4189,KDM1A_35,21
O=S(=O)(CCc1ccccc1)N1CCC[C@@H]1C(O)=NO,0.3528,KDM1A_529,66
CCOC(=O)c1c(C)nn(-c2ccccc2)c1C,0.4211,KDM1A_992,93
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,0.4591,KDM1A_24,2
C[C@H](N=C1N=C(O)[C@@](C)(C(F)(F)F)S1)c1ccccc1F,0.3575,KDM1A_611,134
Cc1c(O)nc(=O)n(C)c1CC(CO)CO,0.3464,KDM1A_951,100
N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(O)=N[C@H]1CCCC[C@@H]1O,0.4596,KDM1A_436,146
COc1ccc(CCC[C@H](CC(=O)N(C)O)CP(=O)(O)O)cc1,0.3616,KDM1A_589,137
CC(C)COc1cccc(-c2nc3cc(C(=N)N)c(F)cc3[nH]2)c1O,0.4668,KDM1A_970,96
CCOC(=O)c1c(C)nn(-c2ccccc2Cl)c1C,0.4555,KDM1A_853,113
COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H]1CNC(=O)CO1,0.4551,KDM1A_754,122
CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](C(=O)O)c1ccccc1,0.4283,KDM1A_688,128
Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(O)=NO)ccc1F,0.4977,KDM1A_12,80
N#Cc1cnc(N=C(O)N=C2CC(c3ccccc3)=NN2)cn1,0.3535,KDM1A_179,163
CC1(C)CC(=O)C2=C(C1)N[C@H](S)N[C@H]2c1ccccc1,0.4562,KDM1A_875,105
COC1=NCNC(=NCCc2ccc(S(N)(=O)=O)cc2)C1[N+](=O)[O-],0.3744,KDM1A_299,78
COc1ccc(CCNC(=O)c2ccc(S(N)(=O)=O)cc2)cc1OC,0.4878,KDM1A_267,40
Cc1c(Sc2ccc(OC(F)(F)F)cc2)sc2c1C(N)NC(=N)N2,0.4682,KDM1A_963,97
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(C#N)c1OC,0.3455,KDM1A_714,126
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)cc2)C1=O,0.4347,KDM1A_449,145
CC(C)ON(CC(O)=NO)S(=O)(=O)c1ccc(F)cc1,0.3605,KDM1A_851,115
CC(C)Oc1ccccc1C(=N)O,0.3458,KDM1A_856,110
COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)C)cc1,0.4445,KDM1A_42,12
CC(C)N(Cc1ccccc1OCCCCCCC(=O)O)C(=O)c1ccc(-c2ccco2)cc1,0.4426,KDM1A_74,6
COc1cc(N)c(C(=O)O)cc1OC,0.3304,KDM1A_415,147
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,0.386,KDM1A_17,26
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(OC)c1OC,0.3907,KDM1A_850,116
CC(C)c1c(O)nc(=O)n(COCCO)c1Sc1ccccc1,0.4444,KDM1A_534,142
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(-c2cncnc2)c1,0.4412,KDM1A_653,132
Cc1ccc(C(=O)O)c(Nc2c(C)cccc2C(=O)O)c1,0.3411,KDM1A_16,63
COc1cc2c(cc1OC)=C1N=NC(c3ccc(-c4ccc(O)cc4)cc3)=C1C=2,0.4849,KDM1A_21,9
COC1=CCC2=NC(C(O)=NS(=O)(=O)c3ccc(C)cn3)=CC2=C1,0.4684,KDM1A_588,138
CN(C)CCOc1ccc(-c2cc(C(=N)O)c(NC(=N)O)s2)cc1,0.4177,KDM1A_811,120
COc1ccc(S(=O)(=O)N(CCO)CC(O)=NO)cc1,0.4648,KDM1A_217,37
CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(Cl)s1,0.4244,KDM1A_852,114
COC1=NCNC(=NCCc2ccc(S(N)(=O)=O)cc2)C1Cl,0.3741,KDM1A_876,104
Cc1c(Sc2ccc(F)cc2F)sc2c1C(N)NC(=N)N2,0.4714,KDM1A_63,20
COc1ccc2c(CC(=O)Nc3ccc(S(N)(=O)=O)cc3)cc(=O)oc2c1,0.3997,KDM1A_45,42
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)sc3s2)C1=O,0.4837,KDM1A_52,68
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(OC)c1,0.3475,KDM1A_137,57
N#C/C(=C\c1ccc(O)c(O)c1)[C@H](N)O,0.38,KDM1A_275,158
NS(=O)(=O)c1c(F)c(F)c(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(F)c1F,0.3557,KDM1A_559,141
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3ccc(Cl)cc3s2)C1=O,0.4646,KDM1A_2,3
CC1(C)CC(=O)C2=C(C1)N[C@H](S)N[C@H]2c1cccc(O)c1,0.479,KDM1A_870,108
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0.4569,KDM1A_598,136
