SMILES,Tanimoto,drug_id,cluster
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)c1ccccc1,0.4308,NR4A1_634,136
C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.2353,NR4A1_57,12
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC(=O)C=C3N2)cc1,0.362,NR4A1_239,47
COC(=O)[C@@H](C#N)[C@H]1SCC(=O)N1c1ccc(-c2ccccc2)cc1F,0.4052,NR4A1_97,170
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,0.334,NR4A1_4,7
O=C1[C@@H](O)[C@H](O)C[C@](O)(C(=O)O)[C@@H]1Cc1c(F)c(F)c(F)c(F)c1F,0.3787,NR4A1_330,51
O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)Cc1ccccc1,0.371,NR4A1_3,15
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.3224,NR4A1_626,137
CC(O)=Nc1nnc(S(N)(=O)=O)s1,0.2093,NR4A1_277,85
Cc1c(O)nc(=O)n(C)c1C[C@H](CO)CF,0.2982,NR4A1_159,73
O=C(O)[C@H](CCCN1C(=O)[C@@]2(N=C1O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)N(O)CO,0.4728,NR4A1_327,88
CC[C@@H](C)C(SC[C@H](N)C(=O)O)(c1ccccc1)c1ccccc1,0.2799,NR4A1_225,57
CS(=O)(=O)n1ccc2c1NC(N1CCOCC1)=NC2c1cnc(=N)[nH]c1,0.4355,NR4A1_51,25
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.3076,NR4A1_636,134
Cc1c(O)nc(=O)n(C)c1/C=C(/CO)CF,0.2973,NR4A1_777,58
O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc([C@H]2CCCN2)cc1F,0.4208,NR4A1_2,16
O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc2c(c1F)CCCO2,0.4449,NR4A1_697,60
C[C@@H]1C(O)=NCCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,0.3273,NR4A1_365,40
O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1CCN(C2CCOCC2)CC1,0.3453,NR4A1_6,30
O=S(=O)(c1ccc(F)cc1)N1CCOc2cccc(Nc3ccccc3F)c2C1,0.4066,NR4A1_914,107
COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1,0.3854,NR4A1_29,29
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0.4251,NR4A1_194,39
O=P(O)(O)OC[C@@H](Cc1ccccc1)N=C(O)c1cc2ccccc2s1,0.3049,NR4A1_671,127
O=C(c1ccccc1)N1CCC(CCCCN=C(O)/C=C/c2ccc(O)cc2)CC1,0.2809,NR4A1_882,71
O=C1N(Cc2ccccc2)[C@H](COc2ccccc2)[C@H](O)[C@@H](O)[C@@H](CO)N1Cc1ccccc1,0.3258,NR4A1_705,67
Cc1cc(S(=O)(=O)N2CCC[C@H]2C(=O)O)ccc1F,0.294,NR4A1_858,112
