SMILES,Tanimoto,drug_id,cluster
CC(O)=Nc1nc(C)c(-c2ccc(Cl)cc2)s1,0.3759,P2RX3_779,114
COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OC)c(O)c1)N=C(C)O,0.3837,P2RX3_237,16
N=C(N)NCCCN=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccc2nc(O)cc(O)c2c1,0.4035,P2RX3_6,95
COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H](O)CO,0.4429,P2RX3_476,140
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,0.3853,P2RX3_30,1
Cc1c(O)nc(=O)n(COCCO)c1Sc1ccccc1,0.4095,P2RX3_757,121
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(=O)(=O)C2CC2)cc1,0.413,P2RX3_773,118
C[C@H](N=C1N=C(O)[C@@](C)(C(C)(C)O)S1)c1ccccc1F,0.4122,P2RX3_257,152
CC(C)COc1cccc(-c2nc3cc(C(=N)N)c(F)cc3[nH]2)c1O,0.4554,P2RX3_69,24
COc1ccc2c(CC(=O)Nc3ccc(S(N)(=O)=O)cc3)cc(=O)oc2c1,0.4083,P2RX3_461,47
COC(=O)c1c(O)cccc1OC/C=C/c1cccc(-c2cc(C(=O)O)no2)c1,0.4364,P2RX3_911,102
COc1ccc2ccc(C(=N)N)cc2c1C1CNN(S(C)(=O)=O)C1,0.407,P2RX3_9,5
O=S(=O)(c1ccc2c(c1)CN[C@@H](CF)C2)N1CCSCC1,0.3965,P2RX3_54,35
CC#CCOc1ccc(S(=O)(=O)N2CCSC(C)(C)[C@@H]2C(O)=NO)cc1,0.472,P2RX3_820,108
COc1cc2c(cc1OS(N)(O)O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.396,P2RX3_197,157
CC[C@@H](C)C(SC[C@H](N)C(=O)O)(c1ccccc1)c1ccccc1,0.3011,P2RX3_712,123
N=C(N)c1ccc(CO)cc1,0.1494,P2RX3_859,105
CCOc1ccnc(CCN=C(S)Nc2ccc(C)cn2)c1F,0.3586,P2RX3_353,61
CCOc1cc(OC(C)C)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)O)c1,0.4403,P2RX3_311,32
COc1cc2c(cc1OS(N)(O)O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.4039,P2RX3_183,71
CC(C)[C@H](N=C(O)OCc1ccccc1)P(=O)(O)O[C@H](C(=O)O)c1cccc(NC(=N)N)c1,0.4454,P2RX3_672,127
COc1cc2c(cc1OC)=C1N=NC(c3ccc(O)c(O)c3)=C1C=2,0.488,P2RX3_596,80
COc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3)C[C@@H]2C(O)=NO)cc1,0.4594,P2RX3_7,64
CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)CCc1cccc(C(=O)O)c1,0.4816,P2RX3_14,50
COc1cc(N(C)C[C@@H]2CCc3[nH]c(=N)[nH]c(=N)c3C2)cc(OC)c1OC,0.4817,P2RX3_5,36
CC#CCOc1ccc(C(=O)N[C@H](C(O)=NO)C(C)(C)N)cc1,0.338,P2RX3_835,106
COc1cc2c(cc1OC)=C1N=NC(c3ccc(-c4ccc(O)cc4)cc3)=C1C=2,0.4954,P2RX3_40,9
CC(C)(C)c1nc2c([nH]1)c1c(c3cc(F)ccc32)C(=O)N=CC1,0.4866,P2RX3_621,132
COc1ccc2c(c1)cc(C(O)=NS(=O)(=O)Cc1ccccc1)n2CC(=O)O,0.4812,P2RX3_984,97
COC(=O)c1c(O)cccc1OC/C=C/c1cccc(-c2onc(C(=O)O)c2CO)c1,0.4962,P2RX3_92,2
CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CC(=N)O)C(=O)O)cccc12,0.3651,P2RX3_47,10
C[C@H](N=C1N=C(O)[C@@](C)(C(F)(F)F)S1)c1ccccc1F,0.3715,P2RX3_75,167
CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OCc1ccccc1,0.4688,P2RX3_8,37
C[C@H](N=C(O)CCC(=O)c1cccs1)c1cccnc1,0.3081,P2RX3_279,150
COc1cc2c(cc1Cn1ccnc1)C=C1C(c3ccc(C#N)cc3)=NN=C12,0.4868,P2RX3_310,148
CC(O)=Nc1nnc(-c2ccc([N+](=O)[O-])cc2)s1,0.3121,P2RX3_18,25
CCOCn1c(Cc2ccccc2)c(C(C)C)c(O)nc1=O,0.4718,P2RX3_832,107
COc1c(CCc2ccc(NS(C)(=O)=O)cc2)cc(-c2cccnc2O)cc1C(C)(C)C,0.4122,P2RX3_941,69
CC(C)ON(CC(O)=NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.3277,P2RX3_760,119
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,0.3373,P2RX3_971,98
CN(C(=O)N1CC(c2cc(F)ccc2F)C[C@H]1c1ccccc1)C1CCNCC1,0.4431,P2RX3_83,96
