SMILES,Tanimoto,drug_id,cluster
COc1ccc(OC)c(/C=C\C(O)=Nc2ccccc2)c1,0.2305,RIOK1_77,137
COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)(C)C)cc1,0.4386,RIOK1_139,134
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C[C@H]3[C@@H]3CCCN32)cc1,0.4807,RIOK1_788,97
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0.1715,RIOK1_6,8
COCCN1CCC(C(=O)N=O)(S(=O)(=O)c2ccc(OC)cc2)CC1,0.3595,RIOK1_956,88
N=C(O)Nc1sc(-c2ccc(Cl)cc2)cc1C(O)=N[C@H]1CCCNC1,0.4275,RIOK1_420,27
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccnc(N3CCOCC3)c2)c1,0.4406,RIOK1_358,122
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)c(OC)c(OC)c1,0.36,RIOK1_697,101
CCOc1cc(OC(C)C)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)c2ncc[nH]2)c1,0.3825,RIOK1_259,130
CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)OC(C)(C)C,0.4182,RIOK1_354,123
N=C(N)c1ccc(CN2CCN(S(=O)(=O)c3cc4ccc(Cl)cc4s3)CC2)cc1,0.3945,RIOK1_798,95
NS(=O)(=O)c1c(F)c(F)c(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(F)c1F,0.3206,RIOK1_383,55
COC(=O)c1c(O)cccc1OC/C=C/c1cccc(-c2onc(C(=O)O)c2CO)c1,0.4337,RIOK1_10,21
COc1ccc(S(=O)(=O)N(CC(=O)N=O)Cc2cccnc2)cc1,0.3761,RIOK1_593,68
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccncc2)c1,0.3659,RIOK1_5,2
COc1cc2c(cc1OS(N)(O)O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,0.3896,RIOK1_431,114
COC(=O)Cc1ccc2c(c1)N=C(O)c1ccc(N=c3cc[nH]cc3)cc1N2,0.3869,RIOK1_147,54
NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1N[C@H]1CCc2ccccc21,0.4821,RIOK1_811,94
CCOc1ccnc(CCN=C(S)Nc2ccc(C(=O)O)cc2)c1F,0.3298,RIOK1_313,72
Cc1c(Sc2ccc(OC(F)(F)F)cc2)sc2c1C(N)NC(=N)N2,0.4527,RIOK1_3,83
COc1cc2c(cc1-c1cc(/C=C/C(=O)O)ccc1O)C(C)(C)CCC2(C)C,0.35,RIOK1_87,37
CC(=O)c1cccc(C(SCCN)(c2ccccc2)c2ccccc2)c1,0.2386,RIOK1_274,51
C[C@H](N=C(O)[C@@H](CO)NS(=O)(=O)Cc1ccccc1)C(c1ccccc1)c1ccccc1,0.3085,RIOK1_393,119
COc1ccc2c(CC(=O)Nc3ccc(S(N)(=O)=O)cc3)cc(=O)oc2c1,0.3791,RIOK1_44,10
N=C(N)c1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4cccc(C(=N)N)c4)CO[C@H]23)cc1,0.2946,RIOK1_462,63
CC(O)=Nc1nnc(S(N)(=O)=O)s1,0.2102,RIOK1_539,109
CCOCn1c(SC2CCCCC2)c(C(C)C)c(O)nc1=O,0.4358,RIOK1_235,49
NS(=O)(=O)c1ccc(CCN=C(O)Cc2ccc(O)c(Cl)c2)cc1,0.2709,RIOK1_714,42
N=C(N)c1ccc(CN=C(O)[C@H](CO)N=C(O)CCc2ccc(-c3ccccc3)cc2)cc1,0.2975,RIOK1_774,67
COc1ccc(OC)c(/C=C\C2=CN=C3NC(=N)NC(=N)C3C2C)c1,0.3929,RIOK1_991,86
COc1ccc(C2(c3cc(-c4sc(C)nc4C)[nH]n3)CC2)cc1,0.454,RIOK1_649,70
N=C(O)Nc1sc(-c2ccccc2)cc1C(O)=N[C@H]1CCCNC1,0.4207,RIOK1_432,113
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,0.3402,RIOK1_9,9
COc1ccc(O)c(-c2nc3ccc(C(=N)N)cc3[nH]2)c1,0.3656,RIOK1_13,5
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(OC)c1,0.3171,RIOK1_317,73
N=C(N)c1ccc2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc2c1,0.2774,RIOK1_196,60
C[C@H](N=C(O)[C@@H](CO)NS(=O)(=O)Cc1ccccc1)C(O)=NCc1ccc(NC(=N)N)cc1,0.3113,RIOK1_265,48
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(-c2ccncc2)c1OC,0.431,RIOK1_18,4
COc1cc(C#CC2=C3C=c4cc(OC)c(OC)cc4=C3N=N2)ccc1O,0.443,RIOK1_564,108
COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OCC(=O)O)c(O)c1)N=C(C)O,0.372,RIOK1_82,23
COc1ccc(OC)c(/C=C\C(O)=Nc2ccccc2C(=O)O)c1,0.3082,RIOK1_50,61
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2cncnc2)c1,0.3693,RIOK1_175,69
COc1ccc2ccc(C(=N)N)cc2c1C1CNN(S(C)(=O)=O)C1,0.3709,RIOK1_24,6
COc1ccc2c(CC(=O)Nc3ccc(S(N)(=O)=O)cc3)cc(=O)oc2c1OC,0.4348,RIOK1_55,20
CC(C)COc1cccc(-c2nc3ccc(C(=N)N)cc3[nH]2)c1O,0.3778,RIOK1_113,135
CC(C)c1cccc(-c2cc(/C=C/C(=O)O)ccc2O)c1,0.27,RIOK1_876,92
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.3084,RIOK1_436,112
CCOCn1c(Cc2ccccc2)c(C(C)C)c(O)nc1=O,0.4233,RIOK1_298,127
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccc(C(=O)O)cc2)c1,0.3814,RIOK1_14,17
COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1,0.4199,RIOK1_263,45
COC1=NCNC(=NCCc2ccc(S(=O)(=O)c3cccc(OC)c3)cc2)C1[N+](=O)[O-],0.4081,RIOK1_94,136
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccncc1,0.3289,RIOK1_737,98
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.2189,RIOK1_59,139
COc1ccc(S(=O)(=O)N(CC(O)=NO)Cc2ccncc2)cc1,0.3657,RIOK1_515,66
Cc1cc(S(=O)(=O)N2CCC[C@H]2C(=O)O)c(N)cc1Cl,0.3924,RIOK1_398,116
COc1cc(OC)c(N=C(O)Nc2cnc(C#N)cn2)cc1Cl,0.3465,RIOK1_249,34
N=C(N)c1ccc(CN=C(O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)c2ccccc2)cc1,0.3882,RIOK1_30,40
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccncc2)c1OC,0.4096,RIOK1_57,14
COc1ccccc1/C(=C\c1coc2nc(=N)[nH]c(N)c12)CC(C)C,0.4538,RIOK1_898,91
CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CC(=N)O)C(=O)O)cccc12,0.3482,RIOK1_4,0
CC(C)n1nc(C#Cc2cccnc2)c2c(N)ncnc21,0.4133,RIOK1_639,104
COc1ccc(S(=O)(=O)N(CCO)CC(O)=NO)cc1,0.3467,RIOK1_395,118
COc1cc(OC)c(N=C(O)NC2=NCC(C#N)=NC2)cc1Cl,0.3387,RIOK1_49,46
NS(=O)(=O)c1ccc(C(=O)N2CCc3cc(O)c(O)cc3[C@H]2c2ccccc2)cc1,0.4138,RIOK1_390,43
CC(C)c1ccc(N(C)c2cnc3nc(=N)[nH]c(N)c3c2)cc1,0.3737,RIOK1_115,38
COCCN1Cc2c(nc(C)c(CN)c2-c2ccc(C)cc2)C1=O,0.4647,RIOK1_299,126
COc1cc2c(cc1OS(N)(O)O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.3607,RIOK1_232,82
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(S(N)(=O)=O)cc1,0.3776,RIOK1_732,100
O=S(=O)(c1ccc(F)cc1)N1CCOCC1,0.3016,RIOK1_899,90
N=C(N)c1ccc(CN=C(O)[C@@H]2CCCN2C(=O)CN[C@@H]2/C=C\CCCCC2)cc1,0.3371,RIOK1_36,47
O=S(=O)(c1ccc(F)cc1)N(CCO)CC(O)=NO,0.3065,RIOK1_396,117
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(-c2cncnc2)c1,0.3898,RIOK1_156,28
CC(C)N(Cc1ccccc1OCCCCCC(=O)O)C(=O)c1ccc(-c2ccccc2)cc1O,0.3388,RIOK1_379,120
COC1=NCNC(=NCCc2ccc(S(N)(=O)=O)cc2)C1[N+](=O)[O-],0.3734,RIOK1_83,19
N=C(N)c1ccc(CN=C(O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,0.3636,RIOK1_494,50
COc1cc2c(cc1OS(N)(O)O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.3685,RIOK1_234,81
N=C(N)c1ccc2cc(C(=O)Nc3cccc(OC4CCCC4)c3O)ccc2c1,0.3354,RIOK1_454,111
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,0.2793,RIOK1_174,29
CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(C)O2,0.4907,RIOK1_213,13
COC1=NCNC(=NCCc2ccc(OC)c(OC)c2)C1[N+](=O)[O-],0.3691,RIOK1_433,78
N=C(N)c1ccc2cc(C(=O)Nc3cccc(OC(F)(F)F)c3)ccc2c1,0.2766,RIOK1_169,79
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(-c2ccncc2)c1,0.3876,RIOK1_0,1
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2cc(C(=O)O)ccc2OC)c1,0.4066,RIOK1_556,75
CCOc1cc([C@@H](Nc2ccc3c(N)nccc3c2)C(O)=NCc2ccccc2)ccc1OC(C)C,0.3915,RIOK1_512,110
CC(O)=Nc1nnc(-c2ccc([N+](=O)[O-])cc2)s1,0.269,RIOK1_199,41
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(-c2cc(C(=O)O)ccn2)c1,0.4523,RIOK1_132,76
NS(=O)(=O)c1ccc(C(=O)N2CCc3cc(O)c(O)cc3C2)cc1,0.3523,RIOK1_254,33
CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccccc2)c2ccccc21,0.4912,RIOK1_577,106
COc1ccccc1/C(=C\c1coc2nc(=N)[nH]c(N)c12)C(C)C,0.4472,RIOK1_28,25
CC(C)COc1cccc(-c2nc3cc(C(=N)N)c(Cl)cc3[nH]2)c1O,0.4214,RIOK1_108,18
COc1ccc2ccc(C(=N)N)cc2c1OCC(=N)O,0.2446,RIOK1_437,64
CCOc1cc(OC(C)C)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)O)c1,0.3684,RIOK1_294,77
CCOc1ccc(OCC)c(NC(=O)c2cc(C)c(OCCN)c(C)c2)c1,0.3185,RIOK1_685,102
CN=C(O)[C@@H]1Cc2ccc(NS(O)(O)O)cc2CN1C(=O)CCc1cccc(C(=O)O)c1,0.4459,RIOK1_344,125
N=C(N)c1ccc(CN=C(O)CN=C(O)[C@@H](CO)NS(=O)(=O)Cc2ccccc2)cn1,0.3378,RIOK1_919,89
N=C(N)c1ccc2nc(-c3cc([C@@H](CC(=O)O)C(=O)O)cc(-c4ccccc4F)c3O)[nH]c2c1,0.4965,RIOK1_243,85
COC(=O)Cc1ccc2c(c1)N=C(O)c1ccc(-c3cncn3C)cc1N2,0.4439,RIOK1_153,65
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(OC)c1,0.34,RIOK1_73,138
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2cc(C(=O)O)ccn2)c1,0.4352,RIOK1_17,26
CCc1nn(CCO)c(CC)c1Oc1cc(C#N)cc(C#N)c1,0.3429,RIOK1_12,52
