SMILES,Tanimoto,drug_id,cluster
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2CC2)cc1,0.2064,SPIN1_468,315
COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(O)=NO)C(C)C)cc1,0.4093,SPIN1_231,20
COc1cc(-c2ccc(C)cc2)cc([C@@H](C)C#Cc2c(C)[nH]c(=N)[nH]c2=N)c1,0.3624,SPIN1_660,250
Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(=O)O)ccc1Cl,0.3442,SPIN1_56,86
CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,0.3344,SPIN1_42,75
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC(O)C2=O,0.3632,SPIN1_491,306
N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O,0.1978,SPIN1_305,347
C[C@@H](C(=O)N(C)C)N(CC(F)(F)F)c1ccc(C#N)c(C(F)(F)F)c1,0.3232,SPIN1_625,260
CC(=O)c1ccc(-c2ccc(CC[C@H](N)C(=O)O)cc2)cc1,0.1785,SPIN1_110,87
Cc1cc(OCC(=O)O)cc(C)c1Cc1c[nH]c(=N)[nH]c1=N,0.3225,SPIN1_333,344
CC(=O)c1cccc(C(=O)O)c1,0.1593,SPIN1_36,400
CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1-c1ccccc1,0.4185,SPIN1_786,215
Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(O)=NO)ccc1F,0.3591,SPIN1_43,41
C[C@@H](C(=O)C(=O)O)c1ccc2ccccc2c1,0.2039,SPIN1_433,321
Cc1ccc(C(=O)O)c(N)c1,0.1577,SPIN1_709,61
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O,0.3312,SPIN1_283,44
CC(C)[C@H](NS(=O)(=O)c1ccccc1)P(=O)(O)C[C@H](Cc1ccccc1)C(=O)O,0.3625,SPIN1_266,356
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1cccc(C(F)(F)F)c1,0.3318,SPIN1_307,135
COc1ccc(Sc2c(C)c3c(n2C)NC(=N)NC3N)cc1,0.4641,SPIN1_945,172
N=C(O)Nc1sc(-c2ccccc2)cc1C(O)=N[C@H]1CCCNC1,0.3785,SPIN1_172,376
Cc1ccc(CCC[C@H](CC(=O)N(C)O)CP(=O)(O)O)cc1,0.2409,SPIN1_4,55
Cc1cccc(C(=O)O)c1N,0.1635,SPIN1_38,147
Cc1cc(C)cc(S(=O)(=O)c2cccc(N)c2C#N)c1,0.2797,SPIN1_411,125
O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc([C@H]2CCCN2)cn1,0.4511,SPIN1_566,115
C[C@]1(O)CCN(c2nc(N3C[C@H](O)[C@@H](O)C3)cc(C(F)(F)F)c2C#N)C1,0.3665,SPIN1_813,205
COc1cc(OC)c(N=C(O)Nc2cnc(C#N)cn2)cc1Cl,0.3367,SPIN1_776,90
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(C(C)(C)C)c1O,0.3652,SPIN1_412,322
C[C@@H]1CN(CC(=O)O)CCN1,0.1034,SPIN1_496,301
CC(C)[C@H](N=C(O)CCc1ccccc1)P(=O)(O)C[C@@H](CCCCCN)C(=O)O,0.3333,SPIN1_151,34
CCCSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1O,0.3707,SPIN1_425,83
C[C@H](N=C(O)CCC(=O)c1cccs1)c1ccccc1,0.2359,SPIN1_159,379
N=C(O)N[C@@H](Cc1ccccc1)C(O)=N[C@@H](Cc1ccccc1)C(=O)O,0.2687,SPIN1_14,157
CN(C)c1cccc2c(S(=O)(=O)N(C)C)cccc12,0.2327,SPIN1_372,334
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(-n2ccnc2)cc1,0.3504,SPIN1_308,146
C[C@@H](O)[C@H](N)C(O)=NS(=O)(=O)c1ccccc1,0.2129,SPIN1_291,351
O=C(O)C1=C(C(O)=Nc2c(F)cc(-c3ccccc3)cc2F)CCC1,0.3021,SPIN1_947,170
O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc2c(c1F)CCNC2,0.4796,SPIN1_62,22
C[C@H](N=C(O)CCc1nc(O)c2ccccc2n1)c1ccc(C(=O)O)cc1,0.3362,SPIN1_768,219
Cc1cccc(C(=O)O)c1Nc1cc([N+](=O)[O-])ccc1C(=O)O,0.2658,SPIN1_946,171
CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1,0.1575,SPIN1_676,243
O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc([C@H]2CCCN2)nc1F,0.4741,SPIN1_569,272
OC[C@H]1O[C@@H](N=C(S)N/N=C/c2cccc(Cl)c2)[C@H](O)[C@@H](O)[C@@H]1O,0.3064,SPIN1_728,230
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)ccc1OC,0.3492,SPIN1_541,288
CC(C)c1cc(C(C)C)c(S(O)(O)O)c(C(C)C)c1,0.1883,SPIN1_668,247
C[C@]1(c2ccccc2)CC(=O)N(CCOc2ccc(F)c(C#N)c2)C(=O)N1,0.4074,SPIN1_365,338
O=S(=O)(c1ccc(-c2ccccc2)cc1)N(CCO)CCO,0.1792,SPIN1_94,36
N#C/C(=C\c1ccc(O)c(O)c1)[C@H](N)O,0.2648,SPIN1_507,300
Cc1[nH]c(=N)nc2c1nc(C1=CN=NC1)c(=O)n2C(C)C,0.452,SPIN1_7,415
C[C@@H](O)[C@H](NC(=O)c1ccc(C#CC#Cc2ccccc2)cc1)C(O)=NO,0.2677,SPIN1_141,32
CC(C)CCN([C@@H](C(O)=NO)C(C)C)S(=O)(=O)c1ccc2ncccc2c1,0.371,SPIN1_393,325
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)cc2)C1=O,0.3217,SPIN1_446,319
CN(C)CCOc1ccc(-c2cc(C(=N)O)c(NC(=N)O)s2)cc1,0.3632,SPIN1_237,365
CC(C)c1c(S(=O)(=O)N2CCOCC2)c(-c2ccccc2)nn1-c1ccccc1,0.4647,SPIN1_961,165
O=C(O)c1ccc(/C=N/NC(S)=N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,0.3117,SPIN1_144,52
