SMILES,Tanimoto
CC(C)Oc1ccccc1C(=N)O,0.3247
CC1=C(CCCOc2ccccc2F)C(C)N=N1,0.2704
O=C(O)CCC(O)=NN=C(O)c1cccnc1,0.2149
O=C(O)CCC(O)=NN=C(O)c1ccncc1,0.1861
O=C(O)CN=C(O)NC1CCCCC1,0.1664
O=C(O)CCC(O)=NN=C(O)c1ccccc1,0.2045
O=C(O)C(=O)Cc1ccccc1,0.3482
CC1=C(CCCOc2ccccc2)C(C)N=N1,0.2424
O=C(O)CN=C(O)CCCc1ccccc1,0.2925
CCC(CC)Oc1ccccc1C(=O)O,0.3337
N=C1N=C(O)C2=C(CO)C=CC2=N1,0.3057
CC(C)C[C@H](N)C(O)=NO,0.1327
CCC(CC)Oc1ccccc1C(=N)O,0.3343
CN(C)c1ccccc1C(=O)O,0.2874
CC(C)Cc1ccc2c(c1)C(=O)NCC2,0.4060
N=C(O)CCC(=O)O,0.0749
O=C(O)C1=CC(=O)C=CC1=O,0.1932
N=C(O)CCC(=O)c1cccc(Cl)c1,0.2802
O=C(O)CN=C(O)C(=O)O,0.0950
O=C(O)CCC(=O)O,0.0705
CC1=C(CCCOc2cc(C(=O)O)ccc2F)C(C)N=N1,0.3343
CC1=C(CCCOc2ccccc2F)C(C)N=N1,0.2704
CC(C)C[C@H](CN)Cc1ccc2c(c1C(=O)O)OCO2,0.4388
CN(C)c1cccc(CN=c2ccc(C(=N)O)c[nH]2)c1,0.2880
N=C1N=C(O)C2C[C@@H](Cc3ccccc3)CN=C2N1,0.3700
N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,0.3609
CN(C)c1cccc(CN=c2ccc(C(=O)O)c[nH]2)c1,0.2857
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
N=c1ccn([C@@H]2CS[C@H](CO)C2)c(O)n1,0.3397
CSC[C@H]1N[C@@H](C2=CN=C3C(N)=NC=NC23)[C@H](O)[C@@H]1O,0.5364
CC(C)Oc1ccccc1C(=N)O,0.3247
O=C(O)CN=C(O)c1nc(Cl)c2ccccc2c1O,0.3756
N=C1N=C(O)C2C[C@@H](C(=O)O)CN=C2N1,0.3431
N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)C2)c(O)n1,0.3336
O=C(O)CN=C(O)c1nc(Cl)c2ccccc2c1N,0.3737
O=C(O)CN=C(O)c1nc(Cl)c2ccccc2c1Cl,0.3631
O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,0.2777
O=C(O)CN=C(O)c1nc(Cl)c2ccccc2c1S,0.3707
CC1=C(CCCOc2ccccc2F)C(C)N=C1,0.2607
N=C(N)c1ccccc1,0.2234
CC(C)Oc1ccccc1C(=N)O,0.3247
O=C(O)C(=O)Cc1ccccc1,0.3482
N=C(N)c1ccccc1,0.2234
N=C(O)c1ccc(=N)[nH]c1,0.1890
Cc1ncc(CO)c(CN)c1O,0.2844
CC(C)Cc1ccc2c(c1)OCCO2,0.4330
CN(C)c1ccccc1C(=O)O,0.2874
CSCC[C@H](N)C(=O)O,0.1169
Cc1cccc(C)c1OC[C@@H](C)N,0.3646
N=C(O)CCC(=O)c1cccnc1,0.3143
N=C(O)CCC(=O)c1ccccc1,0.3020
Cc1ccc(C)c(N)c1,0.2648
N=C(O)c1cccnc1,0.1823
CCOC(=O)c1ccc(CN)cc1,0.5092
Cc1ccc(C)c(C)c1C,0.2283
CC(C)Cc1cccnc1,0.3053
N=C(O)CCC(=O)O,0.0749
CCOC(=O)c1cccnc1N,0.2876
Cc1ccc(C)c(C)c1,0.2400
Cc1ccc(C)c(N)c1C,0.3197
CC(C)Oc1ccccc1C(=N)O,0.3247
N=C(O)c1ccc(NC2CCCC2)nc1,0.2866
N=C(O)c1ccc(=N)[nH]c1,0.1890
N=C(N)c1ccccc1,0.2234
N=C(O)CCC(=O)c1cccc(Cl)c1,0.2802
N=C(O)CCC(=O)c1ccc(Cl)cc1,0.2917
O=C(O)CN=C(O)NC1CCCCC1,0.1664
O=C(O)CNC(=O)C(=O)O,0.1066
CN(C)c1ccccc1C(=O)O,0.2874
N=C(O)c1ccc(NC2CCCCC2)nc1,0.2848
Cc1ncc(CO)c(CN)c1O,0.2844
N=C(N)c1ccc(N=N)cc1,0.2426
N=C(O)CCC(=O)c1ccc(Cl)s1,0.4335
N=C(O)c1ccc(=NC2CCCC2)[nH]c1,0.2305
O=C(O)CN=C(O)C(=O)O,0.0950
N=C(O)CCC(=O)O,0.0749
N=C(O)CCC(=O)c1ccccc1,0.3020
O=C(O)CN=C(O)NC1CC1,0.1307
N=C(O)c1cccnc1,0.1823
N=C(O)CCC(=O)c1cccs1,0.4603
CC(C)Oc1ccccc1C(=N)O,0.3247
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
Clc1ccc2c(=NCC3CC3)[nH]cnc2c1,0.3275
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)n1,0.3194
N=C(N)c1ccccc1,0.2234
N=C(O)c1ccc(=N)[nH]c1,0.1890
CN(C)c1ccccc1C(O)=NCC1CC1,0.2990
Cc1ncc(CO)c(CN)c1O,0.2844
CN(C)c1ccccc1C(=O)O,0.2874
O=C(O)CN=C(O)c1nccn1C1CC1,0.2653
N=C1N=C(O)C2=CC=CC2=N1,0.2430
N=C1N=C(O)C2=CC=C(N)C2=N1,0.3171
N=C(N)c1ccc(=N)[nH]c1,0.2056
O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,0.2777
Cc1ccc(C)c(N)c1,0.2648
N=C(N)c1ccc(N=N)cc1,0.2426
Cc1cccc(C)c1OC[C@@H](C)N,0.3646
CN(C)c1ccccc1C(O)=NC1CC1,0.2994
CC(C)C[C@H](N)C(O)=NO,0.1327
CSCC[C@H](N)C(=O)O,0.1169
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3256
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,0.4529
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
NCCCC(O)=N[C@@H]1Cc2ccccc2[C@@H]1C(=O)O,0.4354
N=C(O)c1ccc(=N)[nH]c1,0.1890
CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,0.4529
Cc1ncc(CO)c(CN)c1O,0.2844
N=C(N)c1ccccc1,0.2234
CC1=C(CCOc2ccccc2F)C(C)N=N1,0.2622
Cc1ncc(COP(=O)(O)O)c(C)c1O,0.2861
CN(C)c1ccccc1C(=O)O,0.2874
CSCC[C@H](N)C(=O)O,0.1169
O=C(O)CN=C(O)c1nc(Cl)ccc1Cl,0.2777
O=C(O)CN=C(O)c1ncccc1S,0.2394
N=C(O)CCC(=O)O,0.0749
Cc1ccc(C)c(N)c1,0.2648
Cc1ncc(COP(=O)(O)O)c(CN)c1,0.2525
Cc1cccc(C)c1OC[C@@H](C)N,0.3646
Cc1ncc(COP(=O)(O)O)c(CN)c1C,0.2683
Cc1ncc(COP(=O)(O)O)c(CN)c1S,0.3050
CC1=C(CCCOc2ccccc2F)C(C)N=N1,0.2704
CSC[C@H]1CN(Cc2cnc3c(N)[nH]cnc2-3)C[C@@H]1O,0.4350
O=C(O)CCO/N=C/c1ccccc1C(F)(F)F,0.3189
CC(C)Oc1ccccc1C(=N)O,0.3247
N=C(N)c1ccccc1,0.2234
CC1=C(CCCOc2ccccc2F)C(=O)CC=C1,0.2684
N=C(O)c1ccc(NC2CCCC2)nc1,0.2866
O=C(O)CN=C(O)c1ncccc1C(F)(F)F,0.3089
N=C(O)CCC(=O)c1cccc(Cl)c1,0.2802
CC1=C(CCCOc2ccccc2F)C(=O)N=N1,0.2846
CC1=C(CCCOc2ccccc2F)C(C)N=C1,0.2607
CN(C)c1cccc2c1C(=O)N(C1CC1)C2,0.4622
CCOC(=O)c1c(C)nn(C)c1C,0.2475
CN(C)c1ccccc1C(O)=NCC1CC1,0.2990
N=C1N=C(O)C2=C(CN)C=NC2=N1,0.3016
N=C(O)CCC(=O)c1ccc(Cl)cc1,0.2917
N=C(O)c1ccc(=N)[nH]c1,0.1890
