SMILES,Tanimoto
O=S(=O)(CC1(C(O)=NO)CCOCC1)c1ccccc1,0.2706
O=S(=O)(c1ccccc1)N1CCC[C@@H]1C(O)=NO,0.3057
C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4C3C=C[C@@]21C,0.3821
O=S(=O)(c1ccccc1)C1(CC(O)=NO)CCOCC1,0.2577
O=S(=O)(CCc1ccccc1)N1CCC[C@@H]1C(O)=NO,0.3097
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.1845
CCCCCCc1ccc(Oc2ccccc2)c(O)c1,0.2181
O=S(=O)(CC1CCCC1)N1CCCC1,0.1487
C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.3067
CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,0.2267
O=S(=O)(CC1(C(O)=NO)CCCC1)c1ccccc1,0.2622
C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4C3CC[C@@]21C,0.3067
O=S(=O)(CC1(C(O)=NO)CCOCC1)c1cccs1,0.3109
O=S(=O)(CC1CCCC1)N1CCC[C@@H]1COc1ccccc1,0.2747
O=S(=O)(CCC1CCCC1)N1CCCC1,0.1477
O=S(=O)(CCC1CCCC1)N1CCC[C@@H]1COc1ccccc1,0.2674
O=S(=O)(NCCC1CCCC1)c1ccccc1,0.1436
COc1cc(CC(C)C)ccc1O,0.3070
O=C(O)CCCCCOc1ccccc1,0.1868
O=C(O)CC(=O)O,0.1189
COc1ccc(CC(C(=O)O)C(=O)O)cc1OC,0.3371
CC(C)Oc1ccccc1C(=O)O,0.2200
O=C(O)CCc1ccc(O)cc1,0.1734
CC(C)Oc1ccccc1C(=N)O,0.2246
COc1cc(CCC(=O)O)ccc1O,0.3172
COc1cc(CC(=O)O)ccc1O,0.2917
O=C(O)CCc1ccc(O)c(O)c1,0.2405
COc1cc(CC(C)C)ccc1O,0.3070
COc1ccc(CC(C(=O)O)C(=O)O)cc1,0.2282
COc1ccc(C(=O)CC(=O)C(=O)O)cc1,0.2242
O=C(CCc1ccoc1)n1cccc1,0.1528
O=C(CCc1ccoc1)N1CCC[C@@H]1C(=O)O,0.2751
CCOC(=O)c1ccc2[nH]c(=N)sc2c1,0.2982
COc1ccc(C(=O)CC(=O)O)cc1,0.2133
O=C(O)CCc1cccc(O)c1,0.1923
COc1ccc(CC(C(=O)O)C(=O)O)cc1O,0.3098
O=C(O)CCCc1ccccc1,0.1958
CC(C)(C)c1cccc(O)c1O,0.2082
O=C(O)c1ccc(O)cc1,0.1768
O=C(O)CC(=O)O,0.1189
CC(C)Oc1ccccc1C(=N)O,0.2246
CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,0.3551
CCCS(=O)(=O)Nc1ccc(F)cc1C(=O)O,0.3237
CC(C)Oc1ccccc1C(=O)O,0.2200
CC(O)=Nc1ccc(C(=O)O)cc1,0.2190
CCCS(=O)(=O)Nc1cccc(F)c1,0.1612
C[C@@H](N=C(O)CCC(=O)O)C(=O)O,0.1967
CC(C)(C)OC(O)=Nc1cccc2ccccc12,0.1461
CCCS(=O)(=O)Nc1ccc(F)cc1,0.1452
CC(O)=Nc1cccc(C(=O)O)c1,0.2382
CC(O)=Nc1ccc(C(=O)O)cc1N,0.2397
CCCS(=O)(=O)Nc1ccc(F)c(F)c1,0.1662
O=C(CCc1ccccc1)N1CCC[C@@H]1C(=O)O,0.3165
CCCS(=O)(=O)Nc1cccc(F)c1F,0.1920
CCCS(=O)(=O)Nc1ccc(Cl)cc1,0.1526
CCCS(=O)(=O)Nc1ccc(F)cc1F,0.1823
COc1cc(CC(C)C)ccc1O,0.3070
COc1cc(CC(C)C)ccc1N,0.2376
CC(C)Cc1ccc(O)cc1,0.1593
COc1cc(C(C)(C)C)ccc1N,0.2390
O=C(O)C[C@@H](Cc1ccccc1)C(=O)O,0.2112
