SMILES,Tanimoto
O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1CCN(C2CCOCC2)CC1,0.3634
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C1)C2,0.4985
COc1ccc2c(c1)cc(C(O)=NS(=O)(=O)c1ccc3ccccc3c1)n2CC(=O)O,0.4576
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NN=C3N=C2)cc1,0.3220
COc1ccc2c(c1)c(/C=C1\Oc3cc(O)cc(O)c3C1=O)c1n2CCNC1,0.5241
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(CF)c3)CN1CC2,0.4217
COC(=O)Cc1ccc2c(c1)N=C(O)c1ccc(N=c3cc[nH]cc3)cc1N2,0.3717
O=S(=O)(c1ccc2c(c1)CN[C@@H](CF)C2)N1CCSCC1,0.3388
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@@H](CF)CC3=O)CN1CC2,0.4335
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC=CC3=N2)cc1,0.3385
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC(=O)C=C3N=C2)cc1,0.3455
COC(=O)Cc1ccc2c(c1)N=C(O)c1ccc(-c3cncn3C)cc1N2,0.4289
O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1CCN(C2COC2)CC1,0.3549
O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1(CCO)CCNCC1,0.3523
COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H]1CNCCO1,0.3974
O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C(F)(F)F,0.2967
CC(O)=Nc1nnc(-c2ccc([N+](=O)[O-])cc2)s1,0.2890
N=C(O)n1cc(N=C(O)N2CCC[C@H]2C(O)=Nc2cccc(OC(F)(F)F)c2)cn1,0.3773
O=C(O)C(=O)Nc1sc2c(c1C(=O)O)CCSC2,0.4254
O=C(O)C(=O)Nc1sc2c(c1C(=O)O)CCNC2,0.4248
CCOC(=O)C(=O)CN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.4711
COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OCC(=O)O)c(O)c1)N=C(C)O,0.4110
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C1)C2,0.4985
COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1,0.3983
O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1CCN(C2CCOCC2)CC1,0.3634
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](N=C(C)O)CC2,0.4458
COC(=O)c1c(O)cccc1OC/C=C/c1cccc(-c2onc(C(=O)O)c2CO)c1,0.4270
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(CF)c3)CN1CC2,0.4217
COc1ccc2c(c1)cc(C(O)=NS(=O)(=O)c1ccc3ccccc3c1)n2CC(=O)O,0.4576
COc1cc2c(cc1-c1cc(/C=C/C(=O)O)ccc1O)C(C)(C)CCC2(C)C,0.3795
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC=CC3=N2)cc1,0.3385
COc1ccc2c(c1)cc(C(O)=NS(=O)(=O)c1ccc(C)cc1)n2CC(=O)O,0.4613
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NC(=O)C=C3N=C2)cc1,0.3455
O=S(=O)(c1ccc2c(c1)CN[C@@H](CF)C2)N1CCSCC1,0.3388
O=C(O)C(=O)Nc1sc2c(c1C(=O)O)CCSC2,0.4254
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NN=C3N=C2)cc1,0.3220
COc1cc(OC)c(N=C(O)NC2=NCC(C#N)=NC2)cc1Cl,0.3105
COC(=O)c1cnc(Nc2cnc(C(=O)O)cn2)cc1NC[C@H]1CNCCO1,0.3996
O=C(O)C1=NC(c2ccccc2)=NC1C(=O)O,0.3121
O=S1(=O)N=C(O)C=C1c1ccc(O)c(O)c1,0.2913
COC(=O)c1c(O)cccc1OCCCCN=C(O)[C@H](Cc1ccc(OCC(=O)O)c(O)c1)N=C(C)O,0.4110
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C1)C2,0.4985
COc1ccc2c(c1)cc(C(O)=NS(=O)(=O)c1ccc3ccccc3c1)n2CC(=O)O,0.4576
CCOc1cc(O[C@@H]2CCOC2)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)O)c1,0.3745
COC(=O)c1c(O)cccc1OC/C=C/c1ccc(F)c(-c2cc(C(=O)O)no2)c1,0.3983
COc1ccc(S(=O)(=O)N=C(O)c2cc3cc(OC)ccc3n2CC(=O)O)cc1,0.4599
COc1ccc2c(c1)cc(C(O)=NS(=O)(=O)c1cc3ccccc3o1)n2CC(=O)O,0.4960
O=S1(=O)N=C(O)C[C@H]1c1ccc(C[C@H](N=C(O)C(F)(F)F)c2nc3ccccc3[nH]2)cc1,0.4062
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc(O)c4)nc(N4CCOCC4)c3s2)CC1,0.4730
COc1ccc2c(c1)c(/C=C1\Oc3cc(O)cc(O)c3C1=O)c1n2CCNC1,0.5241
COc1cc(OC)c(N=C(O)Nc2cnc(C#N)cn2)cc1Cl,0.3213
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)N=C(O)O)cc1,0.3601
CS(=O)(=O)n1ccc2c1NC(N1CCOCC1)=NC2c1cnc(=N)[nH]c1,0.4709
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,0.3529
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3F)[C@@H](O)C1)C2,0.5098
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(CF)c3)CN1CC2,0.4217
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3)[C@@H](N)C1)C2,0.4882
COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H]1CNCCO1,0.3974
O=S(=O)(c1ccc2c(c1)CN[C@@H](CF)C2)N1CCSCC1,0.3388
CCOc1cc(O[C@@H]2CCOC2)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)O)c1F,0.3822
C[C@H](N=C(O)[C@@H](CO)NS(=O)(=O)Cc1ccccc1)C(O)=NCc1ccc(C(=N)N)cc1,0.2855
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C1)C2,0.4985
C[C@H](N=C(O)[C@@H](CO)NS(=O)(=O)Cc1ccccc1)C(O)=NCc1ccc(NC(=N)N)cc1,0.3065
CS(=O)(=O)n1ccc2c1NC(N1CCOCC1)=NC2c1cnc(=N)[nH]c1,0.4709
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3ccc(Cl)cc3s2)C1=O,0.4111
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3s2)C1=O,0.4100
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,0.3621
C[C@@H](O)[C@H](NC(=O)c1ccc(C#CC#Cc2ccccc2)cc1)C(O)=NO,0.3474
COc1cc(N(C)C[C@@H]2CCc3[nH]c(=N)[nH]c(=N)c3C2)cc(OC)c1OC,0.3958
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NN=C3N=C2)cc1,0.3220
