SMILES,Tanimoto
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,0.5391
O=C1N=C(O)CCN1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,0.3698
O=C(O)C(=O)N[C@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,0.3569
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCCC1,0.3987
O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC=C1,0.4127
O=c1[nH]cnc2c1=NCC=2CN1C[C@H](O)[C@@H](COP(=O)(O)O)C1,0.4254
O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,0.4477
O=C1N=C(O)CCN1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,0.4231
Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CON=C2O)c1O,0.4305
COc1ccc([C@H]2CN=C(O)C2)cc1OC1CCCC1,0.3987
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)nc1O,0.4037
O=c1[nH]cnc2c1=NCC=2CN1C[C@H](O)[C@@H](CO)C1,0.3877
O=C(O)[C@H](CO)N=C(O)c1cccc(O)c1O,0.2709
O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)OCc1ccccc1,0.4730
COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1CCCC1,0.3776
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O,0.3931
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3536
O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)C1CC1,0.4680
C[S](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)O1,0.5000
O=C1OC[C@H](N=C(O)c2cccc(O)c2O)C(=O)O1,0.3146
O=C(O)C1=NC(c2ccccc2)=NC1C(=O)O,0.3398
O=C(O)C(=O)N[C@@H]1SC2COCCC2=C1C(=O)O,0.4062
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCCC1,0.3987
O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,0.4477
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.5164
COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC=C1,0.3730
O=C(O)[C@@H](O)CC(=O)C1(Cc2ccc(Cl)cc2)CCNCC1,0.3186
O=C(O)C1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)CC=C1,0.3730
O=C(O)CN=C(O)c1nc(Cl)c2ccccc2c1O,0.3751
O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,0.2117
O=S(=O)(O)OC1=C2C=CC=CC2N=C1,0.3037
O=C(O)CCN=C(O)c1cccc(O)c1O,0.2467
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3536
COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1CCCC1,0.3776
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1C=CC=C1,0.3987
COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC(F)=C1,0.3838
O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC1,0.3981
Cc1ncc(COP(=O)(O)O)c(/C=N/OCCCCCCO)c1O,0.3768
COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CCC1,0.3809
O=C(O)[C@@H](O)CC(=O)C1(Cc2ccc(Cl)cc2)CCN1,0.3970
C[S](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.5474
CC1=C(CCOP(=O)(O)OP(=O)(O)O)SCN1Cc1cnc(C)[nH]c1=N,0.3844
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,0.5391
O=C(O)C(=O)N[C@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,0.3569
CC(=O)N(O)CC[C@@H](c1ccc(Cl)c(Cl)c1)P(=O)(O)O,0.2968
O=C(O)[C@@H](O)CC(=O)C1(Cc2ccc(Cl)cc2)CCNCC1,0.3186
O=C(O)[C@H](CO)N=C(O)c1cccc(O)c1O,0.2709
O=C(O)C1=NC(c2ccccc2)=NC1C(=O)O,0.3398
Cc1ncc(COP(=O)(O)O)c(/C=N/C2(C(=O)O)CC2)c1O,0.4047
COc1ccc([C@@H]2C=NC(=O)C2)cc1OC1C=CC=C1,0.3730
COc1ccc(S(=O)(=O)N=C(O)c2cc3cc(OC)ccc3o2)cc1,0.4043
O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,0.4477
COc1ccc(S(=O)(=O)N(CCO)CC(O)=NO)cc1,0.4085
C[S](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)nccc32)[C@H](O)[C@@H]1O,0.5471
C[S](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)C1O,0.5474
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)NO)cc1,0.4700
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCCC1,0.3987
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1C=CC=C1,0.3987
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3536
O=C(O)[C@H](Cc1ccccc1)N=C(O)NO,0.2384
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,0.5391
O=C(O)C(=O)N[C@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,0.3569
O=C1N=C(O)CCN1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,0.3698
N=c1nc(O)c2c([nH]1)C(CN1C[C@H](O)[C@@H](CO)C1)C=N2,0.4459
O=C(O)C1=NC(c2ccccc2)=NC1C(=O)O,0.3398
N=c1nc(O)c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2[nH]1,0.5929
O=C(O)C1=NO[C@H]2CN[C@H](C(=O)O)[C@@H]12,0.3997
O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,0.4477
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCCC1,0.3987
O=C(O)[C@@H](O)CC(=O)C1(Cc2ccc(Cl)cc2)CCNCC1,0.3186
Cc1ncc(COP(=O)(O)O)c(/C=N/[C@@H](C)C(=O)O)c1O,0.3862
O=C(O)[C@H](CO)N=C(O)c1cccc(O)c1O,0.2709
N=c1nc(O)c2c([nH]1)C(CN1C[C@H](O)[C@@H](CO)C1)CO2,0.4492
CN(O)C(=O)CC[C@H](C[C@H](N)C(=O)O)C(=O)O,0.2169
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1C=CC=C1,0.3987
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3536
Cc1ncc(COP(=O)(O)O)c(/C=N/N2CCN(C)CC2)c1O,0.3826
O=C(O)[C@H](Cc1ccccc1)N=C(O)NO,0.2384
O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)CS,0.4661
O=C(O)CNC(=O)C(=O)O,0.0827
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,0.5391
C[C@@H](O)c1nc2c(n1[C@H]1CC[C@H](C#N)CC1)C1C=CN=C1NC2,0.6302
O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,0.4477
O=C1N=C(O)CCN1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,0.3698
Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CON=C2O)c1O,0.4305
O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CC=C1,0.4127
COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2,0.6021
O=C(O)[C@@H](O)CC(=O)C1(Cc2ccc(Cl)cc2)CCNCC1,0.3186
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCCC1,0.3987
Cc1ncc(COP(=O)(O)O)c(/C=N/[C@@H]2CON=C2O)c1O,0.4044
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1O,0.3463
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1C=CC=C1,0.3987
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3536
CN(O)C(=O)C[C@@H](CCCc1cccc(F)c1)C(=O)O,0.2740
O=C(O)[C@H](Cc1ccccc1)CN(O)O,0.2170
O=C(O)C1=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)CCC1,0.3997
COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)C2,0.6522
O=C(O)[C@H](Cc1ccccc1)N=C(O)[C@@H]1CCCN1,0.2761
N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.2194
C[C@@H](O)[C@H](N)C(=O)O,0.0712
O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,0.4477
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,0.4828
O=C(O)C1=NC(c2ccccc2)=NC1C(=O)O,0.3398
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.5164
O=C1N=C(O)CCN1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,0.3698
O=C(O)C1=NO[C@H]2CN[C@H](C(=O)O)[C@@H]12,0.3997
COc1ccc([C@@H]2CN=C(O)C2)cc1OC1CCCC1,0.3987
O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,0.2117
Nc1ncnc2c1ncn2[C@H]1CC[C@@H](COP(=O)(O)O)O1,0.4486
N=c1nc(O)c2c([nH]1)C(CN1C[C@H](O)[C@@H](CO)C1)CO2,0.4492
O=C1N=C(O)CC[C@@H]1N1C(=O)c2c(F)cccc2C1=O,0.5076
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3536
O=c1nc(O)ccn1C1C[C@H](O)[C@@H](CO)O1,0.3568
