SMILES,Tanimoto
O=C(O)CC(=O)O,0.0367
CC(C)Oc1ccccc1C(=N)O,0.2396
CCCCCCCOc1ccc(CC(=O)O)cc1,0.2011
CCCCCCCOc1ccc(C(=O)O)cc1,0.2063
CC(C)Oc1ccccc1C(=O)O,0.2780
CCCCCCOc1ccc(CC(=O)O)cc1,0.1996
O=S(=O)(CCC1CCCC1)N1CCCC1,0.2089
CCCCCCCOc1cccc(C(=O)O)c1,0.2094
CCCCCCc1ccc(O)c(O)c1,0.1841
CCCCCCCCOc1ccc(C(=O)O)cc1,0.2083
O=C(CC[C@H]1CCOC1)N1CCCC1,0.1711
COc1cc(CCC(=O)O)ccc1O,0.2341
CCCCCCOc1ccc(C(=O)O)cc1,0.2045
O=C(O)CC(=O)c1ccccc1,0.1601
N=C(O)CCC(=O)O,0.0545
O=C(O)CCC(=O)O,0.0419
COc1cc(CC(C)C)ccc1N,0.2828
O=C(O)C1=CC(=O)C=CC1,0.1162
O=C(O)C1=CC(=O)C=CC1=O,0.1461
CC(C)Cc1ccccc1,0.1142
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)CC(=O)O,0.0367
O=C(O)CCC(=O)O,0.0419
N=C(O)CCC(=O)O,0.0545
CC(C)Oc1ccccc1C(=O)O,0.2780
Cc1ncc(CO)c(CN)c1O,0.2939
CCCCCCc1ccc(O)c(O)c1,0.1841
CC(C)C[C@H](N)C(=O)O,0.0828
O=C(O)CCc1ccccc1,0.1340
CC(C)Cc1ccccc1,0.1142
O=C(O)CCc1ccc(O)cc1,0.1577
N=C(N)c1ccccc1,0.1078
Cc1ncc(CO)c(CN)c1C,0.2759
COc1cc(CC(C)C)ccc1N,0.2828
CC(=O)C(=O)O,0.0366
CCOC(=O)c1ccc(N)cc1,0.2206
CC1=CC(=O)CC(C)=C1,0.0980
O=C(O)CCc1ccc(Cl)cc1,0.1514
CCOC(=O)C1=CC=CC1,0.1182
O=C(O)C1=CC=CC1,0.0792
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)CC(=O)O,0.0367
O=C(O)CN=C(O)c1nc(Cl)c2ccccc2c1O,0.3824
O=C(O)CN=C(O)[C@@H](CS)Cc1ccccc1,0.1996
COc1cc(CCC(=O)O)ccc1O,0.2341
COc1cc(CC(=O)O)ccc1O,0.2244
Cc1ncc(CO)c(CN)c1O,0.2939
O=C(O)CC(O)=N[C@@H](Cc1ccccc1)C(=O)O,0.2312
COc1ccc(C(=O)CC(=O)C(=O)O)cc1OC,0.2959
COc1ccc(C(=O)CC(=O)C(=O)O)cc1,0.2299
O=C(O)CCc1ccc(O)cc1,0.1577
O=C(O)CN=C(O)[C@@H](Cc1ccccc1)C1CC1,0.2439
Cc1ccc(N=C(O)C(=O)O)c(C)c1,0.2036
O=C(O)CC(=O)c1cccc(O)c1,0.2038
COc1cc(CC(=O)O)ccc1OCC(C)C,0.2498
Cc1ccc(N=C(O)C(=O)O)cc1C,0.1900
O=C(O)CC(=O)c1ccccc1,0.1601
Cc1ccc(N=C(O)C(=O)O)cc1,0.1532
O=C(O)C1=Cc2ccccc2C1,0.2532
O=C(O)CCC(=O)O,0.0419
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)CC(=O)O,0.0367
Cc1ncc(CO)c(CN)c1O,0.2939
COc1cc(CC(=O)O)ccc1O,0.2244
CC(O)=Nc1cccc(C(=O)O)c1,0.1945
COc1cc(CCC(=O)O)ccc1O,0.2341
CC(C)Oc1ccccc1C(=O)O,0.2780
O=C(O)CN=C(O)C(=O)O,0.0783
CCOC(=O)c1cccc(N)c1,0.2133
COc1ccc(CC(=O)O)cc1OC,0.2375
O=C(O)CCC(=O)O,0.0419
COc1cc(CC(C)C)ccc1N,0.2828
O=C(O)CCc1ccccc1,0.1340
O=C(O)CN=C(O)c1ccccc1,0.1383
CC(C)Cc1ccccc1,0.1142
N=C(O)CCC(=O)O,0.0545
CCOC(=O)c1ccc(N)cc1,0.2206
COc1ccc(CC(=O)O)cc1N,0.2460
COc1cc(CCC(=O)O)ccc1N,0.2811
N=C(O)c1cccnc1,0.1579
O=C(O)CC(=O)O,0.0367
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)CC(=O)c1ccccc1,0.1601
O=C(O)CCC(=O)c1ccccc1,0.1549
N=C(O)CCC(=O)O,0.0545
CC(C)Oc1ccccc1C(=O)O,0.2780
Cc1ncc(CO)c(CN)c1O,0.2939
CCCCCCOc1cccc(C(=O)O)c1,0.2077
CC(C)Cc1cccc(N)c1,0.1676
Cc1ccc(N=C(O)C(=O)O)cc1,0.1532
CCCCCCOc1ccc(C(=O)O)cc1,0.2045
N=C(O)CCCCC(=O)O,0.0646
O=C(O)CC(=O)c1ccc(O)cc1,0.1812
N=C(O)CCCC(=O)O,0.0622
O=C(O)CCC(=O)O,0.0419
CC(C)Cc1ccccc1,0.1142
O=C(O)CC(=O)C1=CC=CC1,0.1314
O=C(O)CCc1ccccc1,0.1340
CC(=O)C(=O)O,0.0366
O=C(O)CC(=O)c1cccs1,0.1633
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)CC(=O)O,0.0367
O=C(O)CCc1ccc(O)cc1,0.1577
O=C(O)CC(=O)c1ccccc1,0.1601
CCCCCCc1ccc(O)c(O)c1,0.1841
CCCCCc1ccc(O)c(O)c1,0.1826
COc1cc(CC(=O)O)ccc1O,0.2244
O=C(O)CCC(=O)c1ccccc1,0.1549
O=C(O)CCc1ccccc1,0.1340
O=C(O)CC(=O)c1cccs1,0.1633
N=C(O)CCC(=O)O,0.0545
O=C(O)CCc1cccc(O)c1,0.1688
CC(C)Oc1ccccc1C(=O)O,0.2780
O=C(O)CCC(=O)c1cccs1,0.1596
O=C(O)CCC(=O)O,0.0419
CCCSCc1ccc(N)c(O)c1,0.2218
CC(C)Cc1ccccc1,0.1142
N=C(O)CC(=O)O,0.0484
CCCSCc1ccc(N)cc1,0.1312
C=CCc1ccccc1,0.0940
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)CNC(=O)C(=O)O,0.0915
O=C(O)CC(=O)O,0.0367
CC(O)=Nc1ccccc1C(=O)O,0.2168
CC(C)Oc1ccccc1C(=O)O,0.2780
COc1cc(CC(=O)O)ccc1O,0.2244
O=C(CC[C@H]1CCOC1)N1CCCC1,0.1711
N=C(O)CCC(=O)O,0.0545
N=C(N)c1ccccc1,0.1078
O=C(O)CN(CCO)CCO,0.0692
COc1cc(CC(=O)O)ccc1N,0.2864
CC(C)Cc1ccccc1,0.1142
O=C(O)CN=C(O)C(=O)O,0.0783
CSCC[C@@H](N)C(=O)O,0.0709
N=C(O)CC(=O)O,0.0484
N=C(N)c1ccc(N=O)cc1,0.1740
CCOC(=O)C(=O)O,0.0494
CC(O)=Nc1ccccc1,0.0864
NCCCCC(O)=NO,0.0677
CCOCCOCCOCCO,0.0320
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)CC1=CN=C2C=CC=CC12,0.2642
CC(C)Oc1ccccc1C(=O)O,0.2780
O=C(O)CC1=CN=C2C=CCC=C12,0.2603
O=C(O)CC(=O)O,0.0367
O=C(CC[C@H]1CCOC1)N1CCCC1,0.1711
CC(O)=Nc1ccccc1C(=O)O,0.2168
O=C(O)CCc1ccccc1,0.1340
CCCCCCc1ccc(O)c(O)c1,0.1841
O=C(O)CCCc1ccccc1,0.1329
CCCCCc1ccc(O)c(O)c1,0.1826
O=C(O)C1=CC=C2N=CC=C2C1,0.2592
O=C(O)CCCCc1ccccc1,0.1337
O=S(=O)(CC1CC1)N1CCCC1,0.1987
O=C(O)c1ccccc1C(=O)O,0.1703
O=C(O)C1=CC=CC1,0.0792
CCCCCc1ccc(Oc2ccccc2)cc1,0.1752
COc1ccc(CC(C)C(=O)O)cc1,0.1939
COc1ccccc1C(=O)O,0.2276
O=C(CC[C@H]1CCOC1)N1CCCCC1,0.1772
O=C(O)CC(=O)O,0.0367
CC(C)Oc1ccccc1C(=N)O,0.2396
CCCCCCc1ccc(O)c(O)c1,0.1841
O=C(O)CNC(=O)C(=O)O,0.0915
O=C(O)CC(=O)c1ccccc1,0.1601
O=C(O)CCc1ccccc1,0.1340
O=C(O)CC(=O)CCc1ccccc1,0.1565
O=C(O)CCC(=O)O,0.0419
O=C(O)CN=C(O)NC1CCCCC1,0.1235
CCCCCCCOc1ccccc1C(=O)O,0.2754
O=C(O)CCCCc1ccccc1,0.1337
O=C(O)CN=C(O)C(=O)O,0.0783
N=C(N)c1ccccc1,0.1078
O=C(O)c1ccccc1C(=O)O,0.1703
COc1ccccc1C(=O)CC(=O)O,0.2834
CC(C)Oc1ccccc1C(=O)O,0.2780
N=C(O)CCC(=O)O,0.0545
COc1ccccc1C(=O)O,0.2276
NCCCCC(O)=NO,0.0677
O=C(O)CN=C(O)NC1CCCC1,0.1162
O=C(O)CC(=O)O,0.0367
CCCCCCc1ccc(O)c(O)c1,0.1841
O=C(O)CNC(=O)C(=O)O,0.0915
COc1cc(CC(=O)O)ccc1O,0.2244
Cc1ncc(CO)c(CN)c1O,0.2939
CCOC(=O)c1cccc(N)c1,0.2133
N=C(N)c1ccccc1,0.1078
O=C(O)CC(=O)c1ccccc1,0.1601
O=C(O)CCc1ccccc1,0.1340
N=C(O)CCC(=O)O,0.0545
O=C(O)C1=CC=CC1C(=O)O,0.1641
N=C(O)c1cccc(N)c1,0.1520
N=C(N)c1cccc(O)c1,0.1684
O=C(O)CCC(=O)O,0.0419
CC(O)=Nc1cccc(CCO)c1,0.1722
CC(C)Cc1ccccc1,0.1142
CCOC(=O)c1cccc(N)c1C,0.2658
O=C(O)CC(=O)c1cccs1,0.1633
CCCCSc1ccc(N)cc1,0.1362
O=C(O)C1=CC=CC1,0.0792
CC(C)Oc1ccccc1C(=N)O,0.2396
CCCCCCc1ccc(O)c(O)c1,0.1841
O=C(O)CNC(=O)C(=O)O,0.0915
O=C(O)CC(=O)O,0.0367
CC(O)=Nc1ccc(C(=O)O)cc1,0.1958
CCCCCCCc1ccc(O)c(O)c1,0.1845
Cc1ncc(CO)c(CN)c1O,0.2939
CC(C)Oc1ccccc1C(=O)O,0.2780
Cc1ncc(CO)c(CN)c1C,0.2759
CC(C)Cc1cccc(C(C)C)c1,0.1397
O=C(O)CN=C(O)CCc1ccccc1,0.1655
O=C(O)CN=C(O)C(=O)O,0.0783
CCCCCCCC(=O)Oc1cccc(O)c1,0.1736
O=C(O)CCc1ccc(O)cc1,0.1577
N=C(O)CCC(=O)O,0.0545
CC1=C(CCOP(=O)(O)O)SC=C1,0.1650
O=C(O)CCC(=O)O,0.0419
CC(=O)C(=O)O,0.0366
CC(C)Cc1ccc2c(c1)CCCC2,0.1938
CCCCCCCC(=O)O,0.0468
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)CC(=O)O,0.0367
Cc1ncc(CO)c(CN)c1O,0.2939
N=C(O)CCC(=O)O,0.0545
CC(C)Oc1ccccc1C(=O)O,0.2780
N=C(O)CCC(=O)c1ccc(O)cc1,0.1856
Cc1ncc(CO)c(CO)c1O,0.2858
O=C(O)CC(=O)c1ccccc1,0.1601
O=C(O)CN=C(O)C(=O)O,0.0783
COc1cc(CC(C)C)ccc1O,0.2262
O=C(O)CN=C(O)CCc1ccccc1,0.1655
COc1cc(CC(C)C)ccc1N,0.2828
O=C(O)CC(=O)c1cccc(O)c1,0.2038
N=C(O)CCC(=O)c1cccc(O)c1,0.2096
CCOC(=O)c1ccc(N)cc1,0.2206
Cc1ncc(CO)c(C)c1O,0.2636
CC(C)Cc1ccccc1,0.1142
O=C(O)CCC(=O)O,0.0419
N=C(N)c1ccccc1,0.1078
CCOC(=O)c1ccc(N)cc1C,0.2577
O=C(O)CC(=O)O,0.0367
CC(C)Oc1ccccc1C(=O)O,0.2780
CC(C)Oc1ccccc1C(=N)O,0.2396
CC(=O)C(=O)O,0.0366
COc1cc(CC(=O)O)ccc1O,0.2244
CC(C)C[C@H](N)C(=O)O,0.0828
O=C(O)CCC(=O)O,0.0419
CC(C)Cc1ccc(O)cc1,0.1381
O=C(O)CC(=O)Cc1ccccc1,0.1574
N=C(O)CCC(=O)O,0.0545
CCOC(=O)c1ccc(CN)cc1,0.1838
O=C(O)CCC(=O)c1ccccc1,0.1549
CCCCCC[N+](=O)[O-],0.0609
COc1cc(CC(=O)O)ccc1N,0.2864
COc1cc(CC(=O)O)ccc1OC,0.2375
CCCCCCC(=O)O,0.0455
CCCCCCCC(=O)O,0.0468
CC(C)Cc1ccccc1,0.1142
O=C(O)C1=CC=CC1,0.0792
CC1=C(CCO)SC=N1,0.1389
O=C(O)CC(=O)O,0.0367
CC(C)Oc1ccccc1C(=N)O,0.2396
COc1cc(CC(=O)O)ccc1O,0.2244
CC(C)Oc1ccccc1C(=O)O,0.2780
CCCCCCc1ccc(O)c(O)c1,0.1841
O=C(O)CNC(=O)C(=O)O,0.0915
O=C(O)CC(=O)c1ccccc1,0.1601
O=C(O)CCC(=O)O,0.0419
CCCCCSc1ccc(O)c(O)c1,0.1508
O=C(O)CN=C(O)C(=O)O,0.0783
O=C(O)CCc1ccccc1,0.1340
COc1ccc(CC(=O)O)cc1,0.1783
N=C(O)CCC(=O)O,0.0545
CC(C)Cc1ccccc1,0.1142
CSCC[C@H](N)C(=O)O,0.0709
O=C(O)CCc1cccc(O)c1,0.1688
CCOC(=O)c1cccs1,0.1567
CC(=O)C(=O)O,0.0366
CSCC[C@H](N)C(O)=NO,0.0902
CC(O)=Nc1ccccc1,0.0864
CC(C)Oc1ccccc1C(=N)O,0.2396
CC(C)Oc1ccccc1C(=O)O,0.2780
O=C(O)CC(=O)O,0.0367
O=C(O)CC(=O)c1ccccc1,0.1601
Cc1ncc(CO)c(CN)c1O,0.2939
O=C(O)CN=C(O)NC1CCCCC1,0.1235
CC(C)Oc1cccc(C(=N)O)c1,0.2039
CC(C)Cc1ccc(O)cc1,0.1381
O=C(O)CN=C(O)C(=O)O,0.0783
N=C(O)CCC(=O)O,0.0545
CC(C)Cc1ccccc1,0.1142
CC(C)Oc1cccc(C(=O)O)c1,0.2085
N=C(N)c1ccccc1,0.1078
CSCC[C@H](N)C(=O)O,0.0709
CCOC(=O)C1=C(C)N=NC1C,0.2263
CC(C)(C)OC(=O)c1cccnc1,0.2073
CC(=O)C(=O)O,0.0366
CC(C)COc1cccc(F)c1F,0.1947
CC(C)COc1cccc(F)c1,0.1552
CCOC(=O)C1=C(C)N=NC1,0.1693
O=C(CC[C@H]1CCOC1)N1CCCC1,0.1711
CC(C)Oc1ccccc1C(=N)O,0.2396
O=S(=O)(CC1CCCC1)N1CCCC1,0.2090
O=C(O)CC(=O)O,0.0367
O=S(=O)(CCC1CCCC1)N1CCCC1,0.2089
O=C(O)CN=C(O)CCCc1ccccc1,0.1755
O=C(O)CN=C(O)CCc1ccccc1,0.1655
O=C(O)CC(=O)c1ccccc1,0.1601
CCCCCCCc1ccc(O)c(O)c1,0.1845
O=C(O)CN=C(O)NC1CCCCC1,0.1235
COc1cc(CC(=O)O)ccc1O,0.2244
O=S(=O)(CC1CCCC1)N1CCOCC1,0.1972
CC(O)=Nc1ccccc1C(=O)O,0.2168
O=C(CC[C@H]1CCOC1)N1CCOCC1,0.1932
O=C(O)CN=C(O)c1ccccc1,0.1383
O=C(O)CCCCc1ccccc1,0.1337
N=C(O)CCC(=O)O,0.0545
O=C(CC[C@H]1CCOC1)N1CCCCC1,0.1772
O=C(O)CCC(=O)O,0.0419
NCCCCCC(O)=NO,0.0691
CC(C)Oc1ccccc1C(=N)O,0.2396
CN(C)c1ccc(C(=O)O)cc1,0.1938
CN(C)c1ccc(C(=O)O)cn1,0.2876
Cc1ncc(CO)c(CN)c1O,0.2939
COc1cc(CC(=O)O)ccc1O,0.2244
CN(C)c1cccc(C(=O)O)c1,0.2132
CC(C)Cc1ccc(N)cc1,0.1423
CC(C)Oc1ccccc1C(=O)O,0.2780
O=C(O)CC(=O)O,0.0367
CC(C)(C)c1ccc(N)cc1,0.1731
CC(C)Cc1cccc(N)c1,0.1676
Cc1ncc(CO)c(CN)c1C,0.2759
CCOC(=O)c1ccc(N)cc1,0.2206
CCOC(=O)c1cc(C)sc1C,0.2229
CCOC(=O)c1ccc(N)cc1C,0.2577
COc1cc(CC(=O)O)ccc1N,0.2864
CN(C)c1ccc(C(=O)O)cc1N,0.2322
N=C(O)CCC(=O)O,0.0545
CN(C)c1cccc(C(=O)O)c1O,0.2824
CC(C)Cc1ccc2c(c1)CCC2,0.2016
O=C(O)CC(=O)O,0.0367
CC(C)Oc1ccccc1C(=N)O,0.2396
O=C(O)C(=O)Cc1ccccc1,0.1570
O=C(O)CC(=O)c1ccccc1,0.1601
