SMILES,Tanimoto
COc1cc(/C=C/C(=O)O)ccc1O,0.2308
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,0.3462
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,0.3757
O=C(O)CNC(=O)C(=O)O,0.0882
COc1cc(/C=C/C(=O)O)cc(OC)c1,0.2204
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)n1,0.3330
CCOC(=O)c1c(C)nn(C)c1C,0.2895
O=C(O)C(=O)Cc1ccccc1,0.2070
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,0.4970
CN(C)c1cccc(C(O)=NN)c1,0.2701
COc1cc(/C=C/C(=O)O)cc(OC)c1O,0.2408
COc1cc(/C=C/C(=O)O)cc(OC)c1OC,0.2450
CSC[C@H]1O[C@@H](n2ccc3c(N)ncnc32)C[C@@H]1O,0.5418
O=C(O)CN=C(O)C(=O)O,0.0803
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)c1,0.3253
COc1cc(/C=C/C(=O)O)ccc1N,0.2572
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)c1,0.2943
N=c1cc(C(=O)O)c(Cl)c[nH]1,0.2121
N=C(O)CCC(=O)O,0.0694
N=C1N=C(O)C2=C(CO)C=NC2=N1,0.2918
COc1cc(/C=C/C(=O)O)ccc1O,0.2308
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
N=C1N=C(O)C2=NC=C(C(=O)O)C2=N1,0.3829
CC1=C(CCCOc2ccccc2F)C(C)N=N1,0.2810
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,0.3462
N=C1N=C(O)C2=C(CN)C=NC2=N1,0.2991
CC1=C(CCCOc2ccccc2F)C(=O)N=N1,0.2779
CC1=C(CCOc2ccccc2F)C(C)N=N1,0.2826
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)n1,0.3330
N=C1N=C(O)C2N=C(CO)CN=C2N1,0.3276
O=C(O)CNC(=O)C(=O)O,0.0882
O=C(O)CN=C(O)NC1CCCCC1,0.1672
CC1=C(CCCOc2ccccc2)C(C)N=N1,0.2317
N=C1N=C(O)C2=C(CO)C=CN=C2N1,0.3246
N=C1N=C(O)C2N=CC(C(=O)O)=C2N1,0.3987
CC1=C(CCCOc2ccccc2F)C(=O)CC=C1,0.2749
CN(C)c1ccccc1C(=O)O,0.2679
O=C(O)CN=C(O)NC1CC1,0.1018
N=C(O)CCC(=O)O,0.0694
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.5314
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3197
COc1cc(/C=C/C(=O)O)ccc1O,0.2308
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,0.3462
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)n1,0.3330
O=C(O)CNC(=O)C(=O)O,0.0882
CCOC(=O)c1c(C)nn(C)c1C,0.2895
O=C(O)C(=O)Cc1ccccc1,0.2070
N=C1N=C(O)C2=NC=C([C@@H](O)CO)C2=N1,0.3888
CSCC[C@H](N)C(O)=NS(O)(O)OCCO,0.1597
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,0.3218
CN(C)c1ccccc1C(=O)O,0.2679
N=C1N=C(O)C2=NC=CC2=N1,0.2470
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C[C@@H]1O,0.4959
O=C(O)CN=C(O)C(=O)O,0.0803
CSCC[C@H](N)C(O)=NS(O)(O)OCCOCCO,0.1684
CSCC[C@H](N)C(=O)O,0.0928
N=c1cc(C(=O)O)c(N)c[nH]1,0.2384
CC(=O)C(=O)O,0.0471
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,0.3757
CSC[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.5495
COc1cc(/C=C/C(=O)O)ccc1O,0.2308
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,0.3462
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)n1,0.3330
N=c1nc(O)n([C@@H]2CS[C@H](CO)O2)cc1F,0.3867
N=c1ccn([C@@H]2CO[C@H](CO)O2)c(O)n1,0.3401
O=C(O)CNC(=O)C(=O)O,0.0882
N=C1N=C(O)C2=C(CO)C=NC2=N1,0.2918
O=C(O)C(=O)Cc1ccccc1,0.2070
N=c1nc(O)n([C@@H]2CS[C@H](CO)C2)cc1F,0.3884
N=c1nc(O)n([C@@H]2CS[C@H](CO)O2)cc1C(=O)O,0.4277
COc1cc(/C=C/C(=O)O)cc(OC)c1,0.2204
COc1cc(/C=C/C(=O)O)cc(OC)c1O,0.2408
CCOC(=O)c1c(C)nn(C)c1C,0.2895
N=c1nc(O)n([C@@H]2CS[C@H](CO)O2)cc1Cl,0.3912
NS(=O)(=O)c1ccccc1,0.1777
CC(=O)C(=O)O,0.0471
O=C(O)CNC(=O)C(=O)O,0.0882
Cc1ncc(COP(=O)(O)O)c(CN)c1O,0.3197
COc1cc(/C=C/C(=O)O)ccc1O,0.2308
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,0.3462
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
CCOC(=O)c1c(C)nn(C)c1C,0.2895
O=C(O)CC(O)C(=O)O,0.0937
O=C(O)C(=O)Cc1ccccc1,0.2070
O=C(O)C(=O)CS(O)(O)O,0.0750
CSCC[C@H](N)C(O)=NS(O)(O)OCCO,0.1597
O=C(O)C(=O)CCOC(=O)c1cccs1,0.2172
Cc1ncc(COP(=O)(O)O)c(C)c1O,0.2862
N=C(O)CCC(=O)O,0.0694
CSCC[C@H](N)C(=O)O,0.0928
O=C(O)C(=O)CCOC(=O)C(=O)O,0.1135
O=C(O)C(=O)CCOC(=O)c1ccccc1,0.2306
CSCC[C@H](N)C(O)=NS(O)(O)O,0.1195
O=C(O)CC(=O)O,0.0546
CC(=O)C(=O)O,0.0471
CSCC[C@H](N)C(O)=NO,0.1176
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1,0.3757
COc1cc(/C=C/C(=O)O)ccc1O,0.2308
O=C(O)CNC(=O)C(=O)O,0.0882
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,0.3462
CSC[C@H]1O[C@@H](n2ccc(O)nc2=O)C[C@@H]1O,0.3964
O=C(O)C(=O)Cc1ccccc1,0.2070
O=C(O)C(=O)CS(O)(O)O,0.0750
CCOC(=O)c1c(C)nn(C)c1C,0.2895
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)n1,0.3330
CSC[C@H]1O[C@@H](n2ccc(O)nc2=O)[C@H](O)[C@@H]1O,0.4532
O=C(O)CC(O)C(=O)O,0.0937
COc1cc(/C=C/C(=O)O)cc(OC)c1,0.2204
CSC[C@H]1O[C@@H](n2ccc3c(N)ncnc32)C[C@@H]1O,0.5418
COc1cc(/C=C/C(=O)O)cc(OC)c1O,0.2408
O=C(O)C(=O)CCOC(=O)c1cccs1,0.2172
N=C1N=C(O)C2=C(CO)C=NC2=N1,0.2918
N=C(O)CCC(=O)O,0.0694
CC(=O)C(=O)O,0.0471
O=C(O)C(=O)O,0.0285
COc1cc(/C=C/C(=O)O)ccc1O,0.2308
O=C(O)C(=O)Cc1ccccc1,0.2070
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,0.3462
O=C(O)CNC(=O)C(=O)O,0.0882
CCOC(=O)c1c(C)nn(C)c1C,0.2895
O=C(O)C(=O)CS(O)(O)O,0.0750
Cc1ncc(CO)c(CN)c1O,0.2802
O=C(O)CC(O)C(=O)O,0.0937
CSCC[C@H](N)C(O)=NS(O)(O)OCCO,0.1597
O=C(O)C(=O)Cc1cccc(Cl)c1,0.2314
CSCC[C@H](N)C(=O)O,0.0928
O=C(O)C(=O)Cc1cccc(O)c1,0.2636
O=C(O)C(=O)CCOC(=O)C(=O)O,0.1135
O=C(O)CN=C(O)NC1CC1,0.1018
CSCC[C@H](N)C(O)=NS(O)(O)O,0.1195
CC(=O)C(=O)O,0.0471
O=C(O)CC(=O)O,0.0546
O=C(O)C(=O)CCO,0.0719
CSCC[C@H](N)C(O)=NO,0.1176
N=c1ccn([C@@H]2CS[C@H](CO)O2)c(O)n1,0.3400
COc1cc(/C=C/C(=O)O)ccc1O,0.2308
N=c1ccn([C@H]2CC[C@@H](CO)O2)c(O)n1,0.3462
N=c1ccn([C@H]2CC[C@@H](CO)C2)c(O)n1,0.3330
N=C1N=C(O)C2N=CC(C(=O)O)=NC2=N1,0.3363
O=C(O)C(=O)Cc1ccccc1,0.2070
O=C(O)CNC(=O)C(=O)O,0.0882
CN(C)c1ccccc1C(=O)O,0.2679
N=C1N=C(O)C2N=C(CO)C(=O)N=C2N1,0.3834
N=C(O)CCC(=O)O,0.0694
N=C1N=C(O)C2N=CC(C(=O)O)=C2N1,0.3987
O=C(O)CN=C(O)C(=O)O,0.0803
N=C1N=C(O)C2=NC=CC2=N1,0.2470
N=C1N=C(O)C2=NC=C([C@@H](O)CO)C2=N1,0.3888
CSCC[C@H](N)C(O)=NS(O)(O)OCCO,0.1597
N=C1N=C(O)C2N=C(CO)CN=C2N1,0.3276
N=C1N=C(O)C2N=C(CO)C=C2N1,0.3483
