SMILES,Tanimoto
CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C1)C2,0.4442
O=C(O)c1ccc(O[C@H]2CC[C@H](N=C(O)N[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)CC2)cc1,0.2777
O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc([C@H]2CCCN2)cc1F,0.4208
O=C(O)[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CN=C(O)[C@@H](S)Cc1ccccc1,0.3710
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,0.3340
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3ccc(Cl)cc3s2)C1=O,0.4099
O=S(=O)(c1ccc(CN=C(O)n2cc3ccncc3c2)cc1)C1CCN(C2CCOCC2)CC1,0.3453
O=C(O)C1=C(C(O)=Nc2ccc(-c3cccc(OC(F)(F)F)c3)cc2F)CCC1,0.3488
O=C(O)C1=C(C(O)=Nc2c(F)cc(-c3cccc(OC(F)(F)F)c3)cc2F)CCC1,0.3560
N[C@@H](CCC(O)=N[C@@H](CS[C@@H]1c2ccccc2-c2ccccc2[C@H]1O)C(=O)O)C(=O)O,0.3824
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3s2)C1=O,0.4034
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)C1=O,0.4167
O=C1[C@@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CCN1c1ccc2c(c1F)CCNC2,0.4423
COC(=O)[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@H](CC(C)C)N=C(C)O,0.3207
O=S(=O)(c1ccccc1)c1ccc(CN=C(O)C2=CC3C=NN=C3N=C2)cc1,0.2936
O=C(O)[C@@H](C/C=C/c1ccccc1)N=C(O)c1ccc2ccccc2c1,0.2403
COC(=O)[C@@H]1CS[C@]2(c3ccccc3)c3ccccc3C(=O)N12,0.4549
COc1ccc2c(c1)N(C(=O)OC(C)C)[C@@H](CSC)C(S)=N2,0.4016
