SMILES,Tanimoto
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(-c2ccncc2)c1,0.3876
N=C(N)c1ccc(CN=C(O)CN=C(O)[C@@H](CO)NS(=O)(=O)Cc2ccccc2)cc1,0.2757
Cc1c(Sc2ccc(F)cc2F)sc2c1C(N)NC(=N)N2,0.4585
Cc1c(Sc2ccc(OC(F)(F)F)cc2)sc2c1C(N)NC(=N)N2,0.4527
CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CC(=N)O)C(=O)O)cccc12,0.3482
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccncc2)c1,0.3659
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0.1715
COc1ccc(Sc2c(C)c3c(n2C)NC(=N)NC3N)cc1,0.4994
CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(O[C@@H](C)C(=N)O)cc1OCC2,0.4857
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(N)(O)O)CC[C@@H]12,0.3402
COC(=O)c1c(O)cccc1OC/C=C/c1cccc(-c2onc(C(=O)O)c2CO)c1,0.4337
CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cccc12,0.3479
CCc1nn(CCO)c(CC)c1Oc1cc(C#N)cc(C#N)c1,0.3429
COc1ccc(O)c(-c2nc3ccc(C(=N)N)cc3[nH]2)c1,0.3656
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2ccc(C(=O)O)cc2)c1,0.3814
COC(=O)c1c(O)cccc1OC/C=C/c1cccc(-c2onc(C(=N)O)c2CO)c1,0.4284
CCc1[nH]c(=N)[nH]c(=N)c1C#C[C@H](C)c1cc(OC)cc(-c2ccncc2C(=O)O)c1,0.4511
CCc1[nH]c(=N)[nH]c(=N)c1C#CCc1cc(OC)cc(-c2cc(C(=O)O)ccn2)c1,0.4352
