SMILES,Tanimoto
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(CF)c3)CN1CC2,0.5090
CC1(C)NC(=N)NC(=N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,0.2839
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@@H](CF)CC3=O)CN1CC2,0.5126
COc1cc(N(C)C[C@@H]2CCc3[nH]c(=N)[nH]c(=N)c3C2)cc(OC)c1OC,0.4481
Cc1ccc(CCC[C@H](CC(=O)N(C)O)CP(=O)(O)O)cc1,0.2409
COc1ccc(CCC[C@H](CC(=O)N(C)O)CP(=O)(O)O)cc1,0.2880
COc1cc(C2=C3C=c4cc(OC)c(OC)cc4=C3N=N2)ccc1O,0.4620
Cc1[nH]c(=N)nc2c1nc(C1=CN=NC1)c(=O)n2C(C)C,0.4520
O=C(N1CCc2cc(O)ccc2C1)C(F)(F)F,0.3831
Cc1[nH]c(=N)nc2c1cc(C1=CN=NC1)c(=O)n2C1CCCC1,0.4636
COc1cc2c(cc1OC)=C1N=NC(c3ccc(O)c(O)c3)=C1C=2,0.4555
O=C(O)C1=NC(c2ccccc2)=NC1C(=O)O,0.3208
CC#CCOc1ccc(S(=O)(=O)CCCS)cc1,0.2020
CC#CCOc1ccc(S(=O)(=O)N2CCSC(C)(C)C2)cc1,0.2817
N=C(O)N[C@@H](Cc1ccccc1)C(O)=N[C@@H](Cc1ccccc1)C(=O)O,0.2687
CC1(C)NC(=N)NC(=N)N1OCCCOc1ccc(Cl)cc1Cl,0.2660
CC1(C)NC(=N)NC(=N)N1c1ccc(Cl)cc1,0.2720
N=C(O)N[C@@H](Cc1ccccc1)C(O)=N[C@@H](Cc1ccccc1)C(O)=NO,0.2713
N=C(O)N[C@@H](Cc1ccccc1)C(=O)O,0.1885
N=C(O)N[C@@H](Cc1ccccc1)C(O)=NO,0.2054
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,0.3216
COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NC[C@H]1CNCCO1,0.3878
CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1Cl,0.3641
CC(C)c1c(O)nc(=O)n(COCc2ccccc2)c1Cc1ccccc1,0.3999
COc1ccc(CCC[C@H](CC(=O)N(C)O)CP(=O)(O)O)cc1,0.2880
COc1ccc(OCCCCC(=O)O)cc1Cc1c[nH]c(=N)[nH]c1=N,0.3196
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.3854
O=C(NCCC(F)(F)F)c1ccc(C#CC#Cc2ccccc2)cc1,0.2207
COc1ccc(OCCCCC(=O)O)cc1Cc1cnc(C)[nH]c1=N,0.3225
COc1ccc(CCC[C@H](CC(=O)N(C)O)Cc2ccccc2)cc1,0.2622
COC(=O)c1cnc(Nc2cnc(C(=O)O)cn2)cc1C,0.3184
COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1C,0.3083
O=C(NCCC(F)(F)F)c1ccc(C#CCO)cc1,0.2242
CN(C)c1ccc(C(=O)O)cn1,0.1801
O=C(NCCC(F)(F)F)c1ccon1,0.1635
COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1N,0.3022
CC(=O)c1cccc(C(=O)O)c1,0.1593
COc1ccc(CCC(=O)O)cc1C,0.3445
Cc1cccc(C(=O)O)c1N,0.1635
Cc1ccc(CCC(=O)O)cc1,0.1353
CC(C)ON(CC(O)=NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.2708
COc1ccc(CCNC(=O)c2ccc(S(N)(=O)=O)cc2)cc1OC,0.3929
CCCSCc1cc(N)cc2c(O)nc(=N)[nH]c12,0.3344
Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(O)=NO)ccc1F,0.3591
CC(=O)c1ccc(C)cc1N[C@H](C(=N)O)c1c(Cl)cccc1Cl,0.3641
Cc1cc(S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(=O)O)ccc1F,0.3432
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.2021
COc1ccc(CCNC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,0.3021
