SMILES,Tanimoto,drug_id,cluster
CC=C[C@H]1C[C@@H](C[C@@](C)(O)C=CC(=O)O)[C@H]([C@@H]2C[C@H](CC3=C[C@@H](F)C(C(F)(F)F)=CC3)S(O)(O)N2)C1,0.3811,CCR9_376,314
CO[C@@H]1CCC[C@@H]([C@@H](C)c2ccc(C3=C[C@H]4CC[C@@H]3C[C@H]4O)cc2OCC[C@H](C)OC)CC1,0.3865,CCR9_68,552
C[C@H](O)[C@H]1N[C@H](CO[C@@H]2[C@@H](C)O[C@@H]3[C@@H](O)[C@H](c4cccc(O)c4)CN32)S[C@@H]1C,0.4828,CCR9_625,116
C[C@@H]1CCC[C@H](NC(=NCC(=CO[PH](O)(O)O)[C@@H](O)CO)[C@H]2C=C[C@@H]([C@@]3(Cl)C=c4cc(F)ccc4=CC3)C=C2)C1,0.419,CCR9_280,391
CC(=O)C[C@@H](O)CC1C=C([C@H](C)O)CC([C@@H](O)COC2C=CC3=C(CCN3C)N(C)C2)=C1,0.3663,CCR9_687,69
CCCCC[C@H]1C[C@@H](O)[C@H](C(=O)O)CC[C@](C)(O)[C@@H](CNC[C@@H](OC)C(C)C)c2cccc1c2,0.3431,CCR9_167,475
CCC[C@@H](NC[C@H](O)CCC[C@](C)(CC)C(C)C)[C@H](C)C(O)CC1CC(=NOCC)C[C@@H]1C(=O)O,0.236,CCR9_25,584
CC(=O)NC(=O)[C@H](O)C=C1C=C(C=C(C)O)C=C(OCCOC(C)C)[C@@H]1C,0.2934,CCR9_208,448
CCN(C)c1ccc([C@@H]2CO[C@@]2(O)[C@@H]2C=C3C=CC(OC)=C[C@H]3C=C2[C@@H](O)[C@H](O)C(=O)O)cc1,0.4828,CCR9_349,336
COC1=CC(C[C@@H]2CC[C@H](O)C2)C(=CCCCCC2CCCCC2)C(O)=C1,0.2397,CCR9_634,109
CCCCCN(C)[C@@H](CCC1=C(O)C(=O)CC1)C(=O)C=C1CCC(CCC)=C[C@H]1CC,0.2663,CCR9_440,270
C[C@H]1CC[C@H]([C@@H](CN[C@H](C[PH](O)(O)O)C(=O)O)C[C@H](O)[C@@H](O)[C@H](C(=O)NC(=O)CC(=O)O)[C@@H]2CCC(C(CF)CF)C2)C1,0.2914,CCR9_230,429
COc1ccc2c(c1)O[C@@H]1NC[C@@H](O)CC[C@H](CO)OCc3cc(cc(N(C)C)c3)CCCCC21,0.4543,CCR9_706,52
CC[C@H](C)CCC1C=CC(N[C@H]([C@H](CC)CC[PH](O)(O)O)[C@@H]2C=CC3=CC=CCC3=N2)C=C1,0.3367,CCR9_243,417
CO[C@H](c1ccc(F)cc1)[C@@H](C#C[C@@H](C)CCC(=O)O)c1ccc([C@](C)(O)C(C)C)cc1,0.3162,CCR9_745,24
C[C@H]1C=C2C=CC3=C(C(=CC(F)F)C[C@@H](F)C(F)(F)F)[C@H]4C(=C3CC2C=C1O)OCC[C@@H]4CC(N)=O,0.4031,CCR9_137,500
Cc1ccc(O)c(C(=O)NC(=O)[C@@H](CC#Cc2cccc(Cl)c2)OCCC[C@@H](O)C(=O)O)c1O,0.3855,CCR9_344,341
CCCN(C[C@H](O)C1C(O)=C(N[C@H](C)CCO)C=C[C@@H]1CCC(=O)O)c1cc(F)cc(OCC)c1,0.4389,CCR9_672,78
CCOc1cc(C(C)=O)ccc1C(C)(C)NC[C@H]1CC(=N)NC1=NOc1cccc(C)c1,0.4032,CCR9_229,430
CC[C@@H]1C=C[C@H](C(=CCCC[C@H](C)C2=C(C)C(C)=C(C)C2)[C@@H](CC[PH](O)(O)O)C(=O)OC)C=C1O,0.2846,CCR9_660,89
CC(C)=C1CCCC1[C@H](N)CN1C[C@@H](CCCCO)[C@@H]2[C@@H](C)C3=CC=C(O)CC=C3[C@@]21O,0.4468,CCR9_671,79
CCOC(=O)C[C@H]1c2cc3c(cc2C(Oc2ccc([C@H](C)O)c(C)c2)[C@H]1S(O)(O)O)C(=O)CC3,0.4986,CCR9_241,419
CCC(=O)OC[C@@H]1C=C(Nc2ccccc2)CC[C@H](C)[C@@]1(O)[C@H]1OC(=O)C[C@@H]1C1C=CCC(OC)=C1,0.3995,CCR9_633,110
COC(=O)COC1=CC(CC2=CC=CC=CC2O)C=C[C@H]1c1ccc(Cl)cc1,0.3493,CCR9_535,189
O=C(CO)NCC[C@H](c1cc2c(cc1F)CCO2)[C@]1(O)CCC[C@@H](C=Nc2ccccc2)N1,0.4922,CCR9_508,215
CCC(O)[C@@H](NC(=NCC[C@H](C)c1ccc2c(c1)N[C@H](C)S2)c1ccc(OC)cc1)[C@@H](C)O,0.4229,CCR9_619,121
CC=C(C=CC[C@@H]1CC[C@H](C(CCCCC(C)C)CC(=O)O)C1)CCN,0.1224,CCR9_189,458
CC(C)[C@@H]1CC(NC(=O)O[C@]2(Cl)CC[C@@H](C(C)(C)C(C)C)C2)=C([C@@H](C)CC[C@@H](C)C(=O)O)C1,0.3325,CCR9_552,175
CC[C@H](C)CCCC[C@@H](CCC=C(C)CCl)C(=CS)C(=O)CN,0.1415,CCR9_13,594
C[C@H](NC[C@@H]1C[C@H](Cl)N(Cl)C1)[C@](C)(CCC[C@H](O)C(=O)O)N=NCCC(=O)O,0.2633,CCR9_748,21
C=C(C)[C@@]1(O)C2O[C@H](OC)C=C(C[C@H](O)CCC)[C@]2(C)CC[C@@H]1[C@@](O)(CCCO[PH](O)(O)O)CCC[C@@]1(CC)CCC[C@@H]1C,0.3398,CCR9_607,130
CC(C)CC=CC(=C[PH](O)(O)O)C[C@@H](C)CCCC[C@@H](C)[C@@H](C)O,0.1233,CCR9_154,484
C[C@H]1[C@H](C2=CC=C(F)CC=C2)[C@@H](CN(C)Cc2ccc(Cl)cc2)C[C@@H]1C(=O)O,0.3215,CCR9_236,424
CC1=C[C@@H](CC[C@H]2C=C[C@@H](C=N)C[C@@H]2[C@@H](C)CCCCO)C(O)=C[C@H]1C,0.1668,CCR9_290,383
CCC(CC)Oc1ccc(C(=O)[C@@H](c2ccc(C)c(Cl)c2)[C@H]2CC[C@H](O)[C@H](N)C2)cc1,0.3798,CCR9_17,591
C[C@H]1CCCN1C(=O)N(O)NC1=C[C@@H]2C(C=CS)=C=C(C(=O)O)C=C=CC(Cl)C=C=CCC(=C1)[C@@H]2C(=O)O,0.4318,CCR9_452,259
Cc1ccc(O)c(CC[C@@H]2NC(=C3CC[C@@H](Cl)C3)[C@@H]3OC=CC(=O)N=C32)c1,0.4791,CCR9_491,229
CCCC=C1C[C@@H](CCCC[C@H]2CCC[C@H]2O)[C@H](C(=O)O)C1,0.1473,CCR9_427,277
O=C[C@H](c1ccc(Cl)cc1)[C@H](CC[C@H](O)C(=O)O)NC(=O)CCCCc1ccccc1Cl,0.3368,CCR9_722,40
C[C@]1(F)CCN(C(=N)C[C@H]2CC[C@H]3C4=CCC(CO)=C(O)[C@H]4CN3C2=C=C2CNC(=O)C2)C1,0.4804,CCR9_505,217
C[C@H]1[C@H]2C[C@@](C)(O)CCC[C@@H]3C[C@@](O)(CCC4=C(C=CN[C@H]([C@H](O)OP(O)O)[C@@H](O)C5=CC(CC(=O)N(C)C)CCN5)C[C@@H](C(O)(O)F)C4)C[C@H]3C(CO)=C=C(O)C(=O)NC3[C@@H]1[C@H](O)CC[C@H]32,0.4746,CCR9_81,542
CO[C@@H](C)C[C@H](C)[C@H](CCCCC[C@H](C)C(C)C)C[C@@H](C)O,0.0678,CCR9_172,472
CCCCCC[C@@H](C)C#CC(C)=CC[C@H](CCC(C)C)C(C)=O,0.117,CCR9_168,474
CCC1=C(C)CC(CC[C@H](C(=O)O)N2C3=C(C[C@@H](CC(C)(C)F)C3)C[C@@H]2CCOCCC[PH](O)(O)O)C1,0.3531,CCR9_219,439
