SMILES,Tanimoto,drug_id,cluster
C=C(CO)CC(C=C=CC=C(C)Cl)N[C@H]1CCC(C)O1,0.2218,ESR1_645,62
Cc1cc(C(C)C)ccc1[C@H](OC[C@@H](S)c1ccc([C@@H](C)O)cc1)[C@@H]1CC[C@H](CN)O1,0.4695,ESR1_550,120
C[C@H]1CC[C@@H](C2=N[C@H](CCC[C@@H]3C[C@H](C4=C(O)[C@H](C)C(=N)C4)[C@@H](C)C[C@H]4CC(=O)[C@H]5[C@H]4C3CC[C@@H]5O)Cc3ccccc32)C1,0.481,ESR1_353,222
CC[C@H](CC[C@H](CC)[C@@H](C[C@@H]1CC[C@@H](O)C1)C[C@H](C)C(C)C)NO,0.2805,ESR1_232,283
CCOc1ccc([C@@H](O)C[C@H](CCc2ccc(OC)cc2)CC[C@H](C)C(=O)O)cc1,0.4781,ESR1_136,341
CC=C=CCCCCCO[C@@H]1NC2=CC[C@@H](O)C=C2[C@H]1[C@@H](CC)[C@@H](C)C[C@H](C)OC(C)=O,0.437,ESR1_362,216
N[C@@H](Oc1cccc([C@@H]2CCc3cccc(n3)OC(=O)[C@H]3C[C@@H](CC[C@H](O)[C@@H]3O)C2)c1)C(F)F,0.4677,ESR1_743,12
C#CC1C=C(O)CC=C1C(=C=C[C@@H](C)CC)c1cccc(CN)c1,0.3993,ESR1_579,102
CCCCC=CC[C@@H](C)C1=CC(Oc2ccc(F)cc2)=CC([C@@H](N)[C@@H](O)F)=CC1,0.3412,ESR1_750,8
CC(C)[C@@H]1C=C2NC[C@@H](c3ccccc3)[C@@H]2C=CC1[C@H](CO)[C@H](CCCC[C@H]1CC[C@@H](O)CC1)C1=CC[C@@H](F)[C@@H](F)C1,0.4428,ESR1_72,377
COC(=O)C1=CC=CC(NC(C)=O)=C[C@@H]1Oc1ccc([C@H](O)C(N)=O)cc1,0.4059,ESR1_202,300
CCN=C(C)COC[C@@H]1C=C([C@@H]2C3=C(C)N(O)C[C@H]3C[C@H]2C)[C@@H]2[C@H](CC)CC=C[C@@H]2C1,0.4028,ESR1_612,84
COc1ccc(O[C@H](C[C@H]2CCC=C(O)C2)C2=C(F)C=C(O)[C@H](O)C=C2)cc1,0.3731,ESR1_428,178
CCCCCCOC1CCC(C(=O)[C@@H]2C[C@H](F)CC2=C=Cc2cc(O)cc(NN)c2)C1,0.4055,ESR1_476,155
CN(C(=O)CCCO)[C@@H](Cc1cccc(F)c1)c1ccc(C(=O)CCN2CCCC2)cc1,0.4085,ESR1_641,65
CC(C)OC1C=CCC([C@@H](Cc2ccc(=O)[nH]c2)C2CC(Cl)=C(Cl)C2)=C1,0.3933,ESR1_560,113
CCCCC#C[C@H](O)c1cccc([C@@H](CCS(O)(O)O)COC[C@@H]2CC3=C(C2)OCC3)c1,0.3966,ESR1_75,376
CC[C@@H](C[C@@H]1O[C@@]2(C)CC3=C4[C@H]5[C@H](O[C@H](C)C5(O)[C@@H](CCN)C3)C([C@@H]3CC5=C(C=CC=C(F)[C@H]5C)O3)[C@@H]1[C@H]42)C(C)O,0.4992,ESR1_328,233
CCCCCCCCCC[C@H]1C[C@@H](C)CC[C@@H]1[C@H]1CCC(O)=C1O,0.4064,ESR1_7,411
C=C(C)C=C(CCCN(C(=O)CCC(N)=O)C1CC[C@@H](Cl)C1)Nc1cccc(C)n1,0.3656,ESR1_201,301
CC[C@@H](C)C1=C(C[C@H]2C=CC(CC(C)C)C=C2O)[C@H]2C=CCC=C(CC(=O)O)C2=CC=C1,0.4053,ESR1_618,79
CC1=C(O)[C@@H](F)[C@H]([C@@H](C=O)[C@H](CCc2ccccc2COCCN)[C@@H](C)[C@H]2C=CC=C(C=C(C)Cl)C=C2N)C1,0.4287,ESR1_623,74
CC[C@@H](O)CO[C@@H]1CC[C@@H](C[C@@H]2O[C@@H](CC(=O)C[C@@H]3C[C@@H](C)C[C@@H]3C)CC3[C@H](CNN)CC[C@H](O)[C@@H]32)C(=O)N1,0.3977,ESR1_56,383
CNC(=O)OC1C[C@@H](C[C@@H](C=CCC=CCO)C2CC[C@@H](C)N2)ON1,0.3252,ESR1_321,238
COC1=C(O)C2=C(C1)[C@@H](CC1CCCCC1)[C@H](c1ccc([C@@H](C)[C@H](C)O)cc1)C2,0.4811,ESR1_291,252
CCN[C@H]1CC2=C(C1)[C@@H](C(F)F)C=C(N[C@H](C)C1=CC([C@H](O)C(=O)NCCC(C=NC)C=NC)C=C[C@H]1C)[C@H]2CCC[C@@H](O)[C@H](O)[C@H](C)CO,0.4637,ESR1_719,28
CC=C=CC=C[C@H]1C[C@@H]([C@@H](Cc2ccc(O)cc2)NOc2cccc(C=N)c2)CO1,0.3796,ESR1_101,361
Cc1c(F)c(O)cc(Cl)c1C(C=CCC(C)C)C=C[C@@H](C)CCCNC(C)C,0.4095,ESR1_264,266
CC=C(CC(=C=CC=C1NC(=N)NC1=NC)C(=O)c1ccccc1)C1=CC(CCCC)C=CC1,0.4296,ESR1_337,230
CC(C)CC=CCc1ccc(CC2=CC3O[C@H](N)[C@@H](O)CC3=C[C@H]2Cc2ccccc2F)cc1,0.4718,ESR1_19,403
CCCCC[C@@H](C[C@H]1C=CNC(CO)=C1C)[C@H](CCC)C(C)C,0.3264,ESR1_446,166
CCCOC[C@@H]1C=C2[C@@H]3[C@H]4C(Cl)=C(O)C(OC)=CC4=C4C=CC(CC)[C@@H](C(=O)O)[C@@H](C[C@@H]2C=C1OC)[C@H]43,0.4539,ESR1_421,184
CC(C)C=CCCC[C@H](C)[C@H](C[C@@H]1C=CC(=CC(N)=O)C=CC1=CCCC(=O)O)C(C)C,0.42,ESR1_630,70
CCC#C[C@H](CC)CCCC(=C=CC(C)C)Cc1cc(CO)ccc1Cl,0.3165,ESR1_298,247
CCCO[C@H](N[C@H](C)C1CCC(C2OCC2c2ccccc2)=C1O)C1C=C(C[C@@H](CC)OCC)CC1,0.4973,ESR1_355,220
