SMILES,Tanimoto,drug_id,cluster
CC[C@@H]1[C@@H](O)[C@@H](O)C=C[C@H](O)[C@@H]2C=C(OC)[C@H](OC2)[C@@H](O)CCCOCC[C@]1(O)C(=O)O,0.3322,FTO_351,264
C[C@H]1C=C(C(F)(F)F)[C@@H](NC(=O)CCO)[C@H](OCCCc2ccc(Cl)c(O[C@@H](F)C(F)F)c2)C1,0.4602,FTO_567,122
CC(=C[C@@H](CC[C@@]1(Cc2ccc(O)cc2)CCCO1)[C@H](C)S(N)(O)O)c1ccnc(Cl)c1,0.3906,FTO_665,56
CCCc1ccc(O)c(N2C[C@@H]([C@H]3C=C[C@H](C(=O)O)C=CC3F)[C@H](F)C=C2CC(=O)O)c1,0.4711,FTO_631,79
CC(=O)[C@@H]1C(C)=NC2=C3[C@@H]1CC[C@@H](O)[C@H]1C[C@@](CCO)([C@H]3C=C[C@H]2C)S(O)(O)C1,0.497,FTO_262,326
CCCC1=C(NC2=C[C@@H](CC(=O)O)C=C(Cl)C2)C(=C=CC(Cl)C=CC(=O)OC)C(C)=NC1,0.4308,FTO_275,315
CC(C)N1CC=C[C@@H]([C@@H](c2cccc(O)c2)[C@@H](O)C(=O)O)CC1,0.3628,FTO_459,196
CCCCCCO[C@](C)(C(=O)O)[C@@H](CCCC)C(=O)OC(=O)CC,0.2362,FTO_638,73
CCC[C@H](CNC(=O)NC(C)(C)CO)[C@H]1CC(C(C)C)CC1=C=CC(F)=C=C[C@H](CC)C1OCC[C@H]1O,0.3029,FTO_571,119
CCC=C[C@@H](CCCO)OCC1=C2C[C@@H](C(C)(O)O)[C@@H](OC(=O)O)[C@H]2[C@H](C)C[C@H]1C,0.3149,FTO_376,242
CC(=O)C[C@H]1COc2ccc(C(=NCCN(CC=CCC(N)(O)O)C(=NC(C)(C)O)c3cccc(O)c3)N3CCCCC3)cc21,0.478,FTO_235,347
CCCC(O)(CCC)[C@@H]1[C@H](C)[C@H]([C@H](CO)CCC(=O)O)C[C@@H]1C=O,0.1853,FTO_725,15
CC(CNc1cc(Cl)cc([C@@H](C[C@@H](O)CNc2ccncc2)C2=C[C@@H](O)CCC2)n1)CC(=O)O,0.4639,FTO_470,190
Cc1cc(NS(O)(O)C=C=C(CCCCCC(C)C)CC(=O)O)cc(C(N)=O)c1,0.3048,FTO_496,172
CCOC(=C=C(C[C@H](O)C(F)C=N)NC(=O)C(=O)O)CC1C=C[C@H](C=N[C@@H]2CC[C@H](CCOC)O2)C=CC1,0.3793,FTO_661,58
CCC[C@@H](N[C@@H](CC(O)CCC(=O)O)C(C)=O)C1=NN=C(C)[C@@H](C)C1O,0.3008,FTO_471,189
CCCOC[C@](C#CCC(F)CCC(=COC)C1CCCC1)(C=NCC(=O)O)CCCCl,0.2432,FTO_299,299
CC(C)NC1=C(C2CCC(Cl)=C2[C@H](O)[C@H](C)O)C(N)=C(F)C1,0.4467,FTO_493,175
CO[C@H]1N=C(NC(C)=CNC(=O)O)S[C@H](C(=O)O)[C@@H](NC(C)C)ONC(=O)OC2C=CC=CC1=C2,0.4643,FTO_203,370
CCCCC[C@@H](CCCCCC[C@@H](C)O)[C@@H](C)C(=O)OCC(=O)O,0.177,FTO_507,165
Cc1ccc2c(c1CCO[C@H](CN(C(=O)[C@@H](C)C(=O)NCS(O)(O)O)c1cccc(F)c1)C(=O)O)NCC2,0.4503,FTO_237,346
N[C@@H]1CC(C2CCCC2)=C([C@H](Cl)[C@H](CO[C@H]2COCO2)CS(N)(O)O)O1,0.3928,FTO_531,147
CC(=O)CC=C=CC(=N[C@@H](C1C=CCC=C1)C(C)C1=CCC(C(=O)O)=CC1)C(Cl)C#CO,0.3145,FTO_580,112
CCc1ccc(N)c(N2C3C(=NC=CC3[C@@H]3C=CC=C(C(=O)O)C=C3)C[C@@H]2CC)c1,0.4784,FTO_292,302
CCC[C@H]1C(O[C@H](OC)c2ccc(CO)cc2)=C=CCC=C=C1[C@H](C)C(=O)NO,0.3721,FTO_378,241
CC(N)=CC[C@H](C[C@H]1CO[C@H](CS)C1[C@@H](O)C(=O)O)C(=O)O,0.2451,FTO_556,132
CCCC[C@@H](C(=O)O)[C@H](O)C(C)=C=C(CC(=O)O)N(CCCC(C)(C)C)c1cc(C)cc(O)c1,0.4115,FTO_682,42
C#CC[C@@H](C)N(Cn1cc(C2C=CC=C[C@H]2C=C=CC)cnc1=O)C(=O)O,0.3781,FTO_113,428
Cc1cc(C[C@@H](COCCOC(=O)O)C(=O)O)c(NC(=O)Nc2ccccc2)s1,0.3574,FTO_129,418
C[C@H](C=C1CCCCCO1)[C@@H]1OCCC=CC=C=C(C(=O)O)C[C@H](CCN)C2=NCC(Cl)=CC21,0.3966,FTO_626,84
COC1=C[C@@H]([C@H]2C[C@@H](O)C[C@H]2C[C@]2(c3ccccc3)N[C@H](C)O[C@@H]2C)C=CC1,0.4671,FTO_177,391
COc1ccc([C@@H](C2C[C@H](N3CCC(O)CC3)[C@](C)(O)C[C@@H]2COC(C)C)[C@H](C)O)cc1,0.4019,FTO_341,271
CCCOC[C@@H](OC)C(OC)=C1C[C@@H](O)C[C@H](Cl)[C@H]1C(=O)O,0.3343,FTO_733,11
CC(C)=C=C(C)CCC(=C[C@H](CC(C)C)C[C@H](C)C(=O)O)C(C)C,0.1872,FTO_207,367
COC1=CC([C@@H](C)CF)C(OCCN(C(=O)O)C(=NC2CCCC2)[C@H]2CN(C(=O)O)CC(=Cc3ccccc3)O2)=CC1C(=O)O,0.4935,FTO_4,498
C[C@@H]1C[C@@H](C[C@H](c2cccc(C(=O)O)c2)N(c2cc(Cl)ccc2C(=O)O)C(CO)CO)N1,0.4901,FTO_434,210
C=C(O)CCC(=Cc1cc(O)cc(O)c1C(=O)N=C1[C@H](C(=O)O)C[C@H](C)C[C@@H](C)N1CC)SC,0.4817,FTO_231,350
C[C@@H]1COC(=C[C@@H](Cc2cccc(Cl)c2)[C@@H](C)Cc2cc(O)ccc2Cl)N1,0.3047,FTO_457,198
NC(O)(O)[C@H](O)c1cc(Cl)cc(C(C(=O)O)=C2CC(F)=C(C(=O)O)C2)c1,0.4261,FTO_213,364
CC[C@@H](O)C=CC=C=C(Cc1cccc(CNC2=CC(OC)=C(C(=O)O)CN2)c1)[C@@H](C)NC(=O)O,0.3842,FTO_394,233
CC1=C[C@@H](C2CCCC2)[C@H](C(=O)O)[C@@H](C)C1[C@H]([C@H]1CCOC1)[C@H](N)C(=O)O,0.2297,FTO_581,111
CCC[C@H]1[C@H](NCC)OC2=C[C@]3(C[C@@H](C)O)[C@@H]([C@@H](C)O)C[C@H](COC(C)=O)[C@@H]3C=C3C=CC=C[C@H]3OCC[C@@H]21,0.3999,FTO_331,278
CC[C@](C)(CCCCN(C)c1ccc(C(=O)O)cn1)NC(C(=O)O)=C1CC(C(=O)O)CO1,0.4291,FTO_446,203
CCC=CC#C[C@@H](CC(=C=C=C=C(O)CC=C=C(CC)C(=O)S(C)(O)O)C(=O)O)NO,0.2879,FTO_586,106
CNC(=O)[C@H]1C=CC(Cl)=C[C@@H]1[C@@H](CO)[C@@H](CCCN(O)O)CC(=O)O,0.2472,FTO_212,365
CCC[C@@H]1C=C2C[C@H](OCCC(C)(C)O)[C@H]1C[C@H](COCC)O[C@@H]1C[C@@H](CCC(CO)O2)C[C@@H](O)[C@@H]1C(=O)O,0.2933,FTO_232,349
CCC(=O)N=NC1=N[C@@H](CCC[C@@H]([C@@H](C(=O)NO)[C@@H]2CCC(O)=C2c2ccc(OCO)cc2)[C@H]2C=CC(O)=CC2)CCC1,0.4621,FTO_245,339
CCN([C@@H]1CCOC1)[C@@H]1C=CC(C)=C[C@H]1[C@H]1CC[C@@H](OC)C1=CC(=O)OC,0.3767,FTO_25,484
CCN(C)C1=C(C)C([C@H]2[C@H]([C@H]3CCCO3)C([C@H](C)C(=O)N(C)O)=CC[C@@H]2C(=O)CN)=CC(CC(=O)O)C(O)=C1,0.4651,FTO_562,126
COC[C@@H]1[C@H](C)N[C@@](O)(OC[C@@H](C)C(C)(C)O)[C@H]1NC[C@H](CO)[C@H](O)[C@@H](C#CC=C1C=CC=CC1)[C@@H]1CCN(S(C)(O)O)C1,0.4761,FTO_350,265
COCC1=C[C@H](N=C2CC(C)=C([C@H](CC(C)C)[C@H](CCCCC(=O)O)[C@@](C)(O)OC(C)=O)C2)C=CC(O)=C1,0.3481,FTO_246,338
CC=C=C1C2=C(C=C(CO)C(C)[C@@H]2c2ccccc2)C=C(O)[C@@H]1O,0.4443,FTO_364,253
CC1=CC2=C[C@@](O)(C1)NCC(C(=O)O)CC#CNCC=CC[C@@H]2C(=O)C1CCCC1,0.3545,FTO_215,362
CC=C1CC([C@@H]2C=CC(N(C)S(O)(O)O)C=C2OCC)=C[C@@H](CO)[C@@H]1O,0.3395,FTO_180,388
CO[C@@](CCC(=C=C[C@@H]1CCN(O)C1=CO)C(=O)O)(CNCCS(O)(O)O)CNc1ccccc1,0.3722,FTO_76,452
CC(C)C(C[C@H]1C(C(=O)OCCC(=O)O)c2ccc(OC(C)(O)O)cc2C[C@H]1C)C(C)C,0.4118,FTO_165,400
C=NC(=O)N[C@@H](CC(C)C)[C@H]1N[C@H](CC(=O)O)C2=C1CC=C(O)C=C2,0.3622,FTO_425,212
CO[C@H]1C=C2C[C@](C)([C@H]3CCC[C@H]3O)[C@@H](O)C[C@H]2C(NCCC(=O)O)=C1,0.345,FTO_389,237
CCC(=N)OC1=CC2C=C(NC(=O)C(CC[C@@H](C)N)c3ccccc3)C=CC2C(O)=C1,0.4264,FTO_539,143
CNC[C@@H]1C=CC=C(O)CCC(=O)OC(C)=CCc2cccc(c2)S(O)(O)[C@@H]1CC(C)C,0.4023,FTO_43,470
CC1=C(OC2=C=C3CCCC3C=C([C@@H]3C(CCCCCC(=O)O)=CC=C[C@@H]3O)N2)CC(C)O1,0.4649,FTO_45,468
CCCC=C(OCCO)C(=C=C(NC(C)=O)c1ccccc1)C1C[C@](F)(CCC(=O)OCC)[C@@H](C(F)F)O1,0.4973,FTO_664,57
CCC(=O)N[C@@H](CC)C(=O)c1cc(F)c(F)c(C[C@H]2OCCC[C@H]2O)c1,0.3905,FTO_506,166
CCO[C@H](O[C@@H](CCCO)OC1COC1)[C@H](C=CCC(C)(O)O)CC,0.1686,FTO_530,148
O=C(O)NC=C1C[C@@H](C(=C=C2[C@@H](C(=O)O)CC[C@H]2C2=C[C@H](F)CC=C2)C(=O)O)C[C@H](Cl)C[C@H]1CCCO,0.346,FTO_418,217
C[C@H](CCCCCCCC(C(=O)O)[C@H]1C=C[C@H](CO)C=C1)C(=O)O,0.1873,FTO_344,269
C[C@H](O)[C@@H](O)[C@H]1OC2C(=C=CC[C@@H](OCCCO)[C@H](C)O1)C=CC=C2NC(=O)O,0.4009,FTO_64,457
C=CC(OCCCC)C(=CNC(=O)[C@H]1CN(C)S(O)(O)c2cc(F)ccc21)CC,0.48,FTO_55,463
CC[C@@H](C)O[C@H](C(=O)O)[C@H]1C=CCC(NC(C)=O)=C2C=C(O)[C@@H](O)C=C[C@@H]21,0.4111,FTO_643,68
COC(=CCCNC[C@H](O)C(O)=CCO)[C@H]1C[C@H](CNCO)C2=CCC(C(=O)O)=C(C)[C@@H]21,0.332,FTO_584,108
CCCc1cc([C@@H](N)C(=O)O)c(CCN(CC)CONCN)c(OC)c1C,0.3903,FTO_510,162
CC[C@H]1C=C[C@H]([S@H](O)OC)C=C1O[C@H]1CC(F)=C[C@@H]([C@H]2CC[C@@H](F)[C@@H]2NS(O)(O)O)[C@H]1CC1C=CCC=C1,0.4037,FTO_367,251
CC(=O)NCC(=O)C1=CC(F)=CC[C@H]1S(O)(O)NC(=S)C(=CC(C)C(=O)O)[C@@H](N)Cl,0.466,FTO_637,74
COC=C1OC2=CC=CC(C3=C[C@@H](C=C[C@@H]3C)C(=O)[C@H]3C=C[C@H](C=C3OC)O1)[C@H]2O,0.4097,FTO_206,368
CCC(O)=CC[C@@H](CCCCCCO)C(C=C(C)O)CO[C@H]1C=CC=C(NCN)[C@@H]1O,0.2839,FTO_375,243
CC(=CCCCCCC(=O)O)CC(=O)N[C@@H](c1cccc([C@@H](C)O)c1)N(C)C,0.2943,FTO_740,7
Cc1cc2c(cn1)C[C@]1(C)CC(C)(C)C(=O)C(=CC=C=C3CC(O)(O)C=C[C@H]3[C@H](C)[PH](O)(O)O)C[C@H]1C2,0.4781,FTO_238,345
CCC1C=C(C(=O)O)C(NC(=O)O)C([C@H](F)C(F)F)=C1,0.3593,FTO_11,494
CC1C=CC(C(=O)O)[C@@H]2C1=N[C@H](C(C)C)C[C@H](O)C1=CNC(CN)=NC12,0.4634,FTO_748,1
CCOC(=O)C1=CC([C@@H](C)CC)C=C(NC(CCC(C)=O)C2CCCC2)C2=C1C[C@@H](C(=O)O)O2,0.4774,FTO_241,342
CCC[C@H]1C=CCC(C)(C)CC(C(=O)C[C@@](C)(O)CNc2cc(C)ccc2NC2=N[C@H](OC)CC2)N1,0.3834,FTO_501,170
CCNN=C(C[C@H](O)CO)[C@H]1CNC[C@@H](C)N(C)C2=CC(C=C1N=CCC(=O)O)[C@@H](CCCCO)C=C2,0.4121,FTO_187,383
CNC(=O)C[C@@H](CNCC[C@@H](C)O)C(=C=C1CC(C)=C(OC)C1)CC(=O)O,0.2763,FTO_618,89
CO[C@H]1C(=O)[C@@H]([C@@H](C)C(C)O)[C@@H]2[C@@H]1CCC[C@H]2OCCC(=O)O,0.189,FTO_276,314
