SMILES,Tanimoto,drug_id,cluster
O=C1C=COC(=O)CCC(=O)N[C@H](CF)C2=NCC[C@H](C(=O)O)CC=NC(=N1)CC2,0.3206,GRIK1_473,292
Cc1cc(C[C@H](C[C@@H](C)C(=O)O)C(N)=O)c([C@H](O)C[C@H](N)C(=O)C(=O)O)c(C=O)c1O,0.3661,GRIK1_6,724
C[C@H](C[C@@H](N)C(=O)O)NC(=O)[C@@H](O)CC(=O)OCCCCN,0.2868,GRIK1_456,308
C[C@@]1(F)CC(O)(O)OC(=O)C[C@@H](C2C=CCC=C2)[C@H](O)[C@@](O)([C@@H](F)[C@H](F)C(F)F)CC[C@@H](CCN)CC[C@@H](O)[C@@H]1O,0.3616,GRIK1_712,82
CCC[C@@H]1CC[C@@H](C(=O)O)[C@H](N)C[C@@H](CO)CNCCC[C@H](C)[C@](C)(O)[C@H]1O,0.3618,GRIK1_758,39
CC(F)N[C@@H]1C=CCCN(C(=O)CCC(=O)O)[C@H]2C[C@H](C3=NC(=O)C=C[C@H]3F)C[C@@](O)(OC2=O)C(=O)CNC(=O)C[C@H](F)[C@@H](C)[C@@H](F)C1,0.4652,GRIK1_0,728
CC[C@@H](C[C@H](O)[C@H](N)C[C@H](C(N)=O)C(=O)N(C=C(O)CO)[C@H](C)N(CN)CO[PH](O)(O)O)[PH](O)(O)O,0.3673,GRIK1_380,379
O=C1C[C@H](C(F)F)C(=O)N[C@H](CC(O)(O)F)CO[C@@H](CCO)C(=O)N(O)CCC2=C[C@@H](C=CO2)N1,0.3553,GRIK1_35,696
C[C@@]1(O)O[C@@H]2CC[C@@H](CO)N=C(ON)[C@H](O)[C@@H]3CC(=N)N(C3)C(C(=O)O)=C3C[C@H]2[C@@H](O3)[C@@H]1O,0.4919,GRIK1_43,691
O=C(O)NC[C@H]([C@H](CO)c1cccc(O)c1)N(CCCO)COC1=CCC=CC1,0.3544,GRIK1_605,178
CC(=O)CCC[PH](O)(O)C[C@H](N)[C@H]1O[C@H]2[C@H](CCC1=O)C[C@@H](N)[C@@H](N)[C@@H]2[C@@H](N)CCCC(=O)CO,0.386,GRIK1_699,92
CONC[C@]1(O)[C@H](O)[C@H]([C@H](N)C(=O)NO)CN[C@H](CN)C[C@H](O)[C@H](O)CCC(O)[C@H](O)[C@H]1O,0.392,GRIK1_442,322
NC(=O)[C@@H]1C=CC[C@H](S(O)(O)O)CCC(=O)[C@H]2[C@H]3C[C@@H]([C@H](O)[C@@H]2CO)[C@@H](O)O[C@@H]1C3,0.3716,GRIK1_306,448
CC[C@H]1[C@@H]2[C@H](O)[C@H](O)C3=CC=C[C@@H](C3)NC(=O)[C@@H](CF)C3=CC[C@H]([C@H](O)C(=O)O)N([C@H]31)[C@H]2O,0.4487,GRIK1_104,634
CCCC[C@@H](C[C@H](CCO[C@H](COC[C@H](O)[C@@H](O)C(=O)O)C[C@@H](C)C(=O)O)C(O)=CC(=O)O)NP(O)O,0.4023,GRIK1_411,349
C[C@]1(O)CC[C@H](O)CN2C(=O)NC(=O)[C@@H]2[C@@](O)(CO)C[C@H]2O[C@H](C1)N[C@@H]2CC(O)(O)F,0.4382,GRIK1_31,700
N[C@H]1C(CNCC(=O)O)=C2C(=O)NCC2(O)[C@H]1O,0.4109,GRIK1_103,635
C[C@H](CS)C[C@H](CC(CC(=O)O)=NCC(=O)O)[C@@H](C)C(=O)O,0.2793,GRIK1_666,121
CC(C)N[C@H]1C[C@@H]([C@H](O)C(C)(O)O)[C@@H]1[C@@H]1N2C(=N)[C@@H](C)CC2=NN[C@]1(C)O,0.4157,GRIK1_310,445
CC[C@@H](C[C@@H](CCC(O)(O)O)C1=C[C@H](C)C(=O)[C@@H]2[C@@H](CO)[C@@H](O)[C@@H](O)C[C@@H]12)C(N)=O,0.2887,GRIK1_544,230
C[C@@H](O)CN[C@@H]1C[C@@H](O)[C@@H](OC(=O)O)[C@H](N)C=C[C@H]2C[C@@](O)(C[C@@H]2CC(F)F)[C@@](O)(OO)CC(O)=CCCC(=O)NC1=O,0.4027,GRIK1_396,364
O=C(O)[C@H](CCC[C@H](O)[C@H](O)CO)CC1=NC(=O)[C@H](O)C=C1O,0.2992,GRIK1_785,16
C[C@]12[C@H](O)[C@H](C(=O)CC(=O)F)NC3=C(C[C@@H](C(=O)O)O3)C[C@H]1[C@](O)(OO)OC(F)(F)[C@@H](F)CC2(O)O,0.4845,GRIK1_415,345
N=C(N)[C@H]1CC2=C(C1)C(NC(=O)O)=NCCCCOC(=O)C[C@](O)(CO)C2,0.3562,GRIK1_774,26
NC1CCC(NC(=O)NO[C@H](F)[C@@H](O)C[C@H](CNS(O)(O)O)[C@@H]2CNC(=O)CC(F)(F)N2)C1,0.3239,GRIK1_649,135
CC(=O)[C@@H]1C[C@H](CNC(=O)[C@@H](O)C(O)(F)F)C2=CC=CC(O)C(C2)C(=O)C2=C[C@@H](CC2)[C@](O)(COCCN)N1,0.425,GRIK1_607,176
N=C[C@@H](CCC(=N)N(O)C(=O)C[C@@H](O)CO)[C@@H]1CC(O)=C(OO)N1,0.3153,GRIK1_480,285
C[C@@H]1C(=O)O[C@H]2[C@H]1[C@@H]([C@H](C(=O)O)C1C=CCC=C1)[C@@H]1C[C@H]([C@H](O)[C@H](O)[C@H](O)CO)C=CN12,0.4046,GRIK1_507,263
C[C@@H](CCN)[C@H](CN)c1sc([PH](O)(O)C=C[C@@H](N)C(=O)O)c([SH](O)O)c1F,0.4925,GRIK1_56,679
CN[C@@H]1CCCNCC[C@@H](O)[C@H](O)[C@@H](O)[C@H](CC(=O)O)C[C@@H](NCC(=O)O)C1,0.3677,GRIK1_432,331
C[C@H]1[C@H](C=O)C(C(=O)N(O)CC[C@@H](N)C(=O)CO)=C(C[C@H](F)C(=O)O)N1F,0.4269,GRIK1_204,540
CO[C@@H]1CCC(C(C=C(C)C(=O)O)C(N)=O)=C=C(C(N)=O)CCN(O)[C@H]([C@@H](O)CO)CNC1=O,0.3682,GRIK1_165,576
COC(=O)C(O)=C(CCC(=O)O)CNC(=O)CO,0.2998,GRIK1_540,234
C[C@@H](O)[C@@H](N)SC(=S)N1O[C@@H](F)C[C@@]1(O)[C@H](O)[C@@H](O)[C@@H](CNN)[C@H](O)CNC(=N)C(O)(O)O,0.4749,GRIK1_217,528
N=C1C[C@@H]2C=C3C[C@@H](O)C[C@H]3[C@@H]3N2[C@@H](CN(OS(O)(O)O)CN1)C3(O)O,0.4355,GRIK1_64,672
CC(=C[C@@H](O)CCC[C@H](CO)[C@@](O)(NCCC(N)=C(O)C(=O)O)NC(N)=O)C=C1CC=CCN1,0.3188,GRIK1_679,111
C[C@H](N[C@H](C)[C@@H](O)[C@H](O)[C@@H](O)CNO)C(O)(O)[C@H](O)[C@@H](O)[C@H](O)CCC[C@@H](N)[C@@H](O)C(=O)O,0.3495,GRIK1_444,320
CO[C@H]1CCOC(=O)C[C@@H](O)[C@H]([C@@H](C)C(=O)NO)[C@@H]2N=C(N(C)O)C[C@H]2[C@@H]1O,0.4166,GRIK1_786,15
CCCC[C@H](O)CO[C@@H]1[C@H]2C[C@H](NC(=O)NC(=O)O)O[C@H]2C(O)=C[C@@H]1O,0.3885,GRIK1_55,680
O=C(O)C(O)[C@H]1N[C@H]2O[C@H](C(O)C(=O)O)[C@@](O)(CO)[C@@H](O)C(=C=C(F)CCO)C(=C(O)CO)[C@H]12,0.4956,GRIK1_542,232
CC(CCC(=C(F)F)[C@](O)(F)N(C(=O)O)[C@H](N=C1CNC(C)=N1)c1ccc(S(N)(O)O)cc1)=N[C@@H](C)C(=O)O,0.4969,GRIK1_174,568
C[C@@H]1CC[C@@H]([C@@H](O)C(=O)O)CN=C[C@@H](C(=O)O)C=C=C([C@H](O)F)CC(=O)OC[C@H](F)O1,0.3342,GRIK1_468,297
O=C(O)CCC[C@H]1NC=C(NNC(=O)O)COC[C@@H](O)C(=O)OC2C=CC=C[C@@]21O,0.4158,GRIK1_479,286
C[C@H]1O[C@@](O)([C@H]2C(O)=CC=C(F)[C@H]2C=CC(=CCC[C@H](O)C(=O)CO)S(N)(O)O)C1(O)O,0.4043,GRIK1_595,186
CC[S@@]1(O)O[C@@](O)(NO)[C@@H](O)[C@@H](C[C@H](N)C(=O)OO)C[C@@H]1CC[C@@H](O)CCN,0.3911,GRIK1_675,115
Cc1cccc(C(=O)N(C(=O)CF)C2C(F)C[C@@H](OF)C[C@@H]2C[C@H](N)C(=O)O)c1,0.4138,GRIK1_67,669
