SMILES,Tanimoto,drug_id,cluster
CCO[C@@H]1NCC(=O)N(C(=C[C@@H](C)CCC(=O)OC)CCCOC)NC[C@H]1CC,0.3873,HCRTR1_198,383
CCCC=C=C(C)C[C@H](CCCCCC)CC[C@](C)(CC)C(C)C,0.1,HCRTR1_184,393
CCCCC[C@@](C)(CC[C@H](O)C[C@@H](C)CN(C(=O)[C@@H]1CCC(Cl)C1)c1cc(Cl)ccc1OP(O)O)C(C)O,0.4318,HCRTR1_556,132
CCCC(=C=CCOC)C=C1C[C@H]([C@@H](C)[C@@H]2CCC[C@]2(CO)[C@H](C)[C@@H](O)c2ccccc2C)C[C@@H]1C(=O)O,0.3962,HCRTR1_393,245
CC[C@H]1OC[C@@]2(O)OC(=O)[C@H]([C@H](O)[C@H]2C)[C@@H]2[C@H](CC[C@H]3C1=CCO[C@@H]3CC)CCC(C)(C)[C@H](O[C@@H](C=C[C@@H](C)CO)[C@@H]1CCCCC[C@H]1C)[C@H]2C,0.4354,HCRTR1_661,50
CCC=C=C(C=C(O)CN)[C@@H](O)C1N=C(CC)C=C(C)[C@H]1[C@H]1CC[C@H](F)C1,0.4133,HCRTR1_487,183
C=C1C[C@H](N(CC(=O)O)C[C@@H](CCC)Cc2ccccc2)CN1C(C)C,0.315,HCRTR1_705,20
CC=C(C(=O)NC)[C@@H](C)C[C@H](C)[C@@H]([C@H](O)C(=O)O)N(C)[C@@H](C)[C@H](CCCC)C1=C(O)C(C(C)C)=CCC=C1,0.4528,HCRTR1_239,356
CCCC1C=C([C@@H](C)OC[C@@H](CCC)CCCCCCCO)C=CC1[C@H](C)C(=CC(C)O)C(C)(C)C,0.2602,HCRTR1_411,235
CCCC(=Cc1ccc(O)c(C(=S)C(=O)O)c1)CC(C)=C=CCC(CC)CC,0.3274,HCRTR1_347,279
COC1=Cc2ccc(O)c(c2)CC[C@H](CCCO)[C@@H]2CCCCN2CC[C@@](C)(C(=O)O)CCCC=C1F,0.4476,HCRTR1_339,286
CCCC[C@]1(O)C=C2CC(=C=C(CCC)C=C3C[C@@H](C(N)=O)[C@H]1C(C)=C3C)[C@@](O)(OC)C2,0.4422,HCRTR1_400,240
C=CC1=C(OC)CC=C(OC(=O)CNCC)[C@H]1NC(=O)C1CC[C@H]([C@H](C)NC(C)=O)C1,0.4569,HCRTR1_476,191
CCCCCC=CC=C=C(Cl)C=CN(CCC(C)(C)C)NCC,0.1596,HCRTR1_539,143
CCCC[C@@H](CCCCC(C)C)C[C@H]1C(=O)OCC[C@H](O)[C@H](O)[C@@H]1[C@@H](CO)C(=O)CC[C@H]1CCCC[C@H]1CC,0.2282,HCRTR1_207,376
CC(C)O[C@]1(C)OC(C)C[C@H](O)CCCC[C@@H](O)CC[C@H](C)C(C)(C)CC(=O)O[C@@H]([C@H]2C[C@@H](C)C2)[C@H]1O,0.2866,HCRTR1_615,85
CCCCC[C@H]1CC[C@H]([C@@](Cl)(CC(=O)O)C(N)=O)COCC[C@H](CC(C)C)CC[C@@H](C)C1,0.2459,HCRTR1_348,278
