SMILES,Tanimoto,drug_id,cluster
CC(C)[C@H](C)C1C=C(CCN[C@@H](C)CC[C@@H]2CCC=C[C@@H](O)C2)CC=C1O,0.2243,IDH1_90,485
CC=C(C)CC1C=C([C@@H](O)[C@H](O[C@@H]2CC[C@@H]3C(C)=CCC=C3O2)[C@H](O)CC)CC(C)=N1,0.4217,IDH1_217,395
CCC(C)(C)CC1=CCC=CC1CSC=C=C(OC(C)C)C(=N)NCCCCOC,0.2864,IDH1_694,92
COC1CCC(OC(NC[C@@H]2CC[C@@H]3CN=C4CCCC4C32)=C(Cl)C(C)C)N1,0.3374,IDH1_617,147
CNNNC[C@@H]1[C@@H](CC[C@H](NCCCC(N)=O)[C@H]2C=CC(C)=C(C)[C@@H]2C)CC[C@H]1O,0.2908,IDH1_507,219
CC(C)CCN=C(NC1C=NC(=O)C[C@@H]1c1ccccc1)c1ccc(O)cc1,0.398,IDH1_324,335
CCCNC1=C[C@H](OC[C@H](O)CCCCC(N)=O)C=C[C@@H]1[C@@H]1CCC[C@@H](C(C)(C)F)C1,0.2926,IDH1_225,392
CN[C@H](C(=O)O)C1C=CC([C@@H]2[C@@H]3CCC4C=C(CF)C=CC(=C43)[C@@H]3C(=O)[C@H](N(C)C)CN32)C=C1,0.4965,IDH1_636,133
C[C@@H](C(=N)NNC1=C([C@H](C)[C@H]2CCC(F)C2)CCCC1)C1=C(Cl)CCC1,0.3066,IDH1_775,43
C[C@@H](O)[C@@H]1CCC[C@@H](CCC[C@H](C)[C@H]2C=CCC(C(=N)N)=C2)CC1,0.1776,IDH1_565,179
CCOC1=CC(N(C)[C@@H]2C[C@@H](C)N([C@@H](CC(C)C)C3CCCC3)C2)=CCC=C1,0.3431,IDH1_339,327
COC[C@H](CCN(C(=O)[C@H]1CC[C@H]1C)[C@H]1CC[C@@H](C(=O)O)C1)C(N)=O,0.2706,IDH1_682,102
CC[C@]1(CC[C@H](C[C@H]2CCCC[C@H](OC)[C@H]2C)[C@@H]2OCC[C@@H](C)O2)C[C@H](C)CC[C@H]1C,0.1952,IDH1_177,420
CC1=C2CCS[C@H]2NC1=CCNC1([C@@H]2C=CCC=N2)C=CCC=C1,0.4298,IDH1_436,265
CCCNC(=O)N(C)C(CCCc1ccc(O)cc1C(=O)O)[C@H](O)CNC1CCC1,0.3735,IDH1_6,546
CCCCC(=O)N[C@H](CC[C@H](OS(N)(O)O)c1ccccc1C)Oc1ccc(OC)c(O)c1,0.3841,IDH1_219,393
C[C@@H](O)C[C@H]1CCCC2=C1NNC2=C1O[C@H](C)C2=C1C=CCCC2,0.4882,IDH1_500,223
CCC1=N[C@H](CC[C@@H]2C[C@@H]([C@H](C)C[C@@H](C)CC)CC[C@@H](C[C@H](C)O)[C@H]2C)C[C@@H]2C(=NC(C)=O)N[C@H]12,0.3389,IDH1_359,315
CO[C@H]1CN=C2C=C(C)N=C[C@H]2CN1CC[C@H]1CCC(=C2C=CC=CC(C)[C@@H]2O)[C@@H]1C,0.4095,IDH1_255,377
CC(C)C(C)(C)C1=C(OCC[C@H](C)N)C[C@H](C2=C3CCC[C@@H]3S(O)(O)C2)C1,0.3786,IDH1_710,83
CCCNC1=N[C@@H](CCCCCC2CCCC2)C=C(Cl)N1,0.2165,IDH1_599,158
C[C@@H](O)C1=CC(=C2COC(CCN)C2)C=CC(=C2[C@@H]3CN2C(=O)[C@H]2[C@@H]3CCC[C@@H]2C)C1,0.463,IDH1_151,438
CCCC=C(C[C@H](O)CC)C1C=CC(OC[C@@H](C)CC)C(C)=C1,0.1966,IDH1_779,40
C#CC(=C[C@H](C#CC1=C=C[C@H](Cl)C=C=C(CCC)c2ccccc21)OCC)[C@@H](C)CC,0.3891,IDH1_437,264
CC[C@@H]1CC[C@H](C2=C(CN3C[C@H](C)OC3=O)NN(CC)C2OC)C1,0.4754,IDH1_518,211
CCC[C@@H](C)[C@H](CC)CC1C=CC=C(Cl)N=C1CC[C@@H]1CCC2(CCCCC2)[C@@H]1C,0.2079,IDH1_487,231
COC1CC[C@@H]([C@@H](C)Nc2cc(C3C=CC=CC=C3)nc(C)n2)C1,0.4063,IDH1_300,350
CN(C1CCCC1)[C@H](C=CCCCCO)CC1C=C2CC=C3C=CCC=C3[C@H]2C(F)C=N1,0.3739,IDH1_322,337
CO[C@@H](C(O)=CNC1CN(C)N[C@@H](C[C@](C)(O)OC)[C@@H]1O)[C@H]1CO[C@H](C)C=C1C,0.4479,IDH1_389,295
COC1=C[C@H]2C(=CC1)[C@@H](CNC(C)=S)C(=O)N2Cc1ccccc1,0.4711,IDH1_86,487
